station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
294700074503001,Chormar,29.78333333,74.84166667,,,,,,,,,17.54,17.24,17.12,17.06,16.92,16.77,16.62,16.42,16.36,,15.75,15.66,15.55,15.37,14.67,,,14.72,14.72,14.63,14.55,14.66,14.59,14.41,14.39,14.52,14.45,14.34,14.34,14.48,14.49,14.27,14.24,14.34,14.27,14.37,14.44,14.52,14.59,14.4,14.61,14.47,,,,14.39,14.45,,15.14,14.72,,,,15.22,15.1,15.22,14.77,15.62,15.68,15.47,15.58,15.43,15.56,15.12,,15.55,,16.48,,16.66,16.32,16.34,,15.82,,16.58,,16.36,,16.82,,17.05,17.12,17.26,17.22,16.48,,17.65,17.8,17.76,18.55,17.97,18.35,18.31,18.42,18.02,18.63,,18.52,18.72,18.62,,19.51,19.27,18.92,18,18.92,19,18.82,18.9,,
294630074310001,Chotala,29.775,74.51666667,,,,,,,,,13.84,13.68,13.16,13.31,13.56,12.96,12.66,12.56,12.46,12.18,11.94,11.42,11.5,11.21,12.56,10.78,10.71,11.21,9.98,10.01,9.91,9.94,9.61,9.64,9.42,9.28,9.3,9.58,9.26,8.38,8.48,8.89,8.91,8.9,7.8,8.4,8.8,8.86,8.78,8.38,8.61,8.4,8.21,7.91,8.07,7.97,7.68,7.96,7.95,8.06,8.06,8.11,8.18,8.18,7.26,8.06,8.56,8.96,8.7,8.56,8.75,8.55,8.42,7.81,,7.81,,,7.96,7.87,,,,,,9.61,,7.56,8.85,,,,9.16,7.44,12,,,,8.71,,,43.53,,,,11.4,10.66,,,,,,,,,,,,,,,
295715074441501,Dabwali,29.95416667,74.7375,,,,,,,,,10.03,9.51,9.18,8.97,8.4,8.45,8.25,8.1,7.9,7.55,7.5,7.27,7.09,6.7,6.6,,6.59,6.6,6.64,6.7,8.08,8.3,6.72,8.15,8.12,8.09,8.16,8.62,8.65,8.84,8.78,8.42,8.31,8.56,8.6,8.73,8.83,8.9,9.01,8.99,8.91,8.94,9.1,8.7,8.69,8.84,8.73,8.83,8.95,9.5,9.35,9.28,9.45,9.46,9.87,10.35,9.65,10.76,10.22,10.69,10.03,9.97,9.9,9.85,12.05,10.1,,5.35,,9.55,9.25,9.15,,9.05,9.35,9.43,,,,,,9.28,,9.96,9.75,9.91,,10.17,8.94,9.44,9.46,10.67,10.7,9.49,10.52,10.82,10.65,,,10.35,8.75,,,9.91,10.25,10.55,10.43,,10.55,10.23,,
292745075155001,Ding,29.4625,75.26388889,,,,,,,,,12.24,12.36,12.06,12.18,12.61,11.91,11.51,11.41,11.11,11.11,11.11,10.64,10.54,10.42,10.86,10.74,10.83,11.18,11.47,11.64,12.91,12.32,11.76,11.86,12.07,12.43,12.72,12.68,12.55,12.9,12.04,12.12,12.15,12.48,12.8,13.05,13.12,13.61,13.21,13.37,13.61,13.71,12.61,12.21,12.81,13.21,13.04,12.91,13.23,14.36,14.06,13.71,13.96,14.32,15.51,15.71,16.01,16.21,14.65,13.31,,14.39,14.78,14.91,,25.42,,16.15,,20.41,16.81,17.73,,17.41,,17.19,,18.01,,17.64,,17.01,18.25,17.36,14.09,20.71,,21.89,,17.63,19.39,18.14,18.1,17.97,18.55,17.83,18.19,,16.69,17.99,16.69,,14.7,13.58,17.23,16,17.54,16.89,17.14,16.64,,
291510075050001,Ghushiana,29.25277778,75.08333333,,,,,,,,,13.13,13.4,13.1,13.21,13.1,14.3,13.45,12.76,12.67,12.72,12.7,12.24,12.12,12.33,12.25,12.45,12.2,12.35,12.45,12.58,14.37,12.58,12.64,12.63,12.76,,13.2,13.3,13.3,13.56,13.48,13.42,13.38,13.79,14.23,14.64,14.41,14.44,14.68,14.4,14.7,14.3,13.8,12.5,14.37,15.02,13.99,13.9,14.36,14.38,14.2,14.3,14.27,14.11,14.66,14.9,15.6,15.13,14.7,14.46,14.54,12.5,14.88,12.1,16.04,12.69,,13.93,14.2,14.14,13.51,13.9,13.46,13.52,13.54,14.34,,13.53,14,14.1,,14.2,13.52,14.19,12.71,14.1,,14.8,14.75,13.41,,16.75,14.68,15.04,14.76,13.8,14.23,,1.28,13.85,,,,,,16.31,11.7,13.34,14.3,12.08,,
291800075084001,Gigorani,29.3,75.14444444,,,,,,,,,5.99,6.17,5.67,5.82,5.84,5.78,,5.17,5.04,5.29,4.77,,3.8,4.09,3.94,4.39,4.29,4.34,4.44,4.62,5.53,4.69,4.45,4.63,4.72,5.15,4.96,5.27,5.26,5.52,4.97,5.02,5.13,5.44,5.44,5.37,5.5,5.66,4.76,4.82,4.7,5.08,4.14,4.39,4.39,4.7,4.03,4.19,4.25,4.66,4.22,,4.06,4.32,4.74,4.94,5.24,5.42,4.84,4.39,4.29,,,4.38,5.59,4.6,,4.49,4.62,5.42,4.71,4.97,,4.37,5.41,5.35,,4.84,,5.49,,4.55,,4.48,,4.55,,4.85,4.74,,,16.31,,,,6.1,,,4.64,16.31,,,,,4.64,,,,3.84,3.2,,
294730074423001,Goriwala,29.79166667,74.70833333,,,,,,,,,19.33,19.4,18.86,18.57,18.45,18.35,17.85,17.79,17.72,17.4,17.25,17.05,16.92,16.65,16.49,16.5,16.85,16.55,15.95,16.2,16.28,15.8,,15.3,15.29,15.32,15.19,15.15,15.13,15.15,15.1,14.86,14.78,14.68,14.64,14.72,14.87,14.74,14.76,14.63,14.75,14.61,,,14.93,14.63,13.41,,12.61,,,,,16.13,16.5,16.55,16.95,13.21,16.93,17.08,17.09,17.24,,16.15,17.3,16.97,,17.13,17.05,16.98,17.35,16.77,16.65,16.2,16.9,16.73,,17.25,,16.64,,16.85,,,16.53,,,16.76,,17.46,,17.46,17.56,,,2.06,17.2,,,1.36,7.86,,,,,,,,17.61,17.38,,
291950074585001,Jamal,29.33055556,74.98055556,,,,,,,,,8.74,8.61,8.23,8.2,9.6,8.53,,7.7,7.63,7.63,7.55,7.08,7.2,7.23,7.33,6.58,6.69,7.58,7.76,7.79,7.9,7.59,7.47,6.02,7.83,8.08,7.95,8.23,8.26,8.49,7.83,7.77,7.97,8.13,8.31,8.49,8.65,8.76,8.52,8.61,8.6,9.6,8.23,8.33,8.37,8.23,7.83,7.83,7.98,8.33,7.83,8.13,8.13,7.51,7.25,7.43,7.03,7.68,7.29,6.72,6.7,6.62,6.4,7.13,7.7,5.95,,5.72,6.25,5.66,,5.4,,4.03,,5.08,,4.8,,4.51,,4.6,,4.54,,5.32,,5.85,5.49,5.95,,6.27,5.98,,5.85,4.2,5.73,,7.75,4.98,3.53,,11.74,9.44,4.18,10.73,2.38,3.61,2.93,3.86,,
294245074380501,Kaluwana,29.7125,74.63472222,,,,,,,,,14.28,14.12,14.04,13.82,13.62,13.44,13.42,13.2,13.03,12.87,12.74,12.45,12.34,12.16,12.02,11.92,11.72,11.57,11.3,11.22,11.11,10.99,10.72,10.72,10.65,10.56,10.27,10.86,10.72,10.83,10.45,10.32,9.98,10.23,9.76,10.37,10.41,11.29,9.88,10.02,10.03,10.21,10.24,10.22,10.32,10.3,10.2,10.17,9.17,10.28,9.92,10.27,10.33,9.58,10.59,10.6,10.82,11,10.19,10.67,10.77,11.33,10.7,10.82,11.25,10.7,,10.91,10.73,11.22,10.77,11.12,10.79,10.78,,11.3,,10.92,,10.37,,10.46,,10.76,,11.2,,10.93,11.13,11.6,,11.43,11.62,11.57,11.39,,11.77,,11.57,,11.92,,12.83,12.62,10.5,12.42,12.12,,12.72,12.76,,
292025074374801,Karamsana,29.34027778,74.63,,,,,,,,,11.63,,11.5,11.46,11.65,11.25,12.47,11.15,11.05,11.18,12.15,10.81,10.8,10.98,11,11.17,11.29,11.25,10.94,11.01,11.1,11.2,11.03,11.37,10.91,10.95,10.95,11.2,11.17,11.19,10.87,10.66,10.68,10.7,11.09,11.02,11.08,11.25,11.05,10.75,11.05,11.05,10.8,10.9,11.14,10.5,10.83,10.9,10.25,11.1,10.83,10.45,10.6,10.59,10.58,10.85,10.85,10.88,9.43,10.08,9.84,9.63,8.22,8.3,,8.7,,9.36,9.37,9.23,8.97,9.19,,8.6,9.11,9.11,,9.34,8.66,7.58,,8.49,8.65,8.73,9.66,8.51,8.74,8.37,8.32,8.31,8.74,8.28,8.35,,,7.79,7.92,,,7.55,6.95,,6.87,4.56,7.65,10,5.15,7.67,7.65,7.4,,
