station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
300815077220001,Amadalpur,30.1375,77.36666667,,,,,,,,,7.34,,1.02,6.21,1.98,7.56,,5.79,7.05,7.42,,6.51,6.88,7.51,6.48,6.59,8.4,,8.5,6.53,7.08,7.78,6.97,7.24,7.64,,6.77,7.02,7.5,7.83,7.32,7.08,7.45,8.04,7.8,7.43,7.68,8.03,7.3,6.88,7.18,,7.25,7.53,6.83,,,7.38,8.08,,7.38,7.06,,,,,,2.58,7.55,7.25,7.1,7.36,6.81,6.73,,,,,4.84,3.32,1.43,5.73,,7.46,,,,12.38,12.38,7.38,,,,,,7.96,,,,,7.43,,,,,,,,6.68,13.32,,,,,,,,,,,,
301000077120002,Bhambauli-1 (m),30.16666667,77.2,,,,,,,,,11.7,10.39,14.9,,,,14.81,14.08,9.21,,11.45,,8.83,,8.15,9.3,12.1,,,,,14.48,8.58,10.46,10.38,,,,15.67,19.15,15.48,17.81,11.6,12.19,,13.28,12.79,19.72,22.17,13.32,13.11,13.69,14.62,14.76,14.55,13.99,14.68,,15.79,16.21,,15.59,15.34,15.19,28.36,16.89,16.72,,17.64,15.56,14.79,15.12,15.43,15.29,15.19,,,,,17.09,,16.36,,10.77,,,,17.25,,18.06,,17.59,,18.49,,18.12,,19.19,25.29,18.83,19.66,26.45,26.63,28.36,18.67,,18.59,,20.85,19.29,18.9,,,,,19.42,21.02,20.61,23.22,24.03,20.86,
301800077180001,Bilaspur1,30.3,77.3,,,,,,,,,6.19,7.39,7.73,4.54,,,,,,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.61,,,,,,3.2,4.11,,,5.46,,,5.4,,,4.8,,,3.25,,2.86,
301645077203001,Choli,30.27916667,77.34166667,,,,,,,,,2.77,6.17,1.44,2.97,2.45,5.58,2.07,2.34,2.32,4.3,1.61,1.5,1.62,3.67,2.6,2.35,2.16,,2.55,2.98,2,4.55,3.14,2.6,3.84,5.14,2.36,5.14,2.81,5.04,2.89,2.29,2.25,3.42,1.94,2.34,2.33,3.38,1.7,1.66,1.94,2.07,1.47,1.57,2.24,2.69,0.84,1.12,1.64,3.32,0.72,0.59,1.17,2.1,0.8,1.24,1.36,3.49,0.52,0.71,1.15,1.89,0.49,0.44,0.43,,,2.04,1.7,3.37,1.89,1.26,1.2,2.22,,1.39,,1.99,,1.12,,2.01,0.79,1.06,,1.76,0.89,1.09,,1.69,0.57,0.79,1.26,1.79,0.69,0.99,1.39,,0.67,1.15,1.12,,1.3,0.66,0.51,4.85,0.99,0.29,0.89,1.45,0.41,
301645077213001,Dhanauri S,30.27916667,77.35833333,,,,,,,,,4.54,,9.26,8.12,8.11,,9.03,8.82,,,,6.46,6.05,,9,8.22,9.25,,8.92,,,,,11.25,10.46,10.67,,11.3,11.02,12.06,,10.13,8.97,10.6,11.27,9.86,10.09,11.2,11.43,11.52,11.21,12.47,11.95,12.55,12.11,12.47,12.2,,11.83,,,,,15,,13.48,11.9,14.6,,12.32,11.29,13.39,,,,,,13.1,,14.45,,12.86,,12.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300400077113001,Dhaurang M,30.06666667,77.19166667,,,,,,,,,12.02,,,,,,,11.21,,,,,10.76,,12.6,11.81,,,,,,12.4,13.7,13.67,12.86,,14.53,13.62,13.6,14.83,14.39,14.1,11.81,14.71,15.6,14.8,14.41,15.53,15.86,15.04,14.82,15.8,16.81,16.14,16.12,16.7,17.97,16.42,17.71,17.7,,18.35,17.09,18,20.14,17.87,17.41,28.12,,17.6,16.4,17.2,18.04,17.26,16.4,,,18.4,,18.96,,17.15,,17.64,,17.51,,,,,,19.24,,18.9,,19.45,,19.22,,20.16,19.45,14.88,14.78,16.2,15.7,,,,,,,,,,,16.03,,,18.57,,13.38,
301800077291501,Khizrabad,30.3,77.4875,,,,,,,,,16.39,14.68,12.86,11.72,12.46,15.58,11.48,11.08,12.17,13.92,10.72,,10.85,13.77,10.92,11.12,13.43,15.22,11.92,11.52,13.04,14.95,12.15,12.64,13.66,14.86,15.18,12.15,13.64,15.02,15.07,13.94,14.23,15.72,15.65,14.79,15.43,16.29,15.07,13.79,14.62,15.32,15.08,15.75,17.47,16.32,15.62,14.22,16.12,16.67,16.14,14.84,16.67,16.28,14.63,15.31,16.02,8.55,15.02,,12.55,15.21,13.49,12.4,,,,,,16.74,,12.95,,15.84,,14.87,,17.26,,14.7,,18.19,,14.83,,17.02,,12.53,16.7,14.89,13.52,13.78,14.92,16.12,15.37,15.09,17.22,,18.01,18.32,16.61,,18.2,15.3,15.34,18.38,20.22,15.84,15.67,0,13.5,
301145077084501,Mustafabad,30.19583333,77.14583333,,,,,,,,,5.55,6.09,,5.58,4.73,6.44,4.97,4.16,4.92,5.71,,1.81,3.16,5.25,5.05,4.68,5.56,6.6,4.33,4.64,5.37,10.31,5.7,6.25,6.6,7.15,7.25,6.57,6.78,7.41,6.46,5.85,6.17,6.98,6.06,6.08,6.37,7.45,6.35,5.85,7.23,7.8,7.27,7.02,7.89,8.2,,7.57,8.29,9.15,8.57,7.8,7.95,8.52,8.4,7.29,7.72,,7.97,,7.16,7.95,7.08,6.75,,,,,7.38,9.1,7.3,7.13,7.95,8.65,8.55,8.45,7.57,,,7.55,,7.75,7.3,6.93,8.5,,7.65,,,7.45,6.48,6.07,6.04,,6.39,5.65,,,4.55,10.7,6.07,,,5.57,5.78,7.7,5.27,4.18,5.93,,,
300410077165101,Naggal M,30.06944444,77.28083333,,,,,,,,,14.25,,,,,,,,14.53,,1.98,1.6,2.04,,3.45,2.9,3.73,,2.9,,,4.6,4.27,4.2,4.33,4.1,3.4,3.72,3.77,4.6,4.4,4.3,4.19,4.59,4.97,4.46,4.41,4.98,4.54,4.29,4.35,5.1,5.24,5.24,5.14,5.6,5.95,5.84,5.95,6.33,5.75,5.7,5.45,6.25,6.2,5.88,5.82,6.7,6.25,5.55,4.8,5.56,4.95,4.69,,,,3.5,,6.58,,5.67,,4.24,,5.68,,6.24,,5.98,,6.73,,5.53,,6.93,,6.4,6.3,7.3,5.6,5.74,3.73,6.8,5.13,5.1,5.93,,6.15,5.2,4.98,,7.74,6.08,5.88,6.98,7.68,6.25,6.2,7.8,5.34,
300130077090001,Radaur S,30.025,77.15,,,,,,,,,10.07,9.89,9.78,9.22,9.9,,10.43,9.39,9.04,,8.78,7.95,8.08,,9.6,9.51,9.56,,9.83,,,,10,10.06,10.03,10.66,,10.68,,,,,,12,12.31,12.02,12.01,,,,,,,,,,,,,16.08,,14.68,14.63,,,,,,16.31,14.46,13.79,14.3,14.95,14.38,,,,13.96,,15.23,,13.88,,14.1,,,,14.48,,14.68,,16.09,,15.68,,16.28,,15.18,15.18,17.11,15.88,15.63,14.68,,15.68,15.13,15.28,,15.64,,14.98,,,15.47,14.02,15.97,16.76,14.86,14.46,16.27,13.46,
