station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
302945077130001,Kala-Amb,30.49583333,77.21666667,,,,,,,,,,,,11.34,11.6,,8.8,10.74,11.74,12.36,8.09,,11.68,12.41,6.94,9.98,11.63,10,,11.78,,12.36,6.38,10.61,11.96,12.08,10.26,9.86,11.91,12.61,10.41,7.9,10.12,11.96,3.66,11.66,10.45,12.17,8.98,11.25,12.6,13,7.91,10.69,12.8,12.01,8.54,17,14.18,13.49,8.86,11.95,12.46,13.96,12.04,12.74,12.46,14.37,9.47,12.56,13.24,13.06,9.41,12.52,13.44,13.24,13.28,13.44,13.84,13.46,12.38,13.09,12.56,14.12,11.89,,13.24,13.8,10.7,12.35,,16.75,13.3,15.2,15.6,16.72,11.48,12.74,13.05,14.08,10.68,12.99,13.57,14.81,10.67,12.69,13.32,,13.15,13.24,13.97,,13.24,,17,,13.06,13.6,14.01,13.77,12.38,
303130077191501,Shambuwala,30.525,77.32083333,,,,,,,,,,,,2.46,9.25,,7.54,7.54,7.98,10.9,5.85,,8.37,10.43,5.54,7.95,8.92,7.69,,8.76,,9.96,5.99,8.52,5.9,9.85,5.99,8.52,9.11,10.83,6.24,7.81,8.38,9.28,5.17,7.6,,9.79,5.08,7.45,8.61,9.35,6.28,8.26,10.8,9.75,6.5,13,11.64,10.12,6.49,8.36,8.83,,8.26,9.27,8.69,11.66,4.74,7.22,8.47,10.17,4.89,8.44,8.54,10.53,7.64,7.74,8.86,10.36,4.62,7.82,10.29,8.66,7.59,,8.53,10.2,5.1,7.45,,10.57,7.8,6.7,8.9,11.86,8.44,9.93,10.27,11.56,6.12,8.59,9,10.23,6.61,9.74,9.59,,7.32,,10.58,,9.09,10.14,10.34,11.65,8.55,10.23,8.7,11.56,5.17,
303230077123001,Trilokpur,30.54166667,77.20833333,,,,,,,,,,,,2.62,2.76,,1.95,4.37,2.97,3.05,1.28,,2.74,3.51,1.72,3.35,3.14,3.69,,2.94,,5.4,2.62,3.34,3.68,3.1,3.21,6.56,2.53,3.06,1.98,2.66,7.34,2.31,1.64,2,1.78,2.22,1.29,1.32,2.27,9.56,0.86,1.24,2.57,1.86,0.35,16.5,2.22,2.73,0.79,1.43,1.98,2.34,1.92,2.12,1.93,2.64,1.34,1.24,1.6,2.45,,1.29,2,4.85,2.13,2.16,1.9,2.03,0.54,0.93,1.13,2.02,1.36,,1.88,1.8,0.82,1.69,,2.33,1.35,2,2.25,2.36,1.08,1.11,1.84,2.23,1.01,1.32,1.42,2.11,1.16,1.59,1.39,,1.43,1.61,1.79,,1.73,1.45,1.8,2.18,1.53,1.79,1.56,2.11,0.86,
302814077351501,Ajiwala,30.47055556,77.5875,,,,,,,,,,,,,5.63,,,5.47,4.12,5.86,9.9,,5.52,6.11,3.98,4.98,5.36,4.87,,5.41,,6.35,3.5,4.98,5.45,5.87,4.66,5,5.89,6.31,3.94,4.79,5.36,5.61,2.26,3.02,5.16,5.62,4.92,4.43,5.76,5.69,3.13,4.39,5.05,5.55,3.82,8.65,5.12,6.08,3.36,4.7,5.13,6.07,4.79,4.75,5.22,6.92,2.65,4.03,4.25,6.12,6.12,6.12,6.12,6.22,4.29,4.41,5.2,5.47,2.92,4.54,4.55,5.66,3.94,,5.28,5.52,2.9,5.04,,6.42,3.41,4.69,,8.64,,4.98,5.78,6.44,3.28,4.48,5.55,6.02,3.32,4.74,5.34,,1.17,5.22,5.96,,3.43,4.65,8.59,6.22,3.8,4.93,5.7,6.37,3.24,
302625077372501,Badripur,30.44027778,77.62361111,,,,,,,,,,,,,8.48,,4.75,7.91,10.5,11.02,5.29,,10.56,11.18,4.94,7.28,8.42,12.17,,10.3,,12.15,5.58,9.02,10.27,12.02,10.72,9.18,11.45,13.3,9.89,8.31,10.32,11.63,5.81,9.76,10.54,12.7,3.48,9.38,11.5,13.5,7.41,9.07,11.87,13.5,10.59,13.5,,13.04,6.66,9.8,11.78,17.47,13.58,15.78,12.83,22.91,2.56,6.2,9.58,12.6,4.4,8.41,15.8,12.78,6.2,8.2,10.3,17.93,,7.81,10.55,12.82,10.24,,12.52,6.94,6.94,7.74,,,9.3,19.08,11.5,,9.61,10.49,11.76,15.63,7.63,10.01,11.31,13.04,7.65,9.81,11.98,,8.95,,12.76,,8.87,9.66,11.7,8.4,9.97,11.1,12.39,0,4.77,
302915077435001,Khodawala,30.4875,77.73055556,,,,,,,,,,,,,14.3,,10.2,13.8,15.38,15.53,10.23,,14.82,15.69,,14.56,15.02,15.33,,15.14,,15.6,10.03,12.76,14.47,15.75,14.64,15,15.38,15.9,12.89,14.41,15.6,15.64,11.95,13.9,15.72,16.6,14.12,14.48,16.99,15.97,12.35,13.95,15.71,14.31,12.44,20.5,15.76,16.42,12.92,14.38,15.34,15.89,15.39,15.16,16.47,16.07,13.08,9.98,10.18,15.89,10.01,10.06,14.03,16.68,9.98,14.43,14.25,16.2,8.09,8.33,8.98,15.47,12.91,,15.97,14.8,11.55,15.3,,15.05,11.47,15.37,15.12,14.23,12.92,12.06,14.18,16.37,8.28,14.11,15.36,15.86,11.31,14.55,15.59,,,15.04,15.69,,2.22,13.15,2.34,14.37,11.06,13.6,14.28,0,9.7,
302830077330001,Kiyarda,30.475,77.55,,,,,,,,,,,,,7.28,,2.72,5.16,4.98,10.19,2.93,,10.19,11.1,3.02,4.7,18.28,8.39,,7.3,,11.5,2.82,6.84,10.05,11.2,6.8,5.3,9.75,10.6,4.09,4.83,8.95,9.24,2.07,2.53,9.62,10.03,3.09,4.91,8.9,9.8,2.44,5.19,8.74,11.06,2.87,14.55,5.86,10.23,2.36,5.75,8.19,10.51,5,4.68,8.38,9.41,1.63,4.2,9.42,10.06,1.82,4.39,7.6,11.07,4.76,4.48,8.72,9.47,2.22,5.86,8.33,10.71,2.74,,9.26,11.22,2.47,5.71,,11.01,2.7,6.7,9.41,9.76,2.59,6.62,8.86,9.81,2.81,5.43,9.21,10.47,2.83,5.6,9.3,,2.78,7.17,9.72,,3.06,5.32,8.96,10.25,3.78,5.16,8.94,10.88,2.36,
303025077251901,Kolar,30.50694444,77.42194444,,,,,,,,,,,,,23.99,,17.4,,24.58,27.68,,,24.76,30.13,,21.72,23.92,26.41,,23.95,,28.45,12.77,23.08,23.5,27.95,25.24,24.7,25.08,29.82,19.2,21.37,23.99,28.54,19.81,23.85,27.62,29.95,21.14,21.82,25.17,29.95,17.14,19.6,24.39,28.03,,29.95,21.34,29.95,14.15,21.27,23.7,29.39,29.39,24.39,24.58,,14.2,20.83,24.11,29.95,,21.88,23.92,29.95,,22.66,11.32,11.97,1.23,10.54,12.71,12.81,8.03,,11.48,12.52,1.55,10.99,,13.03,3.93,10.47,10.95,12.04,3.87,10.71,11.57,13.57,2.61,6.2,11.58,13.21,2.31,8.38,11.04,,2.93,9.57,12.41,,2.81,8.77,11.55,12,3.02,10.4,12.34,12.09,0.72,
302915077311501,Nayagaon,30.4875,77.52083333,,,,,,,,,,,,,10.33,,4.28,8.47,12.2,10.97,4.69,,11.59,11.29,6.33,8.6,10.64,10.13,,12.3,,14.75,6.6,10.03,8.67,14.65,11,4.2,12.97,14.95,9.63,10.73,13.36,13.75,7.36,7.69,13.59,14.83,8.47,12.73,14.63,11.97,8.77,12.43,14.58,13.95,5.94,20,11.19,10.49,5.49,9.44,12.01,13.46,6.95,10.66,12.84,12,2.36,7.46,12,13.61,2.59,7.43,10,10.7,7.89,8.19,11.29,10.84,1.23,6.34,10.03,10.35,4.57,,11.99,13.04,4.02,11.41,,,4.95,11.6,11.94,12.79,4.72,9.66,11.24,13.01,5.74,8.93,11.7,13.26,4.6,9.22,11.67,,4.12,9.69,12.42,,6.6,9.75,12.47,,6.31,9.85,11.9,14.37,3.06,
302830077401501,Shibpur,30.475,77.67083333,,,,,,,,,,,,,28.08,,17.05,24.7,28.49,28.64,18.23,,28.09,28.56,26.87,26.79,27.69,27.45,,28.77,,28.25,17.91,21.32,28.1,28.8,27.34,28.02,28.36,28.9,23.56,26.24,28.07,30.5,25.84,26.44,28.96,14.04,11.74,25.92,29.75,28.54,22.63,27.8,28.82,28.74,22.68,30.5,28.63,28.67,22.56,27.11,27.8,28.82,21.02,27.82,28,28.8,17.87,18.42,18.75,28.96,18.41,18.75,28.5,28.02,18.42,21.87,25.02,27.7,,26.58,25.76,19.21,25.56,,11.99,28.35,20.55,27.98,,28.23,20.52,26.33,27.9,28.59,18.68,26.78,27.64,28.56,18.02,24.71,27.52,28.52,19.93,25.66,27.53,,19.14,26.74,27.53,,17.6,9.68,27.27,27.65,24.49,26.75,27.61,27.93,17.18,
