station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
330830074180001,Bagnoti,33.14166667,74.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,6.05,1.62,4.05,4.49,8.27,2.45,3.62,3.3,5.56,3.02,4.1,4.08,2.85,2.72,3.84,5.06,7.68,3.04,4.14,4.33,8.35,2.38,3.19,4,4.71,2.99,3.6,4.2,3.37,,3.91,3.88,4.8,2.35,3.3,4,4.59,3.12,4.45,,0.91,3.4,8.85,,6.21,4.31,4.35,6.1,6.36,4.3,5.1,5.09,9,,,6.12,7.4,7.18,4.99,5.3,,5.3,5.13,3.67,,3.9,4.1,4.85,,,2.3,,,,
330200074273001,Banpari,33.03333333,74.45833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,2.56,0.51,2.36,1.34,2.28,0.4,1.07,1.05,2.6,2,2.57,2.06,2.54,0.77,1.51,2.14,3.51,0.92,3.42,3.6,,0.23,0.88,0.98,2.62,0.57,1.3,1.77,3.42,,1.49,0.6,3.23,0.76,1.3,1.8,3.33,1.8,2.25,2.71,1.93,1.85,1.48,,4.12,1,0.8,3.05,2.04,1.64,3.44,3.03,7.6,,,5,3.87,3.1,2.4,1.01,,1.22,,,,1.3,1.7,1.52,4.2,0.6,0.6,,,,
330614074114001,Bareri,33.10388889,74.19444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,2.05,2.4,3.27,3.26,3.61,1.67,1.11,1.03,2.32,1.35,2.05,2.76,3.47,1.04,1.75,2.37,3.9,4.68,4.89,5.37,6.6,1.05,1.77,1.58,2.2,1.43,2.16,3.02,4.92,,2.08,2.72,3.09,0.89,2.14,4.7,2.56,1.46,2.63,4.43,1.26,1.9,2.44,,6.6,,,4.31,4.3,2.1,4,,6.6,,,6.5,3.3,3.3,,1.44,,2.89,4.25,1.12,,3.46,1.9,3.5,3.9,1.5,2.3,,,,
331210074120501,Bhatta Morh,33.20277778,74.20138889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,1.94,1.32,1.99,1.96,1.91,0.82,1.47,1.78,2.05,0.95,1.9,2.51,2.05,1.08,1.75,,2.69,1.07,2.65,3.42,3.79,0.66,1.3,1.83,1.91,1.05,1.28,2.2,2.95,,1.5,1.53,1.96,1.3,1.44,1.77,1.6,1.74,1.56,1.9,1.98,1.36,,,1.8,1.3,1.75,2.05,2.5,0.15,2.2,1.82,3.2,,,2.82,2,2.46,0.7,0.58,,1.15,,1.51,,1.35,1.8,2.45,4,0.6,1.05,,,,
330525074274001,Channi Parat,33.09027778,74.46111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08,5,1.85,8.15,9.6,9.48,0.1,3.52,6.02,6.1,6.31,7.15,10.01,10.1,0.11,4.79,6.1,6.8,9.2,,,10.6,0.12,2.72,6.93,5.9,0.28,4.47,7.9,11.54,,5.17,5.06,6.46,0.23,2.96,7.35,6.1,9.22,4.87,7.95,4.07,3.33,,,8.5,3.2,5.95,6.65,5.99,2.05,3.03,6.2,7.4,,,5.4,3.81,3.47,2.15,2.2,,2.41,3.08,0.31,,1.16,0.5,2.8,4.16,1.81,,,,,
331720074165001,Chittiar,33.28888889,74.28055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,1.88,1.58,2.25,2.6,1.25,0.54,1.83,1.58,2.12,1.69,2.62,3.64,3,0.98,2.16,2.17,2.9,1.35,3.64,3.4,3.79,0.34,1.8,2.13,1.97,0.93,2.02,4.05,3.84,,2.8,1.33,2.3,0.63,0.77,3.1,2.08,1.57,1.47,3.14,1.61,1.48,0.7,,1.77,1.72,0.3,3.9,2.56,,2.5,2.72,4.9,,,,1.95,2.68,2.1,,,,,,,1.17,1,1.55,3.5,0.96,,,,,
331020074113001,Chowki Handa,33.17222222,74.19166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,2.48,2.9,5.7,5.7,5.7,1.07,1.69,0.94,1.25,1.06,2,2.24,3.7,0.4,1.87,2.2,3.79,2.3,5.6,,,0.29,1.53,2.13,2,2.74,1.73,2.36,4.11,,2.25,3.45,2.3,0.54,1.45,2.2,2.03,2.22,1.37,2,2.55,1.12,1.52,,2.73,1.17,3.12,3.48,2.99,,2.43,3.85,5.7,,,4.84,3.87,3.8,2.2,2.05,,1.1,3.15,1.22,,2.03,2.3,4.25,3.3,1.04,3,,,,
331310074090001,Darhal Quilla,33.21944444,74.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.74,3.47,3.38,5.29,7.69,7.89,1.97,2.4,2.5,2.4,2.26,3.44,4.53,6.7,2.21,3.54,4.71,7.95,4.08,,8,,1.98,2.15,2.63,3.11,2,2.14,2.88,6.7,,3.28,3.16,4,2.06,2.35,3.2,2.7,3.04,2.48,5.85,2.07,2.15,2.48,,4.07,2.42,3.46,5.02,4.8,1.97,2.65,4.15,8,,,5.18,3.2,3.73,2.48,2.5,,2,,2.33,,2.09,3.5,4.7,5.15,2.25,3.25,,,,
330805074245001,Dharamsal,33.13472222,74.41388889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.72,3.1,3.1,2.97,18.4,3.73,,4.88,5.73,4.9,2.6,5.22,4.09,7.88,4.84,4.69,2.71,8.05,1.6,4.52,18.4,8.17,0.16,2.1,3.63,4.07,0.51,2.48,3.93,4.51,,2.33,2.35,3.54,0.25,2.79,3.8,3.47,1.63,2.25,3.83,2.3,0.84,3.27,,4.01,0.43,4.15,3.12,6.6,1.04,3.36,3.68,5.9,,,5.7,5.92,3,1.8,1.02,,,3.75,2.6,,1.55,2,3.5,3.8,,,,,,
330155074250001,Dhok Baniar,33.03194444,74.41666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.47,2.35,2.35,2.52,3,5.45,1.88,2.29,2.4,2.45,1.4,2.5,3.16,4.86,1.82,2.11,2.85,2.8,2.87,3.61,4.16,,0.7,2.05,2.17,2.51,2.02,3.54,3.12,5.75,,2.5,1.76,2.53,1.34,1.5,2.32,2.53,3.06,2.88,,2.38,0.27,,,4.72,2.1,3.2,3.7,3.38,,3.4,3.4,7.1,,,4.5,3.98,2.44,2.6,2,,2.6,2.64,2.45,,2.1,1.3,1.18,4.1,1.98,2.33,,,,
