station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
233800086010001,Chas,23.63333333,86.01666667,,,,,,,,,10.7,5.93,6.12,7.3,9.8,4.85,4.77,6,6.95,9.92,4.5,5.6,6.95,,9.39,5.32,11.2,,4.6,10.25,,,10.43,10.9,3.1,11,7.6,,,10.57,6.05,6.7,,10.6,7.3,4.4,9,11.3,8.3,8.8,,,,7.04,8.6,11.25,4.15,,8.95,12.63,5.55,8.04,9.33,11.75,7.06,6.33,9.35,12.65,11.39,11.84,11.45,12.65,5.55,8.8,9.5,12.65,,8,,12.65,10.97,7.23,10.02,12.65,9.45,10.5,,11.6,11.38,12.65,,12.65,9.98,11.41,12.4,12.63,10.2,10.82,12.32,11.1,9.25,,,12.65,12.65,9.59,,,8.5,7.78,,,5.63,6.02,,11.9,10.8,8.38,9.87,0,,
234245086051501,Jaina More,23.7125,86.0875,,,,,,,,,6.8,8.62,4.42,5.74,6.54,8,4.17,5.38,6.56,8.26,4.28,2.77,6.56,9.15,4.62,,6.43,8.68,6.92,7.55,8.78,10.13,5.14,5.62,6.92,9.02,5.71,4.87,7.81,7.12,5.12,5.28,,9.2,6.1,5.85,,9.4,6.65,7.1,9.06,,,5.31,,9.7,4.8,5.6,7.53,9.65,4.94,6.37,7.28,10.43,8.38,7.43,8.32,10.07,10.2,9.68,9.63,12,4.8,,,10.11,,6.82,8.36,10.05,7.72,4.95,6.67,9.98,4.95,6.08,7.75,10.25,7.21,8.7,,11.1,6.35,7.91,4.13,11,5.4,6.84,9,11,9.95,,,11.1,9.92,7.53,8.51,,8.4,6.95,8.65,,5.91,4.88,7.42,9.35,10.8,6.87,6.24,0,,
235100086020001,Nawadih,23.85,86.03333333,,,,,,,,,4.75,7.46,3.87,,4.62,6.92,3.23,3.8,4.95,6.9,3.15,,,7.23,2.62,2.48,,7.35,2.47,4.54,4.03,8.01,2.65,4.35,5.7,,5.87,6.2,5.55,7.55,2.98,4.43,,,,,,,,,6.15,,,4.02,,,,,,7.65,2.42,4.97,5.17,3.18,,2.7,,,,,,,,,,,,3.99,6.07,6.75,4.87,2.68,3.1,7.3,2.55,3.17,6.25,8.31,3.47,6.26,,9.91,4.45,4.6,6.22,9.61,3.9,5.75,8.51,8.65,3.37,,,8.56,4.59,4.44,5.68,,3.1,4.11,7.14,,3.24,4.6,6.45,8.05,4,5.45,6.33,10.52,,
234050085503001,Petarbar,23.68055556,85.84166667,,,,,,,,,6.53,8.23,4.3,5.53,6.56,8.17,3.99,5.19,6.38,8.47,4.15,2.38,6.48,8.97,,2.88,6.79,8.87,6.15,6.61,7.97,9.5,3.9,6.15,7.45,9.4,7.66,6.7,8.3,9.83,7.63,5.4,,9.3,5.7,6.98,8.15,10.1,8,8.1,9.66,,,5.53,,9,5,5.95,7.4,9.45,4.22,6.49,7.55,9.85,6.81,5.56,6.97,9.23,7.62,8.23,8.38,10.4,3.9,3.9,6.3,8.65,,6,,8.72,5.89,4.21,6.1,9,5.1,5.88,5.1,9.37,5.28,7.14,,10,4.95,6.98,7.73,10.39,4.05,5.44,7.21,9.6,5.73,,,10.17,7.98,5.67,7.74,,6,5.15,7.68,,,,,,5.4,5.05,6.18,9.12,,
234300086075501,Phusro/Bermo,23.71666667,86.13194444,,,,,,,,,4.83,7.51,1.95,,5.51,,1.4,3.96,5.08,,4.05,,5.23,9.77,1.51,,,,,,9.12,9.18,5.25,,8.26,,4,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,,,,,,3.2,,6,,10.12,0.74,4.04,4.48,3.45,0.6,1.4,2.54,1.24,1.24,2.01,,4.65,0.85,1.25,,10,1.05,1.3,1.72,3.66,1.49,,,10.13,,,,,2.1,,,,,,,,0.64,1.48,2.96,5.24,,
234500085580001,Tenughat,23.75,85.96666667,,,,,,,,,4.64,6.67,2.4,4.22,4.62,6.1,2.75,4.13,4.78,6.26,2.68,3.51,4.86,5.45,,1.84,2.99,5.27,2.53,3.91,4.75,6.07,2.03,2.65,3.8,5.15,4.7,4.1,5.82,5.79,3.75,,,5.2,2.7,3.04,,6.1,4,4.1,,,,2.14,,,1.55,2.8,3.8,5.74,1.66,2.54,3.36,5.25,2.78,2.39,3.06,5.34,3.11,6.31,3.79,6.5,1,2,2.4,5.36,,3.09,3.93,4.85,2.2,1.46,3.06,5.4,1.65,2.79,4.05,6.13,2.89,4.27,,6.95,2.68,3.51,,6.35,1.26,2.73,4.02,6.32,1.3,,,7.7,3,2.7,3.63,,5.1,2.17,2.98,,1.51,2.06,3.31,4.94,4.55,2.53,3.2,5.75,,
234700085500001,Gomia,23.78333333,85.83333333,,,,,,,,,,5.58,1.28,2.38,3.72,5.39,1.16,1.87,3.45,5.59,1.25,4.07,3.61,9.25,,4.27,3.78,9.02,1.33,2.43,3.96,8.46,0.56,2.18,3.43,6.4,2.25,,7.68,6.18,0.71,,,6.8,2.24,2.3,3.1,6,5.05,4.8,6.06,,,2.27,,,2,3.75,4,10.41,1.3,2.9,4.4,11.3,1.75,1.46,2.05,11.34,,7.27,7.92,10.6,3.06,3.8,4.1,8.19,,3.11,,11.54,4,3.84,5.06,7.1,0.9,3.23,3.93,4.6,2.17,3.55,,4.81,0.95,2.72,,8,1.4,1.64,3.05,3.61,0.9,,,4.17,1.04,1.27,2.31,,1.2,2.17,3.17,,0.94,1.74,3.75,6.2,,1.78,2.93,5.75,,
234501086080101,Chandrapura,23.75027778,86.13361111,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,,6.26,8.4,1.43,,,,,,5.98,,1.8,1.44,,1.7,1.7,,,9.5,5.5,5.8,2.26,,,,,,,,,9.5,1.5,2.21,2.75,8.64,,1.81,2.12,2.39,1.12,2.44,1.76,,3.1,3.6,4.3,4.15,,1.7,,2.25,5.89,1.37,1.75,3,1.4,1.95,2.5,2.75,2.26,3.13,,4.41,0.98,2.35,2.6,3,1.15,1.6,2.31,3.1,1.4,,,2.89,1,0.92,3.21,,2.2,1.73,2.61,,0.98,1.74,2.35,2.5,1.65,1.85,2.4,3.56,,
233430086212501,Chandankiyari,23.575,86.35694444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.95,3.02,1.95,2.15,8.48,2.62,,,,,,,9.31,,,,5.1,4.96,1.05,2.35,6.8,1.1,2.5,4.75,8.4,2.54,5.45,,9.5,1.05,3.31,5.1,8.46,1.4,2.22,4.95,7.1,2.2,,,6.65,1.21,1.7,,,1.55,2.01,5.25,,1.99,1.49,2.85,5.7,1.8,2.44,4.04,7.66,,
233255086103001,Pindarjora new,23.54861111,86.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,2.52,,2.35,3.3,5.77,8.9,2.49,5.73,,,1.1,3.35,4.14,,0.8,3.39,6.01,8.92,,,,8.63,1.96,2.35,3.7,,0.35,2.22,,,,,4.15,,1.3,,3.5,,,
