station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
234930086314001,Govindpur,23.825,86.52777778,,,,,,,,,5.5,6.06,1.05,2.17,5.45,6.46,0.87,3.43,5.35,,,,,,,,,,2.2,2.5,3.15,,1.04,1.9,2.9,2.28,1.15,1.46,4.85,3.6,1.56,2.28,2.22,2.7,1.3,2.15,2.56,3.1,4.1,2.8,2,2.86,0.71,1.85,3.07,3.8,2.05,2.9,2.35,2.41,1.93,2.21,2.1,2.95,1.87,2.12,2.31,2.91,2.2,3.14,2.38,3.14,2.1,2.3,2.6,3.46,,2.24,2.98,2.12,2.2,2.1,2.2,7.3,2.16,2.49,,4.1,4.1,2.7,,3.5,,,,,,2.37,,9,,,,3.37,2.05,2.35,3.24,,,2.35,3.1,,2.03,,5.1,,2.9,2.53,3.75,5.7,,
234430086260001,Jharia,23.74166667,86.43333333,,,,,,,,,4.54,5.42,1.42,3.02,4.08,5.22,1.55,1.35,3.78,5.42,1.24,4.49,,4.74,1.17,4.53,3.55,3.35,4.6,4.5,1.44,1.77,0.38,3.4,1.6,3.57,1,1.05,3.2,2.95,1,1,0.4,2.1,1,1.8,2.17,,1.1,1.05,0.92,,0.84,1.37,,1.7,1.45,1.5,0.91,2.74,1.35,1.4,1.7,1.69,1.16,1.08,1.22,1.71,1.05,1.98,1.66,1.61,0.7,2.1,,1.29,,0.68,1.46,,,,,,,,,1.76,1.76,,,2.51,0.95,,,1.9,1.05,1.78,2.83,2.19,0.22,,,3.64,1.3,1.51,1.9,,,2.05,1.82,,1.2,,,1.7,,0.26,1.55,1.58,,
235225086201501,Rajganj,23.87361111,86.3375,,,,,,,,,4.64,6.7,2.27,4.11,4.49,5.99,2.41,3.65,4.65,6.03,2.3,3.71,4.45,6.65,3.01,3.6,4.32,6.37,2.75,3.91,5.19,6.65,2.85,3.55,5.65,7.2,2.7,3.09,5.62,6.85,3.05,3.24,3.74,5.3,3.4,3.9,4.3,6.55,3.35,2.9,5.73,7.48,3.02,3.78,,7,2.9,4.15,4.95,6.73,3.68,4.04,5.1,6.47,4.67,3.78,4.88,7.36,4.01,4.54,6.15,7.14,2.5,3.4,4.1,6.92,,,4.78,5.5,3.44,2.89,3.85,6.8,2.74,3.4,3.08,7.58,3.56,5.08,,8.1,2.71,4.7,5.05,7.7,3.1,3.26,4.7,6.81,2.65,,,7.38,4.97,2.83,4.07,,,2.67,4.48,,2.38,,4.45,4.85,4.3,3.2,4.41,6.38,,
235400086120001,Topchanchi,23.9,86.2,,,,,,,,,4.98,7.37,3.1,4.03,4.82,6.56,3.25,3.53,4.96,6.42,3.02,3.91,5.12,7.71,2.89,3.58,4.48,7.12,3.27,4.65,5.99,,2.8,3.8,5,7.6,6.02,4.45,7.2,8.3,3.52,3.82,4.2,7.6,4.15,4.5,5,7.5,4.8,4.1,6.9,8.86,2.87,3.6,,7.1,3.1,3.75,4.8,7.62,2.1,4.04,5.06,7.79,4.86,3.91,4.95,9.45,6.04,6.08,6.45,8.97,1.9,3.9,4.4,7.71,,4.25,5.53,7.6,4.4,3.33,4.53,7.45,3.11,4.44,5.36,8.78,3.46,5.1,,9.1,1.89,4.28,4.91,7.8,1.98,3.6,5.36,8.11,3.71,,,8.07,5.17,2.99,4.47,,,2.72,4.35,,,,6.1,5.4,5.3,4.45,5.3,6.1,,
235900086260001,Tundi,23.98333333,86.43333333,,,,,,,,,5.82,1.93,3.36,4.22,5.39,1.75,2.37,3.97,5.55,1.17,,4.06,,5.5,0.95,2.68,2.7,5.3,1.04,2.95,4.07,,,2.4,,,3.85,2.85,4.62,6,2.97,2.42,3.07,,2.6,,,,3.7,3,4.28,6.57,1.11,1.82,,6.1,1.95,3.1,3.65,6.16,2.1,1.88,4.21,6.64,4.32,2.5,3.5,6.46,4.26,4.94,3.91,6.49,1,2.5,3.1,,,3.6,4.96,6.7,3.31,1.58,2.88,,2.61,2.8,3.62,6.5,3,4.6,,6.5,2.39,3.52,4.21,6.78,,2.89,4.32,6.1,4.47,,,8.34,2.73,1.78,3.4,,,1.45,3.47,,1.12,,5.4,5.1,4.65,3.4,4.93,0,,
234710086274001,Nirsa p.s.,23.78611111,86.46111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3.2,4.7,2.25,2.95,,6.53,1.57,2.2,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,3.5,,1.62,,3.4,0.76,,,2.2,1.13,1.77,,,,,2,,,,,,,,1.56,,,
234435086260201,Bagha_Jharia,23.74305556,86.43388889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1,1.74,0.96,1.05,0.79,1.2,,2.7,2.75,,,,1.95,,,,,,,,,,,,,,,,,,,,2.15,,8.25,,,,,
234758086281202,Baghmaranew,23.79944444,86.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27,10.32,13.6,10.19,10.03,10.72,,10.47,12.25,14.2,,,5.2,11.37,10.45,,9.66,10.73,11.1,,,,14.4,10.86,8.02,9.52,,,6.65,,,,,6.88,,,,,,,
234737086283101,Dhaiya Ism,23.79361111,86.47527778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,,2.9,3.08,4.7,2.16,,,,,,,,,,,,,,,,3.3,3.57,4.36,5.47,,
234758086281201,Dhanbad New,23.79944444,86.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,2.1,2.36,4.1,0.78,,,6.62,2.17,1.54,3.16,,,1.74,2.89,,2.28,,,,,,,,,
