station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
241600087150001,Dumka(db ib),24.26666667,87.25,,,,,,,,,3.38,4.97,3.12,3.57,1.55,8.02,3.29,4.23,4.04,6.41,3.36,3.08,3.98,6.56,0.99,2.15,3.18,5.38,4.1,2.72,3.7,5.08,7.29,4.02,4.37,7.28,3.88,3.98,4.71,6.91,5.82,4.6,4.4,11.23,,,,6.26,,2.46,5.58,9.65,5.65,2.82,4.35,7.35,3.71,6.75,4.68,8.6,4,5.05,,8.19,6,6.75,8.25,12.45,5.55,7.19,8.35,8.85,5.01,4.95,,8.1,,,,4.76,3.9,3.37,4.4,7.06,3.5,4.7,5.15,6.95,1.83,2.1,,4.62,2.41,3.07,,4.02,2.9,3.15,,4.03,3.69,,4.3,5.2,4.15,3.05,3.95,,,2.7,4,,2.3,3.05,3.45,5.95,3.55,4.02,4.87,6.12,,
243600087041501,Hansdiha pwdib,24.6,87.07083333,,,,,,,,,5.63,7.41,3.3,5.54,6.35,8.17,3.52,5.26,5.06,6.59,3.16,6.1,6.4,6.62,1.33,3.87,,5.3,4.25,4.96,6.14,6.6,5.8,5.26,5.61,7.05,1.6,6,6.74,7.67,4.25,4,4.57,7.14,2.85,,,7.67,,3.98,,6.67,1.85,3.68,,4.8,2.2,5,5.79,,3.72,5.15,,7.56,5.8,4.25,5.85,7.7,6.9,6.65,7.25,8,3.45,3.76,5.55,8.8,,,,8.11,6.94,4.16,6.27,7.28,3.95,4.64,,8.2,2.8,4.91,,8.73,3.64,5.36,,7.24,2.2,5.89,,7.67,6.17,,7.7,,4.7,2,7.15,,,4.3,7.2,,,,,8.3,5.12,,7.55,,,
242050087091001,Jama1,24.34722222,87.15277778,,,,,,,,,5.73,7.36,3.79,,5.55,8.24,3.71,4.19,5.72,8.61,3.52,4.57,5.5,,1.31,4.28,5.91,6.78,4.45,4.51,6.1,8.1,4.72,5.9,6.13,8.3,6,3.6,6.6,8.35,5.7,4.6,5.97,8.6,5.9,4.7,,8.4,6.1,5.3,7.15,8.72,4.35,3.95,4.05,5.65,3.98,5.3,6.3,9.05,4.22,5.3,,8.44,8.55,6.45,7.55,9.9,9.2,9.5,10.1,5.45,5.81,5.12,6.96,9.85,,,,8.72,8.47,4.28,6.67,8.97,3.93,5.73,6.65,9.01,2.95,6.61,,9.43,3.8,5.53,,8.57,3.45,5.51,5.75,8.56,8.03,,9.65,11,7.9,5.05,9.4,,,3.9,6.92,,4.78,5.65,6.4,9.6,9.3,8.28,9.49,0,,
235730086475501,Jamatara,23.95833333,86.79861111,,,,,,,,,6.23,7.4,3.55,,,7.62,3.69,4.01,5.13,7.82,3.4,2.52,5.22,,,2.72,4.48,6.7,1.9,3.47,,6.8,2.05,3.4,3.8,7.7,0.62,1.7,5.82,7.12,2.53,3.19,4.56,7.3,3.8,3.6,4.8,7.1,3.4,2.88,4.93,7.4,1.52,2.6,6.03,8,1.2,3.9,4.5,7.95,2.15,3.8,4.39,8.04,5.25,3.55,4.35,8.7,5.8,7.3,8.2,9.34,1.7,2.76,4.95,8.9,,,,8.22,4.33,2.7,5.6,8.74,3.4,6.04,8.13,2.87,2.87,5.62,,8.88,2.82,4.64,,8.09,3.25,4.58,5.3,8.32,4.68,,7.76,8.52,4.06,3.72,6.3,,,3.98,5.65,,2.8,2.65,4.05,8.4,6.4,,,,,
242305087041501,Jarmundi db.ib,24.38472222,87.07083333,,,,,,,,,6.12,7.27,4.05,,6.3,8.33,3.76,3.8,6.05,8.42,3.42,4.81,6.12,8.38,0.84,4.42,6.14,7.66,4.4,5.24,6.65,8,5.9,4.5,6.95,8.9,5.72,3.55,6.43,8.05,5.15,5.46,,,4.8,5.4,,7.6,5.5,5,7.18,8.16,3.54,4.81,4.87,7.8,3.38,5.6,5.74,9.84,3.06,5.5,,7.04,6.52,4.8,5.7,7.9,6.1,6.34,7,8.35,3.69,6.42,7.5,9.7,,,,8.89,7.45,6.12,7.1,7.74,3.9,5.41,6.35,8.13,0.91,6.39,,8.25,2.45,5.05,,6.43,2.21,4.96,5.8,7.93,5.11,,7.24,8.35,7.02,4,6.7,,,4.3,6.4,,3.1,,,7.65,3.85,5.7,6.82,0,,
241600087040001,Kathikund,24.26666667,87.06666667,,,,,,,,,5.13,7.27,3.28,4.85,5.67,7.67,3.32,4.95,5.36,7.54,3.24,5.02,5.45,7.61,0.96,3.79,5.36,4.89,,4.46,6.11,5.59,0.5,3.99,4.91,5.94,1.49,4.39,6.62,6.91,2.18,5,4.37,7.09,,,6.1,7.09,,3.89,5.53,7.01,1.85,2.54,5.29,7.35,3.04,4.59,5.71,7.75,3.95,4.84,6.22,7.01,5.57,5.39,6.49,7.69,5.24,6.61,7.19,8.09,3.72,4.73,6,,,,,7.3,3.79,2.97,5.09,7.06,5.6,6.61,6.94,8.15,3.13,5.61,,7.45,2.6,4.38,,6.45,3.65,4.4,5.18,6.28,4.7,,6.24,7.66,2.25,4.15,5.03,,,4.5,5.39,,4.25,,5.35,7.85,6.01,5.4,6.91,8.46,,
235500087100001,Kundahit,23.91666667,87.16666667,,,,,,,,,5.29,6.99,2.39,,,,2.59,3.25,,,,1.89,2.75,,,,,,,,,,1.57,,,,1.25,,3.12,5.5,1.55,,3.79,,,,,,,1.9,3.13,,0.89,2.41,4.7,5.95,1.25,,3.97,,1.8,3.05,,4.34,2.16,2.62,3.62,6.67,4.72,2.75,4.02,6.22,1.58,2.63,4.3,7.3,,,,6.29,,,4.41,6.33,1.4,3.6,4.85,6.69,2.01,4.21,,7.03,1.39,3.01,,6.72,1.8,4.21,4.36,6.85,2.3,,5.7,6.67,1.52,2.14,3.96,,,2.44,4.66,,0.73,2.29,3.25,,1.3,,,,,
240930087111001,Masalia,24.15833333,87.18611111,,,,,,,,,3.78,5.82,3.72,,5.24,,3.48,4.05,4.19,7.1,3.16,3.44,4.23,7.23,1.84,3.32,4.61,5.15,,4.31,5.27,8.05,4.09,4.6,3.47,7.75,2.55,3.75,,5.95,2.4,4.1,4.35,8.15,,,,7.02,,3.38,4.75,7.56,2.82,2.88,5.37,4.55,2.96,,5.74,,,4.8,,7.85,,3.4,3.95,6.35,3.9,3.93,4.45,5.7,3.05,3.55,4.94,8.35,,,,5.67,3.4,3.09,4.37,7.26,3.55,4.37,4.65,6.07,2.39,4.69,,5.79,2.5,4.18,,6.24,2.45,4.22,4.9,4.88,2.66,,4.79,4.41,3.95,3.05,4.26,,,2.6,4.35,,,3.85,4.15,6.94,3.03,3.8,4.55,6.55,,
240630087191001,Masanjor,24.10833333,87.31944444,,,,,,,,,4.64,5.29,2.06,3.53,4.39,5.93,1.74,3.43,3.85,3.16,1.48,3.51,3.92,3.4,1.57,3.27,4.45,4.51,1.51,3.73,3.63,4.41,1.06,1.87,2.16,4.21,1.71,3.71,5.25,5.73,1.96,2.9,,3.81,,,,4.21,,3.2,1.99,3.8,1.4,3,3.11,3.8,1.3,3.06,4.09,4.65,1.27,3.21,,4.49,1.19,2.25,3.65,4.6,3,3.94,4.15,4.3,1.17,2.96,2.46,4.45,,,,2.48,1.16,3.12,1.29,3.14,0.96,3.58,4.01,4.72,1.84,4.23,,5.03,1.9,2.5,,4.26,3.2,2.58,3.6,3,1.95,,2.24,,1.31,2.41,1.91,,,2.81,1.96,,1.43,2.26,2.41,3.85,2.31,2.91,3.59,3.75,,
240245087091001,Nala,24.04583333,87.15277778,,,,,,,,,3.84,5.81,3.83,,4.29,,3.65,4.12,2.88,4.28,3.08,4.03,4.15,4.31,1.89,,3.61,5.13,,2.91,3.65,5.23,3.33,4.08,4.36,5.61,2.23,3.76,,5.63,2.18,3.3,3.49,,,,,5.73,,2.88,3.91,5.45,1.73,2.51,3.93,5.4,1.66,,5.22,,2.7,2.98,,5.59,2.61,3.68,4.48,6.23,3.88,5.53,6.38,7.29,2.4,3.31,3.68,6.7,,,,7.83,4.42,2.63,4.57,5.5,2.22,4.97,4.45,6.3,2.99,4.42,,6.5,6.59,6.9,,5.88,3,7.1,3.6,9.8,4.07,,6.18,6.1,2.42,2.26,3.42,,,2.43,3.58,,1.44,2.23,2.83,7.1,2.11,,,,,
