station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
250050087164001,Bara borijore,25.01388889,87.27777778,,,,,,,,,4.51,5.24,3.22,,4.18,5.15,3.38,4.21,8.13,,,4.06,4.53,,,5.01,,,,,,,,,,,,,,,,,,,,,,6.63,5.56,,3.86,6,4.81,3.34,,,1.73,,,6.4,2.26,3.95,4.56,5.96,2.09,3,,,,7.84,,7.85,1.58,2.43,5.1,7.1,,,,,,,5.15,5.95,1.65,3.11,3.65,,,2.98,,,5.72,,,7.85,0.65,5.21,3.05,7.85,2.84,,3.46,6.85,4.95,1.9,3.56,,,1.45,4,,,,,,,,5.49,,,
250900087231001,Doi,25.15,87.38611111,,,,,,,,,2.59,3.87,1.13,2.47,2.21,3.65,1.11,2.05,4.63,4.82,0.82,2.13,2.52,4.73,,2.42,4.99,5.47,1.21,1.94,2.53,2.76,1.21,2.45,2.7,3.75,1.55,2.2,3.9,4.25,1.33,2,3.05,4.45,2.85,2.48,4.93,6.3,2.65,,3.7,,5.4,2.5,3.6,,,,3.8,6.1,1.8,2.75,4.45,2.85,1.21,1.65,1.8,,3.12,5.85,4.6,4.55,1.35,2.13,4.2,5.56,,,,5.91,2.23,,2.85,,1.75,2.51,2.95,4.41,1.05,3.31,,4.85,3.45,3.85,,4.34,3.52,3.82,,4.33,1.88,,3.55,4.85,1.9,1.95,3.65,,,1.8,3.75,,2,2.6,2.85,,3.69,4.43,6.64,,,
250300087220001,Lalmatia,25.05,87.36666667,,,,,,,,,10.27,7.73,3.93,6.3,5.91,6.68,3.86,5.85,2.79,7.45,3.16,5.36,6.06,7.31,4.75,5.41,2.82,,3.44,5.34,6.84,6.91,3.66,4.65,5.2,7.3,5.63,5.79,5.33,7.49,5.5,3.1,6.3,7,3.93,5.49,2.23,8.83,8.08,5.88,6.92,7.43,7.73,5.8,7,,4.33,4.53,7,9.3,4.43,5.95,8.83,7.48,5.14,6.05,7,,6.57,8.08,7.67,8.56,4.25,5.59,7.73,11,,,,9.15,8.19,6.93,8.11,9.11,6.23,7.28,7.63,8.95,5.35,6.51,,9.16,7.08,7.38,7.9,8.68,4.8,7.2,6.6,7.62,5.7,,6.33,8.83,6.88,5.18,6.44,,,4.66,6.73,,4.83,5.43,6.23,,7.81,8.01,8.41,,,
245630087172001,Pathargama,24.94166667,87.28888889,,,,,,,,,10.27,7.73,3.93,6.3,2.8,5.42,1.86,2.68,4.01,4.42,1.56,2.35,2.75,4.69,3.46,2.28,4.11,6.1,1.93,2.95,3.94,4.52,2.53,3.5,4.09,4.9,2.9,2.72,3.65,4.95,3.37,3,4.19,4.78,2.35,2.41,,5.8,8.08,2.93,3.55,4.7,4,2.7,4,,1.04,3.1,4,5.65,2.3,2.9,3.8,5,0.78,4.5,5.1,6.35,3.02,3.55,4.83,6.35,1,2.22,4.05,6,,,,6.33,5.1,2.32,4.3,4.7,1.75,3.7,4.1,6.13,1,4.1,,6.3,3.98,4.34,,6.35,3.1,4.41,,6.35,3.11,,,,6.35,,,,,,0.6,,,,,3.85,,,,,,
244015087100001,Poraiyahaat,24.67083333,87.16666667,,,,,,,,,8.93,9.15,9.36,8.87,7.17,9.9,7.52,7.62,8.72,9.83,6.9,7.69,8.15,9.89,,7.7,8.42,6.1,7.27,3,5.14,9.72,5.98,6.69,7.35,,5,7.4,8.3,10.68,7.5,4,7.57,8.72,3.4,,,9.68,8.25,,6.65,8.4,,4,6.5,,3.71,4.3,4.82,9.5,4,4.3,6.3,9.2,11.56,,9.5,10.8,,8.65,9.93,7.22,6.75,6.45,7.6,11,,,,12,,4.73,9.75,8.41,9.1,4.95,9.2,5.4,5.4,4.72,,,,,,,5.26,,,,,,,,8.5,5.85,,,,2.15,4.5,,3.05,3.9,4.7,,6.15,6.2,7.47,,,
244530087220001,Sundar Pahari,24.75833333,87.36666667,,,,,,,,,10.47,11.15,7.02,7.92,7.43,10.36,8.22,8.46,5.93,11.54,7.12,9.05,9.44,11.62,7.4,8.22,5.9,,7.86,4.26,7.08,10.97,9.28,9.44,9.59,11.8,9.14,6.96,9.49,11.2,6.49,2.8,10.04,11.7,5.39,8.39,5.93,12.12,7.99,7.56,6.49,11.64,8.69,,,,,5.14,6.9,11.2,3.64,,,11.69,11.34,,,9.9,,8.69,,7.66,6.51,7.09,8.14,12.8,,,,13.3,13.27,8.98,10.49,12.91,6.94,5.55,9.39,12.35,6.03,8.31,,12.17,10,10.42,,12.29,9.86,10.21,10.3,12.1,11.08,,11.24,13.24,11.54,7.54,11.24,,,3.48,7.69,,5.09,,,10.64,10.62,,11.14,,,
245331087102501,Maheshpur2,24.89194444,87.17361111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.34,4.55,3.42,4.41,4.8,5.7,,,,,,3.75,6.2,2.15,,5,6,0.82,,,,1.98,5.15,6.44,6.45,,,,8.55,,,,9.29,4.7,1.56,4.1,7.4,1.35,4.05,4.05,6.45,6.85,3.8,,7.11,8.36,,,7.48,7.98,9.28,,7,1.98,,3.2,7.15,5.05,,,,,1.05,3.8,,1.35,1.6,2.5,,1.97,2.53,7.47,,,
245012087142001,Godda p.s.,24.83666667,87.23888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,5,2.7,3.45,,,2.5,,,,,,,,,,,,,,,,,,,,,,,5.43,,,,,,,,,,,5.85,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,5.03,,,
250215087192101,Mahagama,25.0375,87.3225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,3.85,5.4,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,7.35,,,,5.45,,,,,,,4.45,,,,,,,4.67,4.41,,,
243747087074601,Chamudih,24.62972222,87.12944444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.37,,,,7.02,7.35,,8.58,7.52,7.29,,7.83,7.12,,7.45,8,7.25,,7.55,,,2.6,5.3,,2.95,,4.8,,6.85,6.55,8.19,,,
