station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
230410084304501,Anjam gram,23.06944444,84.5125,,,,,,,,,2.72,,0.93,3.19,4.35,,,3.14,,,,,8.25,,,0.6,1.6,3.73,0.38,4.49,5.32,5.78,0.25,,,10.27,,2.57,3.17,7.05,,,,,,1.6,2.16,,1.3,,,1.65,,1.75,,,1.45,,,4.72,0.17,2.68,3.52,4.82,2.1,,3.93,5.1,3.57,3.99,4.4,8.12,4.58,3.75,4.42,6.72,,3.15,4.5,4.42,1.3,2.2,,3.6,1.86,2.48,3.03,1.5,1.5,1.3,,2.05,0.54,0.42,0.56,2.8,0.26,0.85,1.62,2.6,,,2.54,2.6,0.55,0.79,0.97,,0.35,1.75,2.1,,1.08,3,5.8,,2.6,2.1,3.11,,,
223938084551901,Bano,22.66055556,84.92194444,,,,,,,,,6.94,,2.01,6.2,6.25,9.1,1.46,3.76,4.87,6.6,2.63,3.6,6.55,7.41,2.35,,6.19,8.51,3.41,5.61,6.85,11.41,2.53,,6.88,,,5.81,7.17,9.85,4.12,4.42,,,,4.87,3.63,8.61,3.5,4.39,5.32,7.32,2.9,4.78,,,3.55,4.1,5.04,9.09,2.97,5.49,7.46,8.74,6.09,6.32,7.42,9.44,7.55,5.29,6.21,8.44,1.86,5.32,6.14,8.27,,5.76,6.85,,4.79,3.8,4.48,6.08,,,5.33,,,5.1,,7.4,3.12,2.66,4.35,7.5,2.8,3.25,5.9,5.4,5.1,,6.7,7.4,4.45,1.78,2.85,,,4.55,5.6,,2.25,3.13,5.05,6.38,3.87,3.92,,,,
231412084531501,Bharno bdo,23.23666667,84.8875,,,,,,,,,4.89,5.49,1.2,2.85,3.1,6.12,0.41,1.75,2.66,4.5,0.89,1.45,5.25,6.5,1.68,2.02,4.03,6.86,1.78,4.2,4.43,8.18,2.76,3.51,5.14,8.8,6.3,3.9,6.3,7.81,3.03,3.78,3.34,5.25,2.02,3.73,4.41,9.27,3.43,3.25,4.38,7.89,2.11,4.82,4.2,6.03,3.46,6.1,3.64,8.42,0.94,2.31,4.15,9,4.74,2.89,5.89,8.17,3.61,2.92,3.6,6.9,1.5,1.97,2.58,8.5,,3.1,4.6,8.88,2.76,3.26,3.72,5.19,2.76,4.02,4.29,2.72,2.72,5.15,,7.64,3.8,3.75,4.68,7.46,,4.35,4.85,7.2,5.3,,6.85,9.27,4.95,1.75,3.35,,2.5,2.95,4.85,,2.3,3.22,4.17,0.07,2.5,2.7,7.8,,,
224200084231101,Bishnupur,22.7,84.38638889,,,,,,,,,5.92,7.1,1.31,5.87,6.1,7.82,2.86,4.67,5.24,6.87,2.78,3.75,5.5,7.52,2.52,4.44,5.35,7.77,3.71,5.04,6.78,8.22,5.85,,,8.91,8.26,7.37,8.09,8.55,4.25,,,,,5.14,5.71,10.75,,,,8.1,,4.45,,7.4,4.93,5.1,5.56,8.21,1.54,2.84,5.79,8.23,6.54,6.05,,,,,,,,,,,,,7.2,9.04,5.8,4.9,5.25,7.42,4.7,6.1,6.82,4.1,4.1,6.35,,8.1,2.7,3.1,6.05,7.9,2.4,3.45,4.27,7.45,4.2,,7.12,,5.4,4,4.8,,1.8,5.4,5.6,,3.55,5.35,5.6,,3.6,4.3,6.3,7.4,,
230838084115601,Chainpur1,23.14388889,84.19888889,,,,,,,,,3.71,4.62,,3.96,4.8,5.49,,2.64,3.67,3.11,1.63,1.01,4.4,4.05,1.06,1.52,3.49,5.89,0.77,3.2,4.51,5.61,,,,,,3.5,4.18,5.05,2.45,,,,,3.4,3.83,4.92,,,,3.84,3,2.94,,,3.4,,3.56,7.92,2.15,2.97,4.3,6.64,2.58,3.12,,4.8,2.43,3.38,3.64,4.1,2.45,4.44,3.69,,,,,,,,,,,,4.33,3,3,4.5,,5.5,2.8,2.84,4.4,6.18,2.5,4.1,4.24,5.35,4.7,,5.45,5.3,3.85,2,3.2,,2.4,3.15,3.85,,1.6,1.45,1.05,,2.8,3.4,1.76,,,
223420084490801,Jaldega,22.57222222,84.81888889,,,,,,,,,5.92,,0.75,5.54,5.94,8.5,0.96,4.12,,,0.9,,4,7.69,2.29,,5.72,8.38,3.9,5.52,6.42,8.8,,,,11.27,,4.59,5.97,8.78,0.2,2.57,,,,3.4,3.76,6.88,1.31,2.52,3.23,4.7,2.2,2.58,,4.44,0.87,2.35,3.16,7.22,1.9,,5.82,8.32,4.87,3.27,7.03,8.77,8.27,7.35,7.8,9.7,4.12,4.24,5.44,8.42,,3.55,5.6,8.24,3.8,2.8,4.3,5.76,,3.45,5.05,1.3,1.3,3.35,,5.29,2.05,2.7,3.55,5.7,0.95,2.4,3.45,5.05,2.3,,4.35,5.15,0.65,1.5,3.15,,,3.15,4.8,,1.15,2.8,3.05,,1.08,2.89,,,,
224218084410101,Kolebira,22.705,84.68361111,,,,,,,,,6.33,,1.12,,3.9,,,,,,,,,,2.1,2.02,4.67,7.75,1.31,2.59,3.6,8.76,2.41,,3.8,7.4,0.85,2.53,3.39,6.89,2.28,4.83,6.5,9.15,3,5.3,6.32,8.95,3.57,4.88,6.49,8.45,2.2,5.07,6.6,8.64,3.35,4.47,6.06,6.21,,2.6,3.97,6.3,4.14,5.62,,7.55,1.72,2.7,3.26,8.3,1.25,4.25,5.21,8.05,,3.95,,,3.75,4.65,5.9,7.24,,4.7,7.19,4,4,6.95,,9.4,0.45,5.85,7.18,8.2,2.25,4.9,6.38,8.75,4.3,,7.3,9.3,2.8,3.5,6.8,,,6.1,7.15,,3,4.76,6.8,9.45,3.35,4.82,,,,
223936084501201,Lachargarh,22.66,84.83666667,,,,,,,,,3.14,,1.7,3.85,4.5,5.8,,2.28,3.22,4.94,1.23,2.79,4.45,4.85,0.98,1.72,3.51,4.91,1.49,3.21,3.26,7.49,,,,11.27,,4.72,5.97,5.96,1.88,4.59,,,,1.72,5.51,4.03,3.28,4.4,5.65,8.45,1.9,5,,8.42,1.65,3.19,4.86,,1.7,2.1,4.65,5.45,3.21,5.72,6.72,6.72,,4.16,4.16,5.75,2.77,3.22,3.86,5.55,,4.2,4.45,,3.43,3.6,5,,,3.7,5.88,3.5,3.5,5.1,,7.8,3.25,3.8,4.4,8.3,1.9,3.7,5.5,7.1,5.4,,6.2,8.2,0.9,2,5.35,,,4.1,7,,,,5.65,6.7,3.1,3.24,,,,
231820084422301,Nagfeni,23.30555556,84.70638889,,,,,,,,,5.73,7.18,1.61,4.88,5.35,8.04,1.7,3.76,4.56,6.09,1.65,3.54,6.8,7.29,2.5,,5.46,7.59,3.3,4.51,7.51,10.04,3.45,3.8,7.38,9.38,4.15,7,7.8,8.75,4.73,7,5.85,8.52,4,5.39,4.78,8.34,4.58,5.37,5.84,8.4,3.9,4.49,6.15,8.21,3.52,4.49,5.6,7.96,2.95,4.66,6.06,8.36,5.15,5.01,6.54,8.68,5.98,6.03,6.47,8.57,2.06,3.79,4.94,7.91,,4.15,5.5,6.11,4.64,4.56,5.44,7.44,3.65,6.3,6.8,3.1,3.1,6.05,,8.56,,4.5,6.1,9.13,2.45,4.5,4.98,8.18,6.15,,7.38,8.35,5.9,2.5,5.2,,3.1,4.7,5.18,,2.55,4.25,5.24,7.74,2.6,,5.84,8.65,,
225242084384301,Palkot,22.87833333,84.64527778,,,,,,,,,5.92,7.1,1.31,5.87,6.1,7.82,2.86,4.67,5.24,6.87,2.78,3.75,5.5,7.52,2.52,4.44,5.35,7.77,3.71,5.04,6.78,8.22,2.53,,6.88,8.75,,5.81,7.17,8.55,5.74,5.81,6.4,8.55,2.09,5.59,6.29,8.87,2.67,4.52,,8.72,5.1,5.39,6.9,8.45,4.12,5.04,6.45,7.82,2.6,2.87,5.84,8,7.85,5.78,6.75,8.57,,7.02,7.33,8.86,3.09,3.99,4.03,7.6,,5.65,6.3,7.91,5.3,4.64,5.39,7.47,3.2,6.4,7.26,3.29,3.29,6.45,,9.2,3.69,4.9,6.5,9.5,3.35,5,7.34,9.7,5.68,,7.6,8.9,4.5,2.7,6.1,,2.95,5.7,6.8,,4.6,4.79,5.89,5.64,4.8,4.6,7.19,9.4,,
225732084264201,Raidih,22.95888889,84.445,,,,,,,,,6.61,7.98,2.5,6.77,6.92,9.42,1.29,4.4,5.37,6.93,1.73,3.13,7.95,7.38,2.1,2.02,4.67,7.75,1.31,5.79,6.55,8.67,2.41,,6.76,8.83,1.95,4.83,5.96,6.57,1.71,3.47,,,1.29,3.25,4.15,7.15,1.83,3.1,,6.82,1.85,3.2,4.7,,2.22,,3.01,,3.18,5.8,7.13,10,4.35,2.92,7.05,10.6,7.87,7.09,7.81,10.6,2.93,4.83,5.82,7.9,,4.15,6.2,8.11,2.15,3.5,3.73,6.51,2.65,4.65,4.53,1.95,1.95,4.1,,7.6,1.05,2.65,4.1,7.7,1.4,2.85,4.35,6.95,2.6,,4.5,7.15,5.15,2.2,4.55,,0.95,2.6,3.7,,2.65,2.7,3.35,1.1,2.1,2.8,3.86,7.1,,
231106084460801,Sisai,23.185,84.76888889,,,,,,,,,4.89,5.49,1.2,2.85,3.1,6.12,0.41,1.75,2.66,4.5,0.89,1.45,5.25,6.5,1.68,2.02,4.03,6.86,1.78,4.2,4.43,8.18,2.76,3.51,5.14,8.8,6.3,3.9,6.3,7.81,3.37,3.9,6.4,8.1,2.95,3.16,3.2,8.55,3.54,4,5.77,8.09,1.8,2.13,3.5,7.64,2.15,4.15,3.4,8.58,4.59,6.24,7.06,7.56,6.74,3.49,,,,,,,,,,,,,,,2.55,2.9,4.4,6.7,2.51,3.92,5.83,2.9,2.9,6,,7.64,3.26,3.05,4.25,9,2.5,3.95,4.26,7.85,4.7,,5.2,7.2,5.18,2.6,4.25,,2.7,3,3.75,,1.96,3.3,4,1.8,2.2,2.7,4.15,6.8,,
