station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
232130084464501,Bhandara,23.35833333,84.77916667,,,,,,,,,7.17,6.8,2,,6.1,8.17,2.23,6.12,6.64,5.27,2.19,3.8,7.5,6.1,2.01,3.09,3.85,7.1,1.11,4.31,5.4,,,5.58,6.92,,,6.07,6.75,,4.12,6.07,,,3.36,4.72,5.46,,4.51,5.95,7.18,10,,2.86,,10,3.24,4.42,6.73,,,6.25,6.12,10,2.05,5.87,7.19,10,5.88,5.59,6.37,10,1.79,5.09,4.97,7.67,,5.42,5.87,7.2,6.6,4.87,6.65,6.79,4.26,7.9,7.75,4.59,4.59,8,,8.4,4.1,,6.3,8.1,2,4.5,7.95,8.3,5.2,,7.1,10,5.7,7.7,6.45,,3.5,4.6,6.3,,2.8,6.2,6.5,8.15,6,4.1,8.25,0,,
232800084420001,Lohardaga(pwdib,23.46666667,84.7,,,,,,,,,5.3,7.13,0.89,4,4.32,8.69,0.45,1.76,2.33,5.34,0.86,1.85,4.1,8.1,0.7,1.45,3.02,7.73,1.39,2.75,3.95,,1.3,1.96,3.71,7.48,1.65,3.05,4.2,7.5,0.93,3.05,3.32,7.25,1.43,1.8,2.76,8.38,2.61,3.39,4.7,,1,5,3.9,6.7,2.07,3.7,8.26,7.57,1.4,3.16,4.64,9.39,4.1,4.18,5.42,8.25,6.19,4.33,4.8,7.5,0.73,3.6,3.6,7.24,,4.53,6.12,7.36,1.75,2.9,3.85,5.37,2.4,9.1,6.05,2.85,2.85,5.55,,7.45,1.1,2.4,4.4,7.3,1.9,3.1,5.25,7.3,2.5,,5.9,6.8,2.7,3.5,4.6,,0.8,3.45,4.15,,,,2.6,,4.9,,5.31,,,
232315084391501,Senha Bdo,23.3875,84.65416667,,,,,,,,,8.74,,,,4.3,,,1.71,,,,,,,,5.36,5.05,,2.75,,,,,,,,,,,,,,,,,1.75,2.9,7,3.32,3.81,6.79,7.84,4.2,4.92,5.6,7.78,5.05,1.79,3.06,5.57,2.14,1.6,3.06,5,3.95,4.34,4.84,7.12,4.51,3.32,4.38,6.56,3.29,2.05,2.8,8.32,,2.73,4.2,,2.3,2.38,3.03,4.57,6,,2.83,2.01,2.01,,,5.7,0.65,1.4,3.1,5.7,0.4,1.9,3.6,5.7,3.7,,5.66,6.5,3.55,3.2,5.38,,5.95,2.05,3.98,,5.8,,5.35,8.1,5.1,2.7,3.1,8.8,,
233202084505201,Hinjla,23.53388889,84.84777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04,1.85,1.95,6.92,4.9,3.2,6.04,6.74,4.88,3.34,,3.47,,,,,4.57,4.27,4.56,5.18,5.85,3.1,1.7,3.2,4.69,2.6,2.24,3.06,7.49,1.25,2.26,3.38,5.04,5.1,5.42,4.37,5.85,5.89,6.24,6.4,7.5,4.04,3.6,,,,6.4,,8.25,6.7,4.77,1.95,6.86,7.02,6.2,6.19,3.12,3.12,6.2,,7.5,6.1,4.9,4.7,8,4.1,3.55,4.72,7.1,5.4,,4.8,7.5,6.2,5.9,5.1,,4.85,5.1,5.7,,3.75,4,4.56,6.85,5.75,4.25,5.8,7.5,,
233211084485601,Kuru1,23.53638889,84.81555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1.6,,7.1,9.2,2.3,4.75,6.73,8.25,3.17,4.75,3.66,6.7,2.27,,,9.61,4.64,5.85,7.75,8.09,2.1,2.58,6.45,8.9,2.12,3.36,6.56,4.87,1.03,4.62,6.86,9.6,5.26,5.98,5.94,8.56,7.49,8.43,8.61,9,0.92,5.34,5.52,9.7,,5.91,,,3.06,3.51,5.41,6.78,5.35,5.38,6.93,2.7,2.7,6.65,,9,2.6,2.8,6.3,9.45,1.27,3.75,5.22,8.65,2.1,,6.2,8.3,1.5,3,4.9,,,,5.2,,,,,,3.16,,4.85,,,
233051084401601,Kisko1,23.51416667,84.67111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.73,,,,,,,,,,,,,1.85,,,,,,,,,,,,,,,,,,,,,,8.15,10.96,,,,,,,,,,,,12.6,6.3,6.98,,12.4,6.12,,7.86,12.7,6.55,7.5,6.8,,4.9,6.8,7.45,,,,,,,,11.15,,,
232846084424301,Lohardaga(Patra Toli),23.47944444,84.71194444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,,7.35,4.66,4.68,6.3,,1.62,5.1,5.75,6.5,2.75,1.85,3.2,5.95,2.8,2.6,3.18,5.48,4.3,,5.18,7.4,5.1,1.7,2.9,,6.8,2.9,3.5,,,,2.6,7.2,1.55,,,7.9,,
233327084484901,Rudh1,23.5575,84.81361111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,6.4,,5.35,6.5,7.55,,3.15,7.8,8.65,,4.8,3.65,6.6,8.8,2,4.75,7.64,7.8,3.7,,6.48,8.45,5.8,2.95,4.98,,2.25,3.1,5.2,,,,5.95,,3.2,,6.63,,,
232544084405501,Barwatoli Chowk,23.42888889,84.68194444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85,2.2,2.3,1.84,6.2,3.95,,5.58,6.8,4.6,1.85,3.2,,1.5,,3.65,,,,,3.9,,2.5,2.97,3.1,,
233121084430001,Hesal,23.5225,84.71666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,2.5,5.2,5.94,,5.9,,7.65,9.6,8,6.1,7.9,,1.98,5.4,7,,,5.68,6.48,,2.1,3.2,7.11,9.1,,
232516084465101,Irgaon,23.42111111,84.78083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65,1.85,2.8,4,7.85,4.18,,5.15,7.4,3.2,5.9,5.35,,1.48,3.55,4.5,,2.3,3.88,4.1,5.8,4.53,2.6,6.31,7.3,,
