station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
235000084474501,Balumath,23.83333333,84.79583333,,,,,,,,,9.8,,6.63,5.8,9.45,7.95,5.89,7.95,9.05,10.47,5.01,8.07,9.02,11.05,,6.95,,,8.85,7.87,9.65,11.27,,8.06,9.65,11.35,9.9,9.4,10.4,,,6.93,,,9.82,3.9,10.49,8.58,,10.65,10.65,11.02,6.49,8.05,9.2,10.65,,3.55,8.8,10.4,6.05,8.3,9.5,10.36,10.35,9.28,10.27,,11.16,10.71,11.52,13.2,9.25,8.95,9.12,11.7,,9.5,10.45,12.05,8.25,6.8,8.95,10.59,7.51,9.3,9.86,11.8,7.75,10.05,,11.7,6.24,8,9.33,11.38,0.7,8.35,10.05,12.85,5.44,,9.89,13.2,9.8,9.09,10.45,,6.75,4.1,9.4,,5.1,8.2,8.8,11.12,,,10.76,,,
235330084483001,Barjatu,23.89166667,84.80833333,,,,,,,,,9.64,7.31,3.61,6.12,6.82,6.38,3.43,,,7.59,,3.24,,6.79,4.77,2.97,,,,3.41,4.93,,,3.3,5.45,7.8,5.8,4.4,6.2,,,,,,5.67,6.11,7.11,8.51,,7.05,7.05,,2.49,3.47,4.87,6.59,,4.17,4.5,7.75,3.54,4.3,5.8,7.89,6.06,5.64,6.37,,8.16,7.95,8.65,9.4,6.97,5.31,5.89,8.47,,,7.57,9.4,7.35,3.85,6.68,7.5,3.4,5.05,6.01,8.35,4.2,6.22,,,3,4.15,5.13,7.19,2.55,,6.81,7.3,2.7,,5.79,5.85,6.9,5.6,7.1,,4.6,2.6,4.8,,,,,,,,6.52,,,
235130084070001,Barwadih,23.85833333,84.11666667,,,,,,,,,5.71,8.19,2.29,3.75,5.03,7.38,1.18,,5.8,9.18,1.87,4.71,,,3.71,,,8.17,5.85,,5.32,8.04,,,,,,,,,,,,,,9.98,3.35,8.6,,4.6,4.6,6.86,,,,8.81,,2.44,4.8,7.6,,4.3,6.05,,3.9,3.19,6.72,9.75,,,6.54,,,,,9.31,,3.65,,9.64,2.2,,3.9,8.33,4.29,6.3,7,9.9,1.27,,,7.02,0.18,2.75,4.11,8.38,,3.69,5.75,8.37,0.33,,5.03,9.55,2,2.32,4.5,,,1.5,3.9,,2.6,,3.6,,4.1,,5.12,,,
235400084113001,Betla,23.9,84.19166667,,,,,,,,,9.17,9.01,7.04,7.6,7.99,9.79,6.26,7.58,8.62,12.22,4.99,5.94,7.04,9.22,,5.52,,9.26,6.32,4.97,8.52,9.96,,6.15,7.64,,8,6.1,8.35,,,5.61,2.58,8.97,7.12,5.5,7.98,9.82,8.35,8.62,8.62,8.66,7.42,,,,,5.67,8.6,6.15,4.52,7.7,8.7,13,10.12,9.54,10.38,13,13,13,13,,6.38,7.28,7.54,9.8,,7,,2.6,7.72,7.74,8.77,,9.52,,13,7.02,7.02,,,9.93,4.7,6.7,,13,,7.32,8.72,,5.78,,8.77,13,7.5,7.52,8.42,,,5.6,7.8,,,,7.4,9.17,9.5,,9.42,,,
241445083563001,Bishrampur,24.24583333,83.94166667,,,,,,,,,4.48,6.05,1.71,5.17,6.37,4.83,1.46,2.67,4.18,4.83,2.2,3.08,,,,3.18,,,4.82,2.47,3.73,,,,,,,2.3,3.56,,,3.92,,,2.76,5.98,5.9,5.98,2.51,5.2,5.2,5.1,1.56,3.03,3.78,,2.05,2.91,3.55,8.4,3.21,2.85,3.6,8.95,4.88,4.16,5.21,8.95,4.59,4.32,6.05,8.95,5.89,6.08,6.53,9.95,,3.5,4.31,,4.9,4,5.18,8.95,5.43,4.43,4.56,3.07,3.07,4.49,,8.78,1.45,2.73,3.34,8.95,1.8,3.45,8.95,8.43,1.64,,4.22,6.4,2.9,2.65,3.93,,,4.3,5.1,,,3.6,3.6,,6.28,,,,,
234030084444501,Chandwa,23.675,84.74583333,,,,,,,,,6.26,8.07,1.59,3.69,5.18,9.28,1.6,3.44,4.24,6.94,1.19,3.17,4.41,8.46,1.05,3.04,,7.68,2.09,2.72,4.46,7.82,,3.59,5.11,4.75,5.3,4,5.4,8.71,3.92,3.26,,7.64,5.54,0.15,5.64,11.59,4.52,5.34,5.34,10.82,1.68,3.67,4.82,9.6,1.75,2.68,4.4,7.8,1.41,3.35,4.9,8.06,5.64,3.86,5.11,11.79,6.89,5.1,8.36,11.24,5.64,3.49,4.3,9.95,,4.15,5.7,10.95,3.84,2.47,4.02,6.68,,4.24,6.24,10.09,3.74,4.41,,11.31,2.51,3.9,,6.49,1.54,3.14,2.84,8.98,1.39,,4.89,10.44,10.35,4.44,6.34,,1.69,3,4.9,,2.3,3.6,4.1,,8.1,,5.54,,,
242200084113001,Chhatarpur,24.36666667,84.19166667,,,,,,,,,6.22,8.71,1.7,3.74,8.17,,0.59,5.54,5.64,8,5.03,5.14,6.1,8.24,,4.59,,7.51,6.9,5.31,4.9,8.27,,4.73,5.91,,7.65,3,7.16,,7.46,,,,7.64,7.32,4.64,10.35,9.97,6.34,6.34,12.4,9.68,8.36,9.06,10.73,9.95,4.67,4.3,10.1,4.01,6.4,7.4,10.6,9.68,9.39,9.91,12.4,12.4,10.64,11.34,12.4,6.98,7.54,7.89,8.1,,6.25,8.15,9.8,8.6,8.84,9.09,10.86,7.77,9.69,9.93,4.46,9.25,9.56,,9.19,7.9,5.55,4.72,9.04,4.75,6.7,7.2,9.21,8.07,,9.23,12.4,12.4,10.4,4.44,,,,12.4,,,,,10.35,,10.6,,,,
240400084034501,Daltenganj,24.06666667,84.0625,,,,,,,,,5.63,8.1,1.24,4.59,3.42,5.57,0.82,2.87,3.22,6.36,1.81,2.68,5.17,6,1.89,2.27,,11.37,4.88,2.53,4.02,12.21,,6.78,9.01,7.04,3.2,3.1,11.8,6.81,6.47,2.82,2.81,,3.68,7.52,5.77,5.2,2.56,7.42,7.42,8.9,4.1,3.9,4.42,8.9,2.28,4.37,8.9,6.9,5.04,4.1,6,8.9,7.24,8.46,8.69,8.9,8.9,8.9,8.9,8.9,6.86,7.24,7.68,11.6,,3.9,8.5,3.77,5.15,8.5,8.85,8.9,4.17,,5.13,7.65,3.3,4.14,,5.6,3.35,3.77,5.1,6.72,,4.3,4.48,6.9,,,5.12,6.4,3.8,3.45,4.75,,,3.9,8.1,,4.2,6.6,6.8,,3.8,4.3,4.8,,,
234030084143001,Garu,23.675,84.24166667,,,,,,,,,8.47,,,6.52,,,0.99,,,7.16,1.35,,,,,,,,6.2,,,,,,,,6.6,,,,,,,,,1.98,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.86,,,,3.78,,6.41,7.7,3.82,5.53,,7.74,2,4.55,,7.3,1.6,4.87,6.25,6.54,2.01,,6.02,8.2,4.6,5.35,5.8,,,4.1,5.1,,3.7,5.1,6.1,7.2,3.4,,,,,
241630084172001,Hariharganj,24.275,84.28888889,,,,,,,,,5.78,5.31,1.65,3.89,3.6,5.79,0.63,2.25,3,5.21,1.44,1.77,3.2,5.57,,1.3,,5.15,3.4,2.46,3.88,5.89,,2.23,3.65,,2.1,2.05,3.77,5.56,2.24,2.12,4.62,5.9,6.33,3.83,6.83,,,6.4,6.4,,6.55,3.05,4.38,6.22,4.03,4.05,4,5.9,1.39,4.3,5.3,,,,5.35,7.6,6.82,7.78,5.57,9.25,,3.45,4.13,9.5,,3.7,5,,7.6,6.7,7.3,8.28,4.72,7.35,6.33,,,,,8.39,3.9,3.15,4.38,7.11,3.25,4.12,5.75,7.17,3.7,,,11.9,6.1,4.75,5.05,,,5.1,5.6,,2.1,3.6,4.4,,,,,,,
