station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
225030085194501,Bandgaon,22.84166667,85.32916667,,,,,,,,,6.81,9.27,3.71,5.44,5.86,8.8,3.7,4.99,,,,,,10.69,1.74,5,5.83,8.79,5.03,6.51,7.64,8.36,5.14,,6.44,9.47,,,6.1,10.1,,,6.2,7.64,,4.87,5.84,9.43,5.05,5.63,5.63,9.6,1.81,4.4,5.7,7.91,2.05,4,5.98,8.16,2.3,4.53,5.79,7.9,3.8,4.2,5.4,7.8,4.2,5.4,6.1,8.15,1.44,3.95,5.67,7.7,,3.77,5.85,8.65,4.2,3.33,5.95,8,2.4,4.55,3.07,8.69,4.11,5.73,,7.1,3.7,1.94,2.49,9.1,3,4.59,6.69,8.09,4.84,,,,7.85,,,,,,9.95,,,,2.01,,3.08,,5.8,8.44,,
223245085481501,Chaibasa,22.54583333,85.80416667,,,,,,,,,0.95,5.43,0.81,3.12,3.81,2.7,1.79,0.93,4.02,1.72,3.31,5.42,4.52,2.16,2.38,1.05,5.87,1.79,3.49,3.5,1.87,1.95,0.8,1.36,1.81,,3.74,1.3,,2.1,,4.66,1.4,1.94,0.45,1.14,2.92,2.34,1.23,1.65,1.65,2.5,0.76,1.4,1.3,2.86,0.9,1.4,1.5,,0.9,1.36,1.72,2,0.8,1.1,9.26,12.3,11.4,11.15,12.5,13.9,6.17,6.7,9.07,13.3,,7.1,10,12.8,9.1,4.37,8.3,12.2,6.7,8.1,10.4,13.5,9.05,9.55,,13.9,7.3,8.6,12.5,13.9,11.15,10.3,13.15,13.3,9,,10.9,13.9,11.1,8.1,6.6,,,0.5,6.55,,,,9.04,,7.08,,11.5,13.2,,
225715086013001,Chandil,22.95416667,86.025,,,,,,,,,4.72,7.7,1.08,4.2,4.63,6.91,0.85,3.5,3.49,5.32,4.22,0.91,5.72,6.97,2.88,3.07,3.86,6.65,4.82,5.83,5.41,7.09,3.88,2.8,3.67,7.81,1.33,1.02,4.1,7.5,0.71,1.7,4.86,7.48,0.57,1.81,6.46,11.06,1.33,4.06,4.06,10.2,0.05,2.4,5.16,11.07,1.75,1.7,6,7.4,1.4,4.25,5.14,9.95,1.1,4.4,10.1,12.64,12.64,3,3.75,7.38,0.9,2.46,2.22,6.49,,3.15,,6.75,0.95,1.48,2.93,5.93,1.3,2.65,3.75,7.2,2.75,3.8,,8.25,0.83,3.06,5.45,9.5,5.1,3.6,6.4,7.9,1.9,,7.65,11.61,2,4.7,8.3,,,4.35,7.8,,,,,,1.12,,,,,
223700086083001,Hata/Tirin,22.61666667,86.14166667,,,,,,,,,2.34,6.61,0.5,2.75,3.09,4.98,0.69,2.8,,,,,,3.25,1.5,1.28,2.43,5.49,1.47,2.18,3.87,1.88,1.35,1.65,2.67,5.07,1.68,2.17,3.5,6.8,1,,3.7,5.83,1,3.78,3.62,6.23,1.4,2.3,2.3,5.3,0.52,1.9,3.47,5.74,0.9,1.75,3.25,5.03,1.8,2.07,3.74,4,1.7,2.05,2.5,5.3,2.05,3.24,3.9,7.35,0.75,1.48,2.67,6.08,,,,5.55,0.5,0.97,,,,,,,,,,,,,,,,,,,,,3.5,,1.4,,,,,,,,,,,,,,,5.65,,
222500085462501,Jhinkpani,22.41666667,85.77361111,,,,,,,,,4.44,5.58,0.91,3.62,3.64,6.37,1.15,2.02,,,,,,6.45,2.5,5.27,5.52,6.23,3.78,5.22,6.57,3.95,2.2,2.5,3.63,7.36,2.64,1.52,4.6,6.7,,3.52,,7.5,1.11,3.22,4.54,7.3,3.24,3.63,3.63,7.5,0.83,3.3,7.2,7.5,0.95,3,6.8,,1.7,5.42,6.46,,,,,,,,,4.92,1.3,1.85,3.43,9.8,,2.7,3.5,7,0.6,1.65,3.9,7,1.15,4.35,6.45,7.2,2.7,7.23,,7.6,1.57,3.32,6.95,7.85,1.26,3,7.2,7.2,1.15,,3.5,5.2,1.2,1.1,1.1,,,1.5,2.3,,,,1.08,,1.42,,3.7,7.2,,
225130086033001,Kandra,22.85833333,86.05833333,,,,,,,,,2.46,7.44,0.64,3.37,3.93,7.1,1.25,2.73,,,,,,6.25,1.29,1.45,3.61,5.48,1.72,3.75,4.75,6.75,1.38,2.2,2.92,6.69,1.43,2.65,4.2,6.5,1.9,3.12,5,6.91,1.55,2.89,4.59,6.75,3.54,4,4,6.5,0.79,2.5,4.79,6.5,1,2.1,4.7,7.64,1.5,2.75,5.43,6.4,1.5,3.4,4.3,7.1,7,7.3,7.6,7.65,3.7,5.6,4.74,7.65,,3.4,5,,1.55,1.15,4.15,5.7,0.95,3.35,4,3.75,3.75,,,7.6,0.4,3.25,5,7.65,1.65,3.45,5.25,6.35,3.6,,6.2,6.4,3.5,3.6,2.9,,,3.03,4.1,,,,3.32,,2.3,,4.5,,,
224710085500001,Kharsawan,22.78611111,85.83333333,,,,,,,,,3.93,9.23,1.64,3.57,4.88,8.59,3.69,3.2,,,,,,7.77,3.15,5.29,5.79,7.31,5.35,3.96,5.76,2.77,2.07,2.74,3.82,8.62,2.2,5.2,7,10.2,5.15,,8,8.46,1.94,4.69,6.62,8.54,5.87,6.69,6.69,,1.83,,6.57,8.34,,,6.25,7.7,1.9,4.36,6.26,7.6,,3.9,6,8,6.7,5.1,5.8,6.95,1.3,4.29,5.94,7.55,,4.4,5.85,5.95,3.55,1.8,6.2,7.4,1.75,4.4,5.1,6.49,3.64,,,6.12,1.6,4.44,5.45,7.7,1.86,4.74,5.44,5.49,2.04,,6.69,8.42,1.98,2.1,4.8,,,3.09,5.2,,,,4.7,,2.07,,3.8,,,
222745085543001,Kokcho,22.4625,85.90833333,,,,,,,,,3.98,7.42,1.2,3.24,3.56,7.75,1.2,2.41,,,,,,9.15,2.49,3.43,3.72,8.27,5.53,4.23,5.44,3.16,1.31,,3.07,9.06,3.07,1.98,5.9,8.3,4.12,,6.8,8.84,1.19,2.69,4.92,8.44,5.65,5.72,5.72,9,,3.4,5.95,7.16,1.4,2.5,6.4,8.57,1.9,3.9,6.1,9.3,3,3.6,6.4,9.8,3.6,6.4,8,9.8,2.35,3.82,6.58,6.9,,4.15,7,8.2,2.65,1.32,5.6,8.35,1.4,4.75,6.5,9.25,5.2,6.74,,10.85,2.64,3.9,6.55,10.1,4.93,3.1,6.8,8.15,2.15,,4.5,6.75,2.1,3.6,3.9,,,3.45,4.2,,,,4.1,,3.39,,6.8,10.25,,
224215085551501,Saraikela,22.70416667,85.92083333,,,,,,,,,1.91,4.02,1.16,3.32,3.2,3.86,0.73,2.52,,,,,,3.16,1.65,,3.2,2.52,2.15,2.94,3.22,2.37,1.62,2.41,3.61,3.05,0.37,2.5,3.5,,1.58,4.12,3,3.22,1.68,2,4.16,4.04,1.58,1.94,1.94,3.01,,2.2,2.3,,1.5,2.5,2,3.65,1.7,2.38,2.74,3,1.8,2.1,3.05,5.5,1.4,2,2.8,5.23,0.07,1.5,2,5.84,,,2.5,5.25,0.1,0.46,2.48,3.35,0.45,1.5,2,2.74,1.04,3.52,,2.25,0.1,0.9,,3.9,2.12,0.74,1.49,0.74,0.06,,2.04,2.84,0.75,1.1,1.2,,,3.74,2.1,,,,3.35,,0.78,,1.6,,,
223945085381501,Chakradharpur,22.6625,85.6375,,,,,,,,,,7.2,3.31,4.25,4.78,5.71,3.08,4.16,5.52,4.61,4.27,4.38,,6.8,3.43,4.28,4.99,4.7,3.15,4.4,5.53,6.1,3.1,,5.38,6.97,2.92,4.38,7.5,,5.3,4.25,4.8,,3.76,2.1,5.52,8.2,4.14,4.6,4.6,10.88,3.06,8.6,10.88,7.4,5.05,7.8,10.65,7.36,5.4,4.98,5.74,10.89,,7.1,9.7,10.89,12.4,12.5,6.7,9.07,2.97,4.42,5.09,8.37,,3.87,4.9,7.12,2.62,2.52,4.7,6.11,2.57,3.97,,6.7,3.6,4.75,,7.85,1.85,4.7,5.9,8.9,1.4,4.8,6.7,6.65,0.8,,6.2,7.2,1,1.6,4.8,,,0.88,6.1,,,,4.08,,1.52,,3.1,8.25,,
