station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
221700086430001,Baharagora,22.28333333,86.71666667,,,,,,,,,11.36,8.22,2.32,5.28,6.31,8.35,1.81,5.52,,,,,,13.25,3.88,3.98,6.16,12.87,,9.88,10.67,10.45,6.94,4.3,5.57,10.16,4.76,5.6,16.7,13.5,7.2,7.57,12.7,13.14,1.39,6,12.1,13.7,7.04,8.32,8.32,13.8,0.94,7.6,12.62,,2.85,6.4,12.46,13.33,4.5,7.01,12.99,14.2,4.6,6.2,12.2,14.75,12.6,12,13.95,14.75,0.86,5.33,11.96,14.8,,5.75,12.6,14.8,1.06,2,10.5,13.86,2.73,7.68,11.98,13.6,5.5,4,,14.2,7.78,8.58,13.3,14.75,4.03,7.7,13.95,13.9,4,,,13.15,4.1,5.1,11.1,,,4.15,10.15,,,,,,,,,0,,
222900086430501,Chakulia,22.48333333,86.71805556,,,,,,,,,15.28,12.96,5.09,14.7,14.99,13.87,4.94,14.18,,,,,,18.1,5.91,6.37,14.62,17.55,,15.03,16.83,16.61,13.16,7.38,9.36,18.54,16.9,15.6,17,18.5,16.9,4.71,17.7,19.02,10.5,14.96,11.86,19,16.88,12.98,12.98,19.2,7.74,13.5,16.8,18.26,7.22,11.5,16.62,17.63,7.3,12.28,16.86,15.7,17.8,15.6,17.05,19.4,18.9,19.15,19.5,19.8,5.15,13.33,10.9,,,13.85,15.25,18.73,2.61,3.42,11.75,17.03,8.93,15.03,15.48,13.8,15.6,,,19.25,8.63,13.5,16.5,19.8,10.64,14.7,17.6,18.92,8.2,,16.6,15.61,9.5,5.9,14.1,,,14.05,14.05,,,,11.85,,8.19,,,0,,
223030086331001,Dhalbhumgarh,22.50833333,86.55277778,,,,,,,,,8.36,10.07,1.91,5.96,6.54,10.35,1.52,5.51,,,,,,10.71,2.43,5.44,5.9,10.2,2.81,4.64,6.14,5.95,2.63,3.35,4.17,10.66,6.15,4.25,10.2,10.4,2.17,6.74,7.8,7.41,4.31,4.68,6.52,10.85,1.77,4.95,4.95,10.85,1,3,9.05,10.46,1.6,3.05,8.3,9.25,2.25,5.42,9.53,11.3,6.7,6.4,9.9,11.3,9.65,9,10.4,11.15,1.72,3.21,8.94,8.75,,4.9,9.85,10.4,1,1.1,5.73,10.5,6.5,5.9,8.35,11.55,6.2,,,11.5,2.73,5,9.7,12.05,3.88,6.35,10.05,10.7,2.8,,9.35,10.29,2.94,3.1,2.5,,,7.9,6,,,,7.21,,3.72,,,11.55,,
221630086424501,Ghatsila,22.275,86.7125,,,,,,,,,3.92,6.35,1.26,8.47,3.97,8.04,1.51,2.83,,,,,,5.07,1.78,2.38,4.38,4.39,2.18,2.83,4.23,4.06,1.07,2.22,3.01,5.82,2.57,3.3,5.1,6.6,2.1,6.66,5.5,6.68,1.42,3.78,5.4,13.2,2.39,3.58,3.58,,0.83,3.9,5.44,6.62,3.9,3.3,5.25,6.68,2.7,4.09,5.51,8.75,4.8,3.8,5.45,7.05,6.05,5.7,7.1,8.15,1.2,3.35,4.89,7.55,,,5.25,7.35,0.6,1.7,4.7,6.63,1.6,3.8,6.05,7.2,3.15,5.15,,7.7,2.33,3.47,5.7,8.05,1.1,3.65,5.75,5.4,1.6,,4.8,6.7,1.78,2.4,4.8,,,1.71,4.5,,,,4.03,,10.15,,,8.3,,
223545086172701,Kalikapur,22.59583333,86.29083333,,,,,,,,,3.92,,2.39,4.75,5.44,,2.85,2.87,,,,,,9.02,0.83,1.12,3.18,8.73,1.17,2.57,5.74,3.35,1.65,2.02,5.48,9.22,0.95,1.7,4.7,8.05,0.95,1.93,4.77,7.94,,2.02,4.6,9.4,1.3,2.3,2.3,7.05,0.88,1.95,4.95,8.42,1.45,3.95,6,8.03,1.4,2.37,5.6,7.45,4.2,2.2,3.9,6.8,2.2,2.3,4.6,5.57,0.77,1.65,2.55,6.45,,1.25,3.2,8.9,0.6,0.9,2.5,5.66,1,1.68,3.4,6.1,1.1,2.25,,5.46,0.49,4.35,3.21,5.95,3.92,1.7,3.2,3.85,0.8,,1.45,5.15,2.1,1.8,1.8,,,1.6,2.92,,,,,,1.33,,,5.2,,
223730086140001,Potka,22.625,86.23333333,,,,,,,,,5.46,8.79,2.27,4.77,5.11,9.31,2.75,5.08,,,,,,10.04,2.27,3.05,4.82,8.62,4.13,5.32,6.77,8.06,2.44,4.42,5.3,9.23,5.71,5.05,7,9.1,3.14,6.2,6.06,8.32,2.81,4.42,6.09,8.94,4.46,5.59,5.59,8.4,0.72,4.25,6.2,9.72,2.8,3.95,5.75,8.63,2.22,3.55,5.41,7.5,4.22,3.96,5.6,8.6,9.07,8.5,7.5,11,1.64,3.03,5.45,9.15,,3.1,5.6,8.9,1,1.74,4.3,7.65,1.95,4.05,,2.15,2.15,5.1,,9.4,,3.68,6.35,10.2,4.19,4.24,6.44,8.54,4.14,,5.54,8.4,4.6,3.4,5.2,,,5.14,6.85,,,,2.2,,2.9,,,9.69,,
224931086095401,Paridih,22.82527778,86.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,,5.75,9.5,,,5.05,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23,,3.2,,,,,
221520086402701,Hana Bautia,22.25555556,86.67416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,4.75,6.4,2.45,5.2,7.87,8.75,4.85,7.61,,6,,,6.32,,,,,,,,,,,1.1,1.9,,,,2.1,,,,,,3.79,,,5.5,,
222820086432601,Kalapathar,22.47222222,86.72388889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,7.65,8.35,,6.7,7.05,8,7.14,2.63,,6.56,,,,,,,,,,,,,,,,,,,,,,3.56,,,9.6,,
221816086445101,Jabirdiha,22.30444444,86.7475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,6.65,,0.8,,4.7,,0.95,,,,,,,,,,,,,,,8.2,,
