station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
231600085411001,Barwadag,23.26666667,85.68611111,,,,,,,,,4.68,6.6,1.35,4.7,4.72,7.1,,5.15,5.66,6.71,1.62,3.56,6.7,6.93,2.1,3.17,4.51,8.1,2.33,5.47,6.99,7.8,1.88,2.8,5.7,7.3,1.6,4.4,6.08,7.95,5,4.4,3.27,6.92,1.73,,4.2,6.65,1.8,3.89,3.89,5.85,2.8,3.06,5,5.7,4.45,2.29,3.71,5.17,1.17,3.6,4.37,7.25,4.9,4.3,3.8,5.11,3.93,4.44,5.2,7.6,1.6,3.03,3.74,5.75,,3.65,4.3,5.1,1.9,2.5,3.67,5.3,3.15,4.12,,5.33,2.75,4.6,,6.6,1.2,1.1,4.38,,,,,,,,4.55,5.85,,2.9,3.1,,1.5,4.6,5.7,,3.55,2.9,3.27,3.35,1.35,2.58,2.94,3.85,,
231822085011501,Berro,23.30611111,85.02083333,,,,,,,,,9.39,9.99,5.1,7.6,7.83,11.09,,5.15,7.87,8.72,5.36,7.8,7.9,10.98,5.6,7.49,7.93,8.85,6.15,5.62,8.22,10.99,4.6,5.6,7.05,7.8,7.9,8.1,8.43,8.27,6.9,8.1,7.75,8.4,6.81,,6.89,11.1,,,,11,6.15,7.05,7.7,10.65,2.64,4.45,6.68,10.42,1.85,6.55,8.36,9.1,6.7,6.6,7.36,11.25,7.35,7.27,7.9,11.15,5.3,6.6,6.8,13.01,,6.95,7.8,11.02,7.45,7.75,8.5,9.32,7.26,7.6,9.95,9.25,3.28,8.2,,,4.08,,,10.7,5.61,,,9.87,5.37,,8.17,11,5.8,2.1,6.8,,5.4,11.07,,,3.5,,,7.37,0.78,2.15,4.85,8.5,,
230930085352001,Bundu,23.15833333,85.58888889,,,,,,,,,5.69,9.1,2.93,5.49,6.58,9.22,,4.15,5.31,8.37,0.97,6.3,8.4,8.94,2.5,4.64,6.49,9.66,3.37,6.47,9,8.36,1.95,3.25,6.2,10.85,5.99,4.8,,8.2,6.66,,,11.15,5.3,6.3,9.92,11.3,6.1,9,,,1.25,3.46,4.7,9,3.49,,5.43,8.55,2.56,3.12,7.15,9.15,1.4,3.6,6.57,9,9.87,8.7,8.26,11,0.95,3.8,5.42,9.5,,3.3,5.58,9.8,2.5,1.8,6.94,9.93,1.3,5.4,6.78,9.85,1.75,4.9,,,0.9,,,11,2.32,4.8,6.4,8.5,8.8,,9.05,9,7.84,3.2,5.4,,1.1,3.05,,,,2.97,4.6,,2.6,4.14,7.62,,,
232315085221001,Bunti,23.3875,85.36944444,,,,,,,,,3.7,5.31,2.18,5.62,4.3,5,,4.96,5.56,5.06,2.33,4.3,4.7,5.82,1.35,3.83,5.03,4.9,3.27,3.34,4.39,10.88,1.03,,2.75,,,2.5,2.88,,,,2.61,2.6,0.98,2.22,2.32,2.46,1.81,2.11,2.11,2.11,1.8,2.6,2.75,2.66,1.97,2.05,1.97,2.52,1.8,1.95,2.16,2.5,2.2,2.75,1.85,2.37,2.01,1.63,2.08,2.2,2.21,1.81,1.81,2.21,,2.32,,2.1,1.65,1.88,1.88,2.38,2.82,3.75,,1.1,1.1,2.05,,,,,,,,,,,,,2.3,2.35,1.45,1.8,2.1,,1.3,1.46,,,1.21,1.26,1.66,1.81,0.33,1.85,2.02,,,
233405085080001,Burmoo,23.56805556,85.13333333,,,,,,,,,5.47,9.15,,,6.24,9.65,,5.11,5.93,8.38,4.13,7.3,8.55,10.78,1.97,6.26,8.28,9.85,4.48,6.37,8.1,10.26,4.15,3.38,7.35,7.87,,6.47,7.2,,6.66,6.47,,,,,,10.22,,,,,6.15,4.82,,9.41,5.24,4.54,6.51,9.02,,,6.59,,,,7.86,10.2,,9.2,,,,,,,,,,,,,6.9,,6.62,7.2,7.86,9.95,6.45,7.75,,10.7,4.95,,,10.8,6.33,5.95,8,9.45,,,7.55,8.1,,5.5,6.8,,2.1,5.16,,,5.05,4.95,,9.15,4.7,5.21,7.19,9.35,,
233118085301401,Chutupalu,23.52166667,85.50388889,,,,,,,,,5.52,5.61,1.07,,5.32,5.65,,2.52,3.49,5.1,1.63,,,4.97,1.66,2.84,3.62,,1.66,,,8.91,0.14,1.85,,9.8,1.24,1.9,,7.93,2.2,,8.84,8.35,1.38,3.71,6.33,9.07,0.19,1.11,1.11,,0.9,2.2,2.8,8.73,3.76,1.66,2.27,8.48,0.26,1.72,3.65,7.55,4,3.65,4.1,10.4,9.46,9.46,9.6,6.1,0.36,,4.52,9.28,,2.88,2.03,7.36,0.46,2.22,2.42,9.53,1.55,2.62,5.76,9,,3.85,,7.8,0.9,,,,,,,,,,7.69,8.9,0.98,3.2,5.8,,1.1,2.72,,,2.5,1.16,3.6,8.66,0.28,5.29,4.65,7.7,,
231315085042001,Kalimati,23.22083333,85.07222222,,,,,,,,,3.52,7.21,,4.62,4.9,7.9,,2.59,3.66,5.62,,2.7,7.15,5.91,1.02,2.32,3.79,7.2,1.64,4.47,5.95,8.1,1.78,2.85,4.9,8.2,3.73,,5.5,6.25,1.58,,,,2.56,1.9,5.7,,3.71,3.39,3.39,6.4,1.35,4.68,4.1,6.5,3.08,3.25,5.26,,2.16,4.37,5.22,8.4,2.2,2.8,5.05,6.5,6.9,4.4,3.57,7.7,1.35,4.25,4.84,10.15,,4.48,5.24,6.5,3.85,2.32,3.8,,2.48,4.5,5.53,4.95,4.95,5.9,,,1.5,3.2,4.36,6.5,1.25,2.35,5.55,6.1,4.55,,7.12,7.2,5.6,2,4.1,,1.85,3.5,3.95,,1.2,,1.55,,1.9,,1.9,,,
230400085162401,Khunti,23.06666667,85.27333333,,,,,,,,,9.35,11.1,1.53,4.66,4.84,,1.4,2.81,3.51,9.13,2.13,3.75,5.1,12.24,1.55,2.88,,,2.01,3.43,7.17,11.08,2.84,4.96,4.95,8.05,,3.58,6.3,,0.96,,8.45,13.2,4.4,4.54,10.2,12.6,4.69,4.25,4.25,13.3,3.1,5.21,,13.42,5.54,3.54,6.56,11.62,1.85,4.23,7.29,11.3,3.6,3.2,4.77,9.11,6.37,6.23,7.6,10.26,0.57,3.34,4,,,3.76,5.34,9.87,,2.22,4.1,8.18,2.86,5.1,6.03,8.4,,,,9.65,,3.5,5.4,9.4,1.4,3.2,5.14,8.1,6.55,,6.54,7.7,5.4,2.4,4.6,,1.18,4.3,5.7,,2.3,2.89,3.6,5.4,,,,,,
231355085115001,Lodma,23.23194444,85.19722222,,,,,,,,,5.26,6.35,1.4,4.75,4.94,,,2.83,3.43,,1.32,1.8,6.9,,1.35,1.74,3.34,5.72,1.16,3.42,5.4,7.62,1.64,3.12,5.4,,2.97,4.19,5,7.8,5.26,,,6.3,1.4,,4.66,7,2.43,4.09,4.09,6,1.1,2.26,5,6.78,2.96,3.4,5.26,6.57,0.3,3.55,5.37,,3.1,,4.82,7.38,4.33,4.72,5.8,8.4,2.02,1.85,2.79,4.89,,2.73,3.53,3.85,1,1.52,,4.5,,,3.99,4.98,1.94,3.4,,5.12,1.1,2.45,3.88,,,,3.44,,,,3.7,5.05,1.8,,,,,,,,0.5,,3.45,,,,3.82,,,
232725085052001,Mandar,23.45694444,85.08888889,,,,,,,,,4.3,6.15,0.95,3.6,3.42,7.27,,2.08,2.98,6.25,1.05,3.75,5.25,6.21,0.8,1.87,3.64,5.67,0.33,3.84,4.8,7.18,1.6,2.8,5.65,8.42,1.35,3.3,4.3,6.8,0.98,3.3,3.14,6.2,1.8,,4.41,7.18,3.15,3.94,3.94,6.77,0.5,1.63,4,5.66,1.1,2.17,3.96,6.67,1.54,2.67,4.3,6.94,4.3,3.35,4.65,7.75,7.52,7.75,7.75,7.75,0.4,2.16,3.33,8.45,,2.83,3.65,6.1,1.77,2.7,3.67,5.22,2.1,3.46,4.3,6.5,1.8,3.55,,7.35,0.7,,,,,,,,,,4.3,8.2,1.6,1.8,3.1,,0.6,3.85,,,2,2.45,3.5,6.7,0.9,1.99,302,6.5,,
