station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
130700077153001,Banavadi,13.11666667,77.25833333,,,,,,,,,5.62,6.92,5.39,4.22,4.61,6.41,5.51,5.4,4.85,6.49,3.55,3.65,4.86,4.96,5.25,3.36,3.88,5.55,2.79,2.23,3.46,4.6,3.76,2.15,3.55,3.45,3.98,3.63,4.7,6.1,6.18,5.37,6.17,7,4.63,2.45,3.25,3.99,4,1.95,1.65,3.65,4.5,5,5.6,7.65,19.05,2.94,,19.05,3.12,2.13,4.25,3.95,3.37,2.9,3.6,5.55,3.9,3.15,4.3,3.66,3.47,2.47,2.55,2.72,,19.05,,19.05,4.32,3.41,4.18,5.12,19.05,1.8,2.88,4.65,3.85,1.18,,,3.85,7.7,2.84,3.56,2.82,1.42,2.2,1.72,,3.52,,7.3,4.6,2.72,,,4.23,1.95,3.66,,4.55,,1.9,1.7,1.65,1.4,3.2,3.22,,
123640077232001,Ganaldoddi,12.61111111,77.38888889,,,,,,,,,2.73,3.25,1.8,1.99,1.36,3.48,3.33,0.72,1.65,1.95,1.95,1.76,3.6,3.02,4.23,0.85,1.68,2.33,1.6,0.78,0.76,1.57,3.05,2.4,3.6,4.31,5.57,3.61,,6.11,5.66,5.11,6.51,7.11,4.81,1.96,3.13,3.94,3.01,,1.69,,,,3.24,2.91,2.81,3.05,3.81,2.87,1.96,3.02,3.06,5.41,,1.45,3.27,4.24,3.91,4.41,4.16,2.09,2.91,5.31,3.71,3.99,,,5.21,4.91,6.76,1.66,4.31,5.31,5.18,1.44,2.56,3.19,0.44,2.51,,3.23,2.21,5.28,4.87,4.48,,0.67,2.96,3.12,3.26,3.01,,7.58,5.47,1.13,,,2.47,1.14,2.63,,6.31,0.31,2.61,1.46,0.56,0.78,5.07,4.65,,
132150077311601,Gollahalli,13.36388889,77.52111111,,,,,,,,,14.87,14.91,13.7,11.43,11.71,12.01,11.91,10.58,10.91,11.11,10.33,9.46,10.91,10.92,11.36,9.68,10.38,11.18,10.98,7.28,8.47,9.92,10.61,8.75,9.6,11.08,11.05,10.98,11.19,11.38,11.04,9.2,11.11,10.68,11.1,11.08,11.19,11.04,8.88,9.78,9.59,,11.06,11.02,,11.08,11.08,10.32,10.9,10.16,9.84,,,,,,,,,,,,10.97,10.78,11,,,,11.28,3.01,14.44,1.82,,,,,2.02,10.95,10.95,9.83,,10.14,8.64,9.69,14.44,14.44,10.31,6.08,,,8.79,8.49,8.75,10.21,,0.96,,,,8.28,,,14.44,14.44,,,0.23,1.63,2,,,
130230077155001,Gudemaranahalli,13.04166667,77.26388889,,,,,,,,,12.05,12.89,17.82,9.4,10.2,11.63,12.02,10.97,10.95,12,9.75,7.9,9.9,9.78,5.2,8.3,8.46,10.15,8.76,5.32,7.49,10.65,9.1,7.4,8.47,9.9,9.75,9.5,10.51,12.31,13.33,11.53,13.3,13,10.75,7.64,9.15,11.45,10.5,6.7,7.29,,10.55,11.35,12.55,,13.8,13.2,13.8,13.8,10.25,,7.9,8.65,6.62,9.08,8,13.8,9.52,7.05,7.3,9.15,7.75,6.3,7.49,8.66,,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,,,,9.73,9.2,9.74,11.4,13.8,13.8,6.25,7.5,9.37,9.2,8.15,8.8,,13.7,,8.08,,14.7,,13.8,,,,,,,,,,,
122000077270001,Hegganur,12.33333333,77.45,,,,,,,,,3.12,3.42,2.8,2.69,2.96,2.94,3.06,2.07,2.07,2.27,2.03,1.9,2.92,2.45,3.67,1.96,2.05,2.67,2.23,1.73,1.77,1.57,2.17,1.71,2.1,2.68,3.17,2.45,3.46,3.55,2.9,1.45,3.57,2.4,2.37,2.13,2.35,1.89,2.27,1.65,2.2,1.95,2.13,2.16,1.32,3.14,3.15,2.23,2.35,2.28,2.75,2.34,2.48,2.65,7.45,2.85,3.2,2.62,2.25,,,2.6,3.48,2.58,3.35,3.35,,,5.75,3.07,2.77,3.18,4.64,3.49,4.78,2.61,3.62,2.63,2.63,2.18,,2.63,2.4,3.78,5.59,19.15,19.15,19.15,1.6,2,2.85,2.6,,6.55,2.5,1.54,,,,4.68,2.33,,3.81,1.38,1.95,2.25,2.05,1.18,1.8,2.35,,
123400077260001,Kanakapura1,12.56666667,77.43333333,,,,,,,,,4.6,5.97,3.26,1.57,2.43,4.62,4.44,1.24,1.42,4.38,2.8,2.46,4,4.04,6.08,2.06,2.5,4.42,3.7,0.76,1.6,4.22,,4.1,5.1,,,,,,,,,,,,,,,,,4.45,,,,,,6.49,6.7,,7.84,,4.92,6.3,2.78,,3.6,4.39,3.76,3.55,2.1,3.05,2.32,4.31,4.2,5.04,,6.08,6.7,6.6,5.6,2.81,3.92,4.53,4.08,2.75,3.72,4,2.35,1.38,,5.36,4.5,,5.72,7.35,5,0.89,1.85,4.04,3.3,2.75,4.16,6.83,6.58,3.47,,,3.49,2.28,3.88,,5.36,0.8,1.85,2.67,1.45,0.55,3.42,3.58,,
123400077280001,Kottahalli,12.56666667,77.46666667,,,,,,,,,10.01,,3.6,2.32,4.65,9.22,8.53,1.22,1.33,6.23,1.15,1.55,3.1,1.6,4.21,1.22,1.4,3.66,1.75,1.55,2.02,8.22,6.26,1.2,2.62,7.8,7.5,2.6,,,,4,,,3.96,1.25,2.14,,,,,,,,,,,2.16,6.45,7.6,7.85,1.37,5.05,8.44,2.19,9.35,2.28,7.75,8.61,7.06,9.35,9.35,9.35,9.35,9.35,9.35,,9.35,9.35,9.35,9.35,9.35,9.35,10.25,9.35,9.35,9.35,9.35,,7.39,,9.35,9.35,4.1,9.35,9.35,,0.75,1.25,6.7,3.05,1.28,1.35,,8.85,,,,3.1,1.94,1.41,,4.59,0.72,0.8,1.65,1.02,0.57,2.45,4,,
124000077270001,Kylancha,12.66666667,77.45,,,,,,,,,4.03,6.28,2.45,2.11,3.5,4.36,3.43,1.08,1.75,3.31,1.45,1.57,3.14,1.34,3.21,1.13,2.22,3.01,2.07,1.33,2.33,2.72,3.06,1.65,2.86,7.3,4.41,2.6,3.93,6.02,5.1,3.3,4.25,4,3.85,1.88,2.65,5.05,3.48,,,2.8,,,2.43,4.44,3.2,1.42,2.5,2.1,,1.25,,,,,,,,,,,,,,,,,5.87,8.18,6.28,3.14,4.91,7.98,8.2,,6.09,7.4,2.62,1.73,,,,,,,4.19,1.25,2.2,2.37,,2.15,,,,2.63,,,1.95,,2.29,,1.21,0.8,,,1.08,1.25,3.31,2.9,,
125820077112501,Magadi2,12.97222222,77.19027778,,,,,,,,,8.08,10.64,9.31,4.29,5.88,7.74,9.8,7.52,7.35,9.9,5.94,3.72,5.82,7.75,7.88,2.95,3.8,2.98,2.05,1.24,2.35,4.85,5.71,1.94,3.78,6.65,7.61,7,8,9.99,9.45,6.4,7.44,7.4,6.03,4.48,5.73,7.44,,2.2,3.7,6.5,7.85,6.44,,8.11,6.7,2.9,4.21,6.16,4.95,5.12,6.6,8.75,5.81,5.04,6.2,9.15,8.47,6.38,5.75,7.2,4.05,2.32,4.38,7.26,,10.51,6.8,10.5,7.46,4.84,6.99,11.2,10.4,2.36,3.15,3.3,6.1,1.8,,4.55,4.25,5.7,6.66,7.57,5.42,1.34,2.2,2.47,2.1,2.04,2.33,4.8,2.83,2.63,,,2.93,1.8,2.24,,2.4,0.7,1.6,1.62,1.45,1.5,2.52,3.5,,
130400077190001,Mahadevapura,13.06666667,77.31666667,,,,,,,,,9.88,11.36,9.35,4.77,5.88,10.83,9.69,5.69,8.52,8.58,6.89,7.57,7.1,9.12,8.55,6.02,8.63,7.53,7.37,4.19,8.05,9.06,7.07,2,8.28,9.08,,,,,,,,,,4.86,8.76,,3.76,,6.86,6.98,4.21,4.43,,5.49,5.88,7.42,4.43,5.48,1.63,4.55,2.78,3.43,3.4,2.03,3.58,14.18,4.06,,,2.93,2.56,3.08,3.69,4.11,,5.65,,6.18,4.9,3.8,4.09,5.47,1.88,0.87,3.9,3.83,3.83,2.19,,4.5,4.41,4.53,5.46,7.23,7.08,2.48,3.58,4.36,4.68,5.88,5.13,6.39,4.63,3.15,5.24,,12.05,3.58,4.1,,4.63,2.64,2.4,4.78,1.63,1.33,4.05,4.48,6.92,
