station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
125505077350501,Bangalore i,12.91805556,77.58472222,,,,,,,,,4.67,3.54,2.39,4.08,3,4.48,3.53,2.93,3.66,3.9,1.8,2.46,4.3,2.3,3.82,2.95,3.7,3.36,2.62,1.57,3.5,3.59,3.11,2.76,3.26,2.9,3.35,2.8,3.7,4,2.65,3.4,3.9,2.65,2.87,2.74,3.74,2.95,2.57,2.1,3.35,3.3,3.9,3.23,3.81,2.38,3.55,2.6,3.32,2.15,2.8,3.02,6.13,3.25,2.27,,3.51,2.8,2.85,2.8,3.35,2.8,2,2.8,3.9,2.41,,3.25,3.5,3.38,3.05,2.82,3.15,2.96,7.94,2.42,3.89,2.15,2.15,2,,,7.45,,4.5,2.98,1.7,1.9,,3.38,3,2.9,3.62,3.4,2.07,2.34,3.72,,3.43,,2.48,,,,,1.9,1.3,,3.77,2.97,,
125521077344501,Bangalore ii,12.9225,77.57916667,,,,,,,,,5.4,7.77,3.36,2.86,4.22,6.75,5.73,2.45,3.25,6.19,1.89,1.4,4.72,3,3.91,2.47,4.39,5.35,2.51,1.75,3.13,4.77,4.15,1.87,2.67,5.27,4.76,3.77,4.88,7.47,6.37,5.67,6.92,7.02,6.29,2.98,5.48,5.99,5.85,1.27,2.45,5.03,4.96,5.21,,5.87,4.67,2.09,3.53,3.96,3.57,3.04,5.04,5.09,2.98,2.11,2.47,4.72,4.27,3.25,3.22,4.07,1.87,2.4,5.17,4.14,,8.28,9.27,9.09,6.37,3.88,5.91,10.83,7.37,4.53,4.26,4.77,3.32,1.29,,2.47,2.37,3.95,4.73,8.28,3.51,2.46,4.57,5.07,5.07,3.87,6.55,7.39,3.67,2.44,4.48,,5.1,,3.65,,2.83,2.07,,2.27,2.07,,5.6,4.75,,
125639077333001,Bangalore-iv,12.94416667,77.55833333,,,,,,,,,3.56,3.37,2.7,3.29,3.5,3.75,3.2,2.1,2.36,2.59,1.94,2.08,,2.24,2.91,2.22,2.43,2.5,2.15,1.97,2.36,2.48,2.34,1.09,,2.35,2.35,2.2,2.64,2.75,2.01,1.65,2.3,2.1,2.15,2.05,2.66,2.74,2.06,1.7,2.02,2.85,2.89,2.67,,1.88,2.15,2.15,2.56,1.22,2.45,2.11,2.88,2.83,1.92,1.31,2.8,2.68,2.36,2.25,2.7,2.25,1.82,2.45,3.35,1.23,,2.99,3.4,6.6,2.8,2.76,3.28,3.48,2.91,1.75,2.04,2.47,2.55,1.9,,2.44,2,3.3,3.71,3.31,1.83,1.16,1.8,4.31,2.15,1.8,2.51,3.38,1.7,1.35,3.32,,3,1,1.76,,1.59,1.2,,1.54,1.1,,3.5,1.82,,
124745077362501,Begihalli,12.79583333,77.60694444,,,,,,,,,5.61,6.59,5.5,3.44,5.53,6.64,6.23,3.36,,5.53,4.06,1.23,2.95,3.3,5.51,1.35,1.85,3.68,1.75,1.03,1.64,2.8,2.11,1.02,,3.14,1.98,1.1,1.95,3.68,3.31,2.03,3.55,2.25,1.55,1.08,1.82,3.38,4.94,0.85,0.2,1.7,2.03,1.77,2.71,3.23,2.95,0.75,1.22,4.6,1.33,0.75,1.92,3.28,0.77,1,1.45,0.97,3.95,0.6,1.25,2,0.65,0.55,1.25,1.36,,2.62,3.3,5,2.73,0.58,1.85,1.95,2.4,4.21,2.89,4.98,2.25,0.47,,2.04,0.73,2,4.4,2.18,1.91,0.29,,1.47,1.45,1.17,2.26,3.45,1.87,1.62,2.36,,,0.15,,,,,,,0.17,,,0.67,,
124542077393401,Haragadde-A,12.76166667,77.65944444,,,,,,,,,11.24,13.12,,10.3,6.6,12.26,10.12,9.18,,9.46,9.33,6.77,,6.97,,5.77,5.65,,6.55,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.66,6.72,,,,,,,,,,,,,,,,,,,9.9,9.5,5.75,7.4,9.14,,9.36,8.88,9.8,9.7,7.73,,8.6,6.78,8.13,6.65,8.28,,3.75,4.3,2.71,3.4,3.5,3.9,6.75,4.69,5.56,3.47,,,4.75,5.21,,5.76,3.6,5.3,5.45,1.66,,3.59,3.55,,
124300077420001,Anekal1,12.71666667,77.7,,,,,,,,,,8.13,4,4.25,5,6.52,6.18,4.5,5,5.96,2.74,2.95,1.5,3.74,5.6,2.7,3.6,5.06,3.26,2.43,3.39,4.8,3.37,3.03,3.99,5.73,5.78,3.77,5.12,7.45,8,18.91,7.17,5.62,5.29,4.17,4.9,6.16,6.82,1.87,2.22,10.47,4.19,4.58,5.53,8.07,8.17,5.87,6.82,7.57,9.04,7.14,9.04,9.04,9.04,7.45,6.67,8.72,8.1,8.42,9.04,,9.04,9.04,10.47,9.04,,9.04,,9.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130730077284001,Hessarghatta,13.125,77.47777778,,,,,,,,,,22.52,22.1,,18.3,23.3,25.1,23.35,23.65,,,,,,,,,,,,14.79,,20.59,,,6.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,,,
125200077350001,Jayanagar,12.86666667,77.58333333,,,,,,,,,,,,,,,,,,,,,,,6.4,,6.28,,,,4.95,6.51,6.35,,,7.83,6.68,6.27,5.1,,,,9.57,9.67,8.77,7.54,7.9,,8.4,4.25,5.5,7.31,8.55,8.74,9.33,,9.8,7.34,8.15,9.99,8.88,6.98,8,9.59,8.49,6.86,6.87,8.46,7.77,7.09,7.01,,7.7,6.5,7.3,8.74,,9.38,9.7,11,2.9,,9.44,11.19,10.64,9.22,9.39,9.43,8.61,,,,8.6,9.75,10.74,,12.43,6.2,7.64,10,9.75,9.1,,12.16,2.1,2.51,10.36,,10.6,,7.46,,8.92,5.2,5.92,6.55,5.18,3,7.35,7.15,,
124230077420001,Anekal,12.70833333,77.7,,,,,,,,,,,,,,,,,,,,,,,,,,14.17,,10.99,12.68,23.88,14.8,14.28,,16.48,17.38,17.41,17.3,,,,19.78,20.46,18.6,16.71,16.93,,18.59,14.76,13.34,13.46,19.23,13.96,14.41,,18.56,17.42,19.17,19.57,19.58,17.99,18.24,20.81,20.59,18.37,18.26,21.48,21.08,20.85,20.56,23.76,23.81,20.55,20.59,24.01,,24.66,24.48,26.08,25.36,21.76,21.05,25.05,26.66,26.64,25.5,26.31,24.54,,,,20.4,20.6,23.34,,23.25,15.16,18.11,19.79,19.63,,19.09,21.97,21.92,19.74,19.96,,,,,,19.4,,16.34,,16.85,13.93,14.93,15.67,,
130430077261501,Dasanapura,13.075,77.4375,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,,14.5,16.59,,,,22.9,22.21,23.54,26.91,,,,32.76,35.8,,26.44,26.25,,32.04,23.4,23.2,28.36,29.31,32.58,34.2,,,28.77,30.45,31.25,31.8,23.7,,30.8,30.49,27.31,,31.95,31.13,29.6,28.44,,29.03,28.78,29.69,28.55,,40.6,31.3,31.48,,,,19,32.18,29.28,29.88,30.37,31.38,,,,24,30.44,27.37,,30.57,23.9,24.57,29.61,23,,27.7,29.7,28.37,25.33,26,,,18.7,23.8,,25.75,20.1,18.57,22.28,17.34,13.24,17.17,20.09,,
