station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
152400076420001,Emmiganur,15.4,76.7,,,,,,,,,2.85,2.85,1.94,2.42,3.32,3.6,4.35,2.45,2.11,2.13,2.79,1.77,2.5,2.62,2.9,2.19,1.97,2.74,2.38,1.63,1.8,2.41,2.85,1.3,1.94,3.8,3.3,2.81,3.8,5.19,5.59,3.4,3.12,4.98,4.69,2.95,3.2,4.75,3.27,2.22,2.49,3.2,3.55,2.23,2.25,2.79,2.78,1.95,1.4,2.6,2.8,2.02,2.28,2.9,2.75,1.45,2.01,2.57,1.85,1.56,2.23,2.51,3.16,2.01,3,2.52,,1.59,2.4,2.7,2.3,1.6,2.43,2.7,2.67,1.41,2.8,2.94,4.87,2.45,,5.7,4.5,3.8,5.1,6.82,,,4.4,5.75,5.35,3.75,,6.85,5.4,1.45,3.77,,,3.6,4.2,,5.55,3.05,3.8,4.82,2.35,3.6,4.03,5.95,6.4,
145630075513001,Hagaranur,14.94166667,75.85833333,,,,,,,,,13.53,13.31,12.88,7.08,8.6,12.14,10.15,10.35,10.06,10.96,11.76,9.6,11.3,12.5,12.75,12.3,12.9,,12.1,7.17,8.32,12.15,12.7,10.4,11.63,12,12.84,10.06,13.05,,,13.15,13.48,,11.99,11.6,,,13.32,10,10.16,12,11.78,13.32,13.07,,13.41,4.35,6.2,6.95,8,7.8,6.99,7.2,8.28,5.55,5.1,6.7,6.55,1.6,4.75,6.58,6.34,7.47,8.2,9.9,,7.93,11.4,10.7,9.6,8.05,8.9,9.8,7.8,6.89,7.2,9.8,8.9,8.4,,10.93,11.55,11.9,13.9,13.9,,,11.62,12.14,13.9,10.77,,,12,7.42,9.33,,,4.5,6.05,,6.3,5.07,5.55,3.7,2.1,2.73,5.46,7.58,7.3,
151800076283001,Kamalapuram1,15.3,76.475,,,,,,,,,1.75,1.65,1.55,1.57,2.6,1.7,1.3,0.8,0.97,0.85,0.88,0.74,2,1.25,1,1,1.08,0.99,0.87,0.92,0.93,5.93,5.73,0.87,0.88,0.7,0.82,0.89,,1.04,5.67,0.84,0.85,0.9,0.9,0.9,0.9,1.8,0.8,0.75,1.22,1.12,0.83,0.62,0.9,0.7,0.7,0.7,0.4,0.8,0.8,1.05,1.28,0.9,0.6,0.76,0.76,0.68,0.67,0.77,0.82,0.8,,,4.15,,,1.64,2.61,0.6,1.9,1.95,2.45,2.3,1.95,1.92,2.5,3.23,2.2,2.13,,3.43,2.47,2.85,3.03,3.48,,,2.6,4.95,3.09,3.34,,,4.15,3.03,3.73,,,2.2,1.82,,1.83,1.46,1.8,2.15,1.63,2.03,2.83,3.4,3.05,
152030076503001,Kurugodu,15.34166667,76.84166667,,,,,,,,,6.34,7.94,7.24,5.22,5.55,7.67,8.36,6.3,6.4,7.57,7.84,5.14,6,,8.14,,6.82,,,8.1,7.75,,,,8.45,,,,,,,,,,,,,,9.35,9.35,9.35,9.35,9.35,9.35,9.35,,9.35,9.35,9.35,9.35,9.35,9.35,9.35,,,9.35,8.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,,,,9.35,9.35,9.35,8.34,8.78,7.95,8.2,6.15,5.7,6.5,7.66,8.4,5.95,,6.1,9.35,8,9.35,9.35,,,9.35,,,4.02,,,8.33,7.6,10.13,,,4.45,4.3,,9.35,3.25,3.8,8.05,6.65,,,0,0,
145900075480001,Magala,14.98333333,75.8,,,,,,,,,9.9,9.18,8.81,6.32,7,7.86,8.36,6.08,5.7,5.27,6.75,4.35,,5.9,6.1,5.5,6.4,5.87,5.2,3.3,4.32,4.99,5.15,4.1,4.92,6.95,7.12,5.41,8.42,6.03,,3.85,4.57,5.65,3.93,3.72,8.48,5.65,4.25,4.65,3.8,4.55,3.47,3.42,3.98,4.45,3.7,1.3,2.55,10.95,3.1,3.1,3.11,3.85,3.46,1.91,2.8,3.5,3.06,1.85,2.2,3.42,3.7,3.74,4.83,3.91,,2.38,3,4.15,3.47,1.92,1.95,1.8,2.72,2.45,2.45,3.45,3.57,2.98,,3.95,3.03,3.33,4.15,5.05,,,2.71,3.71,2.68,2.73,2.87,4.56,1.7,0.93,2.53,,,0.75,1.65,,1.35,0.8,1.43,1.23,0.48,1.21,2.47,2.8,2.1,
151000076220001,Mariyammanahalli1,15.16666667,76.36666667,,,,,,,,,8.73,10.8,10.62,3.72,4.95,7.57,7.77,6.96,6.43,7.28,7.57,1.77,4.1,5.2,5.32,1.7,3.3,5.45,2.3,2.45,3.67,5.28,5.9,2.17,4,5.95,6.07,5.83,6.67,,9.4,6.2,6.4,,8.38,4.64,6.45,9.05,5.45,,,5.05,8.68,2.53,3.8,5.23,4.05,1.28,1.85,3.55,2.9,2.93,3.8,,4.42,1.38,2.25,4.35,1,1.02,1.82,3.04,2.09,2.65,2.45,3.22,,2.98,3.29,6.05,3.7,1.76,2.88,2.65,1.47,1.55,3.85,3.57,4.65,2.2,,5.25,2.5,3.55,4.32,4.6,,,3.54,6.9,5.55,,9.63,7.75,7.9,4.83,9.8,,,1.35,2.75,,0.82,1.9,1.07,6.3,1.25,2.25,,,7.9,
145040076312001,Nagarhunse,14.84444444,76.52222222,,,,,,,,,10.03,8.65,7.87,7.35,7.7,8.7,7.81,2.41,8.02,8.66,8.89,4.1,5.55,6.3,6.6,2.45,3.6,6.39,5.2,2.84,4.18,6.1,6.15,2.92,4.27,6.1,8,8.66,8.1,,,8.29,9.26,,8.15,7.7,,,,4.1,,10,10,10,10,,,7.3,10,10,10,9.5,10,,,2.78,4.81,9.54,1.52,2.36,4.9,10,8.91,8.4,9.73,9.73,,9.73,9.73,9.73,9.73,9.73,9.73,9.73,3.9,4.43,9.73,9.73,9.73,6.5,,9.73,9.73,,9.73,9.73,,,9.73,,,9.73,,,9.73,5.76,9.1,,,4.05,5.87,,8.66,4.86,7.34,6.4,1.55,2.7,8.03,8.21,,
151030076370001,Shro.Gangalapur,15.175,76.61666667,,,,,,,,,2.84,11.91,9.7,9.56,9.4,9.7,9.83,8.45,8.85,8.32,9.56,8,9.7,8.6,9.68,8.12,8.75,9.48,8.3,8.15,9,9.4,10,8.37,,,9.8,8.22,9.9,,11.45,10.04,12.53,13.2,14.34,12.65,12.8,,12.4,10.3,10.47,10.56,11.64,9.2,9.57,,10.4,8.3,,9.4,9.9,8.66,9.12,10.8,9.9,8.24,8.5,8.57,7.94,7.8,8.25,8.73,8.8,8.48,8.8,9.3,,8.96,9.32,11.3,10.08,8.9,9.95,10.7,10.77,5.05,9.6,9.43,10.88,8.54,,9.5,10.06,11,11.7,13.4,,,9.82,11.85,14.2,14.2,,,,,11.7,,,,,,,9.48,8.1,9.3,,,9.72,10.45,9.3,
152130076544501,Sindegeri,15.35833333,76.9125,,,,,,,,,5.46,6.01,3.48,4.54,5.35,6.1,6.85,3.13,4.45,4.64,5.76,2.4,5.04,3.15,5.42,2.26,2.43,3.81,3.08,2.2,2.4,3.56,4.17,1.8,2.39,5.82,4.43,4.12,6.16,,9.75,9.31,9.4,10,11.15,10.7,8.54,,,6.6,,,,6.9,6.17,7.43,6.85,3,3.1,5.55,7,3.51,6.3,6.54,7.56,,4.6,5.27,5.44,4.46,4.43,6.53,7.22,10.8,,11,,11.48,10.55,11.3,11.6,11.6,11.6,11.6,9.3,6.02,5.65,5.95,8.83,5.6,,7.93,11.32,9.95,10.4,11.6,,,6.21,6.68,10.6,9.16,,4.55,11.6,7.3,7.27,,,5.35,2.6,,4.09,5.45,4.97,3.93,1.6,3.2,4.64,0,6.5,
152630076503001,Sirigeri1,15.44166667,76.84166667,,,,,,,,,5.8,6.65,3.68,1.92,2.5,4.5,5.16,4.3,4.22,4.83,6.01,0.77,2.44,3.5,4.13,3.04,,8.66,4.75,2.37,2.62,3.85,5,1.23,2.05,4.16,4.55,5.91,5.55,8.95,7.9,5.97,5.99,7.95,6.79,5.85,5.78,8.25,4.15,2.11,3.21,4.5,5.05,4.3,2.25,3.7,2.45,,2.35,2.7,3.41,3.02,3.65,4.75,4.25,1,1.5,2.82,1.72,1.16,1.25,2.54,2.53,2.75,9.65,3.45,,3.42,3.65,3.55,1.98,1.52,1.6,1.95,2.03,1.47,1.85,1.51,1.73,1.4,,2.81,2.27,2.05,2.45,3,,,1.13,2.1,2.33,2.29,,,4.1,,,,,0.8,1,,9.65,0.7,0.93,1.25,0.65,0.65,20.5,2.33,2.4,
