station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
175425077251001,Andur,17.90694444,77.41944444,,,,,,,,,10.78,17.15,6.62,13.11,7.99,16,13,9.35,8,14.88,9.27,4.51,7.92,12.28,8.98,6.29,8.15,15.08,11.34,10.8,13.2,16.35,13.99,12.45,13.04,14.77,12.71,11.3,12.17,,7.6,,11.33,18.08,16.8,15.62,17.05,18.17,16.08,13.05,7.78,11.26,,5.55,,,3.56,2.07,6.55,5.9,0.97,1.56,3.94,17.2,4,2.56,3.76,18.98,7.11,5.73,6.24,7.3,8.3,8.86,11.15,18.9,,9.1,10.8,13.3,7.67,6.75,7.25,15.95,14.6,14.8,16.15,20.1,17.9,17.9,,20.8,14,7.53,,,,,6.6,14.9,11.82,16.09,16.9,,13.83,10.1,,,,6,6.3,,6.65,5.33,6.13,10.5,3.7,5.45,7.78,8.2,,
180400077090001,Bhatambra,18.06666667,77.15,,,,,,,,,7.49,13.35,5,6.97,7.39,12.4,10.33,8.22,8.79,,4.97,1.63,5.1,9.51,10.93,2.42,6.83,12.02,1.33,1.55,5.14,10.07,7.9,4.64,5.81,10.34,8.53,5.31,6.35,,5.09,6.79,7.78,12.81,9.93,9.21,11.89,14.55,11.06,5.16,6.69,12.4,5.06,5.54,8.81,13.44,10.34,6.53,10.61,13.9,7.35,4.21,8.92,13.69,14.04,10.42,12.81,15.15,0.97,4.17,7.71,13.19,0.69,6.89,10.19,14.44,,3.89,9.41,13.79,1.03,6.84,10.34,14.01,14.34,10.49,12.89,15.19,14.09,14.54,,15.19,7.99,3.29,,,,,8.49,14.69,8.46,13.39,,13.49,12.64,7.24,,,,0.89,8.49,,0.49,0.7,10.44,13.24,0.14,4.24,11.25,11.4,,
173800077240001,Changler1,17.63333333,77.4,,,,,,,,,14.65,19.3,9.85,10.93,11.84,19.65,18.09,16.95,19.39,,4.38,9.41,11.02,14.13,15.71,13.44,16.33,19.76,12.65,11.78,14.67,17.38,15.77,14.88,16.38,,19.07,19.8,20.2,,17.7,,,,,18.98,,,21.87,15.59,21.57,21.57,,16.76,21.57,,,15.2,,,14.85,11.92,15.06,,18.11,12.12,14.8,,9.43,8.57,10.96,16.71,11.2,14.68,,18.6,,12.7,15.26,,9.17,12.65,14.2,21.57,21.57,,21.57,21.57,21.57,21.57,,21.57,21.57,10.8,,,,,7.8,9.5,,21.57,,,21.57,,,,,,6.9,,,,,,,,,,,
181530077153001,Dongargaon,18.25833333,77.25833333,,,,,,,,,4.45,,2.88,3.99,4.62,8.2,7.1,1.25,3.04,7.68,0.4,0.33,3.82,8.1,0.64,1.7,3.12,8.26,0.93,0.95,3.1,,7.65,4.12,5.44,9.8,6.84,4.76,5.38,9.15,,3.9,5.23,5.8,4.18,3.92,4.75,6.84,5.99,4.01,3.37,6.31,1.71,2.32,4.59,10.9,2.1,2.94,5.17,10.9,0.66,3.2,4.36,11.28,0.76,2.8,4.14,11.4,0.99,2.63,3.87,11.4,0.85,3.13,4.05,8.05,,0.55,3.75,7.8,0.25,2.05,3.19,11.27,3.95,4.87,10.3,6.88,,0.6,,11.4,0.65,0.42,,,,,0.15,0.45,0.88,0.47,4.25,4.7,1.63,0.57,,,,0.65,0.35,,0.2,0.4,0.58,4.6,0.42,2.25,4.6,3.9,,
175310077054001,Ghatboral,17.88611111,77.09444444,,,,,,,,,5.56,9.9,3.12,5.34,5.43,10.52,9.08,6.67,7.92,8.37,10.39,7.16,5.14,,,2.16,4.68,7.13,3.8,12.06,13.39,15.91,12.42,7.96,10.13,12.98,10.11,7.57,8.77,,3.12,8.72,10.06,9.68,6.67,6.4,,11.34,9.45,6.78,,,4.31,3.8,4.52,14.34,9.03,12.3,13.72,15.83,6.09,4.54,14.02,15.42,9.52,9.87,13.72,17.44,6.59,8.24,11.59,14.07,1.12,3.53,5.02,8.17,,4.42,5.72,11.82,3.87,2.59,4.09,5.68,4.82,13.21,14.77,5.82,14.92,6.12,,9.52,2.82,1.92,,,,,13.02,5.22,3.65,24.9,6.1,,4.32,3.57,,,,4.62,1.92,,0.72,1.39,6.08,4.92,0.37,2.02,5.07,5.41,,
180400077100001,Helsi,18.06666667,77.16666667,,,,,,,,,3.66,7.8,2,2.26,2.98,5.8,4.95,3.18,3.56,6.13,4.5,0.47,3.74,3.3,3.27,1.61,1.94,3.91,2.04,1.38,3.55,5.56,6.2,3.39,3.94,6.7,4.41,4.1,5.09,,3.5,2.35,4.2,5.83,4.63,4.01,,,4.3,3.4,2.76,,2.27,1.77,3.54,5.94,4,2.55,4.05,5.41,2.12,2.32,3.08,6.03,6.33,5.11,6.75,6.75,4.38,1.9,2.14,5.2,1.6,2.81,3.85,6.2,,3.35,6,6.75,1.86,2.61,3.58,5.73,4.6,4.6,5.6,6.75,6.75,4.2,,6.75,4.4,1.8,,,,,3,4.8,5.35,6.75,5.35,,6.75,5.1,,,,1.35,2.5,,1.45,0.95,2.7,3.2,1.3,1.5,3.3,3.8,,
181500077120001,Kamalnagar,18.25,77.2,,,,,,,,,6.78,6.5,3.15,4,4.67,5.4,4.98,3.2,3.9,3.54,1.47,0.45,3.69,2.36,1.7,1.3,2.76,3.33,1.04,1.1,2.3,4.92,1.03,2.7,3.03,5.81,4.5,3.24,4.05,7.03,0.8,6.2,7.04,6.08,4.79,3.81,4.7,7.52,6.5,3.57,3.83,3.67,,2.11,4.58,5.07,2.13,2.8,3.61,3.75,1.2,2.59,3.42,3.84,2.11,2.51,3.45,4.15,1.49,2.2,2.58,2.35,0.25,2.12,2.95,2.75,,1.2,3.1,4.2,0.15,1.57,2.29,1.7,1.45,1.88,2.45,2.97,1.45,1.2,,11.21,1.75,1.62,,,,,2.95,3.45,1.46,4.05,5.39,10.38,4.1,2.25,,,,1.45,1.8,,0.1,1.65,3.67,2.15,0.2,1.4,3.35,7.75,,
175205077221501,Khanapur2,17.86805556,77.37083333,,,,,,,,,14.34,16.5,11.36,12.17,12.69,16.27,15.55,13.42,14.45,15.82,15,10.83,9.49,,14.85,13.21,14.5,16.15,12.92,12.16,14,16.7,15.24,13.21,14.72,16.21,14.34,13.17,14.03,,9.65,13.6,14.4,16.02,13.74,15.5,15.75,18.02,16.25,13.83,14.31,15.87,13.72,13.09,14.58,17.86,15.55,13.55,6.9,17.86,14.4,14,14.88,15.17,15.96,14.98,16,17.86,14.08,12.83,13.95,16.15,10.45,14.58,16.05,17.86,,,15.75,11.45,17.86,13.18,14.32,17.86,14.31,16.01,16.35,,,16.4,,17.86,14.45,12.15,,,,,14.35,16.65,15.56,16.33,14.3,,16,15.7,,,,10.25,12.85,,11.85,10.75,14.15,,5.8,10.45,15.35,15.7,,
175000076520001,Matala,17.83333333,76.86666667,,,,,,,,,7.37,15,5.66,6.96,6.89,14.93,11.37,9.71,10.19,16.78,4.45,4.42,6.86,8.89,5.75,5.75,7.14,6.98,5.66,5.35,7.61,12.77,11.21,10.59,11.8,13.27,10.61,6.96,7.84,14.01,5.67,8.07,8.53,9.07,6.97,5.87,9.02,10.26,,,,,9.7,11.79,12.27,17.26,12.16,6.8,10.51,16.06,14.22,6.49,9.22,16.59,15.02,9.3,14.15,18.53,5.48,6.44,6.94,14.22,4.12,6.82,9.62,17.92,,9.82,14.07,,7.77,5.67,14.19,14.6,14.15,5.97,8.22,14.77,12.97,11.72,,18.62,6.07,5.32,,,,,7.62,13.62,7.64,10,12.07,,8.2,9.3,,,,4.99,6.52,,5.52,4.62,8.06,12.52,4.57,5.97,11.6,11.8,,
174200077190001,Nirna,17.7,77.31666667,,,,,,,,,6.76,10,5.04,6.65,6.85,10.17,9.58,7.09,8.17,10.27,3.8,1.23,5.58,7.08,5.63,6.11,7.86,10.63,3.86,4.07,6.06,9.76,8.7,6.99,7.98,11.35,10.4,8.2,9.07,11.9,5.8,10.2,11.18,7.61,6.07,5.15,10.3,12.34,10.67,8.43,4.3,7.47,9.43,4.76,5.3,13.78,3.1,3.2,5.98,13.78,3.2,4.4,7.03,13.78,4.01,3.84,6.84,13.78,2.06,3.14,5.08,9.7,1.9,5.74,6.6,11.6,,3.8,6.05,11.4,2.42,2.86,4.5,5.07,4.28,10.37,11.8,13.3,11.6,15.05,,15.78,4.7,2.8,,,,,3.3,5.6,3.27,5.19,3.1,5.65,3.1,3.52,,,,1.4,3.1,,3,2.95,4.48,10.47,2.6,2.95,5.15,7,,
174830077030001,Rajeshwar,17.80833333,77.05,,,,,,,,,7.26,12.9,5.95,6.87,7.09,11.8,10.55,8.5,9.35,14.95,5.81,3.05,7.06,10.48,4.32,4.56,6.03,12.63,5.13,5.65,7.54,10.25,9.51,7.64,9.37,14.75,12.54,10,11.25,15.12,7.4,10.5,11.22,11.67,7.4,6.69,12.9,14.06,12.14,9.17,,16.71,10.34,8.83,11.9,16.71,15.85,9.15,12.85,16.71,8.14,5.89,8.08,15,12.04,7.08,8.52,16.71,4.15,3.74,5.45,9.6,2.9,5.87,7.2,14.85,,8,10.28,14.9,6.45,4.82,5.9,8.5,9.9,6.72,,15.2,16.65,12.75,,18.71,10,1.8,,,,,3.6,5.9,4.06,6.08,7.8,14.6,3.39,,,,,2.2,2.2,,2.3,1.85,,5.2,2.05,3.1,6.6,6.95,,
