station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
140200076070001,Arehalli,14.03333333,76.11666667,,,,,,,,,9.8,12.77,8.91,6.19,7.63,9.45,7.8,6.88,6.39,8.91,8.31,7.88,7.22,9.2,8.16,4.43,4.94,7.67,5.96,4.15,4.7,6.27,6.2,5.94,6.82,7.71,7.65,7.42,8.29,9.8,9.4,8.82,8.74,9.77,7.66,8.42,9.55,10.3,8.9,5.55,6.72,7.54,7.5,7.2,8.21,8.6,6.7,4.55,5.55,6.45,5.9,4.98,5.81,7.65,,2.15,2.2,1.91,,1.25,0.82,3.3,4.05,1.15,5.45,5.5,,5.18,5.22,6.32,4.2,3.15,,4.48,4.8,1.58,2.95,3.88,3.37,1.72,,3.9,3.5,4.7,,,6.6,2.85,4.3,4.2,4.5,3.2,5.6,8.16,4.98,1.09,3.25,,,1.84,2.95,,1.79,1.35,1.99,2.02,,0.83,,3.29,2.9,
140300076050001,Dummi,14.05,76.08333333,,,,,,,,,8.4,12,10.61,6.26,9.93,11.2,7.97,8.03,5.91,9.42,7.84,7.63,6.39,10.07,9.48,3.57,2.69,8.66,6.8,4.7,5.34,6.38,6.85,4.97,7.18,8.37,6.81,6.46,6.22,12.37,,11.63,11.69,12.27,7.6,4.74,15.57,8.18,6.69,1.42,3.13,6.53,6.72,6.62,9.37,15.57,7.34,3.75,5.67,7.26,5.22,3.32,4.82,8.7,4.72,1.12,0.97,2.22,1.15,0.76,0.18,2.02,1.67,1.02,15.67,3.67,,2.34,2.43,4.14,1.07,0.91,1.29,2.24,1.42,0.67,1.07,1.4,1.07,0.97,,2.37,2.17,2.87,,,5.23,1.37,4.52,1.92,1.27,1.87,2.67,4.05,2.52,0.87,2.42,,,1.22,1.53,,0.77,0.85,0.87,0.78,0.25,1.02,1.85,2.04,1.82,
140130076443001,Eswaragere,14.025,76.74166667,,,,,,,,,11.6,8,8.14,3.66,3.1,,,9.47,,,8.17,2.16,1.76,7.27,10.46,3.97,4.85,,5.54,1.07,1.35,8,,2,1.47,5.47,,3.39,6.37,,3.04,3.47,,,,,,7.95,3.9,1.19,1.08,7.56,6.37,8.07,5.98,11.14,1.74,1.88,1.02,5.04,6.37,4.96,7.22,7.2,6.37,1,1.17,1.47,6.49,0.71,0.74,1.77,6.47,0.6,8.57,6.17,,11.14,11.14,,,,,11.14,6.67,4.07,4.57,11.14,11.14,6.07,,11.14,11.14,,,,11.14,2.42,2.32,5.49,11.14,11.14,,,11.14,,,,,7.32,,,11.14,,11.14,,,,,,,
135600076080001,Gangasamudra,13.93333333,76.13333333,,,,,,,,,6.3,6.96,3.69,3.05,,4.63,4.55,1.96,,,5.41,5.3,4.74,,4.51,2.28,2.65,4.75,3.35,1.75,2.65,3.63,3.73,3.35,4.65,5.85,5.96,3.48,4.88,,7.3,4.29,4.37,6.23,3.05,3.5,4.15,4.34,3.3,2.37,3.1,4.95,5.05,4.25,4.92,7.75,2.66,2.35,3.09,3.34,3.5,,4.16,6,3,1.87,2.15,,,,1.14,2.85,3.25,,4.55,3.65,,3.23,3.45,5.33,3.28,3.91,6.03,10.25,10.25,1.55,2.35,3.62,3.71,2.05,,3.45,,3.81,,,10.25,2.35,3.95,2.25,2.25,1.25,2.95,,10.25,1.5,3.8,,,1.9,1.95,,2.02,1.81,1.85,2.45,,,2.34,4.4,3.95,
135400076184501,Gatti hosahalli,13.9,76.3125,,,,,,,,,7.85,9.1,7.15,3.85,6.29,6.1,6.1,4.29,4.88,8.64,7.17,6.44,5.31,7.87,5.9,1.6,2.15,5.67,2.14,2.19,3.76,7.6,7.72,5.88,7.45,8.72,,6.6,,8.92,,,,,,,,8.66,4.52,2.01,3.82,8.89,7.22,5.52,7.74,8.89,5.53,1.81,5.79,8.33,4.92,1.8,5.68,9.65,3.42,1.7,1.32,2.14,1.74,1.77,0.74,6.72,5.52,5.88,8.89,8.12,,7.14,8.22,8.89,8.89,5.62,8.89,8.89,8.89,1.42,2.02,7.07,3.86,1.5,,8.89,5.09,7.47,,8.89,8.89,7.32,8.89,8.89,8.89,5.72,,,8.89,,3.45,,,8.89,2.97,,3.57,1.5,5,,0.15,2.4,5.88,8.95,8.52,
142105076095001,Hampanur,14.35138889,76.16388889,,,,,,,,,19.3,19.1,10.97,8.45,10.98,20.06,10.4,9.47,11.35,18.96,15.7,13.8,9.77,,11.94,9,9.68,22.55,10.25,6.85,8.45,9.65,8.41,8.75,11.07,12.95,12.77,11.95,13.25,,,,13.6,,,,,13.83,14.25,11.95,12.45,13.13,12.95,11.75,13.73,18.85,11.04,8.19,9.69,10.85,9.23,8.32,8.97,11.9,6.85,5.57,9.75,7.92,7.41,3.76,4.48,8.65,7.4,8.24,10.45,10.65,,18.85,10.25,11.69,7.28,6.6,,9.15,7.1,4.88,6.15,9.2,8.4,7.2,,12.29,9.92,11.49,,,13.18,9.55,12.2,12.95,18.85,13.05,13.4,19,9.68,7.05,13.6,,,6.29,1.75,,4.87,3.75,4.83,4.01,0.3,3.15,3.78,7.07,6.02,
140300076330001,Hartikote,14.05,76.55,,,,,,,,,1.9,8.5,8.38,9.12,10.16,12.1,,9.63,9.65,11.17,12.34,11.77,11.78,9.25,10.61,4.16,3.68,6.45,4.08,3.2,3.45,5.93,7.5,4.6,4.24,,,4.91,5,8.28,9.4,8.19,8.06,9.95,8.94,,11.02,,8.7,5.65,5.11,7.45,4.85,4.84,6.07,14.8,8.91,5.5,4.78,6.55,7.1,5.4,6.31,7.4,5.35,5.06,,5.1,6.36,3.79,2.9,5.48,6.78,7.42,8.1,,,7.58,14.8,9.8,14.8,7.09,8.27,10.89,9.37,7.35,5.55,6.81,9.75,6.36,,14.8,10.85,12.35,,,14.8,5.25,5.65,6.05,8.35,8.95,,15,9.79,,5.5,,,4.31,4.55,,6.23,4.03,4.5,3.41,0.18,3,3.85,2.17,4.92,
135906076390001,Maskal,13.985,76.65,,,,,,,,,4.88,3.34,4.25,3.57,4.7,4.9,5.45,5.32,5.32,5.18,,4.69,5.53,4.4,,5.52,5.11,4.1,3.2,3.1,3.47,3.71,4.34,3.16,3.54,3.65,,3.85,,5.1,,,4.73,,,,,,,2.85,,3.33,3.5,,,,4.1,1.98,4.26,4.86,4.15,4.88,,,3.24,,,4.28,,3.18,3.82,3.7,3.95,4.48,5.66,5.7,,4.15,4.95,5.55,5.7,5.7,5.7,5.7,4.8,4.38,4.1,4.45,5.12,4.95,,4.9,4.5,5.05,,,5.08,5.1,5.7,5.7,5.7,5.7,,,5.7,,4.1,,,4.33,4.2,,4.18,3.17,4.25,4.2,0.67,3.57,3.74,4.1,4.08,
140130076073001,R.Nulenur,14.025,76.125,,,,,,,,,6.96,7.9,2.25,2.1,2.39,4.6,4.5,3.79,1.38,4.3,4.68,3.55,3.95,5.05,2.25,0.8,1.15,3.67,2.1,0.98,1.32,6.03,4.62,4.12,5.72,7.65,5.28,2.62,3.58,10.88,,4.8,6.61,7.1,1.23,1.91,2.38,,,1.15,1.57,3.15,,,,5.1,1.86,0.99,1.77,3.03,2.3,1.3,1.67,4.15,5.5,0.55,0.8,1.4,1.21,1.06,1.77,1.85,2.05,0.98,2.89,2.6,,3.07,4.1,4.08,3.4,2.71,5.01,5.83,6.6,4.25,4.08,1.23,2.3,1.1,,2.9,2.75,3.95,,,7.5,2.4,4.15,1.47,2,1.8,1.65,,7.5,2.05,4.14,,,3.81,2.85,,1.91,1.15,1.66,2.38,0.18,1.1,2.24,57.75,3.2,
140130076163001,Talya,14.025,76.275,,,,,,,,,3.9,6.35,4.04,2.9,3.23,4.25,3.7,,1.64,6.76,7.37,5.38,3.58,6.75,3.38,,0.11,4.77,2.2,,,1.02,1.6,0.32,0.88,4.92,3.38,2.85,2.6,,6.95,,,3.15,0.82,3.3,2.6,1.6,0.2,,,0.15,0.3,,0.05,9.12,1.39,0.15,0.65,2.63,,,0.2,4.87,0.25,,0.8,,9.12,,,0.4,0.35,0.48,4.6,1,,1.28,0.6,3.84,1.4,0.6,1.35,1.64,1.6,,,0.04,0.04,4.72,,0.8,0.8,1,,,9.12,,2.3,3.3,2.3,1.5,,,10.12,,,,,9.12,0.1,,0.7,0.02,0.82,0.68,0.06,2.04,3.3,3.2,3.11,
140700076360001,Vaddikere,14.11666667,76.6,,,,,,,,,10.9,11.9,11.12,8.38,8.95,11.1,11,10.58,8.4,11.58,,,8.89,10.2,10.75,8.49,8.03,10.16,10,6.38,5.46,8.64,8.05,4.54,6.01,8,10.6,7.72,7.5,9.6,9.94,9.57,9.18,12.55,11,10.77,11.96,12.5,9.97,6.25,5.13,,7.7,8.63,7.48,10.85,9.75,7.96,6.61,9.14,7.45,6.44,,10.5,7.11,3.62,7.4,6.35,6.88,3.97,2.9,6.63,8.7,7.79,10.9,12.8,,10.01,11.8,12.3,13.45,7.25,8.91,13.62,2.75,5.15,5.8,9.46,10.1,5.15,,11.56,9.3,11.6,,,13.7,5.95,7.6,10.46,13.3,13.55,,,16.1,,12.78,,,4.85,5.8,,9.26,4.22,7.85,4.5,0.1,1.8,4.02,12.08,8.2,
142900076450001,Molakalmuru,14.48333333,76.75,,,,,,,,,,,,2.1,3.58,4.1,4.5,4.6,2.41,4.16,4.2,3.64,2.49,3.3,3.64,1.82,1.94,3.58,3.06,1.95,,,,,,,,,,4.2,,,,,,,,,7.8,2.35,2.6,3.71,4.35,3.63,2.62,7.8,,1.58,2.27,2.56,2.9,2.54,2.91,3.6,9.45,1.41,2,,1.88,,,2.7,2.9,3.31,4.3,3.7,,3.48,,,9.5,3.41,5.01,4.16,3.65,2.35,2.9,3.42,3.6,2.52,,3.9,3.93,4.28,,,5.6,3.48,3.82,4.25,4.7,4.75,,,9.5,,,,,,1.8,,1.88,1.2,,2.03,1.2,0.16,1.55,2.92,2.7,
