station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
141700075420001,Arakere,14.28333333,75.7,,,,,,,,,14.92,,14.15,11.27,13.25,,14.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,6.73,,
144000076043001,Arsikeri,14.66666667,76.075,,,,,,,,,8.78,6.14,5.16,3.71,4.1,5.88,2.83,1.78,2.02,3.01,3.94,1.7,2.72,3.4,3.36,2.15,2.92,5.25,1.6,1.2,1.55,2.18,1.98,1.8,,3.5,3.9,4.9,5.63,7.53,,4.22,5.11,,7.6,6.53,,,,,,,,,,,6.3,3.65,1.9,2.82,1.9,1.23,2.8,2.9,3,1.23,1.42,2.35,1.84,1.11,1.33,1.84,1.76,1.72,3.1,2.7,,1.52,2.05,2.3,1.78,1.76,1.95,2.05,1.8,2.3,1.76,1.95,2.35,1.45,,2.5,1.76,1.67,3.6,9,3.06,2.14,2.77,2.1,2.35,3.75,2.48,,9,2.26,3.2,,,1.35,1.7,,1.55,1.45,1.18,2,1.3,1.34,,2.45,,
142435075574501,Avaragere,14.40972222,75.9625,,,,,,,,,3.5,4.87,3.03,3.1,3.54,4.3,2.65,0.72,2.73,3.46,2.88,1.67,3.01,3.3,4.01,2.2,3,3.1,0.8,0.76,1.2,1.33,0.87,0.72,1.24,1.31,1.36,0.96,1.24,5.2,6.4,3.52,2.69,,5.75,3.62,,,,,,,,,,3.1,2.9,2.95,3.5,3.16,4,0.93,3.4,3.3,2.73,3.08,4.25,3.33,2.87,2.68,3.2,3.66,3.59,3.27,3.6,4.2,,3.07,3.73,,3.13,3.15,3.2,3.35,3.05,2.89,3.5,3.7,3.3,3.04,,5.6,4.89,4,7.6,9.2,4,3.2,4.72,6.24,5.29,4.45,5.59,9.01,7.05,3.7,7.54,,,3.19,4.2,,3.3,2.73,3.46,3.26,2.82,3.2,5.8,6.85,,
142545075463001,Bhanuvalli,14.42916667,75.775,,,,,,,,,7.16,8.5,5.53,6.25,6.73,8.3,6.15,4.74,5.87,6.42,6.45,6.18,5.26,6.75,6.59,4.65,5.55,7.6,5,,5.55,6.36,7.13,6.55,7.64,7.95,7.78,6.4,7.06,,,,9.05,,,7.8,,,4.5,2.19,4.55,9.28,8.82,6.38,7.9,8.79,5.3,2.9,5.6,8.68,6.21,5.38,5.98,7.4,4.12,2.85,3.67,4.92,3.63,1.08,1.74,4.76,3.88,3.7,4.4,5.54,,3.55,3.97,5.6,2.8,2.06,2.33,2.52,1.18,1.01,1.5,1.95,1.9,1.68,,4.94,2.32,2.9,3.3,9.28,9.28,1.7,2.56,5.25,4.36,2.41,2.74,6.2,3.72,1.56,2.83,,,2.4,2.1,,1.7,0.65,2.66,1.47,0.2,1.2,2.7,3.25,,
145100075580001,Chikkahalli,14.85,75.96666667,,,,,,,,,13.33,13.32,12.66,9.57,10.4,13.1,10.8,11.3,10.26,11.62,11.82,6.87,8.57,12.7,11.63,12.55,13,12.45,12.4,10.43,12.43,10.88,9.75,5.6,,8.61,6.88,7.55,9.05,10.26,,9.2,9.53,11.1,9.32,5.63,,,9.2,2.2,4.7,,6.83,5.91,7.75,9.55,8.25,1.8,4.5,6.66,7.5,7.62,6.4,7.1,6.1,2.7,4.63,7,6.1,4.71,3.27,6.67,7.06,6.07,6.9,8.2,,5.72,7.45,8.5,6.78,3.55,5.22,6.55,11.82,2.37,4.35,6.8,6.85,6.68,,9.6,8.16,10.1,10.48,11.8,12.5,5.3,6.9,6.36,2.73,8.23,11.22,,12.5,9.2,11.77,,,,9.82,,,,8.78,4.97,1.25,1.88,8.08,8.3,,
140700075293001,Chinnekatte,14.11666667,75.49166667,,,,,,,,,7.78,8.88,6.98,5.92,6.86,9.9,6.96,4.45,3.95,7.8,5.7,1.8,2.75,,4.1,0.7,,,,2.97,4.63,9.17,5.65,9.17,,,,,,,,8.21,,,7.7,7.35,,,,,,,,,,,,4.8,6.85,,11.25,,7.38,,3.25,1.35,1.95,5.13,3.01,0.75,3.01,3.14,2.77,2.85,4.05,7.98,,,7.09,,2.1,,3.15,,,,2.07,4,4.75,2.2,,8.25,,8.1,8.25,5.8,3.85,3.9,,,,,,,,,,,,,,,,,1,,0.77,0.4,6.4,0,,
141200075470001,Daginakatte,14.2,75.78333333,,,,,,,,,12.61,17.08,16.86,3.33,5.2,15.22,2.18,2.2,2.27,11.75,4.8,4.15,2.74,12.2,6.2,1.7,,14.45,11.75,1.53,2.94,8.6,2.36,2.75,6.47,15.25,3.21,2.97,8.53,,,4.85,10.65,15.05,3.31,4.27,10.55,,1.38,1.03,2.74,4.4,2.35,3.27,7.08,13.65,2.45,1.37,2.55,5.81,2.67,2.75,3.55,5.65,1.95,1.44,1.61,4.55,1.33,1.19,1.45,3,2.65,2.73,3.62,2.35,,2.58,5.2,6.6,2.17,1.87,2.71,2.56,2.42,1.32,2.25,4.8,2.55,,,5.05,4.05,4.85,7.55,6.45,4.05,4.5,2.64,3.3,2.82,1.95,3.32,3.18,1.83,,2.4,,,1.35,1.69,,1.27,1.2,1.4,1.33,1.25,1.35,,3.35,,
142900075520001,Doddabathi,14.48333333,75.86666667,,,,,,,,,9.1,10.45,7.45,7.03,7.95,8.9,7.4,4.08,6.9,7.67,7.53,6.79,7.46,7.15,7.26,5.6,7.35,8.75,7.35,5.73,6.6,9.93,9.15,7.95,8.53,10.45,,8.95,,,9.41,,,,,,,,9.25,10.67,7.95,10.67,7.65,9.35,10.67,,6.73,4.17,6.45,,7.05,5.76,6.05,10.67,1.55,3.67,4.98,7.19,4.99,3.56,3.55,7.3,5.3,5.6,7.15,5.87,,4.66,6.25,11.8,5.51,5.19,6.65,7.35,4.6,4.79,3.55,6.7,6.23,4.73,,10.15,5.62,6.05,10.25,11.65,11.65,4.05,11.65,10.4,9.2,,10.05,,5.35,3.29,7.95,,,3.8,5.7,,5.9,4.82,4.35,3.32,2.09,3.75,7.3,8.4,,
144700075595001,Harapanahalli1,14.78333333,75.99722222,,,,,,,,,12.56,,,8.05,8.2,,11.32,10.78,8.8,,,6.2,4.72,,9.6,9.7,10.6,,11.77,5.02,6.7,,,,,,,,,,,,,,,,,,,1.2,6.7,5.05,,4.18,5.13,6.1,3.3,0.9,4.8,4.46,4.95,4.44,4.15,4.9,3.35,1.54,2.98,4.8,3.94,0.92,1.87,4.38,4.96,4.13,4.75,5.5,,4.12,4.15,5.7,3.67,3,4.45,4.6,2.49,3.48,3.9,5.95,5.32,3.02,,5.5,4.23,6,6.34,7.7,9.92,2.4,7.4,5.06,5.6,,6.48,,6.15,3.15,6.9,,,0.74,1.55,,0.74,0.6,1.54,1,0.6,,,3.15,,
141045075504501,Kanivebilachi,14.17916667,75.84583333,,,,,,,,,4.15,5.24,3.17,2.74,4.27,3.53,2.66,1.98,3.07,1.5,1.6,1.75,2.68,2.95,2.25,1.75,,3.45,2.45,2.49,3.57,3.28,2.38,2.45,2.98,3.3,2.79,1.53,3.52,3.53,3.36,2.51,4.3,3.55,2.02,2.55,3.17,3.15,1.45,1.65,3.8,3.23,2.65,1.66,4.13,2.85,1.65,2.1,5.35,2.45,1.41,2.15,3.57,2.25,1.16,1.77,2.65,2.52,1.4,1.21,2.3,2,2.11,2.03,3.88,1.95,,1.21,3.35,1.35,1.28,1.85,2.9,2,1.13,1.33,3.25,1.8,1.68,1.55,,1.8,1.52,1.95,3.03,2.85,5.55,3.35,4.4,1.5,1.68,0.41,3.11,2.76,1.57,,2.69,,,1.49,3.12,,1.97,1.22,1.96,1.35,1.25,1.68,2.17,1.9,,
