station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
154000075340001,Belavaniki,15.66666667,75.56666667,,,,,,,,,9.02,10.5,8.2,6.73,7.51,9.14,8.26,6.94,7.12,10.11,17.58,6.5,7.86,7.87,9.17,7.42,9.6,8.52,9.92,6.82,7.37,6.89,7.33,6.77,7.66,8.86,9.47,8.3,8.47,10.52,10.32,11.22,8.32,10.75,8.35,8.33,7.86,8.86,8.64,7.52,7.67,7.32,,6.92,6.67,7.02,7.22,7,6.88,6.37,6.96,5.64,6.77,6.32,6.23,4.93,5.32,11.97,5.32,5.12,5.32,5.72,5.52,5.42,5.37,6.02,,6.24,6.62,6.84,6.45,5.68,5.14,6.31,6.24,5.72,6.16,6.67,,6.17,,10.99,6.72,6.97,7.24,7.67,7.88,6.67,6.92,7.02,7.52,7.62,7.2,8,7.12,5.57,6.95,,,4.17,4.59,,4.32,2.37,4.56,4.8,3.76,2.37,3.87,5.45,5.2,
150945075353001,Chabbi,15.1625,75.59166667,,,,,,,,,7.18,9.05,8.18,6.47,6.94,7.36,7.13,5.86,5.71,7.19,6.92,4.97,6.62,7.2,7.15,5.75,7.2,8.45,5.6,4.75,5.4,5.71,5.55,4.71,6.33,6.89,7.65,9.24,8.8,10.15,9.79,7.51,9.5,,9.78,9.73,9.42,10.71,7.82,9,6.25,7.78,,5.3,6.65,7.5,6,4.6,5.12,5.2,7.11,5.1,5.3,5.7,6.48,4.91,5.3,4.3,5.84,4.5,5.46,6.1,5.4,6,6.45,7.35,,7.55,7.1,8,6.68,5.52,5.73,6.24,3.99,3.97,5.01,12.57,,8.2,,9.79,9.65,8.2,11.82,9.92,12.38,6.95,7.69,7.7,7.5,9.7,9.9,9.8,7.34,5.11,6.85,,,4.3,4.51,,4.65,4.2,4.49,4.07,2.98,3.75,4.7,4.75,3.8,
152545075330001,Hulkoti,15.42916667,75.55,,,,,,,,,7.47,5.25,8.78,2.18,2.51,3.94,4.33,3.31,3.52,5.46,4.76,4.06,5.14,6.06,5.46,4.11,5.45,6.31,3.76,2.06,2.51,3.27,3.51,2.62,3.52,,5.81,5.89,5.61,7.41,7.61,5.36,7.92,8.51,6.55,5.66,6.12,10.77,5.52,4.41,4.56,6.51,,5.41,5.66,6.71,5.11,2.57,3.11,,2.21,3.81,3.01,5.11,4.61,3.07,2.21,12.14,1.69,1.32,1.62,2.36,2.21,2.21,2.56,3.61,,2.55,2.61,4.41,4.61,2.12,2.73,3.19,2.49,1.41,2.05,3.46,,2.61,,4.99,5.31,4.96,6.01,7.74,8.53,6.41,7.51,6.61,6.31,6.31,7.81,11,8.28,2.89,3.84,,,1.83,1.93,,1.31,1.67,1.93,1.53,1.41,1.53,1.76,2.54,2.2,
154800075450001,Hunagundi,15.8,75.75,,,,,,,,,8.95,9.6,9.08,9.58,9.37,9.97,11.72,12.12,7.19,9.65,11.27,7.55,12.41,8.67,10.62,8.32,10.3,9.32,8.82,9.52,12.42,9.19,11.24,8.98,10.09,9.49,,12.87,12.17,10.42,10.72,9.06,12.42,10.76,10.28,10.13,10.28,11.03,10.38,10.07,10.42,10.72,,10.82,12.22,11.17,11.05,9.93,10.27,,9.73,9.82,9.92,,10.48,8.97,8.92,9.34,9.77,6.91,8.27,8.99,8.17,8.92,9.17,9.82,,10.12,10.42,10.82,11.07,10.6,9.03,11.19,11.06,10.62,8.15,12.27,,11.12,,12.03,12.27,,12.27,10.92,12.27,12.27,12.27,10.52,12.27,12.27,,,12.27,8.44,12.5,,,,10.72,,7.64,7.02,7.52,7.52,7.04,9.47,6.68,7.16,9.7,
151230075310001,Magdi,15.20833333,75.51666667,,,,,,,,,9.93,12.5,10.78,3.9,4.98,8.02,7.35,6.42,3.41,11.06,9.86,5.46,6.66,8.22,8.67,7.32,7.9,9.37,8.87,4.77,5.77,8.8,9.65,6.01,6.77,9.51,11.17,11.04,11.67,8.57,7.99,10.36,10.37,10.48,9.13,9.03,9.53,10.98,10.41,7.02,7.72,8.37,,7.27,7.27,7.72,7.87,4.11,7.18,5.67,6.68,7.09,5.72,6.77,6.28,3.32,4.32,6.1,6.57,3.37,3.87,5.87,6.57,5.22,6.57,8.47,,7.67,7.97,9.17,7.04,6.99,5.85,6.82,4.32,5.82,5.92,7.11,,9.84,,6.98,10.45,13.17,12.42,11.17,6.62,6.97,7.23,1.27,0.47,1.2,8.37,9.65,1.02,0.62,3.9,,,3.07,4.77,,5.41,5.22,4.32,3.92,2.17,2.17,3.83,5.07,4.22,
151230075530001,Mundargi1,15.20833333,75.88333333,,,,,,,,,5.72,7.4,1.74,2.76,5.03,6.29,5.68,8.57,3.03,2.32,3.28,3.07,3.99,4.27,2.42,2.67,4.75,3.97,4.22,1.87,3.47,2.37,2.98,0.66,2.88,0.73,,3.83,3.17,5.47,5.17,4.67,6.02,6.21,,1.69,1.81,4.48,3,3.37,3.72,4.22,,6.87,6.97,7.87,0.77,0.5,1.22,3.77,8.57,8.77,4.97,,0.89,1.77,,4.29,7.62,5.89,1.82,7.77,1.17,1.67,1.17,2.37,,0.42,0.97,1.13,1.33,1.26,2.52,3.45,3.65,23.13,1.43,3.39,,23.13,,23.13,23.13,3.62,4.73,23.13,0.59,1.17,2.82,0.37,1.37,1.32,2.37,5.6,3.07,2.57,4.5,,,1.35,2.57,,2.65,2.95,3.02,1.12,0.38,1.27,2.57,4.6,2.8,
154345075230001,Nargund1,15.72916667,75.38333333,,,,,,,,,24.08,,,,24.23,,,,,,,22.64,22.62,,24.72,22.59,22.1,,,,17.54,20.2,,22.95,24.73,23.61,23.69,26.15,,23.44,,20.24,,,19.92,17.29,19,17.7,16.95,14.64,14.99,10.44,,6.64,9.14,8.84,6.54,23.29,23.29,2.94,3.58,3.55,3.14,2.29,1.88,1.54,12.19,9.54,2.49,5.46,6.84,6.24,1.74,2.84,4.19,4.94,,8.59,6.44,4.14,3.68,4.94,13.36,21.94,7.06,8.69,7.17,2.73,,9.54,,23.29,,,7.94,9.84,8.86,,4.39,6.74,7.64,8.64,8.56,6.4,4.7,6.81,14.2,,,7.59,9.14,,8.94,12.08,12.01,9.84,9.9,7.87,11.49,14.75,,
150822075260301,Ramgeri,15.13944444,75.43416667,,,,,,,,,19.8,24.9,22.65,21.22,22.02,,22.55,19.72,19.42,23.5,21.72,20.14,19.82,18.87,,19.27,20.6,19.57,19.97,18.62,17.37,16.86,16.5,16.7,17.9,18.71,19.27,20.5,21.77,22.17,21.37,18.42,21.47,24.14,22.43,23.06,23.91,24.33,23.91,23.67,23.72,24.35,,21.57,23.62,24.37,22.77,19.68,20.98,18.77,20.35,20.77,19.77,18.22,19.95,19.57,18.22,19.57,18.27,16.57,16.37,16.82,16.57,16.47,16.77,18.02,,18.12,18.87,24.7,19.27,17.34,18.22,18.88,17.27,14.47,14.29,15.35,,13.67,,16.74,16.89,11.02,18.5,18.4,14.57,13.27,18.35,16.47,17.37,16.67,15.67,19.5,16.24,10.27,12.5,,,8.24,9.53,,6.87,4.47,5.82,3.67,2.27,2.01,2.2,4.65,3.7,
151345075343001,Shirhatti1,15.22916667,75.575,,,,,,,,,6.23,8.8,7.33,4.64,5.77,7.6,6.6,5.35,5.29,7.55,5.48,2.84,5.16,6.09,6.19,6.54,5.8,6.29,4.19,2.94,4.29,4.71,4.28,2.89,4.37,5,5.79,16.04,5.99,7.29,7.09,6.02,7.79,8.53,7.85,7.25,8.54,10.61,6.49,5.59,6.47,8.54,,5.99,6.59,7.94,5.39,2.85,4.44,5.19,5.47,5.44,5.39,6.84,5.85,2.98,4.39,5.99,5.41,2.71,3.49,4.99,4.29,3.24,4.14,5.09,,7.29,3.99,5.42,4.42,3.55,5.11,5.46,5.15,2.64,2.9,3.73,,3.09,,4.63,4.44,4.52,5.57,7.09,7.19,3.74,5.39,4.59,4.09,5.99,6.49,8.4,4.14,3.27,5.28,,,3.79,3.99,,4.41,3.66,4.39,3.41,1.87,2.56,4.52,6.36,5.5,
154015075344001,Belavanki,15.67083333,75.57777778,,,,,,,,,,,,,,,,,,,,14.28,19.15,19.3,19.6,19.4,,18.8,18.9,18.63,18.49,,,,,,19.08,,19,,,,18.9,19.66,19.36,19.1,18.93,18.97,19.31,11.1,18.7,18.52,19.3,18.6,18.3,18.25,18.55,18.54,18.52,18.2,18.41,18.5,18.25,18.18,18.27,17.95,17.8,17.75,17.78,17.74,17.55,18.2,17.6,17.4,17.4,17.4,,17.77,17.75,17.83,18.94,17.52,18.27,17.96,18.03,18.9,17.88,18.06,,,,,18.54,18.45,18.45,,19.08,18.93,19.22,19.8,7.5,20,8.74,20.3,19.73,19.78,19.7,,,,,,14.92,,16.79,16.85,16.78,16.26,15.87,16.8,16.77,
