station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
143800075131501,Hulgur,14.63333333,75.22083333,,,,,,,,,14.4,,,,,,6.64,7.9,9.6,,,4.3,8.67,,3.7,2.15,7.2,,5,3.91,6.49,,,,,,,,,,,12,,,,,,,,11.05,11.25,13.85,12.4,15.26,,17.6,9.3,6.64,7.37,10.25,12.02,12.59,14.44,,15.5,9.56,11.04,13.54,12.59,9.69,11.34,13.24,12.64,11.14,12.24,17.44,,11.54,16.34,12.04,16.32,12.41,17.18,15.89,18.64,18.64,15.43,18.64,,16.04,,18.64,16.04,16.39,18.64,18.44,18.44,12.84,16.79,18.44,16.44,12.14,1.89,,7.34,1.84,4.5,,,2.77,4.94,,3.59,1.56,2.34,2.34,0.34,0.14,,6.7,4,
142245075270001,Kod1,14.37916667,75.45,,,,,,,,,11.9,11.82,9.22,7.33,,15.75,,,10.69,12.23,12.55,7.14,8.05,,,,11.29,16.2,,8.05,11.55,,,,,,17.2,,12.2,19.25,19,17.27,15.4,19.88,,11.25,13.35,21.1,,,11.15,21.6,,,19.8,27.5,6.3,2.4,4.81,6.9,2.31,,5.15,9.35,1.54,1.15,1.99,,,,1.38,,1.5,1.55,,6.55,,8.11,18.55,29.05,7.05,7.03,17.76,27.24,3.36,0.45,0.89,1.99,1.2,1.15,,,,18.75,19.05,29.05,,13.78,23.75,29.05,25.75,28.65,30,,9.15,1.85,,,,,,,,0.43,,,,,,,,
145745075083001,Kuppelur,14.9625,75.14166667,,,,,,,,,8.16,12.2,9.18,8.91,10.44,12.69,5.56,6.41,7.91,9.32,7.07,6.16,7.53,10.16,,7.16,9.21,10.76,8.01,5.81,7.01,10.01,7.33,8.51,10.73,11.76,11.41,10.83,,,,11.01,,,,,,,8.68,8.36,8.51,9.66,8.61,8.41,8.51,9.91,8.01,6.78,7.52,8.01,6.65,6.83,7.28,6.58,6.48,6.23,6.95,7.18,6.8,5.78,6.51,7.23,6.88,6.68,6.78,7.33,,6.88,7.18,8.02,6.14,5.66,7.16,7.66,5.65,7.88,6.32,7.34,7.35,6.83,,8.28,7.63,7.18,7.78,8.38,8.5,8.38,7.03,8.28,6.08,6.18,6.95,8.85,5.98,6.38,7.67,,,6.68,6.87,,6.16,5.13,1.28,3.56,5.83,6.93,6.61,7.95,7.6,
144000075080001,Shiggaon1,14.66666667,75.13333333,,,,,,,,,10.34,13.1,12.39,11.31,11.92,,9.12,8.89,9.44,12.67,10.94,9.99,10.4,13.09,10.04,9.39,10.89,,11.69,8.94,10.32,,,,,,,,,,,13.49,,,,,,,,3.07,4.29,6.82,4.49,3.79,4.29,6.39,3.19,3.33,4.14,5.09,3.29,4.21,5.59,9.59,4.11,,3.84,6.09,3.19,2.24,3.79,5.24,3.34,2.54,4.09,5.89,,4.41,6.54,13.19,6.29,3.14,4.44,6.39,2.23,2.79,3.38,5.31,3.34,3.82,,13.19,5.99,7.19,13.19,13.19,13.19,7.69,13.19,13.19,4.39,3.39,,,2.39,,4.1,,,,4.03,,,,,,,,,,,
142500075363001,Sunakalbidari,14.41666667,75.60833333,,,,,,,,,13.9,,,,,,,6.4,5.51,23.2,11.91,11.32,,,,,,,,11.45,12.72,,,,,,,,,,,,,,,,,10.6,,,,12.4,,12.4,12.4,12.4,12.4,12.4,,10.6,10.54,10.54,10.54,10.54,,,10.54,10.54,,10.54,10.54,10.54,10.54,10.54,10.54,10.54,,,13.74,14.04,14.04,14.04,14.04,14.04,14.04,14.04,8.66,9.93,9.26,5.68,,10.07,,11.34,14.76,15.54,15.54,11.74,12.3,15.54,15.54,15.54,,,15.54,8.65,7.3,,,4.54,6.34,,4.04,1.24,2.04,2.14,0.74,1.1,3.7,4.8,4.3,
150100075140001,Tumminkatti,15.01666667,75.23333333,,,,,,,,,8.3,11.6,8.15,8.42,10.65,14.28,7.78,7.27,8.54,12.46,6.02,6.24,9,12.05,7.15,6.5,9.38,13.1,6,3.4,6.37,11.07,7.67,8.69,11.09,13.56,10.85,10.68,12.25,,,12.85,,,10.71,10.41,11.68,,,8.4,9.9,,,,11.5,12.1,6.3,4.33,8.74,16.23,,,9.9,16.23,5.73,5.92,7.2,16.23,7.71,1.2,5.73,8.05,6.88,5.5,7.8,9.1,,3.41,4.95,9.69,1.9,1.8,6.45,8.45,2.43,2.3,4.43,9.93,3.25,3.5,,6.06,7.8,4.79,8.2,10.7,6.1,2.6,7.55,7.2,3.1,2.5,6.1,11.1,5.4,3.06,8.07,,,3.49,6.18,,3.42,1.45,6.2,2.74,1.3,1.35,9.6,11.9,7.6,
150500075173001,Vadarayanahalli,15.08333333,75.29166667,,,,,,,,,13.33,14.49,14.36,13.93,15.46,17.51,14.72,12.54,12.89,16.95,16.06,13.73,14.92,16.94,17.64,12.44,13.84,17.44,14.29,7.96,9.02,3.75,14.65,16.44,17.29,18.16,,,,,17.43,14.38,,,17.71,18.01,,6.54,,3.64,6.44,,,19.26,19.26,,,2.85,6.54,,7.15,7.63,19.49,19.49,,9.9,4.67,19.49,7.18,,2.12,7.27,5.04,3.77,5.27,19.49,,19.49,6.97,19.49,4.69,2.62,5.1,5.41,2.25,6.17,8.53,9.23,9.62,5.57,,19.49,6.02,3.97,7.29,19.49,19.49,2.47,5.27,19.49,19.49,2.37,5.17,,4.12,3.42,,,,,,,3.62,2.04,3.67,3.31,2.99,3.53,5.83,0,,
145330075343001,Hosaritti,14.89166667,75.575,,,,,,,,,,,,,,,,,,,,11.75,13.46,16.05,,9.65,,15.97,,11.2,10.92,,,,,,12.19,,14.15,,,,22.3,25.61,12.17,12.44,14.74,35.3,11.93,19.85,13.25,44.32,10.6,9.9,11.2,38.05,10.5,6.26,10.4,12.3,8.4,12.42,10.4,15.95,9.68,10,9,12.38,8.7,9.7,11.15,16.65,13.32,11.05,10.63,16.62,,10.02,10.8,32.91,14.52,18.5,25.65,24.33,10.39,10.97,22.7,26.55,,,,,14.42,12.38,16.3,,32.28,10.53,15.09,26.8,21.8,13.5,15.57,,10.32,12.55,13.4,,,,,,13.75,8.72,11.78,8.72,7.71,10.98,,40.46,,
144300075280001,Motebennur,14.71666667,75.46666667,,,,,,,,,,,,,,,,,,,,21.12,25.63,30,,,,36.9,,18.94,24.65,24.16,,28.79,31.85,31.05,29.3,31.78,,,,,37.1,38.25,38.18,42.87,,,26.48,27.15,30.08,37.47,37.2,38.5,39.7,39.1,26.57,21.54,26.23,23.3,,18.6,20.23,21.23,17.53,10.5,10.55,11.93,9.48,8.51,9.54,13.5,11.96,13.05,14.63,16.8,,18.52,20.01,23.62,16.9,15.94,23.95,25.1,17.19,8.5,22.4,23.8,,,,,23.68,23.75,31.12,,34.32,23.44,31.63,38.4,33.7,32.3,38.36,42.9,18.99,11.55,12.3,,,,,,8.74,5.36,7.59,5.36,4.54,4.3,,13.56,9.97,
145900075134501,Shiggaon,14.98333333,75.22916667,,,,,,,,,,,,,,,,,,,,4.51,6.62,,6.2,4.73,,7.6,,4.53,5.68,5.2,,6.79,9.73,15.8,23.24,30.55,29.3,,,,41.3,39.05,13.94,17.2,21.19,39.02,3.95,,4.24,6.26,4.7,3.3,4.1,6.5,2.5,2.82,3.65,5,2.71,1.3,5.35,10.5,4.02,3.35,3.6,4.85,2.85,2.02,3.8,5.45,2.2,3.25,4.25,6.14,,4.18,6.5,18.35,6.44,3.3,4.06,5.41,2.15,4.03,3.21,5.03,3.66,,,,5.92,6.05,16.4,,11.93,6.69,10.87,6.1,4.5,4.2,4.5,7.9,2.4,3.23,3.8,,,,,,,,,,,,,,,
