station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
121430075520001,Ammatti,12.24166667,75.86666667,,,,,,,,,10.26,12.05,7.37,7.86,9.2,11.55,4.8,7.78,8.13,10.32,6.15,6.68,8.18,10.08,5.34,8.4,10.66,10.35,6.46,6.98,10.29,12.23,7.53,8.13,8.88,10.44,8.43,7.3,8.76,10.38,7.51,8.48,8.97,9.83,5.28,9,9.2,12.3,5.29,6.96,8.03,10.88,5.18,4.61,8.57,9.74,4.36,6.43,8.48,9.28,6.28,7.73,8.71,9.59,6.48,7.73,8.65,9.63,7.08,7.58,8.34,9.38,5.98,7.81,8.83,9.88,,8.04,8.98,9.98,4.78,7.48,8.82,9.78,5.68,7.45,8.7,9.24,7.18,7.75,,9.4,7.98,9.2,9.51,10.66,8.13,7.76,9.23,9.98,4.41,6.48,8.53,10.3,4.18,6.99,9.77,,,7.44,8.83,,10.75,6.05,8.88,9.56,5.93,7.62,3.85,10.52,7.4,
122300075320001,Bhagamandala1,12.38333333,75.53333333,,,,,,,,,4.93,3.6,2.09,3.68,4.83,5.95,1.7,2.9,2.58,4.15,1.1,1.75,3.56,2.35,1.36,2.46,3.54,3.6,0.38,2.8,3.96,4.1,0.8,2.67,3.69,3.72,1.17,2.4,11,4.6,0.88,1.72,3.89,2.4,1.35,2.81,4.05,4.35,1.03,2.39,3.15,0.7,1.2,2.3,,4.23,6.38,2.3,3.4,3.9,1.8,2.67,4.1,4.18,1.2,2.8,3.1,4.3,,1.73,3.78,3.1,1.3,,,3.5,,3.1,4.6,5.02,2.3,2.53,3.05,3.8,1.34,2.85,3,3.22,0.95,2.3,,3.75,2.35,3.05,3.21,4.25,0.7,2.58,3.8,3.2,0.6,1.6,3.37,6.35,0.4,2,3.75,,,2.12,2.25,,0.78,1.85,3.73,,6.2,6.5,9.4,8.69,1.9,
122615075550502,Cheerambane,12.4375,75.91805556,,,,,,,,,15.6,16.9,12.17,14.53,15.53,17,11.4,13.95,14.82,15.36,10.9,12.32,14.84,16.51,3.92,14.42,15.78,17.53,8.18,13.36,9.77,10.66,13.36,14.31,14.89,,14.26,14.96,14.51,18.12,13.36,15.18,15.89,17.31,9.16,14.16,15.86,17.11,5.7,12.34,14.46,15.16,9.66,13.61,14.76,17.44,7.48,17.82,17.82,17.82,,,15.53,17.51,10.9,13.75,15.4,17.15,7.55,12.74,14.84,9.9,9.55,13.65,15.55,10.2,,13.96,6.45,10.1,4.6,8.6,9.6,10.03,7.82,6.21,9.34,17.2,9.4,12.56,,9.85,7.43,9.15,9.45,9.85,5.76,8.82,9.42,9.9,5,8.58,9.15,10.73,2.75,8.5,8.05,,,8.72,9.3,,5.68,8.75,9.36,9.2,7.35,8.9,10.15,10.57,1.1,
121340075413001,Cheyyandane,12.22777778,75.69166667,,,,,,,,,11.23,12,11.11,13,11.45,13,11.2,10.45,9.87,10.16,9.95,10.4,10.65,6.6,4.2,10.74,11.52,11.17,7.18,10.4,10.61,12.2,5,10.46,10.48,10.91,10.35,10.48,12.1,11.07,10.5,10.6,10.6,10.78,11.4,10.62,10.8,11.5,10.35,10.49,10.35,,11.5,10.8,12.23,11.29,11.93,,10.5,10.8,11.8,10.37,11.1,11.92,12,12.2,12.23,11.44,11.95,11.9,12.15,12.35,11.75,2.13,12.1,12.3,,11.89,12.25,12.19,12.1,12.1,12.25,13.1,11.75,12.2,12.2,12.18,11.8,12,,11.95,11.94,12.2,12.27,12.25,10.83,11.96,12.3,11.5,11.85,11.85,12.11,12.95,10.45,6.01,13.75,,,12.15,12.17,,10.4,11.85,12.03,11.87,11.6,12,12.7,12.7,12.95,
122658075382201,Devarakolli,12.44944444,75.63944444,,,,,,,,,2,1.9,2.02,1.95,2.04,,1.1,1.27,1.29,1.23,1,1.3,1.24,1.24,1.27,1.24,1.28,1.52,0.53,1.28,1.27,1.28,1.23,,1.3,1.2,1.21,1.22,1.2,1.25,1.24,1.21,1.21,1.23,1.18,1.18,4.28,1.73,1.17,1.16,0.98,0.58,,3.9,1.1,1.2,1.26,,,1.28,2.1,0.78,1.18,1.17,0.38,,,1.2,0.33,,,1.13,1.18,1.08,1.11,1.48,,1.05,1.13,1.35,1.08,0.98,0.86,1.63,1.01,1.12,1.91,0.58,1.01,1.02,,1.28,0.98,3.5,1.1,1.18,0.88,,1.11,0.98,,0.91,1.78,2.24,1.18,2.41,1.04,,,,1.03,,0.98,0.9,1.03,0.93,0.93,1.03,1.8,1.8,1.68,
121300075563001,Gonikoppal,12.21666667,75.94166667,,,,,,,,,5.17,5.85,4.59,5.43,5.22,5.89,3.8,4.17,3.62,4.56,3.5,3.75,4.62,4.37,2.65,4.21,4.74,5.69,2.87,4.22,4.29,5.47,4.04,3.88,4.57,5.15,3.74,4.02,4.47,5.02,3.7,4.17,4.37,4.47,2.72,4.23,4.52,5.62,3.47,3.72,5.12,3.45,3.17,4.62,7.59,5.01,6.4,3.92,4.62,4.52,3.92,4.12,4.54,4.54,3.89,4.62,4.57,4.84,4.07,4.47,4.82,2.72,3.92,2.76,4.57,8.47,,4.27,4.52,5.42,3.52,4.12,4.36,4.72,4.08,3.97,4.84,2.34,4.02,4.22,,4.72,3.88,5.37,5.05,4.82,2.52,4.1,,3.42,3.02,3.49,4.14,5.25,3.22,1.87,3.76,,,4.03,4.12,,3.87,3.45,4.07,3.82,3.57,3.92,5.15,5.35,3.52,
122245075423001,Heravanadu,12.37916667,75.70833333,,,,,,,,,7.7,9.65,5.85,6.4,7.53,9.41,4.75,5.81,6.24,7.95,4.92,5.2,6.72,7.88,4.77,4.9,7.26,8.35,3.16,6.18,7.3,9.78,5.35,6.28,6.75,8.18,5.45,5.98,,8.44,5.38,6.4,6.93,8.18,5.23,6.5,5.78,9.16,4.7,5.93,6.48,7.88,4.78,6.08,6.89,8.36,4.68,6.03,6.78,7.78,5.48,6.34,6.78,8.42,5.18,6.28,6.68,8.15,2.58,5.83,6.58,8.18,5.03,6.38,6.91,8.38,,6.38,8.68,9.11,4.28,5.98,7.32,8.08,5.21,6.6,6.9,7.83,4.86,6.28,,8.23,6.38,6.38,7.03,8.48,5.33,8.78,6.76,11.48,4.58,8.43,8.88,9.7,7.48,5.98,3.82,,,6.14,6.78,,4.86,6.08,6.88,6.85,5.53,6.28,7.85,9,6.75,
120500075564501,Hudikeri,12.08333333,75.94583333,,,,,,,,,9.34,11.8,7.25,7.6,8.61,10.95,5.5,7.58,7.73,10,5.48,6.4,7.98,9.53,5.33,7.93,8.45,10.7,6.41,7.58,9.64,10.13,6.13,7.7,8.36,10.16,6.26,7.07,8.28,10.16,6.58,7.54,8.3,9.47,5.53,7.56,8.63,10.23,4.35,6.92,7.63,9.55,,6.73,8.15,9.7,5.34,6.83,9.23,9.33,5.43,6.99,7.88,9.53,6.23,7.13,8.23,9.5,5.53,6.93,7.78,6.98,5.53,6.86,7.89,14.63,,6.98,8.03,9.83,4.58,7.4,8.19,8.82,5.06,8.13,9.13,9.13,6.33,7.43,,9.88,8.08,7.88,9.95,10.18,6.55,7.03,8.33,11.53,4.79,7.69,3.11,,4.23,7.12,8.08,,,6.85,8.16,,5.24,6.58,8.1,8.28,5.78,7.27,9.15,10.5,6.98,
123210075504401,Igoor,12.53611111,75.84555556,,,,,,,,,5.3,2.44,3.82,,4.91,6.12,2.3,3.95,3.71,5.5,2.9,2.68,,5.33,4.47,,4.36,,0.66,3.88,4.87,,1.58,4.06,4.7,,2.08,3.94,4.78,,1.88,4.03,4.36,4.37,2.18,1.95,4.7,5.28,1.66,2.97,3.78,3.98,1.98,4.2,4.79,5.6,2.96,3.58,5.02,5.6,3.58,4.08,5.18,5.27,3.58,4.03,4.68,5,3.5,4.41,5.38,5.48,2.88,2.49,5.25,5.6,,4.61,5.6,5.6,2.33,3.58,5.38,5.6,2.86,4.7,5.23,4.46,2.78,4.1,,5.6,5.6,4.8,4.98,4.73,1.1,4.34,3.73,3.03,,,,5.35,1.08,,4.08,,,2.56,3.58,,0.83,1.93,3.23,1.88,2.03,2.68,4.75,5,2.52,
121517075383501,Kakkabe,12.25472222,75.64305556,,,,,,,,,5.81,5.45,4.54,5.4,5.78,6.12,3.77,4.38,4.2,6.65,3.9,3.74,4.87,4.8,4.5,5.02,5.54,5.87,1.78,6.8,5.15,5.4,4.3,4.84,5.13,5.3,3.56,4.06,4.68,4.9,3.65,4.3,5.02,3.53,3.9,4.25,4.99,5.7,3.57,4.24,4.1,0.5,3.8,3.92,4.65,4.93,3.94,4.5,4.9,4.7,4.2,4.3,4.85,4.81,3.3,4,5.55,5.3,3.42,3.82,4.89,4.8,3.85,4.17,4.76,4.5,,4.53,4.9,5.02,9.15,4.28,5.5,5.1,4.06,4.65,5.1,5.23,3.5,4.53,,8.25,4.28,4.88,5.19,5.46,2.8,4.73,5.15,3.8,4.15,4.68,4.82,5.84,4.1,4.54,8.88,,,4.4,4.95,,2.8,4.33,4.9,4.12,4.15,4.9,5.65,5.6,4.75,
