station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
133500077363001,Namagondlu,13.58333333,77.60833333,,,,,,,,,8.06,10.05,4.42,2.41,2.63,6.38,6.82,4.61,4.48,8.22,5.74,2.6,3.36,4.3,5.92,5.2,,9.14,5.87,6.34,4.55,8.02,7.12,2.5,3.85,8.7,9.65,10.59,10.64,,,10.2,,,,,,,,,,,,,,,,,,7.4,5.8,,,,4.62,,12.6,,12.6,,,6.7,,,12.6,12.6,,,,12.6,,,,,,,,8.64,8.64,7.35,,7.86,3.5,4.71,6.55,7.42,6,1.82,1.28,,4.88,5.02,4.75,9.73,8.9,0.89,10.42,,,2.7,,,3.73,0.8,0.97,1.96,0.25,0.5,2.35,2.85,1.76,
133220077362001,Pura,13.53888889,77.60555556,,,,,,,,,5.52,7.02,1.86,2.55,3.36,5.19,5.11,1.22,2.13,4.37,1.13,1.12,2.76,3.27,4.71,3.02,3.62,6.12,3,1.24,3.94,4.35,2.77,1.09,2.87,6.27,5.27,6.32,7.65,8.77,,5.94,7,7.02,8.07,5.08,6.39,8.64,,1.67,3.07,,3.55,1.69,3.57,3.52,1.37,1.69,2.26,3.17,2.03,1.69,2.23,2.64,,1.57,2.43,3.49,1.27,1.03,1.58,2.37,3.07,1.19,2.67,2.83,,1.48,2.17,3.56,3.47,2.04,3,5.12,5.9,4.85,6.47,,,4.41,,5.68,1.97,3.4,4.27,5.26,4.97,2.37,3.77,3.56,4.23,4.92,5.87,7.2,6.72,3.09,6.57,,1.67,2.44,3.23,,1.52,0.85,1.05,1.68,0.57,0.87,2.25,2.7,3,
133300077453001,Settigere,13.55,77.75833333,,,,,,,,,12.74,14.13,6.94,4.97,5.32,8.34,11.26,4.54,6.04,8.79,3.54,3.06,5.48,,,5.9,7.1,8.01,5.74,4.05,5.5,8.33,7.23,2.05,5,6.41,6.75,7.46,8.55,,8.3,6.2,9.84,8.42,6.4,3.78,5.31,7.3,,3.7,5.1,6.6,,,,13.3,13.3,13.3,13.3,5.52,5.15,13.3,13.3,2.4,,2.1,13.3,13.3,2.04,13.3,13.3,5.9,,,,13.3,,,13.3,13.3,,2.5,5.85,6.58,4.2,3.6,13.3,8.45,7.3,4.88,,6.9,4.8,,1.19,13.3,6.7,0.8,,13.3,13.3,13.3,,,,,,,,4.46,13.3,,4.9,2.1,,,3.5,3.2,2.2,6.5,6.2,
133500077350001,Thondebhavi,13.58333333,77.58333333,,,,,,,,,6.54,7.38,3.86,3.02,5.02,8.06,7.95,5.45,4.08,5.72,2.48,1.25,2.42,2.25,4.94,1.2,2.5,2.7,0.78,1.15,2,2.63,1.8,0.75,2.05,3.2,2.43,2.81,3.46,,,2,2.75,1.71,2.15,1.02,1.96,3.7,,1.3,3.1,3.88,2.3,1.3,2.35,10.96,0.7,1.02,1.72,10.96,10.96,0.47,1.48,1.1,,0.78,10.96,1.93,0.64,0.53,1.05,1.8,0.79,0.87,1.27,1.36,,1.21,1.43,3.1,3.1,1.64,2.15,3,1.95,1.37,2.15,1.9,1.29,1.23,,2.3,1.25,1.61,1.38,1.16,1.28,0.85,10.96,10.96,1.25,2.23,2.2,3.43,2.4,1.6,,,2,1.6,,,1.45,0.6,,,0.28,0.18,2,,,
131630078001001,Dalasanur,13.275,78.00277778,,,,,,,,,,,,,,,,,,,,21.02,9.19,22.25,25.1,22.5,22.46,27.2,21.07,18.69,16.34,19.06,20.78,17.73,,18.95,19.04,15.92,18.56,,,,25.96,28.17,26.15,21.48,24.01,30.42,27.86,22.35,19.06,28.21,28.15,20.3,21.23,,31.15,29.23,32.28,36.95,35.52,17.68,27.04,37.21,36.55,29.55,,,29.96,27.87,26.27,,,,,,,,,,,,,,,,,,,29.16,23.05,,29.24,32.89,35.47,,37.49,20.96,23.18,25.64,27.15,32.61,35.25,44.3,30.04,,,,,20.04,,,25.62,12.52,13.33,16.17,13.49,12.18,13.8,14.53,14.9,
133755077341501,Gauribidanur,13.63194444,77.57083333,,,,,,,,,,,,,,,,,,,,31.85,30.9,33.08,42.84,37.45,31.78,36.05,,28.1,36.73,27.38,29.08,23.18,,31.78,30.98,38.08,49.28,,,,55.85,60.49,29.28,67.49,,69.18,67.38,59.65,,,49.28,49.28,,,56.98,30.9,31.51,45.56,37.58,27.05,22.97,26.78,25.73,21.83,22.18,33.7,25.35,22.7,17.93,22.88,24.18,21.71,23.64,30.33,,38.77,48.77,55.23,57.28,44.68,47.28,,51.43,57.9,45.58,56.31,56.31,,,,41.97,51,53.74,,54.11,37.62,,,54.01,54.51,57.02,59.77,55.28,50.55,30.2,,38.9,34.46,,,28.06,13.14,13.13,19.64,14.18,9.48,13.46,15.08,16.4,
134000077253001,Hampasandra,13.66666667,77.425,,,,,,,,,,,,,,,,,,,,24.07,25.27,30.5,35.25,,25.84,32.12,32.93,24.57,22.54,24.29,27.76,19.44,,21.94,23.06,25.14,26.58,,,,55.35,49.69,52.34,,,,,1.06,,,,,,,,,,,,40.02,,,,,,,,,,,,,,,,,48.69,58.94,,47.97,42.59,47.04,42.55,46.31,47.74,,,,,,35.86,35.48,44.82,,47.14,40.82,29.6,33.11,34.38,43.88,46.79,47.54,,,60,,1.95,23.27,24.07,,28.56,21.94,18.54,26.94,1.92,0.92,13.9,13.55,14.4,
133030077573001,Madivala,13.50833333,77.95833333,,,,,,,,,,,,,,,,,,,,16.62,17.85,18.6,19.87,19.8,17.92,18.45,17.84,18.14,15.02,16.47,19.77,13.37,,15.39,15.97,16.02,16.88,,,,20.06,23.39,24.46,21.88,22.34,25.26,25.26,16.76,19.01,22.66,24.21,24.43,25.16,,31.76,33.55,,32.49,31.73,16.35,28.19,30.34,31.43,29.56,,30.35,14.54,19.61,25.12,28.01,35.64,30.31,23.42,35.54,,37.19,37.85,39.19,39.26,37.08,38.46,38.26,41.65,41.96,41.96,46.47,46.47,,,,37.86,38.58,40.73,,45.36,36.54,32.76,,40.59,43.11,43.45,45,44.68,39.33,40.27,,,,,,24.24,,13.02,13.82,,,,,,
133000077320001,Manchenahalli,13.5,77.53333333,,,,,,,,,,,,,,,,,,,,,9.76,9.37,9.96,9.61,9.58,10.85,10.15,9.53,10.27,10.31,,,,10.22,10.08,10.48,11.24,,,,14.02,15.06,14.76,13.95,14.42,15.58,15.91,13.4,13.18,,13.78,13.17,13.53,,14.16,13.17,12.92,12.96,12.76,9.02,9.86,10.78,11.4,10.28,,10.87,9.85,10.55,7.78,9.59,11.3,9.81,9.84,11.87,,12.17,12.68,14.4,14.63,14.28,14.14,14.42,14.65,14.78,15.18,14.87,14.87,,,,13.81,14.27,15.08,,15.1,14.28,14.28,14.88,,15.22,,15.45,15.12,14.27,15.21,,13.98,14.05,13.6,,13.12,9.13,8.38,9.04,5.18,3.14,7.45,8.84,,
132400078033001,Chintamani,13.4,78.05833333,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.65,3.61,3.07,3.05,3.72,4.25,3.3,,3.3,3.4,2.36,3.82,,,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.3,,,,,,,,,,,,,3.53,4.2,4.44,,4.61,2.92,3.5,3.55,3.75,2.95,4.24,4.99,4.25,3.48,4.76,,3.08,2.85,,,3.36,2.38,1.25,1.85,2.79,2.93,4.1,4.15,4.34,
