station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
121850076271001,Anechowkur,12.31388889,76.45277778,,,,,,,,,23.75,26,26.2,,23,,,,,,,24.46,,,,,,24.43,,22.86,,,,,,,,,,,,,,,,,,,2.13,,3.89,8.46,2.34,1.66,4.45,6.74,1.72,3.1,5.55,2.02,4.03,5.78,6.63,10,2.84,3.19,4.9,8,5.97,2.38,4.17,6.89,2.98,,4.78,8.06,,8.88,9.42,11.18,,9.86,3.3,11.81,11.72,10.1,10.58,12.01,10.28,,,9.93,9.52,11.98,12.59,11,12.98,6.88,9.63,12.88,,2.43,6.32,10.76,1.58,2.42,4.22,,,2.68,5.48,,5.78,2.08,4.08,5.73,1.83,2.33,5.75,7.65,6.5,
120530076310001,Bettadapura,12.09166667,76.51666667,,,,,,,,,6.46,8.03,6.66,5.1,6.08,7,5.06,4.72,4.93,5.95,4.45,4.2,5.7,4.1,3.05,4.17,5.24,7.55,4.56,5.07,4.89,5.81,4.04,2.53,5.62,,7.54,5.49,5.59,9.29,8.98,6.28,7.03,9.72,7.17,,5.57,6.51,3.91,0.89,2.76,5.12,3.89,4.19,5.79,6.29,3.35,3.02,3.9,5.25,3.67,3.54,5.04,6.12,5.34,4.53,5.28,6.74,6.15,4.92,5.56,6.31,6.09,4.94,5.74,7.71,,17.69,17.69,17.69,,7.94,17.69,17.69,17.69,6.19,7.79,17.69,6.89,3.64,,17.69,17.69,,17.69,17.69,17.69,17.69,17.69,7.92,3.49,2.34,4.42,7.06,4.09,12.97,18.5,,,17.69,17.69,,17.69,2.92,,,,4.49,,0,5.65,
122930076124001,Bylakuppe,12.49166667,76.21111111,,,,,,,,,1.9,3.6,1.67,5.1,1.8,8.7,6,2.25,4.65,7.67,6.55,5.02,7.65,5.93,6.15,2.35,5.03,7.87,6.01,4.27,5.7,6.73,7,1.42,1,8.48,7.25,5.75,6.6,10.47,7.15,5.37,6.36,5.13,5.39,4.14,15.37,5.93,,,,,,,,8.55,1.38,1.06,2.63,5.69,3.24,3.41,4.94,5.26,3.98,3.77,4.68,7.14,4.79,2.14,3.3,3.46,3.39,1.69,1.99,4.26,,4.34,7.53,13.44,4.39,6.04,7.99,7.56,4.4,4.74,5.56,2.81,2.24,3.59,,13.44,2.84,3.04,2.89,2.69,4.54,3.79,3.44,2.94,3.39,2.14,3.34,8.1,3.24,4.08,5.1,,,4.22,3.82,,,3.26,3.79,2.91,1.74,2.22,4.3,4.4,3.6,
123345076153101,Chamundibetta,12.5625,76.25861111,,,,,,,,,4.44,5.15,5.1,4,4.29,5.17,4.95,2.54,3.27,4.57,3.21,2.72,4.4,4.39,3.59,2.6,3.44,4.88,3.98,2.35,3.14,4.13,4.07,2.36,3.82,6.19,4.74,3.32,5.89,5.89,5.64,4.07,5.25,3.97,3.67,7.66,13.91,4.59,3.5,2.7,3.9,3.38,3.29,2.75,3.94,,,,,9.87,,4.77,4.99,4.41,4.19,3.98,3.72,3.59,3.09,2.8,3.04,1.99,3.24,2.91,3.54,3.64,,3.69,4.01,4.09,4.04,4.15,3.99,4.41,4.12,3.01,3.29,3.64,3.39,3.19,,4.46,3.59,3.59,9.87,4.57,2.69,3.64,4.19,9.87,,,,,9.96,,,,,4.02,9.87,,,3.29,3.59,3.29,3.49,3.29,,4.1,3,
121600076400001,Deveerammanahalli,12.26666667,76.66666667,,,,,,,,,14.44,14.75,14.1,13.62,14.02,14.88,14.36,12.46,13.3,13.37,13.01,,13.92,13.35,12.4,12.72,,13.31,12.05,11.3,8.7,12.86,,13,12.3,,13.45,12.68,13.55,10.42,11.92,10.64,12.51,9.82,12.05,10.68,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.54,5.4,,18.54,,0.9,,,,,,,3.82,1.1,2.05,2.78,,,,,,,,,,,,3.18,,,
121130076223001,Gowdagere,12.19166667,76.375,,,,,,,,,4.22,4.63,2.56,2.98,3.39,4,2.85,1.63,1.18,,,2.05,2.72,3.23,2.38,2.35,2.89,3.26,2.88,2.19,2.83,2.73,2.17,1.33,3.11,3.63,3.36,2.35,2.53,3.38,2.58,2.16,3.42,4.01,2.02,2.12,3.05,2.9,2.44,0.25,2.27,3.11,2.39,1.77,3.18,8.58,7.13,5.52,6.31,7.35,1.9,1.93,2.77,3.12,3.32,1.77,2.6,7.93,1.96,0.47,1.22,2.6,1.87,1.37,2.37,3.47,,2.52,3.27,4.92,,1.97,2.83,5.17,6.37,1.47,2.07,4.98,4.57,0.67,,6.07,6.67,,8.77,7.25,8.77,1.99,2.74,4.07,1.52,0.95,2.42,4.4,1.57,0.84,1.56,,,8.07,8.27,,,7.24,8.32,5.17,7.57,7.52,,,,
120830076173001,Hanagodu,12.14166667,76.29166667,,,,,,,,,6.58,9.05,9.1,7.22,6.78,8.15,4.77,3.4,4.25,5.69,5.45,5.42,7.1,7.6,6.65,3.35,3.05,6.28,4.33,2.11,2.55,3.52,5.11,1.93,4.03,,8.25,7.4,8.05,9.69,9.95,7.89,6.6,9.66,7.27,5.77,6.77,8.68,3.68,0.31,2.37,5.7,4.48,3.11,4.19,8.72,1.3,1.09,1.97,7.06,4.34,3.94,5.29,7.96,2.16,1.6,2.16,5.14,4.25,0.8,1.67,4.29,2.29,,2.04,5.24,,4.69,14.7,8.54,5.64,3.87,3.49,8.69,8.37,6.86,7.94,6.09,3.64,3.04,,6.84,6.38,7.44,8.08,7.19,8.49,3.89,5.15,6.34,,0.3,,1.9,3.54,0.77,,,,0.84,1.16,,1.25,0.49,1.07,0.74,2.39,0.69,1.85,1.7,1.4,
121100076163001,Heggadevanakote,12.18333333,76.275,,,,,,,,,10.83,13.6,13.55,10.6,11.55,12.38,7.14,13.72,14.7,11.19,11.22,15.76,11.8,17.4,11.65,8.8,9.68,10.55,10.69,8.75,9.3,9.45,10.1,9.15,9.55,,12.4,9.27,11.8,11.68,11.54,9.93,11.22,10.28,11.49,,11.32,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.83,,,,,,,,,,,,,,,,,,,,,5.7,,,7.3,2.31,3.99,2.86,,,,,,,,,,,,5.05,,,
120542076400801,Hullahalli,12.095,76.66888889,,,,,,,,,4.57,8.93,1.59,1.66,3.45,2.72,1.64,0.77,2.98,1.01,0.74,0.76,4.43,1.53,0.78,7.28,2.96,8.01,0.87,0.65,5.33,1.8,0.68,0.61,2.17,,0.88,1.03,1.33,,0.82,0.37,3.45,8.24,0.9,0.84,2.64,1.62,4.04,3.04,5.25,6.39,5.92,4.41,6.34,7.58,6.58,3.17,3.98,4.61,6.51,5.19,5.89,8.14,5.73,4.66,5.62,8.06,7.34,4.49,5.09,6.42,5.89,4.69,5.54,6.69,,6.94,7.79,9.74,7.19,5.69,,8.59,6.21,4.59,5.69,5.29,6.09,5.09,,9.74,8.53,7.59,7.9,9.74,9.74,7.97,9.74,7.74,6.29,5.09,6.25,9.33,4.19,3.13,4.92,,,4.59,6.67,,14.69,6.59,8.64,7.34,3.84,2.94,7.75,9.8,8.7,
122000076063001,Kamalapura,12.33333333,76.10833333,,,,,,,,,5.28,7.25,6.2,5.05,5.32,6,5.2,4.43,4.89,5.57,4.76,4.96,6.12,6.68,5.33,4.69,5.54,7.57,5.35,4.84,5.38,5.96,5.8,4.24,5.49,6.49,,5.73,6.43,,,7.71,,,,,,,2.18,0.72,2.26,3.95,2.16,1.9,2.46,8.39,1.73,1.82,2.8,2.73,2.65,3.05,3.35,3.08,1.71,2.67,2.98,,2.9,0.95,2.36,2.84,2.7,1.55,3.15,2.5,,2.8,3.46,5.1,2.75,2.51,3.3,2.9,2.65,2.15,3.27,2.57,3.03,2.6,,3.45,3.39,4.15,4.13,2.15,2.4,2.46,3.27,2.4,2.3,1.65,3.35,3.45,1.75,2.34,,,,2.8,3.05,,2.9,2.02,3.05,1.35,2.2,2.18,3.4,3.58,2.6,
