station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
161200076470001,Buddinni,16.2,76.78333333,,,,,,,,,2.85,2.85,2.59,1.88,2.25,3.62,4.27,4.38,5.9,,7.02,3.72,4.59,1.25,1.46,1.58,2.31,4.04,3.52,1.71,3.3,4.27,6.02,0.95,1.7,3.04,4,3.64,4.4,5.56,5.36,4.95,5.9,5.6,8.1,7.65,8.3,,7.7,2.25,2.6,,6.4,6.35,8.15,9.52,6.95,3.55,4.9,5.27,6.9,3.9,4,5.42,3.95,0.55,1.07,0.8,0.8,1.15,2.8,5.15,,4.62,8.65,9.52,,9.52,9.52,9.52,9.52,6.6,8.3,9.52,9.52,4.8,6.24,8.21,9.52,9.52,,9.52,13.2,,13.2,13.2,9.86,0.35,1.1,6.36,9.65,11.3,,13.1,13.2,8.5,11.18,,,2.25,2.85,,,5.25,6.9,9.05,1.5,2.9,6.8,6.57,5.7,
155745076571001,Hirekotankal,15.9625,76.95277778,,,,,,,,,4.64,7.2,6.35,4.75,4.8,6.1,5.72,5.32,5.15,6.5,4.81,1.78,5.5,5.42,6.15,4.95,4.85,10.35,8.35,6.43,7.37,9.15,7.73,3.11,3.8,4.49,,8.1,5.45,8.5,6.71,7.25,6.17,,8.75,8.7,8.55,,,3.05,4.35,4.5,,3.65,3.75,5.2,4.15,3.65,2.65,6.03,4.45,3.15,3.85,7.83,6.65,3.33,2.95,5,2.7,3.35,2.95,4.06,,4.87,5,6.59,,4.7,3.25,4.96,4.35,1.95,2.45,4.35,4.25,3.15,3.35,4.41,5.05,3.25,,5.35,4.77,3.6,4,4.92,4.75,2.7,2.41,4.25,,4.35,,5.48,5.69,3.35,3.56,,,1.7,1.95,,1.71,1.22,2,1.9,1.01,1.05,1.51,2,2.25,
162100077040001,Kakargal,16.35,77.06666667,,,,,,,,,8.54,9.91,8.59,6.98,6.83,8.2,8.23,8.07,8.15,8.7,6.41,1.83,6.35,5.98,6.86,6.09,5.98,7.41,6.98,6.3,6.3,6.85,6.66,5.65,5.3,6.51,6.55,5.93,5.8,7.55,7.83,8.39,,9.15,9.55,9.4,9.94,10.8,10.15,7.55,7.05,7.5,7.25,7.15,7.3,8.65,6.65,4.85,5.75,5.6,5.35,4.75,4.4,7.92,4.65,2.75,2.56,1.9,1.9,1.15,4.4,2.33,,1.86,2.15,3.27,,1.55,2.01,4.05,1.95,0.75,1.6,2.85,3.05,5.35,3.91,6.43,4.79,2.4,,8.25,6.1,2.75,3.09,7.85,4.95,1.5,3.36,7.15,4.07,3.27,6.29,5.72,6.51,4.3,7.1,,,3.55,10.3,,10.65,6.95,7.5,10.07,8,4.85,8.4,3.43,2.6,
155020076273001,Mahampur,15.83888889,76.45833333,,,,,,,,,4.69,5.16,4.07,1.76,2.95,5.7,,5.35,4.6,8.9,6.02,4.12,6,4.9,7.25,2.5,,,4.41,3.75,4.63,6.83,8.67,1.3,3.1,7.36,10.1,7.67,7.11,10.88,8.02,9.25,,10.13,8.81,4.7,4.95,,8.75,6.75,5.95,8.65,9.1,,8.3,11.65,4.05,0.6,2.65,4.65,8.15,4.25,3.65,4.1,2.25,0.52,2.37,5.18,,0.5,4.25,6.99,,7.06,6.55,11.65,,8.2,,12.15,6.85,1.35,3.45,8.95,12.15,7.15,4.74,5.1,5.33,3.79,,10.95,10.75,8.9,10.75,10.75,10.75,8.2,10.75,10.75,10.75,10.75,,,10.75,10.75,11.59,,,0.1,0.95,,2.73,3.05,5.85,1.7,,0.05,3.6,6.42,0,
160000077020001,Manvi2,16,77.03333333,,,,,,,,,3.56,4.4,3.42,3.32,3.5,4.48,5.31,3.77,3.4,4.6,4.68,2,3.05,3.4,5.26,2.7,4.15,4.17,4.01,2.43,3.28,3.88,5.6,1.75,2.75,4.85,5.31,3.65,3.5,,7.91,5.3,4.2,,,4.05,3.8,,7.6,2,2.6,4.7,5.8,4.2,3.4,5.6,4.6,2.75,2.7,4.35,4.9,3.6,3.45,6.6,5.6,3.23,3.08,3.87,2.75,2.3,2.75,3.79,,4.43,4.35,7.94,,8.2,7.3,8.2,8,4.2,3.6,10.3,6.6,3.9,5.3,6.18,10.6,7.1,,10.6,7.7,,7.7,7.7,7.7,6.65,6.9,7.7,,7.7,,,,,,,,5.55,5.5,,5.6,5.6,5.4,,4.6,2.3,3.75,58,0,
161845077010001,Mustoor,16.3125,77.01666667,,,,,,,,,1.33,2.1,0.62,0.94,1.83,3.45,3.52,3.75,3.8,,4.47,1.92,2.86,2.43,3.3,1.03,2.18,3.98,3.42,0.73,2.16,3.61,3.88,1.25,2.7,5.53,4.85,3.3,,,,5.45,,,,,,,4.15,0.3,,2.6,1.6,0.25,0.05,0.4,,,,0.45,0.4,0.1,1.11,2.47,2.25,,,,0.3,0.85,0.05,0.42,,0.32,0.1,0.8,,0.2,0.23,1.35,0.05,0.55,0.1,0.05,,0.05,1.15,0.05,0.05,,,7.25,2.41,0.2,,7.45,7.45,0.05,0.67,1.7,1.45,1.01,1.4,2.64,0.3,7.95,2.12,,,0.35,0.05,,0.45,,2.25,0.97,,,0.8,0.45,0.47,
160230077060001,Neermanvi,16.04166667,77.1,,,,,,,,,1.43,2.75,1.45,2.17,1.3,3.3,3.69,1.04,1,2.55,2,0.85,1.65,2.7,3.72,3.67,2.1,2.07,1.14,1.28,2.03,2.38,2.65,0.9,1.45,4.5,2.04,1.25,2.1,4.86,2.87,2.05,1.35,6.02,5.75,1.25,3,4.8,2.72,0.95,1.4,2.65,3.4,2.5,2.25,3.3,2.65,0.8,1.5,3.65,2.1,1.1,2.06,4.6,4.7,1.42,1.35,1.35,1.35,,1.3,4,,0.45,3.4,19.6,,4.9,1.8,6.1,8.1,2.6,4.5,8.1,8.1,5.7,4.04,8.5,8.1,4.5,,8.1,6.1,,8.1,8.1,8.1,2.25,8.1,8.1,8.1,8.1,,,8.1,8.1,,,,5.8,5.2,,5.6,4.85,8.1,,8.1,,,0,0,
160600076410001,Pamankallur,16.1,76.68333333,,,,,,,,,5.33,6.23,6.83,2.57,3,4.5,6.05,5.88,,,5.74,1.85,2.7,2.75,5.3,2.66,3.75,6.37,6.21,4.77,6.38,6.26,6.37,3.45,4.4,6.23,6.3,6.26,6.25,6.73,6.59,6.85,,,,,,,,5.75,5.75,,5.75,5.75,5.75,5.75,5.75,5.75,5.75,7.75,7.85,,2.11,5.68,4.75,1.68,1.76,2.15,2.15,1.85,2.3,4.02,,3.62,4.65,6.53,,7.85,7.85,7.85,,,,,,,,,,,,,,,,7.85,7.85,,,,,,,,7.4,7.4,8,,,,,,,,2.3,,,,2.45,3,,
155730077103001,Rajalabanda,15.95833333,77.175,,,,,,,,,9.98,9.6,8.67,5.92,7.09,9.38,9.03,8.63,9.75,9.45,8.97,4.69,5.8,8.63,8.46,7.5,7.07,7.55,6.27,3.85,5.74,6.14,6.8,1.95,3.35,6.22,6.35,8.23,6.11,,6.46,7.35,4.25,,5.05,2.2,3.65,6.1,,,,,,2.6,3.45,4.6,2.05,1.65,3.05,5.43,3.65,2.65,3.55,6.4,5.35,,2.36,4.95,,1.15,3.55,1.97,,2.32,2.85,3.31,,0.2,1.7,2.63,1.3,0.6,1.3,1.2,0.85,0.6,1.49,1.05,2.7,0.95,,2.55,1.4,0.85,1.25,3.45,3.79,0.55,0.9,2.55,2.24,0.92,,3.65,3.05,0.55,2.84,,,0.6,0.83,,1.35,0.45,1.15,0.77,0.35,0.55,2.1,2.3,1.34,
154600076360001,Turvihal,15.76666667,76.6,,,,,,,,,4.08,5.35,4.38,3.3,3.75,5.6,5.2,4.4,3.6,6.1,3.46,1.5,4.55,6.2,6.9,4.55,5.37,6.76,5.1,4.72,5.09,6.83,5.61,3.63,3.5,6.55,5.51,3.78,5.52,,6.66,4.22,4.5,7,5.12,3.75,4.8,,5.3,3.85,4.45,6.52,5.25,3.7,4,6.7,3.2,2.7,3.3,4.89,4,2.9,2.7,5.45,4.42,2.55,2.69,4.72,,2.7,2.5,3.99,,3.37,3.4,5.99,,3.1,3.6,5.17,4.2,2.95,3.5,4.15,4.1,2.9,3.02,4.35,5.33,2.97,,7.54,4.72,3,4.5,7.54,5.9,3.08,2.95,4.35,3.24,2.77,,5.4,5.58,2.9,3.34,,,2.4,2.6,,2.9,2.35,2.46,2.3,2.1,2.3,2.7,3.5,3.3,
