station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
135222077133801,Bidarakere1,13.87277778,77.22722222,,,,,,,,,8.6,9.15,8.5,2.64,3.91,5.59,5,5.28,5.22,6.7,7.76,2.72,4.38,5,6,3.04,3.55,5.42,5.13,1.83,3.2,4.81,,1.95,3.11,5.2,5.6,6.1,7.1,,9.15,,,9,8.9,9.4,9.23,10.27,,2.32,3,5.04,5.2,5.05,5.13,6.05,6.82,5.37,5.4,6.03,4.55,1.79,3.05,4.7,5.25,3.02,4.1,13.06,5.78,2.13,2.34,4.9,5.6,6.2,13.06,13.06,,7.96,7.27,8,8.05,6.32,7.36,8.36,7.3,6.5,8.4,7.2,7.15,2.4,,,2.35,2.8,3,3.3,3.6,2,2.95,3.95,2.2,3.2,5.1,7.15,8.36,2,3.8,,,2.1,2.8,,3.16,2.25,2.55,1.62,0.85,2.4,3.8,3.95,4.1,
131815076563001,Gubbi,13.30416667,76.94166667,,,,,,,,,10.9,10.45,8.43,7.5,8.25,10.93,,8.56,8.34,10.89,10.33,8.97,10.71,8.66,8.69,9.32,9.79,11.65,10.28,7.54,8.2,7.74,6.03,5.51,6.52,6.45,7.14,6.34,8.98,11.87,10.49,9.94,13.71,12.27,13.2,11.24,14.91,14.96,12.14,8.49,10.04,,7.14,9.44,,7.99,7.39,,,,4.61,3.34,4.75,4.84,3.99,3.24,6.14,5.96,4.37,1.25,1.84,6.39,,,,,,2.37,5.74,8.06,8.69,7.26,8.49,8.86,8.34,5.94,7.24,6.74,5.19,6.46,,5.16,4.19,5.49,4.4,10.44,9.36,4.2,6.74,9.49,9.34,8.14,10.39,14.28,17.14,6.24,9.56,,,4.48,5.27,,4.24,2.79,0.01,2.7,1.24,1.44,3.82,4.2,4.11,
134000077120001,Madhugiri,13.66666667,77.2,,,,,,,,,4.43,9.45,5.23,1.57,2.83,8.1,11.9,1.6,0.49,4.89,1.2,1.08,2.48,2.33,7.38,0.9,1.72,10.24,1.14,1.14,1.68,4.04,,1.35,1.88,5.64,3.77,1.8,3.05,10.24,10.38,8.27,9.17,10.33,10.14,7.1,5.19,10.2,,0.94,1.29,4.36,2.84,1.84,3.38,6.64,1.94,1.38,0.82,4.42,1.66,0.99,1.76,3.9,0.99,1.24,2.14,4.45,4.41,0.81,0.6,3.99,3.54,2.68,3.79,5.64,,4.06,1.74,6.54,10.17,0.9,1.66,3.46,4.04,3.89,2.54,4.3,5.24,0.86,,4.99,1.88,3.56,4.78,9.94,9.99,1.14,1.94,4.87,5.99,7.94,10.09,11.1,2.86,0.64,3,,,0.92,1.44,,0.69,0.89,1.29,0.89,4.17,1.04,2.99,4.38,4.8,
132800076290001,Mattighatta,13.46666667,76.48333333,,,,,,,,,4.9,7.87,5.05,5.43,8.5,15.06,14.15,4.06,3.11,7.07,3.24,2.39,4.18,3.11,5.8,2.14,2.95,7.12,3.3,1.47,2.29,4.66,4.04,2.27,3.36,6.2,5.92,1.96,6.9,8.8,9.34,4.55,7.01,4.33,3.53,2.59,4.67,5.63,3.05,1.35,,2.95,3.65,2.3,3.24,5.4,4.26,1.69,2.8,3.22,3.56,2.65,3.26,4.9,3,1.74,2.4,2.46,2.72,1.2,0.88,2.85,3.4,2.49,4.9,3.2,,3.74,4.5,5.69,5.65,4.25,5.82,7.86,7.75,2.1,4.3,3.7,4.94,2.15,,3.38,2.5,3.98,4.88,5.1,7.7,2.9,4.05,5.3,6.1,3.6,,7,5.83,,3.53,,,2.2,7.3,,3.2,0.95,2.15,1.82,1.5,1.65,3.35,3.15,3.52,
134945077121501,Midigeshi,13.82916667,77.20416667,,,,,,,,,3.85,5.5,3.38,2.2,2.67,5.75,5.77,0.32,1.1,1.55,1,1.13,3,3.62,4.53,1.17,1.83,4.62,1.02,0.25,1.59,3.01,8.34,1.27,2.34,3.85,7.45,7.98,8.41,,0.86,2.7,6.26,4.75,4.85,4.59,4.12,8.33,2.42,1.05,1.35,4.1,2.43,2.95,4.16,8,5.02,1.29,2.27,2.49,0.6,1.15,1.97,2.07,1.65,1.23,2.65,3.59,3.08,0.99,0.4,4.05,3.1,3.26,4.32,4.85,,0.95,2.11,3.92,4.03,3.56,2.35,3.33,3.42,1.3,2.45,1.33,2.99,1.29,,3.77,1.55,7.55,3.6,4.4,4.28,1.05,2.13,3.15,3.65,4.25,4.32,6,4.07,0.95,2.87,,,0.93,1.43,,1.8,0.75,1.75,0.91,0.7,1.1,3.45,3.65,4.15,
132830077143001,Nagenahalli,13.475,77.24166667,,,,,,,,,4.63,3.95,3.68,4.05,5.14,7.07,5.55,3.96,2.72,7.17,7.08,2.25,4.06,4.2,5.72,3.3,2.5,6.18,4.37,1.45,3.69,4.49,6.93,3.33,2.52,4.98,4.15,5.19,6.27,8.75,8.19,4.4,5.53,8.24,7.2,8.01,8.22,9.16,6.1,0.95,1.69,3.55,3.75,3.52,5.73,9.05,5.17,,2.9,5.96,2.48,1.54,2.68,7.05,8.79,4.88,3.75,9.15,5.63,9.15,9.15,6.65,3.35,9.15,3.9,3.15,,4.6,4.2,9.15,3.15,1.7,2.26,4.08,3.44,0.85,1.75,2.59,2.2,1.7,,4.13,1.25,2.2,3,3.75,4.35,1.15,2.3,3.2,2.45,2.95,4.25,7.57,4.32,2.7,3.2,,,1.49,2.15,,2.65,1.35,1.7,1.68,0.82,1.25,3.02,3.23,2.94,
133000077010001,Nelahal,13.5,77.01666667,,,,,,,,,14,,12.92,11.27,12.53,,,10.63,10.23,,11.36,9.3,12.24,12.82,,11.28,11.66,,12.97,9.47,11.62,,,11.38,11.94,,,,,,,,,,,,,,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,,13.76,13.76,13.76,13.76,13.76,,,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,,13.76,13.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,,,
130930076333001,Nonavinakere,13.15833333,76.55833333,,,,,,,,,9.66,10.76,9.03,8.55,11.37,10.85,10,7.41,7.46,9.08,6.4,5.68,6.94,6.81,7.25,6.11,5.54,6.46,5.89,3.4,4.14,5.7,5.86,5.05,5.55,6.55,7.75,5.85,6.27,7.78,8.11,6.98,5.46,6.82,6.05,5.04,4.82,5.68,5.45,3.75,4.05,4.73,4.55,4.1,6.72,4.15,4.02,3.07,3.1,3.11,2.85,1.95,2.25,2.55,2.65,2.03,2.25,2.37,1.77,1.48,1.95,2.35,2.55,2.15,3,2.95,,1.17,4.35,6.03,5.82,3.33,4.45,4.66,3.63,2.25,2.75,3.63,2.97,2.05,,2.83,2.4,2.73,3.43,4.5,,3.05,3.9,4.15,3.75,3.25,4.3,5.87,3.97,2.19,3.84,,,1.88,2.1,,2.23,1.4,1.67,1.28,1.43,1.5,2.74,2.44,2.77,
140930077173001,Palavalli,14.15833333,77.29166667,,,,,,,,,4,4.5,6.93,2.1,1.44,3.3,4.85,3.84,4.25,5.44,6.03,1.95,2.32,1.86,5.04,2.12,2.77,5.81,5.32,1.22,1.58,4.67,5,0.88,0.89,3.02,3.75,4.53,6.82,6.42,6.53,6,1.6,6.22,5.21,5.92,6.64,6.88,3.32,1.27,1.87,4.07,5.79,6.47,6.54,7.88,8.53,7.53,7.49,7.02,1.45,1.07,1.52,3.68,4.7,3.74,2.72,4.92,5.19,2.23,1.49,4.42,5.47,5.95,7.39,7.12,,7.67,7.02,8.86,9.6,2.77,3.92,6.3,7.82,7.56,7.72,10.01,10.74,8.17,,8.47,7.82,7.57,8.82,10.52,10.82,5.47,7.37,8.27,9.62,8.77,8.97,10.5,9.94,6.92,9.65,,,6.17,6.57,,9.32,2.42,2.09,3.47,0.74,0.8,2.5,3.48,5.26,
141030077051501,Rangasamudra,14.175,77.0875,,,,,,,,,4.35,,2.28,2.07,9.16,,4.83,,0.47,,,0.78,3.73,2.13,3.23,0.88,1.94,2.08,0.3,1,1.52,,,0.54,1.64,2.89,2.39,1.39,2.61,,,,2.08,,,,,3.17,0.99,0.19,,2.75,2.19,2.37,2.3,2.74,1.68,0.29,1.22,0.75,0.14,0.27,1.14,2.09,,0.79,1.49,,0.21,,,1.29,1.39,1.58,2.77,1.99,,0.17,2.99,2.31,10.34,10.34,10.34,10.34,0.59,0.39,1.09,0.25,0.49,3.64,,2.19,0.19,1.09,4.61,1.39,0.74,0.09,0.74,6.89,2.59,3.19,,11.95,10.34,,2.1,,,,,,10.34,,10.34,,0.31,,,,,
