station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
133105074582801,Ardi,13.51805556,74.97444444,,,,,,,,,9.12,10.26,4.21,7.95,8.65,10.68,2.85,6.36,6.92,8.83,3.35,6.2,7.89,10.8,4.74,6.8,5.09,9.56,2.64,7.45,7.94,9.65,,7.1,,9.34,3.15,6.95,7.92,9.73,2.52,7.24,8.13,9.7,3.6,7.55,8.59,10.25,3.11,7.07,7.6,8.29,2.65,7.09,7.93,9.35,4.68,6.15,8.05,9.53,4.45,7.17,8.4,9.5,3.6,6.47,7.8,9.02,2.5,6.5,7.57,9.06,3.1,6.55,7.8,9.7,,7.27,8.35,10.1,2.65,6.05,7.9,9.2,3.81,6.43,7.8,9.2,5.28,7.35,,9.65,2.75,7.56,8.3,,2.92,7.5,7.9,9.77,2.62,7.75,8.3,11,2.27,4.64,9.05,,,7.29,7.72,,3.27,6.8,7.7,9.63,3.25,7.82,9.2,12.95,7.17,
134817074403301,Baindur 1,13.80472222,74.67583333,,,,,,,,,1.87,3.16,0.65,0.95,1.35,3.15,0.59,0.01,0.59,2.35,0.2,0.5,1,0.65,,0.16,1.03,1.34,,1.92,0.53,,0.54,0.83,0.74,2.09,0.61,1.05,1.6,3.13,0.65,1.1,1.9,0.5,1.4,1.61,2.28,3.81,0.82,1,1.34,1,0.79,0.94,1.43,3.04,0.58,0.85,1.45,2.49,0.7,0.92,1.52,2.48,0.42,0.85,0.72,1.93,0.42,0.55,0.72,,0.42,0.39,1.1,2.42,,0.5,1.22,2.47,0.32,0.37,1.02,2.54,0.74,0.42,1.07,2.02,,1.92,,10.27,3.57,0.71,1.22,2.25,0.42,0.67,1.37,2.39,0.07,6.22,,3.5,0.03,0.01,1.75,,,0.52,0.5,,0.01,0.22,0.34,0.04,0.02,0.44,1.45,3.22,0.95,
132608074443901,Brahmavara,13.43555556,74.74416667,,,,,,,,,10.18,,5.44,8.52,9.15,12.28,4.98,6.1,6.6,,4.1,6.3,8.46,10.9,5.44,7.21,8.94,,3.93,7.47,9.64,,3.43,7,8.38,,4.63,6,8.35,,3.6,7.49,9.48,,4.5,7.04,9.37,,4.6,8.49,9.38,10.7,4.22,7.15,9.02,11.37,4.3,6.62,7.8,,4.85,7.55,9.85,11.37,2.9,7.35,7.8,11.37,3.15,5.46,8.22,11.37,3.2,6.9,9.3,10.6,,7.4,0.9,11.37,3.9,5.52,9.02,10.8,4.3,6.11,8.25,11.37,4.18,,,,,7.25,11.37,11.37,3.7,4.25,7.3,,4.3,,,7.9,,,,,,,,,,4.4,,9.32,4.12,8.76,10.92,,8.01,
133225074593001,Goliangadi,13.54027778,74.99166667,,,,,,,,,12.43,14.56,5.63,9.04,11.14,14.38,3.91,7.19,8.28,12.7,3.6,7.35,9.65,12.3,5.55,6.7,9.7,4.08,3.65,8.04,10.09,12.85,3,8.02,9.83,13.17,4.58,7.4,9.75,13.1,3.5,7.69,9.82,12.51,4.55,7.78,9.86,13.67,4.31,7.36,9.3,11.95,4.02,7.26,9.37,12.47,4.75,6.97,8.95,12.29,5.57,7.81,9.65,12.89,4.95,7.32,8.95,12.18,4.1,6.6,7.83,12.42,4.15,8.12,9.81,13.15,,7.75,10.2,11.35,4.2,6.7,9.5,13.18,5.07,12.05,9.2,12.53,6.45,7.55,,13.05,4.5,8.43,10.25,12.5,4.41,8.2,7.9,13.25,4.05,9.55,13.85,14.5,3.1,3.8,2.45,,,7.49,8.55,,3.65,5.65,7.8,10.88,3.95,7.4,10.55,12.95,7.15,
134700074430001,Kirimanjeshwar,13.78333333,74.71666667,,,,,,,,,3.34,4.52,2.24,2.56,2.99,4.28,1.76,1.62,1.87,5.83,2,2.9,4,5.04,1.53,3.5,,5.53,,2,2.12,2.07,0.4,2.03,1.47,1.82,0.98,1.95,2.54,4.5,1.65,2.7,3.47,3.59,1.1,2.6,3.36,4.55,1.95,2.63,4.98,3.8,1.81,1.45,1.78,4.57,1.4,3.33,5.1,4.33,2.78,4.08,4.98,4.55,1.2,3.68,4.4,6.07,1.5,3.2,3.05,6,1.4,3.75,4.8,6.3,,3.95,4.75,6.92,2.35,3.52,4.75,6.5,2.78,3.5,4.7,6.58,3.1,3.75,,6.78,2.5,5.08,5,6.52,2.52,4.05,4.65,6.47,2.47,4.62,5.16,8,2,1.87,5.27,,,4,4.55,,2.33,3.4,4.25,6.65,2.87,4.72,6.12,7.53,4.45,
135200074480001,Kollur1,13.86666667,74.8,,,,,,,,,11.13,12.46,8.67,7.85,10.47,12.6,7.62,5.53,9.2,10.72,6.1,7.3,10.01,8.15,9.43,4.15,9.74,11.88,8.11,5.89,7.16,3.75,7.6,4.15,6.11,6.55,7.92,5.85,5.15,7.95,8.15,7.08,10.23,9.87,8.45,10.26,10.23,11.9,8.61,9.56,10.19,7.95,8.43,10.23,10.67,11.61,6.78,9.67,10.75,11.55,9.62,10.45,11.42,12.13,6.75,10.08,10.05,11.08,9,8.9,10.67,12.2,5.65,10.45,10.45,11.25,,9.94,10.35,11.25,7.6,9.6,10.8,10.25,8.75,9.95,10.4,12.16,8.85,7.95,,11.25,2.35,10.23,11.75,11.75,10.27,10.35,10.4,10.95,4.7,,8.6,12.8,4.35,3.55,12.1,,,10.15,10.35,,7.4,9.6,10.78,11.19,9.08,10.65,12,12.95,11.1,
131415074444901,Kota,13.2375,74.74694444,,,,,,,,,6.43,7.52,3.27,4.75,5.8,7.44,2.7,3.58,4.2,6.57,1.7,3.15,4.76,6.05,2.31,4.25,5.58,6.56,2.08,4.01,5.23,6.61,1.5,3.72,5.05,5.67,2.65,3.55,5,6.75,2.13,4.15,5.29,6,2.35,3.79,5.16,6.9,1.43,3.09,3.78,5.65,0.67,2.23,3.27,5.5,1.09,1.83,3.85,5.27,2.53,3.63,5,6.42,2.15,3.76,4.4,6.38,2.32,2,4.07,6.05,1.85,,,5.15,,4.15,5.05,5.35,2.55,1.67,3.37,4.79,3.33,2.67,5.75,6.79,6.05,1.95,,7.6,3.28,5.22,6.15,6.15,4.35,4.97,5.2,4.75,0.82,5.61,4.85,7.6,2.6,3.35,3.3,,,4.95,6.08,,2.77,3.25,5.18,4.59,0.85,3.13,7.05,8.3,7.54,
131450074445001,Koup Uliyargoli,13.24722222,74.74722222,,,,,,,,,7.87,9.18,4.84,6.25,7.5,9.23,4,5.04,5.58,7.98,3.35,4.45,6.43,7.97,3.9,5.4,6.75,8.26,3.71,5.66,7.6,8.22,2.53,5.05,6.52,7.75,4.21,4.88,6.46,8.16,3.85,5.5,6.77,7.26,3.55,5.43,6.66,,3.91,7.66,9.76,8.65,,4.42,6.35,8.18,2.7,4.14,6.55,7.86,3.85,5.05,6.13,7.35,3.25,5.23,6.25,7.17,3.3,5,7.85,9.68,4.35,6.72,8.11,7.25,,7.18,8.15,9.85,4.41,5.91,8.1,9.9,4,6.5,8.15,9.73,5.98,6.3,,12.3,4.98,7.25,8.35,10.1,8.3,7.62,8.15,9.81,5.02,8.8,,,4.08,6.13,,,,7.05,7.75,,5.08,6.45,7.33,9.27,4.95,7.41,8.9,7.44,9.02,
133743074413501,Kundapura,13.62861111,74.69305556,,,,,,,,,5.89,8.26,3.19,4.22,5.16,6.98,2.38,3.19,3.84,6.2,1.1,2.8,4.46,5.77,2.37,3.61,4.54,6.3,1.84,3.86,5.13,6.49,2.4,3.46,4.56,6.24,2.56,3.42,4.67,6.67,1.92,3.82,5.3,6.02,2.02,3.5,4.77,6.87,2.81,3.88,4.82,7.07,2.13,3.49,4.43,6.91,1.78,3.04,4.78,6.65,2.51,4.12,5.56,6.54,2.52,4.57,4.52,7.07,2.97,3.02,4.1,6.62,2.02,3.56,5.02,7.62,,3.75,4.92,7.44,2.32,3.87,4.8,6.68,3.24,2.87,4.22,6.71,2.79,3.52,,,,,,6.52,2.17,,,6.72,,4.3,,,,,,,,,,,,3.27,4.09,5.47,,4.12,,,5.62,
132100074420001,Malpe,13.35,74.7,,,,,,,,,4.14,4.89,2.05,3.31,3.96,4.74,1.75,1.95,2.27,3.45,1,2,2.97,,1.45,1.15,2.1,,0.64,2.81,3.95,3.68,1.35,2.4,3.26,2.95,1.55,2.23,3,4,1.55,2.67,3.92,3.37,1.4,2.64,3.72,4.43,1.58,2.75,3.42,4,2.14,2.94,3.53,4.34,0.85,1.7,3,4.07,0.9,2.2,3.56,4.11,1.7,2.65,3.55,4.6,1.15,2.1,3.22,4.63,0.9,2.83,3.58,3.5,,2.97,3.95,3.6,1.47,2.45,3.78,4.9,1.8,2.5,3.2,5.08,2.33,3,,5.1,1.4,3.58,4.1,5.22,2.55,3.3,4,4.5,1.45,2.8,2.55,5.7,0.9,4.42,4.45,,,3.05,3.6,,1.3,1.9,3.15,4.43,1.3,3.5,5.25,5.7,2.95,
133615074514501,Shankarnarayana,13.60416667,74.8625,,,,,,,,,6.58,7.56,2.29,7.71,6.6,7.37,1.77,4.63,5.01,5.5,0.35,3.1,5.61,8.05,6.4,8.1,7.29,8.11,3.11,4.84,5.67,5.17,1.95,7.03,5.57,8.32,5.52,4.55,5.49,5.98,1.15,4.47,5.82,4.46,1.75,3.13,5.33,8.4,1.71,4.4,5.36,1.55,1.51,3.06,5.21,5.92,3.13,2.63,5.05,5.78,2.28,5.4,7.75,5.14,1.35,4.35,6.35,13.48,1.35,3.5,4.83,,,1.68,5.07,13.65,,2.75,4.5,13.65,1.25,4.15,6.85,11.3,2.31,3.55,6.65,11.3,2.3,3.52,,5.15,1.4,4.45,8.05,4.65,1.6,5.75,5.05,11.3,1.45,4.95,5.65,12,1.11,1.25,6.42,,,5.41,5.28,,1.45,2.85,5.15,12.65,1.53,9.67,12.9,6.8,7.42,
134000074544501,Siddapura1,13.66666667,74.9125,,,,,,,,,10.24,11.78,4.67,6.9,8.25,11.27,3.27,5.88,6.74,9.34,3.1,5.05,7.25,6.87,4.77,5.82,7.64,9.31,3.05,6.41,7.77,9.39,,6.37,7.73,10.62,3.49,6.12,7.67,10.49,2.95,6.48,7.97,9.55,3.72,6.14,7.95,11.42,3.4,5.98,7.64,6.82,3.29,5.99,7.52,11.17,2.97,5.27,7.27,9.93,4.44,6.89,8.27,11.09,3.17,6,6.97,10.2,3.22,4.94,7.18,10.17,2.92,5.05,7.7,13.02,,6.12,7.62,9.7,5.42,8.57,10.62,12.79,6.43,9.32,10.87,11.02,5.4,6.37,,10.42,2.82,7.05,9.02,12.5,3.27,6.77,8.08,13.32,5.77,6.82,9.7,12.4,2.87,3.52,9.15,,,6.54,7.39,,3.49,5.82,7.3,12.62,6.4,6.72,8.8,11.87,6,
132000074450001,Udupi,13.33333333,74.75,,,,,,,,,12.63,3.64,7.47,10.26,12.07,14.3,6.24,9.1,9.85,12.45,5.54,8.45,10.9,12.37,7.16,9.69,11.8,14.43,6.82,10.22,11.77,13.52,5.14,9.32,11.1,13.24,7.61,9.2,12.65,14.2,7.08,9.72,12,12.54,6.35,11.58,13.93,14.55,7.22,10.31,,11.4,6.32,9.57,12.9,12.95,6.65,9.38,12.55,13.89,7.48,10.9,12.52,13.21,6.7,11.42,9.05,12.38,5.8,8.95,11.11,14.44,5.2,9.7,12.1,13.6,,9.5,11.45,14,7.5,9.05,11.9,13.5,7.6,5.25,5.46,13.65,8.58,10.6,,14.2,7.3,11.11,13.8,14.02,5.25,10.34,11.77,13.6,6.9,4.5,11.43,14.7,4.6,8.25,10.75,,,11.1,13,,7.05,9.65,12.87,13,7.24,5.18,14.4,14.98,8.98,
134230074454501,Vandse,13.70833333,74.7625,,,,,,,,,5.77,7.12,4.8,5.6,5.66,6.98,4,3.72,3.8,5.4,2.35,3.65,4.78,3.26,3.81,4.66,7.58,5.09,3.19,4.88,4.91,5.26,3.12,4.77,4.81,5.36,3.67,4.74,4.74,6.21,3.16,4.96,4.89,4.67,3.66,4.82,4.92,,3.63,4.86,4.65,2.26,3.43,4.76,4.79,6.24,3.16,4.59,4.81,5.95,4.14,4.91,4.9,5.88,3.16,4.86,4.76,7.18,3.36,4.44,4.72,6.11,3.26,4.53,4.66,6.16,,4.7,5.11,5.96,3.09,4.71,5.21,6.16,3.91,4.59,5.16,5.96,4.86,4.81,,6.11,3.66,5.02,5.31,5.01,6.38,5.06,5.36,6.13,3.36,5.28,5.36,,2.79,2.76,5.75,,,5.16,5.26,,3.71,4.91,5.19,5.16,3.76,5.16,6.4,5.8,4.5,
131330074450001,Kaup,13.225,74.75,,,,,,,,,,,,3.23,,,,4.89,,,,5.43,,,,6.64,,8.92,,6.82,7.65,,,6.44,,,5.91,4.93,7.76,,,6.78,7.95,8.01,5.9,6.66,7.92,8.9,6.1,6.95,9.29,8.65,6.09,6.61,6.4,8.81,5.5,7.25,7.22,8.77,4.89,6.95,7.98,8.89,5.6,6.64,7.15,8.68,6.55,6.03,7.04,8.67,5.3,6.85,7.32,8.92,,6.64,7.5,,5.45,6.02,7.4,8.75,5.66,6.4,7.5,8.93,6.9,,,,5.67,7.14,7.75,,7.85,16.95,7.57,9,5.62,8.27,,10.29,5.81,6.9,8.8,,,6.78,7.48,,5.92,6.44,7.42,8.74,6.1,7.41,,9.86,,
135130074380001,Baindur,13.85833333,74.63333333,,,,,,,,,,,,,,,,,,,,,,,,13.52,,14.35,,12.1,12.83,13.09,,,,13.35,10.08,,14.08,,,,,,,,,,,,,,,,,,,,,,,,,9.69,1.94,8.08,8.74,9.79,2.39,6.87,9.04,9.44,1.54,5.71,8.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133930074543001,Siddapur2,13.65833333,74.90833333,,,,,,,,,,,,,,,,,,,,,,,,9.7,,14.74,,10.43,11.68,,,10.76,,20.1,6.43,10.12,11.63,,,,13.33,16.57,8.6,10.91,14.16,18,6.48,13.89,12.72,14.3,7.23,10.36,12.87,17.33,2.9,,12.9,17.63,4.69,12.6,12.87,16.75,9.1,5.93,13.1,19.02,7.33,10.12,11.9,15.2,7.05,13.07,12.75,16.65,,11.46,13.65,,6.7,9.65,12.4,15.95,7.3,10.3,12.7,14.61,8.93,,,,6.37,13.43,14.1,,19.42,25.47,13.59,20.8,6.88,13.57,15.33,23.3,6.57,9.43,13.26,,,11.94,13.86,,7.79,10.3,13.82,15.04,7.6,12.12,14.46,19.67,11.1,
135003074441001,Golihole,13.83416667,74.73611111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,6.2,3.9,0.25,1.87,3.6,5.58,0.12,1.3,6.35,7.76,4.84,7.4,7.05,8.03,4.35,6.31,7.1,6.17,4.63,3.15,7,6.28,0.23,3.25,7.4,9.1,4.45,3.8,7.9,,,6.45,6.41,,3.35,4.65,6.15,3.83,0.22,3,6.4,8.9,7.7,
133103074560501,Halbadi Jn,13.5175,74.93472222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35,5.46,,,6.87,7.43,7.5,4.2,4.2,7.55,7.48,6.16,7.15,7.55,7.55,3.3,6.97,7.3,7.06,3.7,7.15,7.15,7.6,3.32,7.7,7.38,9,2.55,2.9,8.15,,,7.25,7.4,,3,5.9,7.2,7.18,3.7,7.32,8,8.06,6.3,
