station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
103700076130001,Athani,10.61666667,76.21666667,,,,,,,,,7.79,8.55,3.48,6.86,8.07,7.46,2.81,4.98,7.57,8.63,1.88,5.75,7.93,8.03,3.62,6.8,7.85,8.09,0.61,7.34,7.95,8.27,3.85,4.6,7.75,8.3,3.39,6.05,7.78,7.85,1.3,6.3,7.91,8.23,4.97,6.4,7.88,7.6,5.95,7.18,7.8,8.15,3.1,5.95,7.7,8.2,1.15,5.3,7.5,7.85,5.1,6,7.65,8.25,2.01,7.32,7.8,7.46,5.25,,5.95,7.5,0.72,3.75,7.67,8,,7.35,7.85,8.56,4.93,6.35,7.95,8,1.67,6.62,7.47,7.95,3.66,7.21,,8.27,6.57,7.67,7.23,8.2,5.05,6.45,7.92,8.3,3.8,7.75,7.36,8.07,0.7,2.4,7.4,,,7.5,7.67,,2.95,6.95,7.8,7.73,5.37,7.41,7.97,8.27,,
101150076102001,Azhikode,10.19722222,76.17222222,,,,,,,,,1.34,1.46,0.8,1.14,1.29,1.77,0.8,0.7,0.91,2.02,1.06,1.37,2.49,1.07,0.87,,,,1.46,2.31,0.99,0.49,,,,3.04,1.84,2.03,,,,,,,,,,0.95,0.87,0.77,1.21,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,1.51,,0.54,,1.57,0.74,,,,,,1.73,,,,,,,,,,,,,,,,,,,,,1.12,,,0.77,,,
103458076012801,Chavakkad,10.58277778,76.02444444,,,,,,,,,2.63,4.35,1.29,1.68,2.17,4.67,1.27,1.35,1.97,3.91,1.32,1.3,2.21,3.87,1.4,1.41,2.04,4.23,0.56,1.89,2.59,4.38,1,1.11,2.36,3.94,1.28,1.51,2.27,3.03,1.02,1.49,2.63,3.25,1.45,1.32,2.47,3.72,1.47,1.6,2.37,4.37,1.39,1.29,2.27,4.4,1.22,1.47,2.17,2.27,1.07,1.47,2.69,3.97,1.37,1.57,2.17,4.32,1.57,1.27,1.98,3.83,0.68,0.78,2.69,3.41,,1.97,2.27,4.37,1.27,1.47,2.47,5.07,1.22,1.24,2.22,3.87,1.83,2.41,,3.39,1.88,1.99,3.19,4.07,0.77,1.57,2.69,4.07,1.39,1.77,2.5,4.02,0.63,1.07,2.27,,,1.79,2.66,,1.17,1.45,2.47,2.87,0.94,1.32,1.81,3.8,,
104000076150001,Erumapetty,10.66666667,76.25,,,,,,,,,7.66,9.1,5.59,6.16,7.48,9.33,4.78,5.63,7,7.8,4.64,6.14,7.19,9.63,6.21,6.66,7.41,9.5,3.17,6.88,7.41,8.2,4.75,5.81,7.35,8.58,5.78,6.42,7.28,7.3,4.78,6.13,7.45,8.58,6.19,6.43,7.48,6.13,6.38,6.18,7.38,7.78,5.88,6.48,7.13,7.68,5.12,6.28,7.33,7.38,5.88,6.35,7.54,7.88,6.1,5.28,7.13,7.85,6.38,5.83,7.12,7.53,4.18,4.97,7.46,9.78,,6.95,7.83,9.4,5.88,6.68,7.48,9.78,5.67,5.91,7.33,8.38,5.95,6.4,,9.49,7.23,6.99,7.9,8.03,5.96,5.58,7.33,8.1,5.28,7.03,7.89,8.82,3.94,5.51,7.8,,,6.79,8.63,,5.44,6.57,8.33,7.13,5.74,6.73,7.34,9.85,,
101350076115001,Kodungallur1,10.23055556,76.19722222,,,,,,,,,3.16,3.56,2.71,2.91,3.32,3.6,3.13,3.24,3.4,3.96,3.17,3.13,3.5,3.8,3.11,3.24,3.22,3.65,3.12,3.4,3.7,3.92,2.9,3.08,3.53,4.03,3,3.1,3.7,3.85,3.1,3.13,3.73,4.03,3.12,3.2,3.53,3.65,3.05,3.45,3.52,3.7,2.9,3,3.33,,2.87,2.95,3.45,,2.85,3.2,3.55,,2.9,3.16,3.32,3.32,3.12,2.77,3.76,3.68,2.94,3.21,3.82,3.96,,3.7,3.6,3.92,2.92,3.4,3.7,3.56,2.75,2.88,2.97,3.6,3.16,3.02,,3.7,2.97,3.18,3.47,3.9,2.85,2.9,3.2,3.96,2.81,3.12,3.42,3.99,3,3.05,3.37,,,3.24,3.46,,3.02,,3.5,3.65,3.07,3.21,3.38,,,
104040076121001,Kundannur,10.67777778,76.20277778,,,,,,,,,2.63,6.58,0.79,0.87,2.25,5.89,0.74,0.72,1.72,5.68,0.66,0.63,1.71,5.48,0.77,0.76,3.43,,0.53,0.96,1.97,7.06,0.85,0.62,2.09,6.46,1.61,0.65,1.91,3.32,0.6,0.75,2.19,7.38,1.01,0.6,2.33,6.13,0.9,0.8,1.85,5.3,0.75,0.65,1.9,6.4,0.7,0.75,1.65,4.1,0.7,0.75,1.85,7.05,0.7,0.5,1.4,6.12,0.65,,1.75,0.57,0.45,0.55,1.86,7.5,,0.85,1.95,6.57,0.63,1.05,1.8,6.69,0.7,0.65,2.45,7.4,0.61,0.57,,7.55,0.61,1.07,5.06,7.55,0.47,0.45,3.55,7.59,1,1.35,1.7,7.6,0.23,0.57,1.94,,,2.33,2.81,,0.87,1,2.37,4.63,0.9,1.08,1.52,6.51,,
104029075593001,Punnayoor,10.67472222,75.99166667,,,,,,,,,4.4,5.36,2.27,3.55,4.36,5.6,2.4,1.98,4.09,5.41,2.4,3.43,4.43,5.31,2.98,3.26,4.21,5.44,1.48,3.77,4.52,6.89,2.58,3.03,4.68,5.4,2.64,3.18,4.4,5.32,2.4,3.35,4.74,5.36,2.91,3.3,4.55,,3.2,3.15,4.13,5.33,2.7,2.3,4.3,5.45,2.2,2.92,4.35,4.6,2.95,3.15,4.72,5.55,2.69,3.65,4.15,,,3.3,,5.4,2.12,2.42,4.44,5.64,,1.9,4.46,5.58,2.42,3,4.2,5.42,2.55,2.9,4.22,5.5,3.07,3.32,,5.5,3.32,4.31,4.96,6,2.6,3.5,4.66,5.69,2.63,3.98,4.65,,0.97,2.24,4.34,,,3.66,4.65,,2.36,3.3,4.55,5.3,2.76,3.85,4.09,5.44,,
103830076100501,Velur,10.64166667,76.16805556,,,,,,,,,,,,,,,,,,,,,,,,9.96,12.08,16.09,5.22,11.78,13.52,,11.28,9.37,12.11,,,,,,6.92,,,,,,14.2,16.17,8.47,11.82,16.97,19.37,8.17,8.02,13.37,8.67,7.97,11.27,12.17,11.77,9.27,10.12,11.1,18.67,,11.56,12.67,12.65,,10.67,11.7,17.87,,,16.15,23.5,,14.2,18.37,,9.37,14.67,14.17,,6.51,10.15,13.97,22.17,,5.93,,8.49,9.4,8.99,13.79,31.63,6.62,6.17,14.57,31.17,5.17,11.35,19.37,42.87,4.54,6.29,13.73,,,6.71,21.07,,6.63,6.89,20.42,12.47,6.38,7.01,13.66,,,
101220076095501,Eriyad,10.20555556,76.16527778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,1.63,,0.8,1.24,1.75,1.85,1.08,1.19,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,1.17,,,
101425076112801,Logamalleswaram,10.24027778,76.19111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,1.2,3.38,1.6,2,2.7,3.25,1.84,2.03,2.42,3.2,1.17,1.21,2.1,3.08,1.71,1.86,2.81,3.27,0.97,1.97,2.48,3.52,2,2.3,2.61,3.64,1.52,1.7,2.39,,,2.21,2.51,,1.9,2.15,2.58,3.1,1.8,2.18,2.35,3.4,,
