station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
235109076061501,Amla,23.8525,76.10416667,,,,,,,,,8.43,11.05,1.35,6.08,8.15,12.45,3,6.3,5.55,12.05,3.63,5.45,9,12.77,3.05,5.08,8.98,12.47,5.07,8.71,10.92,12.35,8.13,8.94,10.89,12.41,,10.48,12.78,,9.49,5.81,9.28,11.44,2.8,6.3,8.73,12.85,6.15,8.5,10.13,12.11,1.68,5.85,8.8,11.73,2.64,7.9,8.98,12.75,5.75,5.69,8.45,11.85,10.42,7.93,8.75,13.12,10.7,7.14,9.35,13.35,1.75,5.9,8.8,12.15,,5.88,9.17,12.6,1.62,5.55,8.04,12.65,3.45,6.2,8.89,12.59,4.65,6.47,11.85,,3.95,7.05,10.2,12.35,7.63,6.78,9.11,12.21,3.11,7.9,9.35,12.35,0.94,5.45,7.85,,1.7,6.27,10.05,,2.65,4.35,8.52,10.2,0.6,,9.37,10.45,2.15,
234716075482201,Barod,23.78777778,75.80611111,,,,,,,,,7.38,9.2,4.1,6.03,6.7,9.03,5.5,6.34,7.16,8.45,6.48,6.06,6.95,9.93,3.6,5.67,7.14,9.5,8.03,8.66,9.95,11.05,6.39,9.97,10.46,11.01,8.59,9.45,9.95,10.02,8.46,8.98,8.52,9.47,5.32,6.3,7.76,9.1,7.8,8.78,9.17,10.63,0.91,7.1,7.7,8.65,3.6,7.1,7.86,9.2,5.7,6.6,8.04,11.05,7.48,7.05,8.15,,8.75,9.24,11,11.05,,7.89,6.8,9.8,,7.02,7.32,9.37,3.1,4.95,6.92,7.45,6.35,7.22,8.18,10.88,4.15,6.04,7.9,,3.7,6.04,6.71,8.95,6.27,9.42,6.83,9.45,6.2,6.73,6.97,8.44,2.22,5.1,5.7,,4.75,5.8,6.65,,5.4,4.75,6.56,8.3,2.65,4.68,6.01,7.54,4.61,
240448076091801,Guradi Bangla,24.08,76.155,,,,,,,,,8.67,10.4,1.5,5.71,7.36,9.92,5.5,6.63,6.52,8.86,7.82,7.1,9,9.75,3.92,3.25,7.53,9.93,7.75,8.58,11.1,10.35,8.55,8.37,9.42,10.82,11.57,10.63,13.44,,15.4,12.29,12.3,11.08,4.6,7.3,8.68,10.55,9.6,9.8,9.75,11.6,2.4,4,7.5,9.4,5.66,7.55,8.76,9.9,8.3,7.41,8.87,6.4,8.93,8.9,9.7,11.3,10.6,8.48,9.8,11.4,6.2,7.29,6.8,9.5,,6.59,9.05,9.67,1.85,4.48,6.12,8.82,3.77,6.12,7.37,10.08,2.65,6.53,8.7,,4.1,6.37,7.6,9.85,7.52,7.83,8.4,10.83,7.06,7.77,8.34,10.78,4.63,5.5,6.4,,5.45,7.7,8.82,,0.58,5,7.3,10.6,1.22,4.28,6.75,10.68,8.36,
234420075511201,Matkotra,23.73888889,75.85333333,,,,,,,,,11.34,10.44,0.84,2.96,9.16,9.99,1.89,3.44,4.56,9.04,3.77,2.24,11.76,10.37,2.54,6.57,7.95,12.14,9.54,10.84,13.24,13.77,8.7,13.51,13.34,13.72,13.3,15.39,16.49,18.44,14.69,16.47,15.84,14.26,5.39,5.9,13.72,14.65,14.24,14.99,15.59,16.84,1.04,7.74,13.6,12.43,2.63,11.74,15.04,12.84,4.04,5.54,19.64,13.92,,14.14,14.84,15.41,12.34,12.09,14.24,13.04,8.74,16.54,12.04,13.58,,15.08,10.29,12.94,1.29,8.67,10.07,6.6,7.59,11.68,13.34,12.66,2.1,5.18,6.84,,0.8,5.48,2.89,9.14,2.76,2.58,3.52,9.14,1.87,3.27,3.37,12.28,0.97,2.14,1.8,,4.32,10.34,8.54,,4.46,5.74,6.74,10.9,0.79,5.94,7.37,9.24,5.46,
235010076144001,Nalkhera,23.83611111,76.24444444,,,,,,,,,6.34,8.94,1.84,4.68,7.8,8.6,3.79,3.94,6.68,6.89,3.16,3.78,6.84,8.74,2.56,10.74,8.98,9.14,4.89,,7.49,,2.53,8.02,,,7.99,8.26,8.68,,8.9,8.9,9.5,6.93,2.59,4.3,7.61,10.46,4.74,5.49,8.9,8.9,0.05,5.09,8.62,8.9,3.54,7.99,8.69,8.9,5.72,7.24,8.9,8.9,,5.69,4.74,,7.04,5.54,6.24,8.9,,3.09,,,,3.65,5.56,8.9,1.09,4.79,5.7,7.29,7.14,7.29,8.9,6.82,1.05,4.05,6.84,,0.65,6.31,6.29,8.44,6.44,6.48,8.9,8.9,,6.48,6.48,4.76,0.35,4.54,6.94,,,1.92,5.16,,0.09,,0.89,6,0.71,0.36,0.91,5.01,,
241118076102801,Soyat,24.18833333,76.17444444,,,,,,,,,10.79,12.05,4.94,6.96,8.66,10.96,8.25,7.1,6.4,9.9,7.06,8.1,9.62,11,3.6,7.48,9.35,11.72,9.48,9.72,11.65,12.17,6.67,10.23,11.13,12.86,11.74,12.74,12.94,,11.5,12.04,12.84,13.6,2.9,6.55,11.04,12.1,11,,,14.2,1.41,12,13.3,11.35,9.14,10.55,11.78,12.2,0.3,10.55,8.9,14,,10.6,14.1,14.86,11.1,10.65,12,12.9,9.9,8.96,9.48,13,,9.89,12.86,12.58,5.9,6.38,8.88,10.26,7.8,7.92,11.56,11.97,5.15,8.3,10.75,,4.05,6.86,10.1,11.7,9.8,10.32,10.63,13.07,9.5,10.33,11.05,,6.95,7.2,7.87,,6.4,8.62,9,,6.6,2.58,7.8,10.3,2.23,4.92,6.61,7.72,8.3,
233522075562801,Tanodiya,23.58944444,75.94111111,,,,,,,,,5.06,6.95,0.4,2.73,4.56,6.32,0.92,2.12,1.83,4.9,2,2.09,4.8,5.19,2.15,1.64,8.26,5.2,2.78,3.02,5.83,,1.23,7.3,8.54,,3.2,5.12,7.65,,3.67,5.34,6.16,7.62,3.12,5.3,6.07,11.19,4.12,5.31,5.43,10.19,0.06,2.1,6.52,10.19,1.1,3.6,5.47,10.2,4.45,5.05,6.52,10.4,,5.8,5.8,11.61,7.4,4.41,12.5,6.4,0.7,2.76,7.2,12.5,,,6.72,4.4,,5.85,6.62,9.05,4.9,9.5,13.52,14.32,3.85,,,,,,,,,,,,6.34,11.77,11.28,9.5,1.4,9.7,8.2,,4.55,9.55,11.2,,2.17,5.4,8.9,11,,9.2,,7.95,5.79,
234350075595001,Agar(D),23.73055556,75.99722222,,,,,,,,,,,,,,,,,,,,4.12,5.06,8.44,1.36,2.38,5.14,8.84,,6.5,7.14,7.71,5.69,6.84,5.34,10.19,4,6.54,35.14,10.58,5.53,4.14,5.81,12.71,3.69,2.32,6.55,12.51,6.14,,8.12,5.47,0.62,2.84,4.64,4.97,0.94,4.47,4.91,4.74,2.51,2.74,4.44,3.9,,,4.14,,,,4.04,4.54,0.14,3.64,4.24,4.74,,3.4,2.67,3.64,0.56,2.34,4.39,3.96,2.24,5.49,2.74,2.84,0.14,1.31,6,,,0.88,,,,,,,,5.54,1.21,1.34,,2.83,0.45,,,,0.39,,,2.89,0.19,1.7,0.46,0.46,3.54,0.3,1.04,
240850076093701,Soyat(deep),24.14722222,76.16027778,,,,,,,,,,,,,,,,,,,,,9.1,10.49,7.11,7.59,9.06,10.52,8.98,9.71,11.16,11.12,6.7,9.47,10.29,12.1,10.41,11.76,12.23,13.43,1.62,3.98,8.39,12.11,36.62,5.57,10.25,8.86,10.12,10.24,10.82,10.92,2.76,8.62,9.2,10.32,8.82,9.95,10.77,10.89,9.34,7.62,10.82,10.68,,,10.42,,,,12.22,12.62,8.26,6.25,9.62,9.82,,9.2,10.21,9.27,,7.02,7.24,8.74,6.72,8.84,9.32,10.57,0.84,8.72,9.52,,0.51,8.5,9.02,9.62,9.43,9.56,9.76,11.38,9.12,9.52,9.69,10.62,7.02,6.02,6.92,,5.77,7.92,9.42,,5.32,6.57,7.37,9.7,1.51,,6.93,7.97,7.58,
234350075595002,Agar(S),23.73055556,75.99722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,0.38,0.45,2.53,4.35,0.95,2.97,5.35,,1.33,4.8,2,2.34,0.31,3.49,1.9,1.05,2.57,3.48,9.49,2.05,1.58,0.35,14.05,,0.15,,3.81,,1.05,3.35,6.05,,1.02,,4.75,,0.31,1.95,5.3,6.27,,
