station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
221834074210901,Alirajpur,22.30944444,74.3525,,,,,,,,,6.7,9.76,3.75,3.5,4.7,6,1.17,2.97,3.98,5.2,2.53,4.22,5.1,5.45,4.44,3.9,7.86,12,9.96,10.75,12.55,13.5,12.55,12.9,12.35,13.4,,12.1,12.15,,10.2,6.69,13.03,7.3,2.2,3.7,4.9,8.52,4.76,5.5,5.9,7.28,1.27,2.84,3.87,5.38,2.39,2.93,4.1,6.24,6,5.8,6.53,7.92,8.4,7.5,7.82,9.3,9.25,7.79,8.05,12.1,8.8,7.6,12.9,,,6,6.7,8.47,3.6,4.85,8.5,9.9,3.95,2.94,4.79,7.01,3.43,4.13,5.7,,2.7,2.93,4.07,4.42,3,3.9,4.1,5.19,3.56,4.16,,6.1,1.5,2.82,,,5.12,5.03,6.2,,,2.9,3.82,,5,3.9,4,7.75,3.25,
222548074261401,Ambua,22.43,74.43722222,,,,,,,,,7.95,10.16,3.08,4.1,6.25,8.88,2.27,4.85,6.76,9.75,,4.11,5.46,,7.8,,10.61,,10.55,,,,10.2,12.25,,12.35,10.7,9.8,,,3.01,,14.95,10.55,1.19,5.95,,11.05,4.8,5.75,11.85,14.95,,,,9.33,3.74,5.14,7.61,14.95,5.52,4.87,14.95,14.95,9.35,7.6,8.29,,7.1,7.01,10.15,14.95,4,6,8.95,14.95,,6.5,10.78,14.95,3.4,3.93,5.81,9.91,7.2,5.93,9.15,10.83,4.99,7.22,11.73,,9.6,5.2,9.5,11.3,5.2,6.4,9.9,11.92,6.55,9.06,10.55,11.7,2.3,3.83,8.1,,9.15,4.53,8.2,,7,5.98,9.73,11.48,7.8,7.2,15,0,6.95,
222547074310201,Badaguda,22.42972222,74.51722222,,,,,,,,,2.7,4.79,1.05,1.05,2.05,2.87,1.32,2.17,2.32,3.81,1.73,4.05,4.01,3.55,1.65,2.65,5.75,4.6,5.15,,,,5.9,5.9,,10.35,,,3.27,4.35,,,2.5,3.55,2.75,1.75,2.47,5.83,3.1,2.9,5.25,4.88,1.07,1.56,2.24,3.41,1.07,1.68,4.83,3.13,1.85,4.27,,3.49,3.77,3,3.28,4.47,3.42,2.46,7.4,6.25,1.35,2.57,2.7,4.65,,2.3,2.55,4.27,4.7,2.56,2.5,3.05,3.15,1.94,2.34,3.51,3.33,4.56,3.88,,3.15,3.13,3.27,4,3.37,4.53,6.35,5.22,4.94,5.44,6.85,10.95,,3.21,4.75,,3.35,2.53,5.35,,3.45,3.55,3.83,4.82,2.9,3.6,5.3,4.48,3.45,
221325074203201,Borkua,22.22361111,74.34222222,,,,,,,,,3.05,5.78,0.45,1.75,2.74,6.06,0.56,2.11,2.72,5.1,3.76,1.2,2.98,4.84,3.48,4.6,5.75,5.6,6.4,5.3,6.05,8.33,5.2,5.1,6.3,6.55,4.3,3.9,5.47,,1.6,2.08,3.18,5.3,0.55,,3.39,6.8,2.8,2.55,4.1,5.52,0.65,5.82,4.33,6.22,0.78,2.59,4.89,6.3,5.47,4.4,5.7,6.65,,5.9,6.32,,5.48,3.48,4.55,,4.5,3.67,5.05,8.28,,3.3,5.17,8.28,3.55,1.4,3.15,6.57,3.87,2.37,3.93,6.28,2.2,3.5,5.78,,0.87,2.16,3.97,5.85,1.4,2.64,4,6.31,3.19,5.35,5.45,6.8,0.9,1.15,4.4,,2.45,3.72,3.5,,2.3,3.85,2.69,6.02,1.75,4.5,4.69,6.25,2.1,
222125074143301,Chandpur,22.35694444,74.2425,,,,,,,,,7.05,7.8,3.4,4.55,6.45,7.41,1.4,4.69,5.65,7.5,,8.45,6.15,5.68,5.25,3.75,7.69,6.68,7.91,9.15,10.05,10.65,7.8,8.9,10.3,9.45,8.35,6.96,7.46,9.48,3.37,4.25,5.75,7.61,0.95,4.6,6.36,8.37,2.9,6,6.85,8.21,1.42,4.22,6.14,7.47,1.39,4.27,5.79,7.55,5.75,5.45,6.64,8.35,7.65,7.2,7.48,9.04,7.23,5.79,6.95,,5.95,6.72,8.07,9.4,,4.7,6.45,8.41,4.55,3.44,5.91,7.67,5.29,7.13,7.41,8.08,5.77,6.56,8.63,,3.5,4.49,6.42,8.5,4.4,5.6,7.68,9.08,3.93,5.68,7.15,10.05,2.05,4.85,5.45,,3.43,,7.75,,6.55,6.25,7.67,10.76,3.35,6.7,7.55,0,3.5,
222851074090101,Kathiwara,22.48083333,74.15027778,,,,,,,,,5.6,6.7,5,5.8,6.6,6.23,4.69,5.93,5.93,6.95,,6.05,5.44,4.59,4.15,4.55,6.39,5.6,6.05,7.09,8.45,7.55,7.6,7.75,8.9,7.65,7.95,6.15,6.86,7.95,4.93,6.27,5.9,7.15,4.47,6.35,6.33,,7.35,5.93,5.95,6.91,5.14,6.29,6.44,,,3.18,5.12,3.53,0.43,0.1,0.65,2.68,0.83,0.73,1.69,2.9,0.54,0.17,2.9,1.75,0.25,0.55,2.25,3.45,,3.25,0.85,2.45,5.2,0.57,1.15,2.1,0.04,2.51,6.21,4,0.87,1.75,4.73,,1.71,2.11,6.07,3.67,,1.35,2.65,3.84,1.75,1.61,1.45,6.25,0.85,2.67,0.4,,3.58,3.51,0.95,,2.85,0.65,2.88,5.12,3.63,3.3,2.85,3.8,0.7,
221616074315401,Nanpur,22.27111111,74.53166667,,,,,,,,,7.17,6.27,2.34,4.63,5.98,8,1.74,4.36,5.73,,2.46,5.58,6.48,,,,7.68,,,,,,7.55,7.65,,7.18,8.4,6.3,7.21,,5.08,5.15,6.12,8.28,1.55,4.23,5.66,7.73,5.43,6.53,8.13,10.63,2.12,3.66,5.44,7.09,3.09,4.44,5.86,7.52,6.18,5.53,6.58,7.45,7.18,5.78,6.68,,5.18,5.05,6.18,10.38,3.76,6.02,6.78,11.18,,5.1,6.73,8.85,3.7,3.7,5.5,7.43,5.32,5.06,12.52,8.86,,6.13,8.54,,4.33,6.85,9.36,9.63,8.8,8.38,9.58,9.28,6.14,,9.28,9.28,2.08,4.03,6.08,,7.4,2.44,7.48,,6.68,6.65,8.23,,5.08,6.88,,,,
221755074211301,Aalirajpur(S),22.29861111,74.35361111,,,,,,,,,,,,,,,,,,,,,5.8,7.57,8.03,4.83,8.77,11.6,10.39,11.88,13.88,16.07,12.98,11.1,11.39,14.73,12.21,10,11.05,13.3,7.57,,5.93,7.73,3.25,4.48,5.27,7.85,5.71,5.91,7.23,8.45,1.97,3.42,4.71,6.86,3.15,3.8,4.91,7.1,5.78,5.98,6.8,8.97,,,7.28,,,,7.73,10.53,9.13,7.66,8.03,10.88,,4.4,6.79,9.29,7.53,3.28,4.11,6.23,4.46,4.06,4.88,6.88,4.82,5.65,7.49,,4.01,4.5,4.53,7.35,5.73,6,6.13,7.24,6.53,6.5,,11.43,5.53,5.68,3.83,,4.19,4.45,5.16,,,4.28,4.42,,4.73,4.25,6.13,7.11,3.93,
222500074341501,Jobat(D),22.41666667,74.57083333,,,,,,,,,,,,,,,,,,,,,8.1,19.93,,20.93,21.17,21.49,22.56,22.63,21.58,24.3,21.11,22.35,23.77,23.93,22.87,22.21,23.49,22.8,18.88,15.86,17.05,20.13,8.81,13.53,17.11,25.03,,20.38,22.33,27.88,10,12.92,17.08,19.19,10.22,12.85,16.86,20.23,17.88,15.93,32.93,22.88,,,22.33,,,,20.68,23.58,17.03,17.13,20.13,22.38,,14.7,18.37,22.15,10.83,11.56,17.79,20.53,15.49,14.31,20.64,23.64,13.83,20.63,20.6,,12.47,15,20.43,22.18,21.13,18.43,33.53,28.65,5.83,22.01,,33.93,10.13,12.68,18.13,,14.96,16.46,20.68,,19.93,20.33,22.81,32.45,3.15,20.61,28.93,0,14.38,
222051074310401,Khattali,22.3475,74.51777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,8.1,3.5,4.06,5.75,7.85,4.16,4.42,5.53,6.22,5.64,5.21,8.48,8.74,1.25,1.89,3.95,8.75,5.7,7.52,8.03,8.72,6.77,4.43,8.5,8,4.2,5.03,5.66,,3.45,5.59,4.2,,4.9,5.93,5.95,,3.45,7.25,5.85,0,2.65,
