station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
242030077580901,Bahadurpur,24.34166667,77.96916667,,,,,,,,,12.68,13.8,11.42,12.33,13.42,16.29,12.86,13.3,12.35,15.5,12.8,13.4,13.53,13.5,12.07,12.51,13.27,13.52,12.38,13.36,,13.52,,13.6,13.81,14.07,13.5,17.1,13.76,14.7,12.45,13.64,14.18,13.9,12.65,13.6,10.59,13.9,12.88,12.83,13.64,14.4,12.4,14.12,13.6,13.77,13.5,13.9,13.8,13.96,13.12,13.8,13.82,16.95,14.05,13.9,9.3,14,11.4,14.1,13.61,17,,13.4,13.2,15.15,,14.26,13.8,13.92,11.3,12,12.9,13.8,13.4,12.8,13.2,14,13.2,13.1,14,,12.45,13.2,13.15,13.71,13,13,13.17,13.8,12.9,12.9,11.61,14.1,11.24,13,13.2,,11.6,13.3,13.05,,11.7,12.3,11.18,12.5,13.5,3.32,12.2,14.49,13.4,
244242078080901,Chanderi,24.71166667,78.13583333,,,,,,,,,6.25,6.8,1.8,5.44,6.64,8.66,4.8,5.62,5.28,7.38,5.14,3.45,10.5,8,3.04,5.82,6.83,6.91,3.39,5.99,7.22,11.7,,6.57,7.42,16.39,5.15,7.09,7.72,15.65,4.9,6.47,9.49,10.2,3.1,6.7,10.68,14,3.65,6.73,7.37,8.7,3.8,5.63,6.9,9.54,5.26,6.76,6.9,7.6,3.48,6.03,6.8,7.75,5.35,6.3,,7.05,4.65,6.4,7.34,10.44,3.6,5.75,6.43,6.61,,4.27,6.79,14.2,3.6,5.1,6.15,6.9,4.43,6.54,6.47,7.08,4.75,6.16,6.24,,3.5,5.41,6.44,7,3.71,5.42,6.6,7.25,3.47,5.9,6.52,7.1,,4.85,5.9,,3.75,5.6,6.34,,4.1,6,6.32,9.18,3.96,5.9,6.09,7.28,4.2,
242156077522901,Damdama,24.36555556,77.87472222,,,,,,,,,3.45,6.2,2.45,2.98,3.22,7.4,4.64,2.63,3.16,,3.67,5.7,3.9,,4.18,3.51,3.28,,3.7,5.33,7.13,,,4.67,,,,,4.97,,,,,,5.9,3.1,,7.05,3.6,5.65,4.62,,,4.6,,,,5.9,4.45,,,4.05,,,3.65,3.9,6.45,5.3,2.2,1.6,1.09,4.2,,0.4,0.65,3.42,,2.34,6.34,6.45,0.6,0.56,0.72,3.4,1.8,1.31,1.9,3.9,1.9,1.6,1.55,,0.99,1.43,1.64,4.29,3,1.37,1.14,5.4,0.67,1.25,1.42,4.4,0.93,1.5,1.05,,1.18,1.64,7.05,,2.4,0.9,0.73,3.22,0.97,0.9,0.94,2.91,1,
244545077513001,Dhakoni,24.7625,77.85833333,,,,,,,,,3.43,5.36,0.63,4.12,2.87,5.69,2.41,2.86,3.01,3.36,3.94,4.66,3.3,6.31,0.49,3.16,2.45,4.97,1.18,4.83,4.48,6.54,,4.19,3.99,,5.99,6.16,6.86,,6.08,6.32,6.83,9.4,3.4,5.35,4.67,9.4,2.86,3.31,3,8.86,1.76,4.46,3.79,8.86,5.71,4.76,4.33,8.86,2.16,4.99,3,7.46,5.45,6.96,8.86,,4.46,7.06,0.63,8.86,1.66,3.75,3.34,8.86,,5.23,2.02,8.86,1.46,2.77,2.86,5.26,2.64,2.96,4.46,5.46,3.16,2.9,3.66,,2.11,3.62,2.78,8.86,4.13,4.11,2.96,6.66,2.26,2.16,2.44,6.66,1.28,3.43,2.51,,1.54,2.84,2.36,,1.96,1.96,2.88,,2.12,2.71,2.74,5.72,3.56,
245032077524801,Isagarh,24.84222222,77.88,,,,,,,,,9.31,11.36,5.94,8.24,9.31,11.61,7.36,7.51,7.36,,7.39,8.86,10.2,8.39,7.13,8.36,9.56,,8.24,9.74,11.77,,,9.76,,,,,,,10.46,10.46,,11.5,8.35,9.35,10.46,11.5,8.06,10.46,10.46,,9.46,17.16,,,,,,,,,,,,,,,,,,18.96,1.76,,,18.96,,3.92,8.96,8.96,0.86,0.66,8.96,,8.71,8.96,8.96,8.96,10.56,10.56,10.56,,8.31,7.76,8.34,10.42,10.56,8.21,8.16,8.11,10.56,7.06,,8.06,7.89,10.56,8.46,,10.56,0.56,8.14,,8.16,8.76,8.04,9.78,,,,,,
243334078051701,Khalilpur,24.55944444,78.08805556,,,,,,,,,7.67,7.92,0.62,6.41,6.76,7.27,3.82,3.72,3.39,6.94,0.97,4.72,6.32,8.04,0.72,4.79,7.25,8.28,2.39,6.9,8.39,7.92,,6.29,,,3.74,,,,4.12,5.41,6.09,8.03,2.65,8.6,8.47,8.95,5.02,7.8,8.47,,1.74,7.32,8.47,8.47,5.52,7.16,8.47,8.47,3.14,7.52,8.47,8.47,1.5,,8.47,,2.88,6.72,8.19,8.47,1.02,6.82,8.47,8.47,,5.42,7.2,9.42,1.66,5.61,8.54,9.32,5.27,9.52,9.52,9.32,4.07,9.52,9.52,,2.19,7.93,9.52,8.92,3.44,4.97,9.47,9.29,2.27,5.42,,9.22,,2.04,7.44,,1.1,3.42,6.92,,3.62,5.32,9.43,,1.36,8.44,5.44,5.37,8.67,
242411078063401,Mungaoli,24.40305556,78.10944444,,,,,,,,,5,7.05,1.05,3.28,4.24,6.14,1.7,2.35,2.43,9.55,1.95,4.15,5.45,7.35,1.12,3.59,4.49,6.42,0.4,5.6,7.76,7.55,,4.69,5.21,,1.35,6.35,7.05,,1.75,3.46,5.59,5.8,0.35,3.75,5.37,8.2,1.65,1.8,5.3,6.83,1.41,4.29,4.35,8.09,2.68,3.81,5.23,8.25,2.03,3.77,5.58,8.75,2.5,3.65,3.9,8.1,1.35,4.05,5.09,8.5,0.81,3.89,4.95,7.79,,3,4.96,7.3,0.7,2.48,3.79,5.65,2.5,4.85,4.42,13.46,2,4.52,4.5,6.44,0.8,4.08,4.96,5.79,1.43,3,4.28,5.1,0.36,3.6,3.11,4.8,0.52,2.01,3.45,,1.36,3.1,4,,1.55,2.5,4.11,5.85,1.34,2.61,4.49,4.34,0.9,
244408077472201,Saraskheri,24.73555556,77.78944444,,,,,,,,,9.54,11.55,1.85,4.78,8.69,11.7,5.8,3.55,3.23,9.75,7.91,6.11,9.95,,8.71,5.72,9.17,,6.95,6.32,10.65,,,6.41,,,,,,,10.95,5.87,7.09,11.8,6.2,6.9,10.95,11.8,6.65,8.5,10.95,,6,7.95,,,,,,,6.25,10.8,,,,,10.95,,,10.95,,10.95,5.05,6.12,10.5,10.95,,7.29,10.95,10.95,1.95,5.55,9.27,10.95,9.25,10.95,11.35,10.35,6.15,10.12,10.25,,5.02,9.75,10.97,10.31,11.15,8.65,9.79,11.13,0.15,10.95,,11.35,5.55,4.03,9.95,,3.96,8.73,11.45,,3.4,5.25,9.28,,2.25,8.2,,0,6.45,
243740077334801,Semrisahabad,24.62777778,77.56333333,,,,,,,,,9.74,12.6,1.66,6.92,10.32,13.06,7.88,4.85,4.18,11.1,6.67,9.9,,,3.5,4.39,10.31,,7.1,9.5,,,,11.04,13.27,,,,,,3.22,11.1,11.1,11.5,6.35,7.9,11.1,11.5,10.1,11.1,,,7.3,9.8,,,,,,,5.62,11.1,11.1,,,,11.1,,,11.1,,11.1,2.8,8.62,11.1,11.1,,7.96,11.1,11.1,1,5.52,11.1,11.1,7.3,11.1,11.1,10.9,8.5,9.87,12.4,,5.2,10.1,11.25,10.7,12.4,11.43,11.15,10.68,2.4,10.5,,10.5,,3.22,10.6,,2.92,11.6,10.38,,2.7,10.2,10.95,,2.05,7.81,4.7,10.89,3.1,
243348077432701,Ashoknagar(D),24.56333333,77.72416667,,,,,,,,,,,,,,,,,,,,,,,,,11.58,13.27,4.94,4,,13.08,,6.16,9.12,13.29,11.19,12.83,14.8,15.12,8.68,6.4,7.88,12.46,5.16,6.68,9.01,12.93,,6.09,9.84,,4.14,8.04,8.24,13.14,9.59,8.14,11.74,14.73,4.51,6.04,9.07,16.68,,,14.44,16.55,,,8.68,13.45,3.44,5.03,7.12,11.78,,4.87,10.78,11.18,2.14,3.48,4.94,7.32,3.75,7.82,10.18,12.68,4.99,8.43,12.14,,3.2,5.14,10.18,12.67,6.27,6.27,10.88,13.35,3.34,6.94,,13.74,2.54,2.58,1.74,,4.14,4.64,13.09,,2.81,4.24,6.12,10.3,2.89,3.96,7.44,10.99,,
