station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
212352080373701,Baghatola,21.39777778,80.62694444,,,,,,,,,3.34,1.46,,2.65,4,8.3,0.9,,2.1,2.15,3.1,1.25,1.5,1.93,,1.67,2.94,6.84,0.86,1.74,5.04,10.51,,2.03,7.87,8.25,1.16,2.75,,8.5,4.73,3.9,5.1,1.44,0.2,5.47,8.1,5.1,1.3,1.55,4.7,6.3,,1.49,4.05,7,0.5,1.1,2.85,0.9,0.3,1.15,2.92,6.6,0.58,0.69,3.23,,0.68,,,,,0.29,1.41,1.65,,0.8,8.6,,,,,3.5,0.65,1.84,1.9,3.61,0.2,1.4,4.7,,0.61,2.77,4.33,8.2,3.57,8.1,6.25,,,4.5,4.94,8.3,3.65,8.3,8.3,,1.17,4.61,5.27,,2.55,3.54,4.37,,0.62,3.6,7.68,4.1,,
220830080221001,Bagholi,22.14166667,80.36944444,,,,,,,,,3.19,5.47,3.21,2.79,3.68,5.28,2.9,2.76,2.08,3.83,0.98,1.75,2.73,5.01,1.05,1.8,2.33,4.98,1.04,2.72,3.68,6.17,0.65,2.65,3.43,6.38,1.3,2.66,3.38,6.1,0.7,2.3,3.35,5.98,1.73,2.68,3.65,6.38,0.85,2.18,3.3,5.68,0.65,,3.93,6.18,2.78,2.66,3.38,6.38,1.57,2.98,3.88,6.08,1.35,2.75,3,,1.04,2.23,4.02,4.43,0.43,1.08,2.65,5.6,,2.68,3.85,7.68,1.33,3.2,4.5,,2.53,1.9,4,7.29,1.53,2.28,3.87,,1.31,2.96,4.27,5.96,0.93,3.8,4.33,6.2,3.55,3.08,3.54,5.65,0.63,1.35,2.48,,0.79,1.61,3,,1.6,2.53,2.18,4.25,,,1.18,2.15,,
221100080425001,Bhaisanghat,22.18333333,80.71388889,,,,,,,,,1.77,3.89,1.16,1.64,2.43,4.4,1.1,1.52,1,2.95,0.28,0.7,1.5,3.64,0.26,0.41,1.59,3.55,1.14,,2.41,4.27,1.92,1.3,1.15,4.2,1.4,1.87,2.2,4.43,0.25,1.3,2.1,4.06,0.3,1.19,2.3,3.76,0.2,0.99,2.15,3.75,0.1,2.21,2.3,3.9,2.4,2.3,2.9,4.65,3.05,2.55,3.02,4.95,4,3.56,3.88,3.2,1.15,3.25,4.11,4.56,0.76,2.35,3.99,4.4,,4.1,3.6,4.48,0.67,0.7,1.5,6.73,0.05,1.15,2.3,4.13,1.07,3.42,2.39,,0.04,1.31,2.18,4.27,2,2.41,2.72,4.76,1.1,2.2,2.55,4.62,2.25,2.42,2.97,,1.16,1.23,1.62,,0.41,1.18,1.6,2.5,0.06,1.28,1.56,3.55,,
213305080243001,Bhanegaon,21.55138889,80.40833333,,,,,,,,,8.37,11.95,,6.16,8.35,11.65,8.3,6,5.6,10.1,6.95,5.35,6.4,10.87,,4.85,7.76,11.85,5.91,5.71,7.4,11.55,2.72,4.98,7.4,10.85,3.53,5.82,7.45,9.93,3.5,4.65,7.35,11.2,4.3,7.54,8.3,10.7,3.35,4.98,7.55,10.35,3.1,5.28,10.8,12.3,7.3,5.55,8.65,12.35,7.6,5.55,7.35,12.4,6.55,8,7.65,,5.82,6.65,7.42,7.64,4.17,5.84,7.45,9.72,,6.25,7.1,9.68,,4.8,7.3,9.88,1.63,6.63,9.7,11.13,6.23,6.17,8.24,,6.05,6.31,7.42,12.3,8.1,8.7,10.88,10.7,3.4,8.9,9.23,13.8,8.56,7.44,8.38,,5.12,5.71,7.62,,8.42,7.53,9.1,,4.15,7.09,,14.28,,
220040080442301,Birsa,22.01111111,80.73972222,,,,,,,,,6.14,8.48,6.09,5.36,6.92,8.85,1.93,5.11,3.02,7.2,2.75,3.5,5.1,8.37,3.28,3.06,5.77,7.87,1.86,5.18,7.14,,,7.85,6.6,9.55,2.05,6.93,6.15,8.95,0.75,3.85,5.9,8.95,2.35,3.75,7.2,8.13,0.9,,,,,,,,3.2,,,8.4,5.45,5,6.6,9.05,2.65,6.62,7.24,8.85,5.58,5.9,7.11,9.1,4.77,1.77,4.97,8.36,,4.55,,,1.7,2.4,5.1,5.97,1.2,2.41,5.4,7.28,2,3.82,6.11,,2.15,4.05,6.23,8.48,2.05,3.82,5.48,9.05,2.25,6.13,6.75,9.07,2.6,3.11,3.47,,2.3,2.47,3.11,,2.8,3.33,4.65,7.6,2.21,3.1,5.79,7.65,,
213620079454501,Bonkatta,21.60555556,79.7625,,,,,,,,,3.44,3.5,0.77,2.95,3.67,3.77,1.08,2.77,1.3,3.22,0.17,2.3,3.22,10.36,0.27,2.47,2.69,2.97,0.7,2.98,3.54,7.37,5.09,2.59,2.22,5.7,0.17,2.59,3.12,2.86,0.87,3.15,3.6,3.54,0.91,2.32,3.55,3.87,0.2,1.65,3.07,2.86,0.1,0.99,3.17,1.87,0.87,2.35,2.52,2.47,0.77,1.97,2.02,3.52,0.27,1.62,2.65,1.67,0.82,3.17,3.08,2.35,0.59,3.07,2.47,2.14,,3.07,2.93,1.92,0.95,2.7,2.4,1.81,1,0.55,5.75,2.84,1.27,3.24,2.35,2.53,0.81,2.62,3.93,2.84,1.33,1.27,3.3,1.32,0.52,2.87,3.79,3.22,1.09,1.57,2.04,,1.82,2.28,3.03,,1.38,3.63,2.67,2.9,1.63,1.93,1.91,3.26,,
213810079471001,Garraghoda,21.63611111,79.78611111,,,,,,,,,8.06,10.02,10.4,9.65,10.63,12.73,12.48,8.83,9.28,,10.38,8.43,8.33,11.81,9.11,6.51,7.3,9.45,7.5,7.24,8.15,10.41,8.98,8.08,9.05,10.6,8.8,4.68,7.28,9.48,7.48,5.9,7.6,9.88,9.96,10.47,11.35,12.3,6.9,5.16,8.1,8.92,6.55,6.19,7.18,9.18,8.58,7.18,7.36,9.53,7.3,7.03,7.98,9.98,9.38,7.38,7.98,9.82,6.99,5.03,7.74,8.92,5.98,7.26,5.73,10.39,,6.98,7.7,10.8,1.03,3.8,5.1,2.74,1.38,2.89,6.9,4.41,1.63,3.71,6.01,,6.78,5.86,8.1,8.98,5.45,2.9,4,8.68,3.18,6.08,6.38,7.53,5.4,4.4,5.51,,2.04,3.84,4.55,,3.5,3.79,5.39,6.46,0.84,3.44,4.15,5.7,,
221409080521501,Jawaditula,22.23583333,80.87083333,,,,,,,,,1.05,2.28,0.86,1.23,1.71,3.5,1.62,0.7,0.65,1.55,0.89,1,1.18,2.33,0.88,0.89,0.92,2.2,0.81,1.23,1.82,3.45,2.8,0.84,0.9,2.6,0.8,1.13,1.1,,0.8,0.95,1.35,2.33,1.82,0.88,1.4,2.77,0.85,0.83,1.2,2.73,0.6,,1.15,2.89,0.5,0.86,1.5,4.2,0.83,1,1,3.65,0.8,0.97,1.08,3.68,3.3,0.65,,,2.9,1.82,3.75,,,4.2,7.15,7.25,1.66,0.6,1,,2.35,3.25,1.5,6.3,0.86,3.15,1.68,,0.43,1.35,1.18,3.61,0.78,0.48,1.36,2,1.1,1.1,1.16,2.17,0.36,1.17,1.44,,0.47,0.61,1.07,,1.07,1.23,1.78,3.3,0.62,1.55,0.92,1.85,,
214250079475001,Katedhara,21.71388889,79.79722222,,,,,,,,,3.51,5.9,1.26,1.79,4.9,6,1.98,1.69,0.86,3.17,0.7,1.15,2.3,3.66,0.74,1.44,1.98,3.72,0.75,2.4,3.6,6.27,0.41,1.7,2.6,5.3,0.2,1.75,2.62,6.13,0.72,1.6,2.4,5.15,1.25,7.12,3.95,6.3,0.45,1.77,2.45,4.05,0.25,1.62,3,4.78,0.5,0.84,2.67,4.82,0.82,1.8,3.6,6.34,0.77,2.82,2.36,7.3,0.81,1.75,5.27,6.82,0.21,1.35,3.66,6.92,,2.3,7.05,5.6,1.9,2.1,4.5,3.72,0.9,2.2,4.7,6.23,1.37,3.18,7.05,,0.77,2.07,2.39,7.05,1.36,1.42,7.2,6.94,0.16,2.4,3.15,6.21,1.07,1.46,1.77,,0.56,1.03,2.22,,0.65,2.47,2.6,6.04,0.75,2.22,2.07,5.28,,
220730080285001,Khurmundi,22.125,80.48055556,,,,,,,,,3.15,4.97,3.72,3.47,4.39,7.22,3.85,3.21,1.87,3.72,1.32,1.72,2.27,7.35,3.26,0.95,2.26,,1.59,2.48,3.74,,2.12,2.07,3.27,,3.2,4.5,,,1.3,2.15,3.55,6.59,2.2,3.24,3.9,6.59,1.95,6.59,,,,,,,,,7.28,9.95,4.75,,,,,8.08,8.27,,,3.25,,9.53,,4.02,5.58,9.54,,,,,2.17,3.1,3.6,7.57,1.96,3.23,4.6,10.9,3.23,4.04,6.58,,2.77,2.59,3.98,6.95,4.48,2.87,7.67,6.57,0.85,5.4,4.2,7.93,3.06,3.27,3.77,,0.92,1.76,3.11,,4.4,2.55,3.4,8.42,1.77,2.34,3.05,4.33,,
