station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
232350077323001,Balampurghati,23.39722222,77.54166667,,,,,,,,,3.6,9.05,0.1,1.98,3.5,9.8,2.45,1.6,0.95,4.2,0.98,1.8,3.62,6.92,,1.51,3.44,6.85,,2.1,6.2,10.78,0.12,4.12,4.55,11.05,0.35,2.28,4.2,8.65,0.2,3.7,3.28,10.31,0.2,2.52,4.7,7.85,0.4,0.6,5.85,7.9,0.06,0.5,1.47,3.5,0.2,0.3,1.97,4.2,0.48,0.9,1.8,6.2,0.4,0.52,0.2,4.33,0.9,0.74,2.4,10.55,0.17,9.46,2.9,5.15,,1.24,2.67,5.8,0.2,1.3,2.26,4.8,0.18,1.2,1.78,4.95,0.35,1.63,3.85,,0.03,1.76,2.5,4.89,0.11,1.54,3.34,5.12,,1.8,9.55,11,0.08,1.22,2.1,,,0.55,2.74,,0.65,1.4,2.18,10.05,0.49,4.39,3.4,9.52,0.95,
233722077255001,Berasia,23.62277778,77.43055556,,,,,,,,,10.39,11.59,5.35,7.89,9.97,13.39,7.59,9.49,8.69,12.89,7.89,7.91,10.29,13.89,4.7,6.02,10.15,12.96,6.11,10.43,13.36,,5.13,9.69,6.07,15.11,8.69,9.79,12.29,,4.69,6.79,9.59,15.59,2.9,8.34,11.39,15.64,6.96,7.02,10.69,15.51,2.89,5.89,7.65,13.29,9.09,8.84,10.99,12.24,0.94,2.17,11.89,12.59,9.45,8.46,7.89,12.14,8.54,10.79,12,14.09,2.99,6.42,10.9,12.19,,7.27,10.15,8.99,2.79,5.43,9.67,11.29,6.6,8.83,10.39,11.79,4.73,8.24,11.04,,2.69,7.71,10.56,11.89,4.62,7.49,10.14,11.19,2.94,9.19,10.24,11.89,1.89,6.19,8.68,,3.42,6.41,10.43,,3.39,6.49,8.44,11.67,2.61,6.12,8.47,10.14,4.19,
231516077345001,Bilkhiria,23.25444444,77.58055556,,,,,,,,,5.93,8.82,0.68,2.5,4,5.3,0.45,2.18,1.9,6.12,1.12,2.6,3.7,9.14,0.94,2.23,3.04,9.24,,3.52,4.94,6.66,0.83,3.54,6,10.18,0.53,2.82,4.5,9.65,0.72,3.2,4.73,7.9,0.45,3.9,5.06,8.4,2.09,,4.73,7,1.23,3.3,4.4,8.1,2.52,4.06,4.7,8.25,1.85,3.15,5.6,9.7,1.65,3.04,2.04,10.62,3.4,2.71,4.9,7.9,0.9,2.45,4.2,3.95,,2.52,4.08,6.8,1.3,2.92,3.98,5.7,1.3,3.1,4.06,5.65,1.8,3.03,4.45,,0.37,2.7,4.23,5.94,0.51,3.2,3.9,6.4,0.17,3.6,4.52,3.6,0.85,1.92,3.6,,0.65,2.2,3.8,,0.9,3.2,3.75,5.7,0.65,2.83,3.7,4.51,0.6,
232656077213601,Gunga1,23.44888889,77.36,,,,,,,,,8.8,11.15,1.05,4.75,6.8,11.2,2.76,6.3,4.2,7.2,3.2,4.07,7.55,10.4,1.27,4.21,6.87,10.08,1.9,7.2,10.42,,2.41,6.72,10.04,15,7.7,7.2,8.72,,0.76,3.45,6.89,17.6,0.68,4.7,8.6,17.6,2.9,6.41,9,17.6,0.8,6.19,9.2,17.6,7.26,7.75,17.6,17.6,10.6,17.6,17.6,17.6,9.1,5.08,5.5,10.65,7.5,8.2,17.6,17.6,1,4.72,9.2,17.6,,6.27,9.88,12.55,1.65,5.65,9.8,11.9,2.3,6.37,9.52,11.9,3.12,7.86,11.25,,1.57,5.47,10.47,11.48,4.02,6.71,10.21,13.65,1.7,4.15,10.19,0.35,0.75,1.99,6.35,,1.5,5.85,8.95,,0.95,5.15,8.77,,2.16,7.27,,12.08,3.65,
232122077250401,Islamnagar,23.35611111,77.41777778,,,,,,,,,11.78,15.9,9.65,11.1,13.4,16.5,7.8,11.4,10.7,15.5,10.07,9.5,12.35,15.88,10.63,10.81,12.39,16.47,11.6,12.1,14.1,,7.75,12.27,13.8,,9.56,13.5,15.51,,6.72,4.27,12.8,18.4,9.65,11.6,13.3,18.4,10.84,8.86,13.8,16.36,8.4,12.89,13.8,18.4,8.5,13.38,15.5,18.4,8,13.02,16.4,18.4,13.44,9.9,12.8,,9.3,12.9,12.4,18.4,9,10.25,11.5,18.4,,11.61,18.4,16.9,9.1,12.06,14.38,15.56,10.2,11.08,11.95,16.8,10.5,12.8,15.5,,9.1,11.05,14.3,16.52,8.58,11.22,15.5,16.68,9.8,12.6,12.4,18.4,8.72,7.15,10.9,,6.6,10.58,10,,10.2,13.1,9.92,,9.4,10.2,12.9,14.88,10.8,
234740077152301,Nagirabad,23.79444444,77.25638889,,,,,,,,,6.7,8.7,2.65,5.05,5.83,8.4,3.6,5.55,4.25,6.45,4.6,7.15,7.06,7.92,4.4,4.49,6.48,7.86,4.75,5.94,7.3,8.85,3.84,6.09,7.55,,5.92,6.1,8.02,,8.03,5.85,7.15,8.56,3.09,8.85,6.9,8.75,6.15,5.65,8.15,8.65,3.25,5.63,,8.8,5.3,5.65,7.41,8.85,2.9,5.07,5.25,8.85,5.33,3.82,4.55,,5.15,3.84,5.65,8.35,3.87,6.27,5.95,8.65,,5.65,6.51,8.25,2.7,4.96,5.57,6.8,4.53,5.67,8.2,7.16,4.18,5.9,6.45,,3.15,9.01,6.38,7.41,4.23,5.32,5.99,8.1,4.65,6.35,6.56,7.95,2.77,4.42,5.8,,4.85,5.17,6.5,,3.75,5.35,5.57,8.01,3.59,8.85,6.56,7.56,5.15,
233716077254001,Berasia(D),23.62111111,77.42777778,,,,,,,,,,,,,,,,,,,9.6,4.65,22.25,16.98,2.63,2.63,9.5,19.25,4.15,11.65,16.65,34.64,1.28,6.67,11.52,22.15,7.2,7.55,12.36,,2.67,6.25,9.93,27.1,1.43,5.57,11.33,29.5,4.92,8.62,18.95,43.15,1.55,8.2,16.22,23.7,7.05,5.61,10.53,,6.04,5.75,2.65,32.7,,,2.35,,,,32.55,35.35,0.33,18.86,,48.85,,6.42,,47.55,0.15,4.21,19.6,46.55,3.61,8.23,12.71,47.45,1.25,13.31,28.65,,0.15,7.56,37.55,49.55,,5.98,17.64,49.74,0.45,7.35,20.92,48.55,1.98,2.65,7.75,,0.05,3.15,13.35,,0.35,10.55,7.78,,0.19,,13.95,34.85,,
231335077114501,Phanda(D),23.22638889,77.19583333,,,,,,,,,,,,,,,,,,,68.6,15.89,19.01,23.61,22.44,9.91,,23.99,,,,24.21,23.89,,21.86,23.59,24.03,23.1,22.72,,,,6.07,21.78,21.71,20.13,19.93,19.94,19.86,19.51,19.59,20.12,20.16,20.71,20.55,20.69,20.86,20.77,20.89,21.39,21.79,22.04,22.39,23.09,,,20.09,,,,18.89,22.19,20.47,15.33,,18.89,,16.92,,20.14,20.29,13.41,17.69,19.64,20.29,17.77,18.53,19.75,19.15,18.59,19.32,,20.79,17.83,18.46,19.79,20.25,20.54,20.75,21.47,19.29,21.89,20.95,22.39,22.19,12.49,15.49,,20.89,18.29,17.59,,20.89,21.19,19.61,20.98,19.7,13.41,15.49,18.09,,
230940077280802,Misrod (S),23.16111111,77.46888889,,,,,,,,,,,,,,,,,,,,4.5,,8.73,7.93,4,5.53,8.83,4.7,,,15.21,,10.56,12.38,18.58,,12.05,14.47,17.38,12.81,9.78,11.22,11.26,11.87,9.26,9.56,13.12,10.74,8.91,9.38,16.62,10.41,6.21,5.7,9.42,8.88,8.99,8.98,,12.13,11.53,13.48,,,,10.98,,,,,18.98,,,,12.78,,,,,,,,,,,6.41,8.81,4.08,4.88,6.61,,2.31,4.68,6.51,10.43,,7.58,8.86,11.73,5.58,8.48,9.18,12.08,8.8,4.77,4.43,,3.85,3.53,4.98,,4.88,2.98,5.57,9.7,2.76,3.28,5.28,8.6,,
231624077210601,Bairagarh,23.27333333,77.35166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.52,,6.25,,10.52,,,,,,7.37,,9.55,,7.3,,,,,,,,,,,,,,,,,7.92,9.95,4.68,6.02,6.97,9.5,6.2,6.94,0.61,1.63,2.3,,,,,,,,,,,,7.4,7.1,8.74,11.8,,4.3,5.35,,3.42,4.18,5.35,,4,4.4,5.38,,,,6.1,8.23,4.7,
