station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
211717076104601,Bahadurpur1,21.28805556,76.17944444,,,,,,,,,11.78,12.24,8.23,7.24,10,12.44,0.98,9.3,8.71,11.84,9.54,7.63,12.36,12.24,9.19,4.79,11.3,12.04,7.06,10.72,20.59,,7.14,8.47,11.34,,4.49,8,10.94,,8.34,7.94,10.16,13.3,13.3,13.3,13.3,13.3,13.3,10.34,10.54,13.76,4.44,7.2,9.8,13.3,7.74,7.09,7.19,13.3,7.24,8.9,,13.3,9.14,,9.99,,,7.7,9.01,13.3,13.3,9.34,13.3,13.3,,13.3,9.1,11.94,11.94,13.3,13.3,13.3,13.3,13.3,13.3,13.29,13.3,13.3,13.3,,13.3,,10.82,13.29,13.28,13.29,,13.3,7.52,9.74,11.46,13.3,8.44,5.64,13.3,,,13.3,10.1,,,5.74,,,3.24,,,,,
211756076132301,*Burhanpur1,21.29888889,76.22305556,,,,,,,,,23.35,24,23.75,22.86,23.75,23.7,24.1,23.64,23.7,24.4,24.25,22.96,23.25,23.8,23.9,23.55,23.9,24.52,23.46,24.5,23.85,24.5,25.3,25.3,,,,,,,23.02,23.02,23.02,,23.02,,23.02,23.02,23.02,23.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212535076210201,*Chandni,21.42638889,76.35055556,,,,,,,,,11.04,12.6,9.03,8.25,8.76,11.84,0.86,9.5,9.42,,10.68,8.55,10.1,,7.3,,,,6.57,,,,,12.9,7.3,,7.33,,,,12.5,12.5,,,2.25,,12.5,12.5,12.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213033076453001,Dedtalai,21.50916667,76.75833333,,,,,,,,,7.66,11.07,6.26,5.95,8.38,9.85,0.32,4.62,6.19,10.5,3,3.67,6.3,9.4,2.3,3.4,7.05,10.17,7.26,7.08,10.32,12.55,4.06,5.77,8,11.5,,10.62,,11.5,0.9,6.32,9.22,11.15,3.06,9.25,8.25,12.45,3.18,6.4,8.8,13.35,2.87,5.3,7.65,13.45,4.2,5.1,8.35,12.4,3,5.11,9.05,11.95,7.7,6.1,8.02,9.42,2.3,6.05,7.63,12.35,,5.65,9.79,13.6,,6.23,9.95,13.6,1.4,4.52,8.54,12.38,8.22,7.3,10.54,12.8,5.8,9.24,12.09,,4.9,6.2,13.03,12.77,9.72,8,10.61,13.6,7.92,9.3,11.38,13.6,4.27,4.9,8.36,,3.06,8.3,10.68,,9.1,5.8,8.9,,2.3,5.77,5.85,,,
213145076183801,Dehnala,21.52916667,76.31055556,,,,,,,,,6.42,7.85,5.7,5.33,5.98,6.55,5.2,5.68,6.08,6.85,4.6,5.43,6.33,7.1,3.85,5.57,6.05,6.95,5.51,6.37,6.73,7.85,5.52,5.94,7.5,7.45,4.4,5.41,6.27,7.29,5.8,5.87,6.81,7.13,4.5,7.77,5.59,6.92,4.64,4.43,5.92,8.06,4.65,5.2,6.45,6.75,4.21,5.15,5.35,6.9,4.73,5.08,5.8,6.55,4.75,5.45,5.46,6.57,2.95,5.15,5.77,6.58,3.2,4.24,6.13,6.38,,5.45,5.7,7,2.55,6.43,6.39,5.95,4.43,5.51,5.95,6.97,5.15,7.25,,7.3,4.35,4.87,6.88,7.32,5.45,5.95,5.87,7.3,4.3,5.75,6.92,7.45,4,5,6.05,,3.64,6.25,7.18,,4.45,5.45,7.5,9,2.46,5.86,6.25,6.85,4.95,
210906076094201,Ichchapur,21.15166667,76.16166667,,,,,,,,,9.78,11.55,9.27,9.53,10.7,11.18,7.35,8.34,7.78,10.68,8.78,6.05,8.08,8.78,13.28,9.83,,,10.92,10.38,10.93,,12.25,10.9,12.44,,11.03,9.87,13.32,11.83,12.1,8.63,8.86,12.28,4.18,9.64,12.18,12.48,9.63,10.13,12.01,13.66,7.21,8.05,10.9,14.38,10.98,8.78,4.68,12.48,12.53,12,12.45,14.38,12.48,10.88,8.98,12.21,7.73,6.63,7.31,11.92,10.78,9.13,10.83,14.38,,9.13,,12.18,7.98,5.53,8.14,9.3,8.7,10.2,11.48,11.18,9.4,10.65,11.2,,8.48,10.1,7.99,13.08,10.55,7.28,12.06,12.42,9.52,8.03,9.18,14.38,7.6,5.28,6.63,,7.24,6.93,8.48,,10.68,6.18,6.8,12.36,7.38,6.14,8.63,11.98,7.58,
212155076340001,*Khaknar,21.36527778,76.56666667,,,,,,,,,6.87,7.76,5.65,5.39,7.58,7.7,,5.78,5.86,,6.12,4.82,6.5,,5.57,5.35,7,,,,,,,8.8,,,,,,,,2.88,4.28,,,,8,,8,,,,,,,,,,,,,,,,,,,,,,,5.78,,2.1,,,,,4.3,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,
212447076373901,Manjrod kalan,21.41305556,76.6275,,,,,,,,,12.18,16.03,9.42,9.1,11.95,10.67,,9.96,10.24,11.97,9.13,7.87,9.92,10.57,8.42,9.07,9.7,13.47,9.9,9.8,13.3,14.17,10.89,11.92,12.3,,,11.96,12.74,10.77,,12.67,12.03,14.27,2.22,11.07,10.57,24.47,11.26,12.92,13.47,25,11.27,10.35,12.2,24.47,12.37,12.87,14.37,24.47,12.77,12.65,13.92,24.47,,,,,,,6.15,24.47,,13.57,24.47,,,12.47,14.2,,7.17,10.09,11.19,14.47,12.84,11.37,12.99,13.97,11.87,13.07,,14.47,11.37,12.67,14.47,13.47,,15.41,12.9,15.42,8.62,14.47,12.37,15.42,10.07,15.42,11.17,,11.68,15.42,15.42,,,12.47,15.3,15,,,13.3,,,
211354076090001,Nachankheda,21.23166667,76.15,,,,,,,,,21.96,25.12,21.69,21.42,22.14,24.3,,25.2,23.6,26.8,25.76,23.8,25.1,27.4,23.6,24.01,,26.95,19.45,26.14,22.54,27.13,25.77,26.45,29,29.65,,26.55,27.21,30.25,,25.8,31.4,31.5,5.55,28.5,26.26,31.25,,31.9,26.32,29.2,25.69,20.85,25.7,29.77,11.8,25.35,14.68,29.9,,26.27,26.7,28.15,,20.9,25.84,27.02,,,25.75,28.87,27.32,26.7,27.35,31.9,,26.8,27.5,,,32.5,31.9,27.93,,31.9,31.9,21.06,19.22,19.79,23.72,,18.1,19.6,27.5,22.25,,25.55,29.26,22.2,25.04,23.4,25.44,31.9,28.9,31.9,31.9,,,31.9,31.9,,,31.9,24.4,32,23.5,,,,,
212712076233701,Nepa nagar,21.45333333,76.39361111,,,,,,,,,3.57,4.47,2.1,1.57,3.74,3.97,0.99,2.42,2.78,4.47,2.27,2.06,4.04,3.52,1.17,2.52,3.64,4.57,2.1,4.45,7.48,8.79,2.16,5.77,6.07,6.02,1.49,2.92,3.73,6.17,2.04,3.12,4.25,5.52,1.97,5.82,4.24,5.85,0.97,4.74,4.82,7.25,1.25,3.1,3.9,5.72,1.22,2.72,5.17,5.62,1.32,3.37,4.3,5.62,3.22,4.22,5.32,6.33,0.42,4.05,5.11,6.37,0.82,4.02,6,6.87,,3.52,5.2,6.75,0.12,2.64,4.62,6.61,1.96,2.4,4.02,6.72,4.24,6.11,6.69,,2.26,4.35,6.56,7.25,4.69,3.47,4.43,7.62,2.14,5.15,6.25,7.62,1.44,2.52,4.77,,2.02,2.82,5.35,,2.42,3.1,4.85,7.4,2.17,2.67,,6.52,2.12,
212548076404501,Pipalpani,21.43,76.67916667,,,,,,,,,11.95,11.91,6.03,5.69,6.98,10.55,,8.63,8.98,10.85,9.8,7.91,8.6,10.7,8.5,7.85,9.5,10.68,9.32,10.21,,,11.74,14.16,10.6,,,,,11.88,,8.32,9.7,11.4,2.92,6.2,10.5,14.25,10.68,10,11.34,13.94,13,9.1,11.95,13.71,10.55,8.1,9.2,12.4,11.8,9.74,10,12.95,12.3,10.3,9.7,,12.45,9.6,10.03,15.4,,8.23,9.58,15.4,,1.47,9.53,13.47,7.74,4.85,7.18,11.85,9.6,8.56,9.82,13.6,8.72,9.38,11.43,,9.5,8.7,11.53,14.42,,9.45,11.45,15.4,11.33,10.66,11.8,15.4,10.4,4.6,7.5,,8.85,8.3,9.8,,11.4,8.2,8.5,9.8,7.4,5.82,8.3,12.6,10.2,
211806076222101,Sirpur,21.30166667,76.3725,,,,,,,,,12.05,12.79,5.93,6.62,10.23,12.75,,8.6,10.1,14.53,10.4,6.5,9.5,11.7,5.75,8.1,12.2,14.15,14.65,13.94,,,13.54,13.54,13.23,,,,,14.09,,12.9,,14,3.65,10.08,14.4,13.95,14.4,14.4,,14.9,6.82,14.2,14.9,14.2,1.98,,14.4,14.2,14.4,13.89,17.7,13.6,,,4.75,10.86,12.1,,11.46,13.9,,18.5,13.84,18.5,,18.5,,14,,9.15,12.12,14.01,14.3,,14.1,13.35,13.7,14.82,18.5,,13.32,13.8,18.5,14.02,15.4,15.7,14.08,18.5,10.03,14.5,,,10,8.85,9.9,,3.48,12.7,18.5,,6.3,18.5,18.5,6.9,,,13.4,,,
212013076291201,Karkheda,21.33694444,76.48666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.15,11.27,3.97,3.85,7.8,9.55,4.15,5.77,9.97,12.75,3.51,4.31,9.3,12.32,6.6,4.7,9.28,10.87,2.29,6.5,9.5,12.55,2.35,3.6,6.27,,1.78,5.25,9.17,,3.65,4.46,8.25,13.5,1.39,9.29,8.45,11.35,3.45,
213306076440301,Shekhpura,21.55166667,76.73416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5.3,5.62,6.3,5.3,7.1,5.84,6.55,,7.4,4.82,6.18,7.4,6.43,6.6,6.6,5.8,7.4,5.88,5.6,,7.4,2.77,5.1,7.4,,1.97,5.9,7.4,,5.45,4.4,3.2,6,3.2,,7.4,,,
211952076140101,Burhanpur New,21.33111111,76.23361111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,13.1,10.8,10.94,12.59,14.88,10.2,11.45,18.2,15.54,15.2,15.5,15.92,19.8,7.92,19.1,14.8,19.28,14.6,10.7,10.27,,,9.8,9.55,,,7.6,14.8,,2.9,13.49,15,17.8,15.5,
