station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
214200076305801,Balwara1,21.7,76.51611111,,,,,,,,,6.86,9,4.21,5.76,8.2,7.85,0.01,3.73,5.19,8.49,5.7,2.85,5.5,4.2,1.7,3.4,1.9,,5.09,5.88,,,2.05,3.94,7.3,,6.23,3.71,4.09,9.05,3.1,3.58,6.47,10.1,2.6,3.8,6.7,8.45,3.28,8.82,7.55,9.27,1.66,3.15,3.95,9.05,1.9,5,8.2,10.1,7.2,4.68,6.82,9.1,5.4,2.14,6.04,8.62,1.6,3.9,,9.25,0.75,4.55,8.65,10.1,,4.25,7.3,10.1,1.5,5,7.29,10.05,2.54,3.6,4.8,5,2.76,3.68,3.82,,1.8,2.61,10.1,5.23,2.98,3.4,3.52,10.1,6.43,4.2,10.1,6.52,1.78,2.7,6,,1.02,5.2,8.55,,4.05,4.2,10.1,,1.21,,,,,
220020076490001,Bori saray,22.00555556,76.81666667,,,,,,,,,6.15,7.2,3.89,4.55,6.49,6.5,3.42,4.38,4.06,7.9,4.05,2.95,5.64,7.7,1.2,3.35,5.5,,6.65,5.68,8.46,12.2,12.2,12.2,6.35,6.8,,4.95,,,,,5.96,6.2,3.3,7.22,7.57,7.35,2.87,4.5,6.2,7.76,1.85,3.95,5.85,7.3,2.85,4.88,5.52,7.3,3.05,4.95,6.02,7.22,4.4,4.4,5.22,6.32,1.75,5,5.58,6.3,,4.6,6.19,7.28,,4.4,6.1,7.7,1.15,4.02,5.99,6.18,2.55,5.1,8.36,6.2,3.37,5.76,5.74,,1.53,4.15,5.84,6,3.02,4.15,11.9,11.9,3.92,5,,,1.31,2.5,4.6,,1.06,5,6,,2.95,3.2,9.7,,,3.43,,,,
215742076415301,Chanera,21.96166667,76.69805556,,,,,,,,,4.11,7.53,1.67,2.6,3.29,5.38,0.08,2.91,2.56,4.93,1.53,2.26,3.48,5.85,0.88,2.08,3.01,5.75,3.54,4.86,6.38,8.01,1.16,2.58,3.92,7.6,3.13,2.65,4.48,8.08,2.97,3.16,3.46,8.48,,,5.05,8.98,2.03,5.08,3.91,9.15,1.46,2.7,3.4,7.33,1.33,2.88,4.16,8.48,1.73,2.32,3.76,7.33,3.18,2.68,4.23,7.25,2.23,3.08,3.16,6.7,0.78,3.58,1.47,8.27,,2.32,4.25,6.83,0.43,2.78,3.95,7.78,1.95,3.23,4.98,8.68,2.74,3.5,5.56,,1.19,2.63,4.9,6.98,2.48,2.73,11.78,7.23,2.45,3.38,4.56,5.58,1.82,2.23,3.08,,0.94,3.18,3.83,,2.48,2.03,2.78,,1.05,1.82,,,,
214955076130401,Chhegaonmakhan,21.83194444,76.21777778,,,,,,,,,9.29,11.02,5.36,6.96,8.44,11.07,5.82,7.11,7.25,9.82,8.32,6.54,8.62,10.27,4.79,6.69,8.6,11.94,9.09,11.88,9.47,,10.02,10.62,11.8,,10.07,7.22,9.12,12.02,9.12,8.86,10.03,11.77,5.72,7.52,9.35,11.72,7.82,6.67,9.7,12.7,4.64,7.2,8.7,10.52,3.57,7.32,9.32,11.92,8.32,7.69,9.87,11.62,7.72,6.92,7.77,10.24,3.74,6.62,6.64,9.82,6.52,6.92,11.17,12.92,,7.07,9.4,11.57,3.02,6.94,8.76,9.87,5.54,7.08,9.32,10.35,6.32,7.06,7.69,,5.17,6.04,9.42,11.69,9.42,9.82,9.24,12,4.5,7.66,9.58,13,5.37,6.77,8.35,,4.28,7.82,9.32,,9.99,8.32,6.8,,5.42,6.67,,,,
214740076253901,Jaswadi1,21.79444444,76.4275,,,,,,,,,9.05,7.7,2.71,3.87,5.28,6.85,0.45,5.85,7.8,7.35,2.6,3.1,8.75,7.05,1.25,2.09,6.5,6.92,2.17,7.05,10.57,8.65,4.72,6.55,,,,6.65,7.13,10.85,3.65,7.99,8.33,10.7,4.07,6.15,7.47,8.9,2.86,7.5,7.85,10.7,1.19,5.65,7.05,11.1,1.25,10.3,6.45,19.35,6.15,4.85,8.38,8.75,6.45,4.3,7.85,12.91,1.85,4.75,5.88,8.25,0.3,10.25,11.3,14.98,,2.15,6.2,9.95,0.15,6.25,7.21,8.06,2.17,5.15,5.52,8.95,5.27,6.4,9.43,,4.15,5.65,7.36,11.83,7.87,8.5,7.2,11.45,6.18,10.55,8.75,9.45,4.87,1,5.45,,0.44,4.45,8.3,,4.35,3.25,13.85,,,8.08,,,,
215547076265101,Jawar,21.92972222,76.4475,,,,,,,,,7.5,8.2,3.58,4.25,5.67,7.8,0.77,2.8,6.09,8.5,3.45,4.03,8.47,8.69,3.4,4.15,5.92,10.6,7.47,7.96,8.42,,5.27,6.86,10.5,14.4,5.7,4.07,5.53,8.45,4.64,5.42,8.52,8.83,3.25,5.15,6.68,8.35,3.7,4.88,8.8,10.55,3.22,5.15,7.8,10.15,2.85,5.85,7.35,8.75,7.55,6,8.8,13.45,4.1,4.1,5.39,8.82,3.75,5.4,6.18,9.3,2.85,7.95,11.16,8.62,,5.1,12,12.4,2.6,4.55,7.35,8.71,4.42,6.36,5.66,8.58,4.9,5.02,6.77,,3.56,4.8,14.85,8.6,4.38,5.7,8.62,15.5,3.62,7.75,8.06,15.5,3.6,4.02,4.96,,2.85,4.6,6.62,,5.5,4.82,6.3,,2.25,3.46,,,,
215858076275001,Kahlari,21.98277778,76.46388889,,,,,,,,,6,10.7,2.38,3.85,5.07,9.45,2.3,4.71,3.8,6.25,1.73,3.09,5.75,10.45,1.75,2.76,4.53,7.45,9.21,10.59,7.73,,4.91,5.59,8.85,,6.15,3.51,5.91,11.05,5.67,4.18,5.18,8.95,2.1,4.1,5.4,10.1,2.47,4.47,6.4,11.83,1.24,3.15,5.6,10.6,1.55,4.09,6.6,8.15,3.1,3.53,6.38,10.18,3.05,3.45,3.91,6.57,2.15,4.77,4.47,7.03,1.6,3.85,6.22,9.56,,3.64,6.65,,0.85,3.25,4.93,5.13,2.27,3.5,4.09,4.72,2.75,3.65,5.32,,1.97,3.85,4.75,8.68,2.55,3.8,4.37,6.77,2.09,4.25,4.3,6.68,2.25,3.23,3.79,,1.13,4.25,3.83,,1.9,4.09,5.9,,1.9,2.94,,,,
215146076423101,Kalamkalan,21.86277778,76.70861111,,,,,,,,,2.1,4,0.82,2.62,4.59,4.2,2.42,1.06,1.19,3.84,0.42,0.93,1.8,3.97,0.4,1.1,1.7,5.9,1.01,1.96,6.18,,0.2,0.95,2.1,,2.04,1.22,2.63,,1.18,1.25,2.1,5.55,2.12,5.96,1.3,10.5,0.5,7.6,2.56,6.57,0.27,1.05,2.4,5,0.7,1.25,2.35,5.5,1,1.18,5.27,5.42,0.6,0.7,1.4,,0.4,1.32,1.35,5.88,0.2,1.3,2.52,13.2,,1.45,2.45,6.35,0.2,1.35,2.28,4.18,1.02,2.43,3.1,4.42,3.32,4.42,6.27,,2.32,3.64,3.09,5.53,3.48,2,2.28,4.68,0.95,1.7,5.42,5.3,0.7,1.1,1.82,,0.34,2.1,2.78,,0.85,4.05,3.1,,0.35,1.31,,,,
220830076122301,Karoli,22.14166667,76.20638889,,,,,,,,,8.9,8.55,3.35,5.72,7.81,8.3,4.55,5.95,5.85,8.31,4.55,4.85,7.95,9.03,3.95,5.55,6.65,9.75,2.57,8.11,5.43,9.75,2.85,9.47,9.8,9.5,8.4,5.25,6.69,9.65,5.8,4.98,7.45,9,3.57,5.67,7.46,9.2,6.25,8.35,10.95,9.7,2.75,6.55,3.8,8.72,2.6,5.35,8.45,9.55,4.2,6.77,9.17,7.17,5.75,4.95,6.59,8.58,4.35,7.05,7.52,7.44,3.4,7.5,5.8,,,5.21,6.4,7.65,,6.67,5.25,4.82,2.57,3.07,3.09,7.55,7.17,3.71,4.63,,5.37,3.48,6.22,4.43,5.95,5.65,2.47,8.17,3.38,9.25,4.28,3.18,2.25,4.15,5.65,,2.16,6,5.45,,3.45,4.08,2.8,,3.85,4.39,,,,
221025076160201,Kelwa kalan,22.17361111,76.26722222,,,,,,,,,6.92,7.85,2.83,4.26,6.29,7.3,3.4,5.3,4.96,7.2,3.32,4.25,6.2,6.9,,4.62,6.1,8.37,4.35,6.24,5.53,,4.67,6.9,8.45,,,4.76,6.61,,,5.3,6.84,16.6,1.85,6.61,7.04,8.4,3.9,4.3,8.05,9.45,6.55,4.9,6.7,8.17,0.05,5.55,4.05,5.68,5.2,6.45,4.97,6.8,4.3,7.3,4.58,8.25,3.15,6.4,5.52,6.4,3.58,6.1,4.35,11.86,,6.46,4.8,5.92,0.1,5.43,2.24,6.35,0.02,4.5,2.95,4.4,3.02,4.6,6.27,,2.04,3.3,4.96,6.52,1.94,5.95,4.02,6.95,3.62,4.4,2.43,5.4,3.75,5.97,16.6,,2.13,16.6,5.25,,4.2,5.31,3.3,,1.62,,,,,
