station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
255707077555101,Aron,25.95194444,77.93083333,,,,,,,,,5.05,8.42,1.05,3.45,4.95,11.45,2.42,4.1,3.1,7.89,2.75,3.23,4.13,6.84,1.63,3.32,5.36,7.79,3.62,5.62,7.31,8.82,2.73,5.29,6.69,7.08,8.62,9.8,8.85,,3.22,3.77,4.52,10.65,3.59,5.11,5.67,11.05,1.91,3.62,5.55,9.27,9.18,10,11.95,11.1,10.5,10.69,10.9,11.95,1.79,3.55,5.2,8.6,5.38,4.18,4.95,7.69,1.74,3.27,3.15,7.55,1.85,3.45,5.65,4.95,,3.19,5.15,7.65,1,2.75,5.05,8.65,2.35,4.65,5.05,5.45,2.46,4.69,5.47,,1.93,4.23,4.75,7.56,4.93,11.95,5.65,7.39,11.95,5.6,6.15,5.25,2.05,3.65,6.05,,3.9,5.05,4.35,,1.55,3.15,4.45,12.1,2,3.45,5.05,5.45,1.1,
261025078323401,Behat,26.17361111,78.54277778,,,,,,,,,18.41,18.64,13.69,13.99,14.19,18.94,13.99,13.12,8.19,16.1,12.51,12.45,15.36,16.11,15.08,12.8,13.82,10.49,13.16,13.67,,18.79,12.07,15.33,15.43,15.29,8,18.39,19.99,,15.23,18.29,18.99,19.04,19.04,18.39,18.87,19.04,19.04,17.32,22.79,20.59,15.07,24.04,24.04,20.16,24.04,24.04,20.59,24.04,18.09,18.49,18.74,18.84,18.59,18.54,18.84,18.92,17.57,17.89,18.99,18.69,17.09,17.59,17.99,18.49,,16.59,18.09,17.99,15.6,15.79,17.69,17.59,18.89,18.39,18.99,18.99,18.15,18.41,19.69,,17.39,18.92,19.39,18.36,18.91,19.49,20.89,19.19,15.79,16.74,17.09,18.59,17.84,1.29,2.34,,17.39,17.59,20.29,,16.49,17.74,13.49,7.7,17.29,17.74,18.79,19.04,16.69,
255829077495301,Charai Shyampur,25.97472222,77.83138889,,,,,,,,,2.86,8.46,0.51,1.86,2.66,7.66,1.56,5.74,2.74,6.36,3.04,1.32,2.58,7.31,1.24,1.81,2.48,5.32,1.49,3.58,6.2,5.4,0.53,2.25,4.19,8.38,3.47,7.06,7.76,,0.89,3.46,5.84,9.34,0.73,1.71,4.23,9.34,0.98,1.96,9.31,8.16,5.6,6.95,9.34,7.66,2.81,7.03,8.26,9.34,0.92,3.5,5.36,8.16,3.31,5.16,6.29,9.16,0.22,1.65,1.56,9.34,0.8,1.81,2.36,4.06,,1.76,1.56,3.5,0.91,1.06,1.76,3.26,1.56,3.86,3.26,8.16,2.49,3.5,4.31,,1.69,2.07,3.11,3.61,2.74,3.16,3.05,7.98,0.76,1.71,2.06,1.68,0.96,1.56,1.71,,2.16,3.96,2.96,,,2.41,,4.8,1.86,2.06,2.36,6.29,2.34,
254919077575001,Dongarpur,25.82194444,77.96388889,,,,,,,,,4.49,7.1,1.6,3.3,4.1,7.7,4.96,4.98,1.65,7.13,3.06,4.08,4.42,8.36,1.26,3.74,6.06,8.74,3.43,5.91,,,2.46,4.68,6.12,,,,,,10.65,9.85,9.85,9.85,9.85,7.8,9.85,9.85,,9.85,9.85,11.86,13.2,,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,,,13.2,,,13.2,13.2,13.2,13.2,13.2,13.2,13.2,,13.2,13.2,13.2,6.8,13.2,13.1,13.1,13.1,13.2,13.2,13.2,7.95,6.14,7.01,,13.2,,,13.2,13.2,13.2,13.2,6.3,17.2,17.3,17.3,8.8,8.8,5.5,6.5,,3.3,6.4,4.2,,2.3,1.8,2.8,5.85,2.5,2.1,3.6,6.4,2.15,
260300077560001,Ghantigaon,26.05,77.93333333,,,,,,,,,6.34,8.72,1.52,4.02,5.87,8.87,1.77,3.84,3.82,7.64,1.22,2.62,5.34,11.92,1.6,3.87,5.82,7.99,3.75,7.14,6.82,11.6,1.8,6.27,8.01,15.84,3.33,7.82,14.32,15.82,4.2,4.45,6.15,10.95,3.35,5.92,9.67,11.62,1.54,5.48,7.02,8.24,4.81,15.65,15.65,13.12,2.92,6.72,10.37,15.62,1.69,3.99,6.97,13.32,3.47,4.62,7.17,8.92,1.53,2.98,4.72,8.32,1.82,4.12,7.42,18.42,,4.42,6.52,8.92,0.1,2.87,4.72,7.02,1.92,5.62,6.32,7.12,2.32,4.92,7.06,,2.57,5.48,5.22,8.68,2.56,4.88,6.69,6.02,1.72,3.37,3.92,3.55,1.45,2.97,3.57,,1.62,2.87,3.62,,2.12,2.79,2.62,5,2.02,2.52,3.32,3.87,2.22,
254542077554401,Harsibandh,25.76166667,77.92888889,,,,,,,,,6.78,9.28,,4.41,4.96,8.36,9.36,6.06,2.76,7.43,6.88,6.72,7.42,9.69,5.65,7.02,3.37,9.02,6.49,7.58,10.74,,6.14,7.28,8.69,9.86,8.79,9.11,9.86,12.06,6.54,7.31,8.61,11.98,8.26,6.46,7.27,10.18,7.01,6.86,8.56,10.06,9.88,8.91,11.98,10.91,10.66,9.06,9.56,11.36,4.36,6.36,7.56,9.66,8.66,8.46,9.02,10.16,,7.27,7.16,10.16,5.56,5.96,6.06,8.86,,7.11,8.06,9.26,6.58,5.46,6.26,7.76,6.76,9.36,3.26,9.16,7.47,8.35,8.86,,6.61,7.48,7.36,9.93,9.25,8.92,10.52,11.78,8.26,8.01,8.21,9.76,9.16,6.66,7.26,,7.36,8.11,11.16,,6.66,5.56,,9.8,7.36,5.56,7.76,8.36,9.11,
260209078152101,Makoda,26.03583333,78.25583333,,,,,,,,,9.08,10.85,5.75,6.3,7.55,9.3,8.17,8.66,6.1,9.66,8.35,8.59,9.33,10.16,5.71,6.23,7.76,13.6,8.82,9.18,10.1,10.4,6.18,7.38,8.46,9.98,8.51,9.35,9.58,11.15,10.05,9.72,8.5,11.45,10.9,10.6,11.33,12.6,9.21,10.4,12.12,12.8,12.65,13.2,14,14,13.45,14,14,14,12.1,13.58,14,14,,13.8,14,,12.59,9.15,14,14,7.4,7.7,9.4,10.4,,8.5,10.6,12.2,7.9,5.6,11.2,11.7,11,11.7,8.2,13.1,9.11,10.72,12.66,,9.68,12.73,14,13.86,14,14,14,13.78,13.9,11.6,12.05,12.03,11.9,7.05,7.6,,8.6,8.9,10.05,,13.4,7.6,7.4,,11.25,8.55,8.1,9.65,7.2,
260952078211801,Manpura,26.16444444,78.355,,,,,,,,,10.04,11.02,6.77,6.47,8.22,10.77,9.8,8.8,6.57,12.21,10.84,8.57,11.44,12.61,7.84,8.19,8.81,12.08,9.65,9.83,,,9.92,9.71,10.53,,7.28,13.57,,,10.98,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.75,,13.76,13.67,9.27,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,,,13.76,,,13.76,13.76,13.76,13.76,13.76,13.76,13.76,,13.76,13.76,,,13.76,13.57,13.57,13.57,13.76,13.76,13.57,11.22,13.76,13.76,,0.01,,13.76,11.37,13.76,13.76,13.76,12.42,13.76,13.76,13.76,12.71,7.42,8.32,8.47,,,13.76,11.52,,13.67,12.37,,,,12.37,10.17,10.32,7.07,
255350077463801,Mohna,25.89722222,77.77722222,,,,,,,,,2.26,4.2,0.4,2.2,2.25,4.35,2.63,2.01,3.8,3.77,1.09,1.54,1.7,3.55,0.04,2.3,6.18,8.78,3.16,4.66,10.44,,1.36,2.74,3.63,8.08,7.15,7.5,10.8,,6.03,7.9,7.16,3.52,1.38,6,5.43,7.7,4.31,2.14,6.68,2.6,1.33,2.27,8.1,6,1.58,2.88,9.7,5.8,0.54,0.97,3.55,4.2,0.7,9.9,6.6,3.7,0.78,1.3,0.4,3.7,,1,1.6,2.9,,7.8,0.9,5.8,2.7,0.9,0.8,4.2,1.2,2.4,1.6,6.1,1.98,4.18,3.25,,0.97,1.95,2.4,3.13,0.73,3.02,3.99,7.3,3.3,10.6,2.5,4.67,1.35,2.45,3.2,,0.6,1.1,2.4,,4.3,5.66,2.1,5.3,1.2,1.7,2.2,3.2,0.3,
260704078011601,Nayagaon2,26.11777778,78.02111111,,,,,,,,,12.5,15.85,3,5.4,11.55,15.3,11.9,11.94,13.45,,11.97,5.75,13.22,,5.5,7.27,14,,14.3,14.56,24,,7.36,10.52,15.4,,13.77,,,,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,,15.7,,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,18.7,22.7,22.7,22.7,,,22.7,,13.94,22.7,22.7,22.7,22.7,22.7,22.7,22.7,,22.7,22.7,,10.3,22.7,25.8,25.8,25.8,26.1,26.1,25.9,20.25,26.1,26.1,,26.1,,26.1,16.05,26.1,26.1,26.1,14.72,11.1,10.5,13.05,14.4,14.7,26.1,26.1,,9.4,26.1,14.6,,11.1,14.55,13.1,,,14.55,,0,0,
