station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
225036075322201,Depalpur,22.84333333,75.53944444,,,,,,,,,12.04,15.7,2.36,5.71,9.99,15.4,3.21,3.37,5.78,12.35,7.61,3.74,9.3,14.7,11.9,6.1,14.02,,15.52,14.2,15.55,16.73,16.73,16.7,,,15.56,,,,13.25,8.25,13.52,15.83,13.4,12.25,14.76,15.83,15.4,16.95,15.2,15.7,,2.6,10.1,15.64,4.6,6,14.5,18.1,18.1,8.79,14.46,18.1,18.1,9.9,12.09,15.68,11,4.7,7.33,18.1,2.95,3.2,11.58,18.1,,3.4,12.35,18.1,0.1,1.61,9.17,18.1,3.25,7.1,13.48,15.33,2.25,11.69,15.63,,1.8,4.23,12.48,13.3,5.6,9.08,13,13.22,6.03,11.51,10.3,13,2.6,4.4,12.9,,2.5,2.59,10.6,,,2.98,8.3,13.45,2.5,1.9,,17.1,,
224032075564401,Dudhiya,22.67555556,75.94555556,,,,,,,,,6.77,8.4,0.21,1.25,4.88,5.65,1.15,2.32,4.48,10.32,4.51,1.4,10.15,8.85,,3.15,10.23,8.6,4.23,7.75,9.6,12.55,10.75,9.94,10.4,13.65,6.35,9.67,10.57,9.9,2.4,2.51,3.67,10.75,0.65,6.41,9.43,13.49,5.01,4.25,10.75,10.75,,2.2,6.3,9.05,4.57,3.65,9.67,12.65,7.83,12.1,10.91,13.63,8.75,6.8,11.65,12.71,2.05,1.87,8.68,12.12,0.28,5,11.35,10.04,,4.25,10.4,8.85,1.25,,10.63,7.5,1.07,5.26,4.24,12.13,0.01,3.45,9.02,,0.21,6.98,7.65,9,1.9,5.02,8.95,12.91,3.54,6.75,10.05,11.15,0.55,1.4,6.65,,1.05,4.68,7.4,,0.25,3.43,4.35,11.32,1.1,2.05,4.35,11.35,1.15,
224747075443501,Hatod,22.79638889,75.74305556,,,,,,,,,7.44,7.8,4.48,5.39,7.32,7.8,3.7,2.32,3.84,,6.25,2.1,6.08,,,7,5.6,,6.4,,16.9,17.57,11.22,14,17.25,19.62,9.46,13.82,17.66,,6.83,5.74,8.28,14.61,4.56,8.21,7.2,14.61,,14.61,14.61,8.66,4.28,1.8,6.95,,10.66,4.66,14.61,14.61,14.61,8.49,8.62,14.61,,7.06,6.18,8.18,6.75,3.2,4.22,8.76,2.96,2.55,7.64,8.66,,3.38,7.5,8.66,1.86,1.16,4.73,8.41,2.66,3.67,7.28,8.72,0.58,4.56,8.06,,2.04,1.98,5.64,8.56,3.88,3.19,8.26,8.76,4.95,7.28,8.26,8.76,2.56,0.71,4.56,,0.36,1.01,4.85,,5.36,2.46,3.06,8.62,0.61,3.16,3.06,7.9,1.41,
223255075454301,Mhow,22.54861111,75.76194444,,,,,,,,,5.48,6.3,2.67,4.75,5.34,6.3,1.08,4.56,4.74,5.8,4.43,5.14,5.38,6.1,3.6,5.1,5.45,5.3,3.39,6,5.65,6.3,5.23,5.5,5.8,6.2,1.5,5.28,5.32,6.31,2.1,5.2,5.65,5.91,5.2,5.55,4.94,6.39,4.36,4.1,5.35,6.3,3.48,4.4,6.25,6.06,5.3,5.2,7.5,6.7,5.5,5.95,5.14,6.3,4.55,5.7,5.05,6.2,0.9,4.2,5.02,6.28,1.75,6.4,5.55,6.55,,5.25,5.07,6.52,1.9,4.71,5.75,6.3,2.13,5.44,3.89,13.72,,7.74,6.05,,4.18,6.02,5.8,7.48,2.86,5.6,5.5,6.43,3.67,5.56,5.7,7.3,3.4,5.33,3.4,,5.2,5.69,5.35,,4.2,5.33,5.81,9.72,2.3,4.7,5.9,6.44,5.55,
223050075550601,Nandpura,22.51388889,75.91833333,,,,,,,,,10.24,13.02,2.81,7.84,11.6,12.42,6.95,8.15,8.1,10.37,6.6,8.01,12.41,11.47,6.17,7.87,12.58,11.27,7.07,9.62,12.47,11.07,9.82,10.42,10.65,10.7,10.4,9.87,9.57,12.67,6.85,10.09,12.19,10.67,5.81,8.07,9.47,12.82,8.62,9.27,9.99,13.67,1.77,6.2,9.15,13.45,4.27,8.57,11.07,12.92,6.47,9.9,9.57,13.67,7.57,9.37,9.15,13.4,5.77,8.47,10.22,13.1,2.17,9.16,10.77,12.89,,5.37,12.3,11.82,3.27,10.41,10.55,11.72,5.06,11.88,9.89,12.05,2.55,10.91,5.82,,8.21,3.75,9.06,11.6,4.89,10.52,11.11,12.93,,10.45,11.07,10.97,3.37,7.73,7.97,,3.53,2.12,9.07,,3.17,8.27,9.4,9.13,3.53,4.82,9.67,,1.32,
224438075341101,Rangwasa,22.74388889,75.56972222,,,,,,,,,6.76,7.35,0.05,2.7,5.71,6.95,0.5,2.75,4.85,5.95,1.39,1.23,7.47,6.95,3.99,5.1,7.73,8.4,0.7,7.05,7.8,10.05,1.5,6.85,8.45,9.3,0.05,4.56,5.8,8.13,,2.85,8.55,7.55,0.1,2.35,5.85,7.73,0.25,5.55,6.78,,1.6,4.05,5.45,7.65,0.35,5.25,7.65,9.65,0.55,2.4,7.91,6.65,0.55,,5.51,9.58,0.01,2.1,7.02,6.85,0.2,0.53,8.05,7.45,,6.4,4.3,7.4,,4.82,5.42,7.71,,7.32,8.98,7.88,1.28,6.44,13.17,,0.01,0.92,6.1,7.93,,6.3,9.4,9.61,,8.17,7.85,8.35,,0.55,6.25,,,,7.85,,0.25,0.55,1.78,6.76,0.2,5.35,7.35,5.95,1.15,
225816075494001,Sanwer,22.97111111,75.82777778,,,,,,,,,10.12,8.6,4.15,4.03,6.36,7.9,4.8,4.47,4.58,8.75,5.4,4.81,5.26,8.8,3.5,4.06,4.77,,4.96,6.25,7.15,7.28,3.22,6.76,8.87,6.76,5.93,5.5,6.07,7.45,6.16,4.8,5.43,6.65,4.2,7.6,4.88,7.25,6.09,7,7.9,7.56,3.36,4.25,5.6,6.75,3.9,4.7,4.55,8.65,5.75,5.5,6.5,8.88,7.3,5.6,5.1,7.12,5.1,4.5,4.77,6.6,1.17,4.03,4.65,5.98,,3.4,4.8,5.77,3.2,3.87,5.63,6.5,4.43,4.95,5.31,7.81,4.02,5.2,13.41,,3.48,4.5,5.14,7.58,4.5,4.98,4.9,7.99,4,4.8,5.4,7.1,3.2,3.8,3.6,,2.65,3.85,4.57,,4,3.96,4.36,,2.65,4.3,5.2,7.18,,
224834075402701,Ushapura,22.80944444,75.67416667,,,,,,,,,7.75,9.85,6.05,5.08,7.08,9.1,2.64,1.28,1.94,5.4,1.35,1.04,3.1,,2.64,5.8,4.18,7.58,3.2,5.65,8.2,7.84,6.3,7.1,8.68,10.1,4.2,8.8,10.31,10.8,5.05,6,7.48,,4.78,9.66,7.54,9.99,8.06,14.1,9.3,14.1,,6.1,7.05,14.1,4.45,,6.7,14.1,14.1,14.1,8.45,14.1,4.5,,8.4,9.92,5.55,6.1,,12.9,10.1,6.68,10.8,12.8,,7,10.7,14.1,1.85,3.61,7.43,9.47,4.7,5.73,8.48,10.58,2.06,6.63,6.06,,3.85,3.37,5.67,10.44,8.16,3.74,6.6,11.75,7.74,7.96,9.8,12.15,6.8,2.45,7.4,,1.58,2.57,5.58,,8.35,3.58,4.3,10.95,1.55,3,4.3,10.6,2.8,
224212075532201,Indore(D),22.70333333,75.88944444,,,,,,,,,,,,,,,,,,25.8,13.8,6.25,11.28,,13.33,5.87,9.78,,,,,,,,56.63,84.63,,9.27,,,10.25,5.98,7.63,,,11.23,11.53,,12.4,,14.03,25.03,3.03,4.75,6.04,,5.33,5.91,11.15,46.13,21.23,18.02,22.68,24.48,,,6.3,21.4,,,6.69,19.28,1.51,,6.88,18.49,,5.31,,18.55,7.13,4.63,6.13,12.23,4.29,6.26,8.67,14.53,3.15,7.33,8.27,,3.95,5.63,9.55,22.13,20.73,6.06,7.15,23.13,9.43,9.36,13.83,27.43,5.23,4.43,10.83,,4.03,4.76,6.93,,5.53,4.93,4.73,13.56,4.86,4.58,4.73,,,
224110076014901,Khudel(D),22.68611111,76.03027778,,,,,,,,,,,,,,,,,,18.45,18.45,8.92,14.76,19.09,,4.39,7.55,18.94,10.29,16.39,27.94,33.29,16.76,18.84,30.99,33.09,,2.69,23.26,33.94,18.88,9.64,18.35,29.09,14.34,22.41,0.41,32.79,18.22,19.74,20.79,33.49,2.94,,9.06,14.57,5.94,7.59,16.19,30.59,13.99,17.46,17.49,18.45,,,16.55,,,,12.71,18.04,2.99,,9.46,17.63,,,,20.19,,3.4,9.84,41.34,2.82,6.47,,20.84,0.9,9.24,15.4,,3.97,7.16,15.38,30.89,15.19,16.09,8.89,18.54,16.5,20.75,32.99,26.09,11.09,0.97,15.79,,4.39,2.83,12.9,,5.09,4.69,4.09,12.92,4.39,3.77,5.99,11.49,,
