station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
230546080031701,Barela,23.09611111,80.05472222,,,,,,,,,1.14,8.9,1.81,2.3,4.44,8.7,2.08,3.16,2.57,8.2,1.87,2.72,3.44,7.6,1.19,3.11,2.96,3.68,1.74,3.55,4.62,4.5,0.92,2.96,1.5,2.89,0.87,2.44,2.37,3.55,0.6,3.03,3.13,3.3,1.14,2.72,3.12,3.4,1.34,2.96,2.6,2.92,1.92,2.3,3.85,2.8,1.7,2.67,3.3,2.6,1.9,2.5,2.63,2.51,1.9,2.72,2.48,2.53,2.74,2.18,2.58,2.7,1.58,2.4,2.64,2.3,,0.6,2.6,3.1,1.65,2.68,3.01,3.94,1.07,2.55,3.4,2.9,2.15,1.9,2.77,3.12,1.48,2.89,3.32,3.24,2.05,2.36,3.12,2.72,0.36,2.04,2.77,2.87,1.6,2.5,2.57,,1.8,2.7,2.42,,2.21,0.3,1.9,,1.93,2.29,2.36,2.42,1.52,
225921079522601,Bargi1,22.98916667,79.87388889,,,,,,,,,2.7,4.35,1.75,1.77,3.24,4.95,2.28,2.95,1.4,3.82,2.85,2.26,3.14,5,0.29,6.7,2.25,4.47,1.33,2.97,4.06,9.15,0.98,1.12,3.55,5.24,2.91,4.17,3.95,5.32,0.2,3.04,2.9,5.15,0.13,4.63,3.66,5.35,0.15,1.59,3.7,4.65,1.07,2.55,2.8,5.05,3.5,3.53,3.7,5.35,1.71,2.45,3.71,5.23,4.65,3.25,3.93,5.43,2.02,1.59,2.65,5.75,0.02,1.8,3.07,4.65,,1.05,3,5.24,0.03,1.12,4.98,4.67,3.67,2.05,5.3,31.15,2.75,3.38,4.48,,0.82,2.96,4.22,6.67,3.31,4.38,5.84,6.6,3.44,4.2,4.37,5.9,0.65,2.95,2.37,,2.75,2.85,4.02,,2.88,2.35,3.37,6.48,0.17,2.17,3.33,4.87,0.31,
231345080145801,Bishanpura,23.22916667,80.24944444,,,,,,,,,2.33,5.13,0.98,2.52,3.6,8.1,1.7,2.27,2.5,4.14,1.48,2.62,3.31,6.19,1.02,2.45,3.32,12.71,1.88,3.72,5.46,,1.26,2.37,4.3,10.63,1.1,3.31,4.27,11.28,0.55,2.71,3.64,10.1,1.26,2.84,,10.33,1.42,3.16,3.83,9.56,2.2,3.13,4.36,8.9,1.24,3.76,4.1,9.9,1.12,3.4,4.1,9.8,0.7,3.12,3.6,9.58,1.47,2.3,3.72,9.7,1.65,3,2.74,,,8.7,3.17,10.4,1.05,2.82,3.58,9.5,2.08,2.95,3.1,6.81,2.84,3.13,4.55,,1.83,3.86,5,10.15,2.6,4.53,5.67,7.86,1.46,3.18,3.72,3.66,1.65,2.6,3.16,,1.5,2.8,3.23,,2.38,2.7,2.86,4.17,1.93,2.77,2.96,3.35,1.94,
231152079574701,Jabalpur,23.19777778,79.96305556,,,,,,,,,2.17,6.78,1.2,3.13,3.15,5.95,1.59,3.55,1.8,5.15,1.71,2.08,1.39,5.48,0.94,2.26,2.3,5.1,2.7,4.56,5.22,9.77,0.56,4.18,5.3,6.48,2.2,2.38,4.17,6.25,0.25,2.15,4,7.1,1.05,4.47,5.05,8.05,0.9,3.42,4.3,6.69,1.04,4.1,5.7,8.2,2.08,4.65,5,9.38,0.6,,6.45,9.38,2.8,3.15,5.9,,3.5,3.2,5.65,9.38,1.19,3.01,4.59,5.7,,2.5,5.5,,1.07,3,5,9.38,4.86,5.21,8.9,9.69,7.53,9.49,9.77,,2.46,6.79,6.83,6.79,6.79,9.77,9.77,9.77,6.74,9.77,9.77,7.01,5.94,4.59,4.59,,3.69,4.29,6.68,,5.34,9.77,8.04,7.51,2.15,2.07,5.82,0,2.01,
232357080035301,Kachupura,23.39916667,80.06472222,,,,,,,,,6.32,4.8,5.3,3.17,4.31,7.22,1.5,1.66,1.43,4,2.29,2.63,4.27,7.47,1.45,2.07,2.8,5.78,1.91,2.68,3.67,6.3,4.53,2.06,3.6,5.86,1.1,2.76,3.26,6.15,0.45,1.53,3.15,5.25,1.12,2.12,4.03,5.45,0.7,1.84,3.85,5,1.4,2,3.75,6.1,2.2,3.6,3.8,6.8,1.59,2.85,5.03,7.45,3.5,2.8,3.9,6.9,2.15,1.6,3.4,6.65,0.25,2,2.78,,,2.6,5.8,6.8,0.64,3.6,2.95,4.6,2.67,6.12,3.8,6.11,3.08,3.58,5.49,,1.82,3.67,4.88,7.62,2.85,3.37,6.88,7.95,2.43,3.28,4.67,,1.4,4.3,6.9,,,,7.95,,7.28,7.1,,8,,6.72,4.74,14.3,,
232955079553601,Majholi,23.49861111,79.92666667,,,,,,,,,8.47,11.57,8.25,8.92,10.9,11.82,5.85,7,9.1,11.45,7.89,9.7,11.76,13.96,5.47,6.62,7.6,10.94,3.8,9.64,11.26,14.12,7.43,8.65,11.2,14.74,7.2,8.33,11.71,15.12,5.2,6.24,8.05,12.5,5.79,8.4,9.9,13.73,5.2,7.55,10.5,12,7.05,8.59,11.38,14.7,8.14,9.6,9.6,15.45,4.9,9.5,12,15.54,10.5,8.75,9.2,15.24,9.27,8.3,11.1,16.25,6.4,7.2,9.36,13.1,,5.4,10.9,15.18,3.63,5.39,6.9,10.37,4.25,8.48,0.65,5.65,9.5,12.45,13.97,,6.56,11.75,13.82,17.32,13.6,14.35,16.92,14.82,11.77,13.92,15.35,18.5,11.1,12,12.75,,5.1,6,13.71,,13.48,15.6,17.7,17.98,8.65,10.86,14.2,17.52,,
230442079544501,Manegaon1,23.07833333,79.9125,,,,,,,,,2.55,3.98,0.9,1.69,3.49,4.72,0.6,3,1.27,3.53,0.73,2.33,3.13,3.89,0.57,7.67,3.28,4.11,0.02,4.7,3.61,4.22,0.67,1.92,3.32,4.42,0.68,2.84,3.63,4.64,0.43,3.2,3.47,4.92,0.84,4.62,3.7,4.92,0.72,2.84,3.08,3.77,0.62,2.75,3.7,5.22,0.46,3.32,3.52,5.22,1.02,3.02,3.61,4.67,0.32,2.78,2.96,4.65,0.89,1.92,3.23,5.39,0.62,2.72,3.21,3.82,,1.52,3.52,4.6,0.77,1.7,3.12,3.87,1.42,2.8,7.95,3.93,1.5,1.59,3.34,,0.68,3.14,3.54,4.59,0.9,3.07,3.54,6.19,0.49,3.74,4.07,4.35,0.32,2.32,2.53,,2.02,2.42,3.2,,1.2,2.52,2.48,4.85,0.33,2.4,2.94,3.32,0.34,
231226080093001,Padaria,23.20722222,80.15833333,,,,,,,,,6.66,10.97,0.74,4.69,8.32,9.37,1.57,4.37,3.65,10.35,1.64,4.43,8.85,10.6,0.94,6.46,10.74,10.75,1.15,4.19,5.85,9.87,0.69,1.14,10.07,7.19,0.44,5.01,8.69,8.06,0.43,3.8,9.41,10.42,0.83,4.83,9.39,10.6,1.47,5.33,10.79,10.53,2.07,5.32,8,9.37,0.77,5.93,6.17,10.97,2.1,5.87,10.35,10.77,1.17,4.07,4.09,8.01,0.93,3.67,4.37,7.57,1.28,4.37,3.99,2.57,,0.37,6.1,6.69,1.37,3.45,3.41,4.35,2.66,8.74,10.97,3.66,3.9,3.79,7.82,,1.8,4.44,5.09,6.15,3.12,4.54,6.14,,0.9,3.69,3.91,4.09,0.87,1.57,3.68,,0.07,2.37,5.05,,3.55,4.57,4.67,7.12,1.09,4.39,3.57,3.79,0.95,
230818079395501,Shahpura,23.13833333,79.66527778,,,,,,,,,8.7,10.9,,9.4,8.8,11,,,,,,,,8.11,2.42,2.19,3.45,,,4.93,,9,1.41,7.5,3.65,7.72,3.25,4.32,5.93,6.84,1.27,9.55,4.07,7.2,2.03,2.91,5.85,7.15,0.92,9.55,3.8,6.83,2.89,4.57,6.51,7.15,4.68,5.75,5.75,11.85,,3.65,14.55,14.55,1.75,2.92,4.15,7.39,3.69,2.35,4.57,6.57,0.95,2.05,14.55,6.95,,3.85,6.1,6.59,0.45,2.29,3.85,6.37,2.73,5.32,15.5,5.98,3.13,4.25,6.95,,1.32,3.64,5.37,6.3,2.75,3.32,4.44,5.21,0.79,,4.17,5.99,0.65,2.85,4.36,,1.55,3.35,5.71,,2.94,4.15,6.1,7.62,0.61,3.04,3.61,5.7,,
232900080063001,Sihora1,23.48333333,80.10833333,,,,,,,,,4.59,9.31,1.64,5.03,6.69,10.85,0.54,6.2,0.73,7.36,0.83,4.75,7.3,12.18,0.17,5.07,8.87,14.91,2.81,8.88,9.1,14.25,0.11,7.84,10.9,14.7,2.22,8.26,10.91,,0.4,5.57,8.8,15.35,2.83,8.15,15.5,16.8,0.54,6.87,11.35,16.7,4.5,9.22,12.85,16.8,4.28,7,7.2,16.8,2.25,14.8,16.8,16.8,,,16.8,,7.8,12.95,16.8,16.8,1.3,11.6,13.12,16.8,,2.7,16.8,,,9.5,11.87,16.8,7.33,9.73,10.3,16.7,12.82,13.42,16.8,,2.48,13.35,14.47,14.69,15.13,16.8,16.8,16.8,8.54,,16.8,13.88,14.4,8,9.16,,1,11.8,14.21,,13.58,11.2,14.3,15.28,9.85,12.93,,0,,
