station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
234455080343701,Badwara,23.74861111,80.57694444,,,,,,,,,10.91,12.01,10.83,10.25,10.87,10.9,8.52,8.9,9.35,,9.75,9.47,10.83,11.98,10.51,9.49,10.1,11.7,10.46,,,,9.3,9.89,10.3,,11.9,,10.7,,9.15,6.8,8.7,14.4,9.52,14.4,14.4,14.4,5.84,14.4,14.4,11.1,,14.4,14.4,14.4,14.4,14.4,14.4,14.4,,15.2,15.2,15.2,,,15.2,,12.2,12.8,15.2,14.37,,9.3,9.9,14.4,,8.9,9.8,11.55,4.28,6,7.01,9.82,8.96,9.25,10.4,11,9.7,10.65,11.7,,6.4,7.62,8.65,10.42,7.92,7.87,9.32,9.98,9.56,0.8,8.32,9.9,8.9,8,8.03,,8.3,8.1,6.35,,7.62,7,3.6,11.25,3.62,7.78,7.95,9.65,6.65,
235102080332401,Barchheka,23.85055556,80.55666667,,,,,,,,,8.16,7.33,3.21,4.39,5.54,9.48,4.01,4.58,4.68,6.12,3.98,4.46,4.1,7.16,4.52,8.3,5.13,6.77,0.56,9.38,7.31,8.43,2.51,8.4,5.28,8.43,4.53,4.23,4.78,11.76,7.25,2.83,8.98,11.08,7.67,3.93,9.53,11.01,6.39,8.75,8.98,10.93,6.89,5.43,5.56,11.83,9.98,11.43,12.91,12.33,8.38,9.1,9.95,12.9,12.28,12.98,15.25,10.73,10.98,12.3,13.61,14.59,7.6,9.23,10.38,12.33,,8.93,9.04,14.33,0.15,1.71,10.86,13,11.55,3.31,11.03,12.88,13.43,13.03,15.39,,6.83,7.39,13.03,14.55,4.28,9.26,11.68,13.63,4.8,11.58,11.9,11.85,7.13,8.28,10.63,,6.13,8.43,10.97,,8.84,10.23,12.33,16.7,9.85,8.79,10.05,0,10.25,
235406080483801,Barhi,23.90166667,80.81055556,,,,,,,,,7.5,9.77,4.45,8.92,8.21,9.85,3.85,6.39,5.75,8.61,5.52,6.65,7.62,9.67,5.11,6.05,7.49,9.81,6.61,7.35,8.99,11.15,5.9,7.5,9.06,11.6,10.97,8.33,10.99,14.97,4.55,5.75,7.75,11.45,4.7,6.5,9.25,11.6,3.75,7.47,8.89,14.05,6.65,9.53,11.75,13.4,10.3,11.5,13.1,15.44,11.7,11.7,13.15,15.99,15.2,14.05,13.3,13.85,10.25,9.7,11.59,15.44,5.3,7.65,9.75,15.2,,9.25,11.35,15.44,3.32,7.27,9.46,13.2,11.4,10.71,12.65,14.2,10.45,12.11,15.44,,4.41,5.42,7.55,,8.01,9.82,13.37,15.44,12.98,10.77,11.17,13.89,5.45,7.45,7.6,,6.35,7.75,8.7,,5.07,7.95,8.98,15.81,4.42,6.69,8.63,14.45,6.33,
234937080371801,Basadi,23.82694444,80.62166667,,,,,,,,,12.96,14.39,2.32,12.97,13.5,14.44,1.86,7.17,11.08,13.49,2.55,11.74,13.27,14.71,8.61,11.57,13.34,14.23,2.51,10.04,14.65,15.59,3.66,11.37,14.14,16.14,1.44,11.82,14.04,15.5,1.74,8.64,11.54,13.81,6.19,11.16,12.99,14.14,2.32,11.36,12.49,13.44,0.82,12.81,13.74,13.87,11.14,14.4,14.87,16.44,3.59,10.6,12.2,16.35,10.09,14.94,15.9,13.84,9.64,14.3,14.98,15.98,3.2,10.59,13.04,14.19,,11.44,13.44,14.24,0.86,3.71,14.35,9.72,12.01,18.25,14.44,14.24,8.54,11.19,14.29,,1.14,2.46,13.94,14.1,10.26,13.46,15.09,14.81,9.51,14.49,15.09,10.26,5.74,11.14,12.94,,4.94,10.44,14.06,,5.79,11.14,12.64,15.38,3.68,9.1,12.54,15.34,6.89,
235410080150501,Deogawan,23.90277778,80.25138889,,,,,,,,,2.93,10.45,1.55,2.88,7.03,10.45,1.52,2.02,1.04,3.54,1.33,2.39,3.23,7.21,1.36,2.3,3.22,7.4,0.94,3.18,4.56,7.59,1.42,1.24,3.27,7.62,1.82,2.84,3.68,7.19,7.19,2.27,5.67,8.57,1.47,2.4,4.19,7.72,1.32,2.02,4.27,6.1,1.39,4.57,5.02,8.24,1.5,3.44,4.77,8.52,1.62,3.45,3.6,6.6,3.42,6.02,7.8,9.17,1.52,4,4.72,10.01,1.8,2.72,3.52,6.14,,3.27,3.22,8.42,1.34,2.6,3.21,6.42,2.44,3.86,4.67,10.57,2.72,4.07,6.57,,1.64,2.93,4.54,11.24,2.12,3.04,4.87,6.44,1.49,3.24,3.44,8.98,1.67,2.52,3.15,,2.12,4.12,4.24,,1.98,3.92,6.12,14,1.9,1.83,7.66,5.64,,
234950080235501,Katni1,23.83055556,80.39861111,,,,,,,,,1.62,1.93,1.65,2.08,1.85,2.02,1.9,1.85,1.64,2.82,1.25,1.8,2.15,2.98,1.3,2.31,2.4,2.79,3.6,2.98,2.21,3.2,1.82,2,2.6,2.75,1.62,2.32,2.1,2.46,1.75,2.7,2.25,4.35,2.23,2.13,2.43,2.71,1.55,2.1,3.03,3.17,1.56,3,2.85,3.75,2.4,2.13,2.8,3.65,2.5,2.45,2.5,2.8,2.25,4.15,6.1,5.6,3.2,4.7,6,5.27,1.9,2.4,2.4,3.3,,2.5,3.1,5.63,1.35,3.33,2.71,3.57,2.16,3.02,4.9,8.65,3.1,4.65,4.96,,1.6,3.81,5,5.78,2.15,2.82,3.48,4.03,2.1,2.61,3.92,4.95,3.2,4.7,4.1,,3.6,3.7,4.48,,6.42,3.6,3.6,6.45,1.84,3.12,4.02,8,2.35,
234750080494801,Kewlari,23.79722222,80.83,,,,,,,,,6.1,7.4,2.82,5.61,7.17,7.12,3.85,4.05,4.23,7,3.3,0.66,7.23,6.55,3.74,4.57,2.8,,4.3,,,7.3,3.12,4.75,8.73,6.9,,,8.3,7.5,3.87,3.95,8.05,7.52,4.52,4.9,6.8,7,2.4,2.5,6.85,6.54,2.35,5.1,6.85,7.39,4.5,5.65,7.15,7.8,2.65,5.2,6.5,7.3,6.5,7.85,7.7,7.3,7,7.9,8.07,8.63,4.35,6.25,7.2,8.1,,6.73,7.72,7.88,3.03,4.39,6.26,6.9,6.08,6.96,4.1,8,7.15,6.2,8.76,,1.95,2.52,8.3,8.52,6.12,6.87,10.7,10.7,5.5,7.02,7.44,9.08,6.85,5.5,6.2,,7.1,8.3,9.35,,7.65,7.8,9.3,9.91,6.54,6.68,,0,0,
234238080495501,Khitoli,23.71055556,80.83194444,,,,,,,,,5.32,6.5,3.73,4.29,5.18,6.1,3.76,4.2,4.21,6.05,2.83,4.32,5.03,6.55,3.93,5.18,5.28,6.33,3.85,4.8,6.61,5.1,2.75,4.45,5.15,6.2,4.4,3.98,5.2,6.22,2.28,3.9,4.3,5.7,4.05,3.13,5,6.75,1.45,3.85,5.05,6.12,1.92,4.15,4.78,6.35,4.05,5.05,5.58,7.2,2.65,4.8,5.3,6.9,4.6,4.5,6.3,7.1,3.7,5.1,5.76,6.93,3.2,4.8,,6.46,,4.9,5.82,6.72,2.35,4.35,4.86,6.25,4.24,4.97,6.58,7.15,4.1,5.77,6.7,,2.32,3.12,5.65,6.88,4.17,4.87,6.37,9.5,2.96,4.92,6.12,7.19,5.95,4.8,5.15,,4,5.3,5.82,,2.98,5.4,5.5,7.41,2.22,4.31,5.72,6.8,3.92,
234230080190201,Lakhapateri,23.70833333,80.31722222,,,,,,,,,4.31,6.43,2.48,4.45,5.11,7.35,2.7,3.37,2.69,5.22,2.15,3.1,5.04,7.36,2.81,2.98,3.9,6.38,3.92,5.25,7,8.8,2.45,4.24,4.94,7.4,2.5,4.25,5.85,8.01,2.2,4.7,4,7,2.45,4.28,6.95,7.95,2.5,3.85,6.36,7.15,2.84,3.7,6.7,8.9,3.95,5.3,6.75,8.7,2.65,5.35,6.4,7.7,5.15,5.5,7.1,,5.25,6.9,,10,4.05,3.35,3.95,6.46,,3.95,5.3,8.03,1.91,3.5,4.05,6.68,3.47,5.27,6.58,8.1,3.7,5.85,7.34,,3.3,3.92,5.8,9.3,3.58,5.32,9.66,12.76,2.24,6.12,6.47,9.51,3.2,2.8,3.61,,2.3,4.3,4.25,,4.32,,4.3,5.3,2.23,2.98,,,,
234918080295501,Majhgawan1,23.82166667,80.49861111,,,,,,,,,7.42,11.3,4.8,6.35,7.53,10.05,4.4,4.03,5.07,9.56,6.44,7.52,8.67,11.85,6.29,6.2,6.74,11.03,5.84,8.17,10.63,,3.93,4.45,6.9,11.75,6.3,7.3,8.56,12.15,6.3,2.4,5.55,10.9,4.7,5.8,7.1,11.6,2.1,2.66,7.35,10.35,5.6,7.85,9.5,11.7,8.8,10.96,11.53,12.5,6.55,7.4,10.4,13.5,11.6,10.1,12.2,11.15,11.35,13,12.4,12.5,10.4,7.5,8.4,12.5,,5.9,6.7,11.7,3.59,4.13,5.88,9.62,7.85,8.42,5.15,12.1,9.4,10.52,11.75,,2.66,5.82,7.15,11.82,4,6.12,7.07,12.65,6.13,6.82,7.32,11.56,6.9,5,6.45,,5.2,6.9,7.61,,7.32,6.1,10.3,12.91,7.47,6.76,9.64,0,6.82,
