station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
262419077360901,Huseinpur,26.40527778,77.6025,,,,,,,,,7.01,3.06,,2.12,1.9,2.64,2.14,1.89,1.89,3.08,2.3,2.2,2.7,3.4,,2.41,9.14,3.71,3.9,4.41,5.34,7.87,3.62,4.5,4.72,6.3,7.17,8.4,8.8,15.12,10.33,,7.9,10.25,6.35,9.85,9,8.76,8.32,8.9,9.43,10.7,10,10.1,9.6,8.45,5.72,9.56,8.2,8.4,2.93,3.9,3.3,5.5,6,5,5.19,,7.98,7.98,8.1,9.4,4.45,8.5,4.85,7.5,,3.7,4.65,5.55,1,2,2.1,5.2,3.6,3.9,3.4,5.9,4.5,5.53,5.5,,4.72,,4.38,7.48,7.91,8.81,8.08,9.72,3.6,4.45,4.9,8.3,9,10.25,10.59,,9.8,10.05,,,5,10.25,7.2,11.2,9.12,,11.7,13.05,12.58,
261757077363101,Kailaras,26.29916667,77.60861111,,,,,,,,,5.32,6.38,4.02,4.52,4.84,5.94,5.76,6.35,6.12,6.98,6.85,6.56,7.08,7.85,4.07,5.1,5.76,7.11,4.6,6.94,7.7,9.1,4.33,7.11,7.9,9.2,2.74,9.8,10.6,11.6,3.7,8.65,10.5,12.2,0.4,4.75,8.95,9,3.07,6.1,9.95,12.08,9.25,7.95,9.88,10.17,4.08,6.38,8.35,20.23,5.04,4.1,5.35,8.74,,4,4.08,,5.6,1.44,5.5,7.4,2.98,5.62,5.3,5.6,,1.6,,6.4,0.5,1.6,4.6,3.9,1.6,4.4,5,5.14,2.42,1.34,2.65,,0.32,4.27,,4.04,3.14,5.58,6.35,,1.7,6.15,6.4,6.15,0.1,1.7,2.75,,3.4,4.55,,,0.9,2.7,3,,0.9,0.9,,14.6,,
262913077585201,Morena,26.48694444,77.98111111,,,,,,,,,8.35,11.95,7.1,7.3,7.65,10.34,9.99,12.32,13.57,12.9,11.04,12.9,12.03,13.42,10.42,11.95,12.54,14.46,14.3,14.76,12.8,17.12,15.93,18.2,17.2,18.4,15.99,18.8,20,20.2,20.1,19.5,20.2,21.1,21.8,20.84,11.74,27.91,21.87,21.5,22.3,29.6,24.8,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,,,29.1,,,29.1,29.1,29.1,,29.1,29.1,29.1,,29.1,29.1,29.1,29.6,29.1,28.5,19.77,19.77,29.1,,29.5,,29.27,29.1,,29.1,,29.1,29,29.1,29.1,29.1,29.1,29.1,29.1,29.1,,29.1,29.1,,,29.1,,29.1,,21.51,29.1,,,,,,,,
261200077382101,Pahargarh,26.2,77.63916667,,,,,,,,,9.57,12.54,4.67,5.53,9.77,13.58,8.57,8.95,8.53,10.47,6.19,7.91,9.11,11.59,5.33,6.19,9.45,10.13,6.24,9.43,11.01,8.12,7.73,9.71,10.78,12.31,11.02,11.51,12.51,13.71,6.51,9.56,11.17,11.81,10.21,8.96,10.71,12.5,3.46,9.11,11.41,13.67,12.73,13.1,,13.76,11.89,12.25,13.31,14.21,9.41,10.56,11.48,16.21,9.31,10.41,10.61,11.61,9.58,9.56,9.01,12.05,7.21,9.11,9.91,10.51,,6.75,9.06,10.01,4.2,5.51,9.31,9.51,7.61,9.51,9.21,9.71,2.55,3.71,4.21,,1.17,3.27,3.38,4.02,2.99,3.6,4.09,10.8,0.71,4.16,4.81,3.56,1.16,1.76,2.41,,3.31,7.16,,,1.11,1.71,2.31,4.31,0.91,2.62,3.51,4.46,1.01,
264014078220701,Porsa,26.67055556,78.36861111,,,,,,,,,20.75,21,20.01,19.1,19.42,20.35,18.7,19.42,18.72,20.55,19.91,19.25,18.75,19.74,19.75,19.75,19.47,20.35,20.65,20.45,21.15,,19.69,19.45,19.65,20.95,21.95,,,,16.12,16.12,22.35,22.35,22.35,22.35,22.35,22.35,22.35,22.35,,,,,,,,,,,,,,,,,,,,22.35,22.35,22.35,22.35,22.35,,22.35,,22.35,22.35,,19.65,22.35,27.85,27.85,27.85,28.85,28.85,27.85,,28.85,28.85,,28.85,,28.85,28.85,28.85,28.85,28.85,24.1,18.85,28.85,28.85,,,,,,,,28.85,,16.45,21.25,15.95,,,,21.45,22.4,,
261223077200501,Ranipura,26.20638889,77.33472222,,,,,,,,,3.19,4.44,1.15,2.8,3.04,5.12,3.8,3.03,2.85,4.58,1.57,2.2,2.7,4.22,2,3.09,3.9,5.04,3.55,4.6,5.1,6.88,2.7,4.2,4.32,5.9,5.68,8.3,7.2,8.7,4.98,4.53,4.8,6.2,4.4,5.64,5.29,7.1,4.02,5.46,6.5,7.15,6.55,9.65,6.36,7.06,5.65,4.96,6.55,7.8,2.5,2.3,6.7,6.95,6.7,6.65,6.55,8.1,7.23,7.13,9.1,7.4,5.8,6,5.9,6.6,,3,5.5,5.2,1,3.3,3.5,4.9,3.2,4.1,3.5,5.3,2.65,3.4,6.6,,6.53,8.56,6.65,9.17,8.39,9.7,9.72,8.47,5.8,6.3,6.65,7.05,6.3,5.8,5.95,,5,6.5,5.52,,2.2,3.3,3.7,,2.4,3.2,3.7,6.3,,
261038077181801,Tentra,26.17722222,77.305,,,,,,,,,8.54,10.35,11.68,8.65,8.34,10.53,12.56,8.98,8.63,10.79,12.5,8.76,8.65,10.62,11.87,11.05,11.03,11.26,13.17,11.55,11.75,15.31,14.59,11.65,11.45,15.15,15.2,12.85,16.95,17.25,17,16.48,14.63,16.1,16.6,15.05,13.89,15.32,16.31,14.29,14.21,15.45,16.13,13.2,13.95,14.8,13.65,12.85,14.05,14.75,14.45,15.45,13.97,10.07,14.75,,16.25,,,16.85,15.95,17.3,17.3,17.3,15.55,16.55,,16.15,14.45,15.75,14,12.75,11.05,12.55,14.15,14.45,13.75,15.65,15.77,16.62,15.65,,15.85,16.52,16.65,16.6,17.3,17.3,17.3,17.23,17.3,17.3,17.3,17.1,17.15,17.15,16.75,,17.25,,17.25,,13.25,15.35,15.85,14.9,14.85,13.65,12.85,13.15,9.5,
264450078141501,Bareha,26.74722222,78.2375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,20.2,22.8,21.2,20.9,21.3,21.21,21.5,21.9,23.2,23.2,23.2,23.2,23.2,23.2,,,23.2,,,23.2,23.2,,23.2,23.2,23.2,23.2,,23.2,23.2,,13.9,23.2,29.2,29.6,30.2,30.2,30.2,29.6,23.75,30.2,,30.2,30.2,,30.2,21.39,30.2,30.2,30.2,20.2,30.2,19.7,19.95,21,21.2,21.2,12.7,,21,30.2,21.5,,21.6,30.2,22.2,,,,30.3,0,14.1,
262550077523601,Jafrabad,26.43055556,77.87666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,13.1,7.4,7.3,11.5,9.8,10.9,11.6,11.9,13,13.31,13.89,15.3,15.76,15.64,17.7,16.5,16.25,16.44,17.98,17.83,16,8.3,16.35,17.1,17,15.65,15.85,15.9,,15.55,16.8,16.65,,9.6,18.05,17.1,20.3,16.68,18,18.4,18.6,14.71,
261519077261701,Tonga Gaon,26.25527778,77.43805556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,6.1,,1.9,1.7,5.9,3.4,2.2,1.9,6.4,2.75,2.1,9.53,7.52,2.85,2.59,4.2,7.87,8.72,10.5,10.5,9.43,11.4,4.35,5.2,8.72,6,3.55,6.3,,5,5.7,4.7,,7.1,3.75,2.2,4.8,3.55,2.75,3.4,5.65,5.2,
