station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
245925080160301,Ajaigarh,24.99027778,80.2675,,,,,,,,,6.68,7.84,4.4,5.1,6.18,8.96,6.65,5.15,5.15,6.92,6,5.75,6.87,8.46,4.44,5.2,5.45,7.23,4.4,5.45,5.54,8.25,4.02,5.25,6.72,7.55,6.47,4.9,6.1,7.6,1.74,4.35,5.52,7.18,3.7,4.6,5.7,7.65,2.02,4.8,5.95,7.37,6.5,6.8,8,9,9.42,11.1,9.94,14.25,8.6,8.4,9.25,11,10.4,8.75,8.8,10.6,10,10.4,6.1,11.3,7.2,6.3,6.9,8.2,,5.5,6.35,8.5,2.8,3.8,4.2,6.4,6.55,6.74,7.66,8.31,8.15,8.48,10.08,,2.46,,6.08,8,6.7,7.2,8.2,10.2,7.8,4.1,7.2,8.95,7.9,4.35,5.35,,6.3,,,,6.7,5.6,6.7,9.5,7.7,,6.05,8.45,,
242517080020201,Amanganj,24.42138889,80.03388889,,,,,,,,,4.48,6.05,3.18,3.72,5.02,5.68,3.9,3.8,3.95,5.74,3.5,4.28,5,6.13,3.07,3.54,4.9,6.14,3.8,4.52,5.6,6.5,2.83,5.58,6.06,6.48,4.7,3.77,5.4,6.2,1.7,4.15,5.05,6.4,2.9,4.2,5.7,7.42,1.9,4.1,7.64,7.67,3.7,4.65,7.1,6.9,5,5.3,8.7,8.7,3,4,6.25,6.85,4.7,4.35,5,6.7,3.7,3.4,6.1,7.3,1.8,3,7,8.7,,4.07,8.18,8.58,1.58,2.52,7.7,6,3.5,6.34,9.11,7.54,4.71,5.5,8.7,,1.36,5.99,8.5,8.5,4.65,7.5,8.5,8.2,7.8,7.5,8.2,8.1,7.7,2.6,8.5,,1.5,6.6,8.4,,7.1,7.5,,,2.55,2.15,8.4,0,,
243725080204401,Badagaon1,24.62361111,80.34555556,,,,,,,,,3.31,11.5,0.53,2.13,2.92,7.38,1.33,2.28,2.3,5.32,0.46,2.16,2.63,6.99,0.55,2.08,2.47,8.41,1.47,2.65,4.25,8.1,0.6,2.65,4.18,12.2,0.93,1.7,2.7,5.6,0.7,2.35,2.55,9.52,1.1,2.19,2.7,8.65,0.44,2.4,5.55,9.35,0.5,3.85,6.1,,0.95,2.9,5.92,12.7,0.95,2.95,4.1,10.82,7.1,3.02,2.4,5.7,7,2.7,4.05,8.7,0.7,3.1,3.5,13.2,,4.4,7.25,12.5,0.59,2.5,3.4,6.18,1.5,3.4,5.18,8.62,5.65,5.54,13,,0.98,3.18,4.26,11.55,0.95,5.9,5.8,12.2,0.9,3.35,5.2,12.7,0.8,1.95,3.3,,1.2,4.1,4.3,,1.5,5.95,9.3,,0.85,3.57,3.94,6.6,,
243944080151701,Bahera,24.66222222,80.25472222,,,,,,,,,5.03,9.7,0.18,1.3,3.64,9.98,0.36,1.37,2.75,7.56,0.06,1.22,4.13,9.54,0.11,1.15,3.9,9.53,0.5,2.48,5.6,10.75,0.1,2.52,5.62,10.72,2.95,1.2,4.3,9.6,0.65,1.53,3.52,10.4,0.16,2.76,4.06,9.5,0.05,2.1,5.5,10.2,0.6,3.17,6.4,11.6,4.7,5.65,9.84,14.7,0.3,2.6,5.75,12.25,6.05,1.5,6.3,8,5.9,4,6.95,12.8,0.7,1.9,4.6,10.75,,2.28,5.6,11.9,0.8,1.55,4.4,8.2,2.1,5.67,8.56,11.8,4.39,6.88,10.7,,0.66,2.18,6.44,11.3,1.1,3.8,7.2,13.6,1.7,3,5.9,12.25,1.1,1.25,3.4,,1,3,6.45,,2.6,3.7,6.9,13.8,0.9,0.46,3.95,10.1,,
245058080054201,Bariyarpur,24.84944444,80.095,,,,,,,,,7.18,9.85,3.2,6.18,6.85,8.92,8.07,5.05,5.15,8.26,5.74,7.12,8.78,10.14,,,5.8,8.5,,5.06,6.02,9.38,2.96,4.77,6.78,8.97,7.02,5.2,6.8,8.82,2.8,4.17,5.25,8.8,4.54,2.56,6.9,8.85,6.02,5.6,8.7,9.38,9.25,8.65,10.1,10.8,9.88,11.05,10.16,10.15,7.4,7.5,8.4,10.5,3.6,9.5,4.1,6.3,3.3,4.46,4.95,10.6,6.75,7.3,7.8,9.9,,5.35,8.39,9.78,4.39,3.1,6.3,8.16,6.95,6.82,8.72,10,5.75,7.32,9.77,,2.58,5.33,8.6,9.7,8.3,7.8,9.2,11,9.2,7.5,9.2,11.6,9.35,3.83,6.3,,4.9,6.2,9.15,,8.6,7.1,9.4,11,6.85,4.81,7.9,10,,
243243080102401,Barrachh,24.54527778,80.17333333,,,,,,,,,5.86,7.87,3.12,4.62,5.67,8.26,3.42,3.81,3.97,7.21,1.46,4.32,5.66,8.55,5.2,4.26,5.37,8,2.07,4.92,6.02,8.48,3.47,5.65,7.64,8.87,7.74,5.04,6.32,8.36,1.32,4.34,5.07,8.07,3.32,4.11,5.52,8.54,1.54,3.07,6.32,8.73,5.92,5.55,7.42,8.82,8.62,10.37,8.18,9.54,6.02,5.67,6.42,8.92,3.44,7.62,3.82,9.02,9.42,,6.7,9.62,5.32,5.82,6.52,8.42,,8.87,6.34,8.99,3.02,3.6,5.52,6.72,5.67,5.59,2.52,9.02,6.61,6.63,9.26,,4.52,5.82,6.7,8.57,5.97,6.12,9.22,10.92,9.12,7.22,8.62,10.49,10.72,6.12,6.72,,4.22,5.82,7.47,,3.43,9.98,8.62,11.5,10.07,7.4,8.77,8.72,,
235845080185301,Dharampura,23.97916667,80.31472222,,,,,,,,,3.74,5.85,0.95,1.44,3.68,5.3,0.85,1.42,1.3,4.18,1.58,1.85,2.25,5.29,0.6,0.87,3.1,5.3,5.1,2.52,3.9,6.01,0.5,3.6,4.28,6.95,2.05,2.55,4.1,,0.55,3.15,3.1,7.1,1.8,4.96,3.1,5.95,,2.6,4.2,6.97,2,3.4,5,6.3,6,7.4,6.49,8,2.25,8.1,3.25,9.9,,3.85,5,,5.25,3.4,4.8,7.5,0.9,4,5.15,6.35,,4.95,4,6.2,0.75,1.7,4,5.35,1.9,4.32,5.3,6.43,5.69,5.88,6.74,,2.76,2.96,5.25,7.5,1.85,2.2,4.2,6.9,2.8,3.6,4.8,7.2,5.25,1.7,3.15,,0.8,2.2,4.2,,2.09,6.45,7.1,6.8,,,,,,
242746080150501,Gunaur,24.46277778,80.25138889,,,,,,,,,4.8,6.23,1.8,3.53,4.78,8.13,2.8,2.68,2.53,5.35,1.68,3.36,4.85,,1.58,2.94,3.93,,1.98,3.7,5.18,,1.41,4.15,,,3.81,2.98,4.84,,0.78,4.53,4.6,8.13,1.38,4.12,4.68,8.13,0.4,3.38,5.13,13.9,1.58,4.58,16.88,16.88,2.58,3.98,16.88,16.88,1.18,4.03,4.18,16.88,,5.73,16.88,,,16.88,3.6,5.18,1.08,2.28,3.88,16.88,,2.88,1.7,,0.58,1.78,2.58,3.58,1.38,1.93,2.5,4.2,3.24,4,3.12,,,2.52,4.05,4.08,1.18,2.08,3.38,4.48,0.68,2.58,3.08,3.63,0.58,0.98,1.28,,0.68,1.48,1.93,,3.35,2.11,1.48,3.7,0.88,1.08,2.03,4.32,,
244346080003801,Madla,24.72944444,80.01055556,,,,,,,,,1.89,3.25,0.25,1.06,2.67,4.58,0.27,0.6,0.62,6.33,0.2,0.8,2.79,4.79,2.08,,6.8,7.42,1.75,6.26,7.1,5.35,0.2,1.68,3.68,5.35,2.67,0.8,8.35,6.76,0.5,0.3,0.65,6.92,0.2,0.93,1.85,7.03,0.15,2.13,4.5,,5.25,3.19,12.65,,,,,15,2.5,3.4,4.3,12.25,3.2,4.52,3.6,12.7,3,4.5,5.15,12.8,1.35,3.6,5.2,6.45,,3.12,4.05,10.65,1.4,3.3,4.1,5.3,3.9,4.41,5.11,10.53,3.44,4.31,5.1,,1.42,3.53,4.25,9.55,2.85,4,4.9,12,2.9,3.7,4.5,12.7,3.6,3.13,4.1,,2.1,3.8,4.8,,4.7,4.75,6.6,13.8,3.55,3.67,4.95,5.28,,
241126079575801,Mohendra,24.19055556,79.96611111,,,,,,,,,4.93,8.73,,4.06,3.43,7.65,1.24,2.04,2.14,5.24,1.16,3.73,5.38,10.23,2.57,,3.17,8.16,2.61,4.47,5.26,10.37,1.09,3.16,6.29,7.58,4.63,2.63,3.81,9.01,0.71,4.46,4.86,8.76,2.48,3.86,4.01,9.61,1.18,2.01,4.91,9.91,1.91,5.16,7.21,9.11,4.86,3.96,6.15,10.13,1.41,3.26,4.11,8.66,5.81,4.81,4.76,,3.41,5.21,6.4,,2.31,4.11,4.11,11.71,,3.11,3.76,5.5,0.66,2.71,3.31,8.11,4.06,5.95,8.24,11.89,5.6,6.27,9.85,,2.23,3.5,4.85,9.51,6.06,7.31,9.26,12.01,8.71,7.51,7.51,11.71,4.31,6.43,6.61,,5.41,8.91,8.11,,5.41,6.71,8.41,11.7,2.26,1.81,3.21,7.13,,
