station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
230150078050001,Bari,23.03055556,78.08333333,,,,,,,,,2.42,2.81,1.8,2.05,2.64,3.48,1.17,2.48,2.32,3.71,2.76,2.38,2.25,3.94,1.78,2.3,2.28,3.23,1.5,2.68,2.46,4.37,2.05,2.9,2.5,4.96,2.34,3.04,2.48,4.63,1.9,2.48,2.29,4.33,2.13,3.08,1.48,3.93,2.52,2.54,2.44,4.7,2.42,2.61,2.49,4.98,2.21,2.98,3.28,6.98,3.2,2.64,1.98,6.18,3.77,2.63,2.33,5.23,2.53,2.48,3.08,5.7,2.08,2.93,3.18,5.28,,2.81,11.24,5.82,1.28,3.09,2.71,5.08,2.68,3.13,2.98,5.86,2.95,3.72,3.15,,2.48,3.53,3.38,8.43,5.46,4.56,4.7,9.35,4.72,6.18,4.8,9.48,5.48,3.61,4.33,,2.8,4.23,4.42,,3.68,5.28,3.89,8.83,2.02,4.1,3.73,6.46,2.78,
225500077390401,Barkheda,22.91666667,77.65111111,,,,,,,,,8.34,10.73,2.08,5.1,7.85,10.4,2.5,6.4,5.9,9.67,4.01,6.01,7.47,9.67,2.3,6.18,9.38,10.25,3.39,8.3,10.4,11.55,1.3,9.47,9.04,10.96,2.25,6.7,10.2,11.63,1.72,6.9,8.14,10.71,0.83,8.32,10.63,12.65,3.73,7.7,8.45,10.33,1.85,6.9,8.9,11.1,4.1,9.25,10.35,11.9,3.05,7.3,9.7,11.6,3.24,6.4,6.7,12.11,4.85,6.45,8.9,10.9,2.8,4.83,9,11.7,,6.76,9.39,12,1.3,7,10.6,11.6,2.48,7.12,8.4,11.2,4.9,8.38,11.7,,1.6,6.09,10.87,10.84,1.15,6.5,10.48,12.07,2.1,10,,12.1,1.68,5.25,8.4,,1.43,6.3,10.1,,1.85,6.2,9.49,13,0.79,1.4,10.8,0,3.1,
233624078205501,Begumganj,23.60666667,78.34861111,,,,,,,,,6.55,7.4,4.75,5.95,6.4,11.45,5.1,5.75,5.25,8.3,7.04,5.83,6.59,9.06,3.92,2.47,5.27,8.07,,5.66,6.79,9.88,2.11,5.26,7.13,10.73,7.21,6.77,8.2,11.75,5.35,3.9,7.58,11.4,4.46,5.7,7.25,10.45,4.87,4.57,6.45,9.49,5.8,5.25,6.48,9.63,5.65,8.25,9.45,11.75,5.95,6.46,11.05,10.25,11.39,7.08,7.1,11.4,10.15,6.62,9.15,11.1,2.95,5.58,10.25,8.65,,4.88,7.77,11.75,3.75,8.67,6.15,11.75,6.45,5.75,6.92,11.01,7.05,7.21,10.47,,1.1,4.06,5.54,10.35,6.94,,5.82,11.7,2.35,4.9,11.66,10.05,1.83,4.06,4.35,,2.83,4.35,4.95,,1.45,4.05,4.76,9.6,5.32,4.95,8.05,6.4,2.25,
231909078052601,Dehgaon,23.31916667,78.09055556,,,,,,,,,4.92,5.66,2.84,3.97,5.02,6.62,2.92,4.22,4.12,5.76,3.84,4.68,5.42,6.31,3.42,4.02,5.02,,3.11,5.09,6.16,7.82,2.09,5.04,6.34,8.68,2.64,4.38,6.02,8.95,3.29,5.22,5.81,7.62,3.03,5.07,6.5,7.92,3.74,4.55,6.12,7.92,3.65,5.02,6.39,7.92,3.63,5.72,8.21,8.92,4.03,5.01,6.42,8.92,4.05,4.44,4.52,,4.02,6.23,6.52,9.5,2.92,5.56,6.92,8.92,,5.03,7.3,7.37,1.62,4.22,6.02,7.07,3.92,5.11,6.57,7.07,4.62,5.83,8.92,,2.4,4.52,6.58,6.92,6.04,5.95,7,6.97,3.27,5.42,6.73,6.92,2.38,4.14,5.72,,2.17,4.72,7,,3.82,5.02,6.33,,2.74,5.24,6.52,0,,
230725078410201,Deori,23.12361111,78.68388889,,,,,,,,,8.33,11.7,2.63,3.36,8.28,10.93,2.28,5.3,6.08,11.5,3.78,6.42,10.03,11.15,2.66,4.17,9.5,11.43,,6.28,9.23,11.52,4.43,6.12,10.61,12.33,2.83,3.23,7.81,10.01,5.68,5.43,7.96,10.03,2.01,6.71,10.01,12.18,2.55,3.2,8.62,9.91,1.73,6.13,7.9,11.31,2.35,5.98,8.57,10.48,3.83,4.85,10.03,8.33,6.49,5.03,7.23,9.21,4.18,,7.83,8.5,2.09,3.2,6.5,7.93,,5.92,7.13,8.09,0.8,5.55,6.78,7.73,2.77,5.48,5.1,7.68,2.63,5.98,7.13,,1.02,5.58,6.83,7.59,4.75,5.71,7.22,8.12,2.11,5.43,7.23,7.56,,3.58,6.51,,3.29,5.48,6.95,,2.18,4.93,8.51,7.96,1.04,4.53,5.23,7.65,1.23,
231315078284001,Dhangwan,23.22083333,78.47777778,,,,,,,,,7.38,9.95,,5.75,7.2,10,8.15,7.07,6.33,8.23,,5.29,7.7,9.15,,,7.13,9.25,,5.68,7.2,9.6,4.05,6.91,9.98,,,4.8,9.35,,2.25,7.6,6.28,10.15,3.48,6.3,7.96,9.8,,9.94,6.6,10.15,,6.95,,9.7,5.9,7.95,9.63,10.15,8.7,7.5,10.15,10.15,,7.4,10.15,,,10.15,10.15,10.15,7.3,9.87,,,,10.15,3.24,10.9,4.1,5.16,9.42,10.9,10.25,5.46,10.9,11,9.46,10.63,11,,11.07,9.29,10.8,11.3,10.67,10.77,10.9,10.96,10.9,10.9,10.38,10.8,,9.92,10.6,,11.4,9.15,10.6,,1.7,10.9,9.73,,10,8.21,10.51,0,,
232430078133401,Gairatganj,23.40833333,78.22611111,,,,,,,,,2.92,3.92,1.05,1.92,2.47,4.35,1.2,2.25,2.47,3.97,1.88,2.41,2.93,3.63,1.42,2.53,2.75,4.62,1.59,4.48,4.93,6,1.35,3.96,4.81,10.11,3.25,3.43,4.77,9,3.12,4.55,4.85,6,1.85,4.15,5.3,6.05,2.93,3.45,4.32,5.8,2.8,4.65,5.35,6.22,3.05,4.5,5.85,7.85,3.08,3.79,5.05,5.45,4.25,4.25,3.7,5.75,,5.44,4.75,7.5,2.4,4.3,4.7,6.55,,6.99,5.65,9.25,2.15,2.95,4.42,5.75,2.43,3.26,3.85,4.75,2.45,4.03,9.35,,3.93,4,4.93,9.56,6.13,1.11,5.26,10.01,2.29,3.85,7.91,8.95,7.75,5.4,3.9,,3.07,2.5,5.91,,1.75,3.25,3.97,8.43,1.66,5.07,8.9,6.64,2.25,
230134077404301,Goharganj,23.02611111,77.67861111,,,,,,,,,10.58,12.95,2.91,6.2,10.65,12.75,4.09,5.25,4.45,10.66,5.42,5.23,8.66,11.58,2.99,4.55,9.9,11.46,3.24,6.52,10.89,13.14,3.14,6.84,10.29,15.81,2.57,5.2,10.57,13.45,4.5,5.05,8.85,12.31,2.97,4.75,9.55,12.6,4.05,3.95,9.75,11.15,2.92,4.4,4.55,12.43,2.59,4.6,9.25,15.45,3.51,4.34,8.95,13.65,2.23,3.83,4,9.55,3.55,4.24,8.25,12.55,2.5,3.32,5.8,12.6,,3.67,6.56,12.45,2.07,3.94,6.6,11.55,2.82,3.84,0.79,12.2,3.19,4.05,7.77,,1.78,3.47,5.45,10.81,2.36,3.44,5.07,15.09,0.34,4.05,6.78,15.65,1.89,3.4,4.19,,2.4,3.35,4.55,,2.15,3.45,4.01,11.4,2.16,3.45,5.05,8.56,3.25,
230435077451201,Hathi palan,23.07638889,77.75333333,,,,,,,,,4.3,5.37,2.16,3.6,3.97,4.95,2.59,3.27,3.24,4.53,3.12,2.54,4.2,4.98,2.81,5.48,3.4,4.95,2.22,3.79,4.38,5.33,1.83,3.94,4,3.65,1.85,2.35,4.6,5.35,2.7,4.9,1.33,5.43,2.4,2.95,6,6.7,2.35,4.8,5.85,5.49,2.52,3.6,4.41,5.6,3.33,3.7,6.1,5.5,2.92,3.7,4.57,5.3,0.9,3.52,4.57,5.86,4.35,3.04,6,7.65,2.6,4.47,4.1,4.6,,4.15,5.32,5.02,0.4,4.12,4.2,6.7,2.4,3.52,4.4,6.85,2.9,3.83,5.9,,1.65,3.5,6.78,,1.93,3.66,7.95,7.14,2.35,4.3,6.24,3.8,2.42,3.06,4.26,,1.94,4.1,5.25,,2.05,3.7,4.82,6.8,2.05,2.72,6.6,6.37,1.4,
231814077564401,Khadera,23.30388889,77.94555556,,,,,,,,,5.5,11.5,0.81,2.35,7.37,11.25,1.38,0.5,0.67,6.89,0.92,1.46,5.01,7.61,0.58,1.54,7.3,8.9,1.35,3.6,7.93,,0.32,2.17,8.44,,0.85,2.5,5.87,7.9,1.8,1.9,4.91,7.41,0.04,2.04,6.29,11.5,0.36,0.82,8.3,9.55,0.23,2.28,6.34,11.5,0.18,2,8.05,11.5,0.82,3.84,8.1,11.5,1.07,1.8,,,2.6,2.9,7.7,11.5,1.2,2.21,7,7.84,,3.47,7.42,8.5,0.3,2.22,6.9,6.9,1.76,3.41,4.5,6.6,1.15,4.85,8.2,,0.19,1.4,8.37,11.05,3.51,5.15,8.57,5.34,0.04,4.25,8.51,7.3,0.1,1.35,5.8,,0.1,2.3,11.5,,5.6,3.7,3.61,,0.04,3.12,,0,1.3,
