station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
230121076425701,Ashta,23.0225,76.71583333,,,,,,,,,5.12,9.45,1.42,3.15,4.74,8.2,2.13,3.4,7.1,7.4,3.94,2.1,3.9,9.12,1.9,1.49,3.55,8.53,3.73,6.3,9.1,11.35,2.73,6.67,,11.77,4.9,5.96,11.8,13.25,6.57,6,7.12,14.41,0.47,2.39,7.4,9.1,2.15,2.56,7.02,11.93,0.33,2.42,4.88,9.72,0.13,4.05,7.2,13.5,2.77,3.17,7.7,14.41,4.94,6.25,1,,4.05,10.86,12.6,7,0.28,10.4,6,8.5,,3.32,13.86,6.35,0.47,2.9,5.62,8.45,2.65,4.88,0.79,6,0.78,3.32,6.2,,0.36,1.25,5.64,3.13,0.17,5.32,3.57,4.58,2.57,6.08,6.8,6.64,0.1,0.28,3.6,,0.37,1.65,4.65,,1.7,0.8,3.9,7.2,0.74,1.44,3.85,5.29,0.8,
231903077025001,Chandbar,23.3175,77.04722222,,,,,,,,,10.93,15.25,6.25,9,10.73,14.15,11.7,9,8.85,10.45,7.97,7.92,8.8,16.61,14.53,10.28,13.7,21.62,18.12,18.52,21.59,22.7,16.62,16.75,19.76,22.25,6.43,14.55,14.07,11.37,6.15,6.01,6.95,8.44,5.64,5.57,14.74,18.15,9.4,6.15,16.2,22.77,5.02,6.85,7.05,8.97,7.78,8.3,9.03,20.95,21.82,23.35,21.15,22.05,21.95,23.23,,22.59,24.65,24.25,21.95,24.15,15.15,21.37,14.75,15.55,,11.95,12.07,11.95,5.64,6.99,7.22,9.6,8,8.8,6.9,9.85,6.83,7.05,8.75,,6.75,7.15,9.03,9.85,9.91,9.55,9.75,9.55,13.83,9.27,9.25,12.49,6.43,6.09,7.05,,5.95,7.95,9.57,,6.35,8.65,9.55,20.5,5.6,9.25,11.16,16.65,15.96,
230155077010801,Ichhawar,23.03194444,77.01888889,,,,,,,,,4.24,6.27,1.3,3.5,5.1,6.1,2.13,3.4,3.9,7.72,2.4,3.3,5.95,6.06,2,3.47,5.36,6.65,3.12,5.62,8.1,6.2,2.56,3.77,6.07,6.4,2.7,3.32,5.9,6.91,2.95,4,5.5,7.26,1.79,3.75,6.15,7.33,3.4,4.54,6,6.35,1.65,3.9,5.96,6.55,3.06,5.6,6.29,6.5,3.56,6.06,,6.5,5.4,5.1,4.3,6.5,4.8,3.62,5.55,8,1.9,1.77,5.4,6.46,,4.1,6.71,6.45,0.65,4.11,5.02,6.2,1.5,5.12,5.6,6.3,2.72,5.5,6.37,,1.7,3.96,6.23,6.5,2.67,4.62,5.77,6.1,2.08,6.08,6.1,6.7,2.51,3.3,4.82,,2.27,2.2,5.45,,1.52,2.4,5.2,6.5,1.86,4.32,5.49,5.09,3.8,
230912076574501,Jattakheda,23.15333333,76.9625,,,,,,,,,8.7,10.9,0.72,3.28,8.36,8.7,0.25,2.7,4.4,9.2,1.9,2.9,5.03,10.19,1.92,2.02,8.43,10.42,2.73,5.6,6.9,10.47,0.95,8.56,9.53,10.5,3.1,4.65,6.57,10.3,1.3,8.8,7.76,9.6,1.22,3.75,9.4,10.6,2.55,,8.13,7.6,0.54,4.2,7.63,7.58,2.02,8.5,6.6,9.8,2.32,4.92,6.3,8.2,4.2,5.95,0.8,6.6,3.7,4.51,9.15,9.7,0.5,4.78,5.7,4.3,,4.52,8.22,8.95,0.53,6.7,6.42,9.95,2.44,4.22,5.9,8.45,2.78,4.34,6.4,,0.71,3.78,6.05,8.46,2.73,5.12,6.38,9.57,1,6.74,7.06,12.86,1.16,2.54,4.5,,1.07,3.5,5.7,,0.68,3,5.32,8.3,1.19,3.1,5.31,10.5,2.5,
225350077072001,Nadan,22.89722222,77.12222222,,,,,,,,,3.89,8.3,3,3.3,3.63,6.9,3.02,3.6,3.65,6.3,3.6,5.1,3.8,7.32,2.98,3.42,3.68,8.47,3.45,4.44,7.34,8.7,3.1,3.62,3.87,6.64,3.2,3.37,3.94,7.95,3.3,3.2,3.74,6.58,2.89,3.63,3.9,8.75,3.47,3.61,3.82,9.34,2.8,3.5,3.64,7,3.28,3.72,3.96,9,3.5,3.88,9.2,10,3.67,3.8,3.5,,3,2.94,3.2,6.2,3,2.16,3.5,9.2,,3.26,4.02,7,2.85,3.35,3.6,6.47,3.03,3.65,3.84,7.5,3.15,3.4,3.7,,2.86,3.31,3.57,7.3,0.81,1.6,3.92,7.6,3.06,3.04,4.35,7.35,2.2,2.97,3.4,,3.05,3.06,3.6,,2.58,2.5,3.75,7.5,2.73,3.05,3.42,5.55,,
224320077300501,Neelkachar,22.72222222,77.50138889,,,,,,,,,2.18,3.15,0.73,1.57,2.7,3.75,0.43,1.95,1.69,3.35,1.3,4.45,1.35,3.37,1.61,4,1.35,3.91,1.06,2.4,2.35,4.5,1.04,2.27,2.09,5.51,2.9,2.3,1.45,4.45,1.3,1.35,1.07,5.1,0.31,3.25,1.68,6.25,1.64,2.02,4.65,5.85,0.85,2.58,1.65,6.75,2.07,2.6,2.3,8.45,1.47,3.58,6.55,9.55,2.65,3.95,2.35,9.16,2.7,1.95,5.65,10.95,0.15,0.77,3.9,9.65,,4.01,2.29,7.45,1.13,4.59,4.77,7.6,0.52,1.97,1.05,8.1,2.72,3.76,2.45,,1.27,1.93,1.19,10.93,1.12,1.7,4.72,10.38,1.35,8.08,10.95,11.41,0.55,,2.12,,2.75,2.2,2.55,,2.1,2.95,2.65,12,3.64,1.7,2.51,8.1,1.05,
224125077185201,Rala,22.69027778,77.31444444,,,,,,,,,8.46,9.28,8.24,8.29,8.04,9.36,6.87,7.44,7.94,8.06,8.06,5.14,7.99,12.56,8.54,4.83,6.62,8.32,8.01,8.79,9.54,11.42,8.87,9.23,10.92,13.94,11.14,12.61,11.2,13.14,11.51,9.44,8.77,11.64,6.88,9.31,8.29,12.44,8.24,7.94,10.04,12.39,7.04,6.74,7.19,9.39,7.3,8.14,7.38,11.14,6.57,8.06,7.24,13.64,11.99,9.05,6.84,,8.34,7.88,8.74,9.54,5.14,5.01,7.9,12.14,,4.23,6.7,8.93,3.12,6.04,6.59,10.16,3.04,7.62,1.81,12.3,4.94,8.58,6.6,,2.34,5.24,5.86,9.04,4.44,5.92,6.68,9.28,4.24,7.61,8.41,11.64,0.39,5.06,5.09,,3.64,6.44,5.86,,3.59,4.94,5.34,10.7,3.16,6.34,6.01,4.88,4.35,
230942077032301,Sehore1,23.16166667,77.05638889,,,,,,,,,11.35,15.15,5.25,8.33,9,13.05,4.9,8.65,8.3,11,7.2,8.54,9.97,9.77,5.3,8.17,9.61,10.77,7.96,9.25,10.35,11.2,5.37,7.87,10.13,9.92,6.65,8.9,10.07,10.35,6.25,13.65,9.82,10.16,4.18,9.2,10,10.35,7.22,2.2,9.35,10.55,5.65,9.4,10.05,10.25,6.95,8.75,10.25,10.55,7.27,9.95,10.45,13.7,8.23,9.55,9.75,,8.95,9.55,10.3,10.45,6.15,9.38,10.1,11.75,,10.78,11.53,10.25,2.24,8.95,9.77,10.15,7.25,9.87,9.95,10.25,7.5,9.85,10.15,,4.5,9.21,10.42,15.95,7.52,9.45,10.31,14.51,6.81,10.37,10.8,14.25,6,7.83,9.75,,4.1,8.85,10.05,,6.55,8.15,10.45,13,5.1,7.75,10.49,7.07,7.76,
230040076433001,Ashta(deep),23.01111111,76.725,,,,,,,,,,,,,,,,,,,1.84,,13.79,21.01,2.05,2.97,5.84,,,,16.93,22.98,9.17,15.01,19.65,23.58,9.63,15.24,20.42,,14.45,14.85,16.25,22.48,17.15,16.85,18.36,24.17,22.33,23.45,22.75,24.7,18.35,17.26,20.47,25.5,16.65,15.39,20.95,26.85,10.08,,,27.22,,,17.15,,,,20.45,,17.05,18.97,,17.05,,16.87,21.45,30.35,17.65,26.75,28.11,27.45,17.52,15.01,17.05,25.75,13.35,13.28,22.29,,15.25,14.11,19.45,29.45,16.82,16.37,18.41,25.79,14.45,14.38,16.58,31.95,15.85,15.85,16.15,,15.85,14.85,17.15,,13.35,13.65,14.45,0.55,13.75,,20.35,17.22,,
230024076302101,Jawar(deep),23.00666667,76.50583333,,,,,,,,,,,,,,,,,,,23.9,,,15.2,11.12,6.48,11.97,17.12,14.05,16.22,17.8,11.76,13.09,10.6,18.02,17.77,16.42,11.02,16.73,,13.82,8.12,,16.87,9.65,9.06,12.64,16.31,13.69,11.82,16.16,,2.57,8.36,15.07,15.46,7.97,9.19,16.12,20.97,14.92,15.72,17.82,22.82,,,12.42,,,,16.12,24.12,6.32,9.52,,17.52,,8.64,18.92,23.32,1.77,8.12,14.42,20.04,11.82,14.36,15.22,20.39,4.94,12.53,22.75,,6.17,14.15,22.59,23.42,20.56,18.44,23.68,22.65,11.3,22.8,22.56,23.82,9.62,3.62,10.82,,3.52,7.82,12.02,,8.82,6.92,10.72,16.9,2.22,4.12,11.72,15.68,,
