station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
220043079364501,Amagarh,22.01194444,79.6125,,,,,,,,,10.27,12.65,8.03,8.81,11.15,13.35,2.76,8.2,4.17,9.75,3.1,4.95,7.75,11.98,4.5,4.38,9.34,,5.28,6.05,10.81,,,8.68,11.5,,1.5,6.82,11.16,,2.9,5.7,10.3,13.8,7.84,10.98,12,13.8,2.45,5.21,9.7,12.14,1.1,6.74,10.75,13.8,7.18,6.92,11.05,13.8,3.35,8.55,12.6,13.8,3,6.8,4.34,,4.82,2.1,8.72,13.8,3.6,3.19,6.82,12.62,,7.9,11.2,13.8,0.13,1.1,8.1,12.72,2.3,6.23,9.7,13.8,5.65,7.14,11.63,,2.81,7.78,12.22,12.74,5.2,6.22,3.95,8.3,0.2,6.76,8.9,13.8,7.84,5.47,6.53,,1.41,5.82,10.06,,2.84,1.37,7.4,,2.57,5.4,5.54,0,,
215650079424301,Ari,21.94722222,79.71194444,,,,,,,,,4.39,6.82,3.59,3.34,5.06,7.05,1.88,3.8,2.1,6.25,2.1,2.91,3.3,3.62,1.78,2.13,3.4,4.7,1.04,3.25,4.3,6.85,1.24,3.05,2.45,6.85,0.65,2.48,4,8.39,2.02,2.95,3.8,6.8,3.03,3.46,4.1,7.39,0.95,1.29,4,5.45,0.95,2.26,3.73,5.92,2.55,2.92,3.8,5.98,2.19,3.15,4.75,6.28,3.35,2.75,3.34,6,2.92,2.3,4.53,6.43,2.72,2.43,3.26,5.97,,4.25,3.93,6.55,1.58,2.8,3.9,6.5,1.45,2.38,5.3,6.56,2.68,2.57,5.78,,0.49,4.27,5.55,6.75,2.73,4.43,5.07,7.77,1.43,4.3,6.45,8.3,2.91,2.6,4.07,,1.37,3.19,5.57,,1.01,3.36,4.01,6.06,2.58,2.77,5.64,6.31,,
221822079595501,Banjal,22.30611111,79.99861111,,,,,,,,,10.15,10.58,4.35,8.58,9.7,10.32,5.87,7.95,6.4,9.15,3.62,5.6,9,8.08,2.51,6.28,3.88,9.3,,8.61,9.53,10.28,2.98,8.5,9.3,10.2,3.33,8.48,9,10.39,3.4,8.35,9.2,10.85,2.96,8.35,9.5,10.6,3.1,7.37,4.7,9.6,2.6,8.32,9.6,9.4,5.3,7.6,9.15,9.9,3.72,8.75,10.1,20.6,6.45,8,8.08,10.1,2.75,7.85,9.71,8.86,1.84,7.6,9.22,,,9,9.05,16.1,,8,8.6,10.92,5.6,6.33,9.2,9.31,6.98,8.3,8.3,,3.68,7.83,8.42,9.66,4.98,7.8,8.31,9.5,3.52,8.7,8.65,9.7,3.52,3.32,6.87,,3.12,6.33,7.87,,4.02,8.13,4.3,10.77,3.98,6.94,8.74,3.16,,
224905079453001,Banjari,22.81805556,79.75833333,,,,,,,,,4.92,7.18,0.56,2,4.2,9.03,1.03,1.8,1.4,5.2,0.69,2.6,5.15,9.63,2.08,1.6,9.32,10.05,0.82,3.8,5.84,5.35,3.64,1.9,2.68,10.02,0.5,2.6,4.57,9.45,0.4,2.1,3.2,10.5,1.4,2.61,4.6,10,0.7,2.71,4.65,7.2,0.5,2.58,4.43,10.7,0.6,2.96,4.86,9.6,0.8,3.1,5.65,10.35,1.02,2.3,2.96,7.92,0.92,2.7,4.72,9.16,0.7,2.58,9.32,8.77,,3.8,5.5,8.5,2.16,2.1,4.4,9.85,1.4,1.95,4.6,6.71,1.78,1.73,4.49,,0.44,3.16,3.92,8.3,0.6,2.23,4.75,7.52,0.4,4,9.3,6.75,6.66,6.42,6.73,,0.71,1.44,4.45,,2.46,3.01,3.85,7.7,0.61,2.22,3.89,6.45,,
220158079445001,Borghat,22.03277778,79.74722222,,,,,,,,,3.25,4.65,1.61,2.65,3.28,4.7,1.7,2.6,1.5,3.35,1.51,2.25,2.85,4.41,1.57,1.87,2.92,3.95,1.35,2.82,3.2,4.78,3.44,2.4,3.3,5.65,0.9,2.63,3,7.53,1.3,2.15,2.95,4.6,1.48,3,5.08,6.96,1.1,1.92,3.15,4.1,0.7,3.49,3.46,6,1.8,1.6,3.15,5.3,1.2,2.7,4.05,7.15,1.46,2.7,2.56,4.73,0.63,2.4,4.71,5.91,0.52,2.54,2.51,4.47,,2.8,3.05,4.61,,2.3,3.3,3.52,1.42,2.61,2.75,3.64,,2.58,3.58,,1.97,4.28,5.72,5.08,1.17,2,3.25,6.35,1.2,5.7,5.74,3.95,1.26,3.02,2.27,,1.42,1.72,2.26,,2.54,2.32,1.7,4.18,1.05,2.46,2.64,2.61,,
222338079324503,Chhapara,22.39388889,79.54583333,,,,,,,,,7.11,7.62,1.67,5.4,6.8,8.5,3,5.2,0.95,6.8,2.09,2.35,5.25,3.7,4.55,2.78,7.19,8.3,2.25,7.05,7.85,6.68,2.13,5.77,7.65,9.15,1.75,5.51,7.15,8.89,2.45,2.7,3.95,8.53,2.03,3.27,7.6,8.45,2.1,5.77,7.75,8.25,0.8,1.89,7.15,8.35,3.55,6.15,7.45,8.85,2.65,6.15,8.25,8.85,2.75,3.97,4.25,8.55,1.86,2.75,5.61,8.35,1.6,5.05,6.8,8.67,,1.65,7.6,6.35,1.18,2.6,6.5,7.95,0.35,4.55,7.3,7.36,4.63,5.15,7.64,,0.15,4.43,7.26,7.85,2.47,1.12,7.77,7.25,1.85,6.35,7.05,8.33,5.28,5.11,5.25,,1.29,3.57,6.77,,1.71,3.6,8.13,9,1.13,3,8.54,0,,
220849079400501,Chunatola,22.14694444,79.66805556,,,,,,,,,3.68,6.09,2.38,3.67,3.85,7.25,2.9,3.41,1.53,5.3,2.1,2.4,4.7,6.6,1.77,2.32,3.84,7.25,1.83,2.18,5.69,7.43,3.24,4.65,5.85,7.67,2.4,6.73,5.57,7.34,1.39,2.15,5.4,7.8,2.42,1.79,5.55,9.17,1.6,2.39,5.1,7.17,1.3,3.53,6.07,7.85,2.55,5.15,5.25,7.85,2.39,4.7,6.35,8.05,2.11,1.91,4.43,7.45,5.23,1.6,4.13,7,4.65,1.7,4.56,7.39,,5.35,6.7,10.1,0.93,1.9,5.3,7.83,1.55,5.04,7.1,10.1,2.75,4.74,7.1,,1.51,1.67,2.97,8.4,7.07,5.31,8.55,10.1,10.1,10.1,10.1,,7.6,2.67,5.02,,0.72,1.47,2.49,,3.87,3.36,7.35,,1.43,4.23,,0,,
215230079454201,Dharamkuan,21.875,79.76166667,,,,,,,,,8.58,10.75,1.85,8.6,9.6,10.85,9.6,8.1,7.25,9.65,8.8,7.75,8.35,10.35,8.6,7.61,8.55,10.4,8.46,8.74,9.67,11.25,9.5,8.1,8.9,11,5.16,10.96,10.7,11.39,8.93,3.7,8.4,11,9.78,11.73,10.85,11,10.15,5.41,9.35,10.6,8.7,7.08,9.6,10.7,9.5,10.06,9.9,10.7,9.75,9.2,9.65,10.7,,10.9,10.14,10.5,10.72,10.05,10.34,11.71,7.86,9.9,11.09,8.71,,8.4,10.9,9.11,8.3,6.3,7.7,9.62,6.1,7.2,8.6,9.41,9.22,10.15,9.2,,11.6,,7.42,11.08,9.4,3.14,5.76,6.75,9.8,10.5,9.9,11.22,7.16,6.76,7.1,,6.32,6.76,8.12,,7.42,4.25,7.5,9.09,6.25,6.57,8.88,9.8,,
224500079432201,Dhuma,22.75,79.72277778,,,,,,,,,7.35,10.8,3.53,4.57,7.95,11.4,2.25,4.8,3.64,9.8,2.43,4.95,8.7,11.42,2.28,3.53,7.87,10.9,2.2,6.32,9.42,11.18,3.78,3.77,7.3,9.85,1.6,6.2,9.1,10.7,0.1,3.8,7.3,11,0.7,4.46,8.8,11.5,0.9,2.4,9.8,10.33,0.6,4.64,7.8,10.85,2.1,6.34,8.75,10.95,7.05,6.35,10.2,11.35,3.48,5.7,8.18,11.36,1.15,5.2,9.35,10.86,1.77,4.98,8.9,10.79,,4.35,8.43,10.38,0.93,3.88,7.9,9.35,1.2,3.86,4.79,9.35,4.5,5.52,9.4,,0.79,4.6,8.28,10.25,2.75,4.28,8.2,10,1.1,3.78,8.02,10.38,6.02,4.62,5.47,,0.92,1.62,10.15,,4.62,4.86,8.4,11.52,0.55,3.99,7.86,9.3,,
223915079570901,Ghansor1,22.65416667,79.9525,,,,,,,,,4.86,6.78,1.3,3.94,5.4,6.85,1.8,3.7,2.6,6.05,1.45,3.3,4.85,7.01,1.95,2.57,4.64,6.95,2.38,6.9,6.96,9.5,3.48,3.7,5.92,11.06,1.43,3.83,5.4,7.88,2.6,4.9,5.7,7.1,0.47,4.6,5.9,7.9,1.6,3.52,5.65,6.2,1.1,4.91,5.06,7.15,3.7,5.73,5.2,7.58,1.75,4.3,6.45,8.85,4.25,4.4,4.85,7.5,0.84,0.9,3.23,6.38,0.52,0.8,1.74,6.82,,4.1,4.95,6.6,0.7,4.5,7,6.25,1.2,4,4.7,6.55,3.3,3.83,5.71,,1.1,3.76,4.62,7.58,2.08,2.82,5.02,6.87,1.3,4.8,5.6,7.82,5.33,5.56,5.91,,0.96,2.17,3.32,,2.92,3.63,5,9,1.18,4.15,6.37,7.33,,
224022079472301,Gharghatia,22.67277778,79.78972222,,,,,,,,,0.78,0.9,,0.52,0.74,1.1,0.3,6.62,0.58,0.9,0.58,0.4,0.65,1.59,2.91,0.67,0.79,1.7,0.66,1.14,1.2,0.84,3.68,0.7,0.45,2.06,0.7,0.75,1.2,1.69,0.4,0.6,1.05,2.3,0.6,,1.45,2.02,0.35,1.05,1.55,0.96,0.2,1.64,1.35,2.15,0.2,0.85,2.05,2.6,0.6,1.3,2.9,,0.6,0.8,2.52,,0.62,0.9,2.17,2.6,0.44,0.9,1.81,2.39,,10.5,1.95,2.85,0.45,0.6,1.9,3.6,0.3,2.84,3.2,1.25,0.93,3.07,10.7,,0.21,5.16,6.95,5.5,0.17,0.97,2.12,5.5,0.25,6.6,7,6.92,2.46,4.66,4.93,,2.97,4.22,7.02,,3.63,4.42,3.88,,0.25,1.1,6.27,5.26,,
222628079335501,Ghunai,22.44111111,79.56527778,,,,,,,,,3.85,5.03,1.11,2.44,1.01,5.61,1.85,2.25,1.48,4.01,1.64,2.11,2.91,4.85,2.09,1.88,3.1,5.46,1.49,1.81,5.36,5.9,2.41,2.24,3.48,5.76,1.46,2.29,3.31,5.9,1.11,2.05,3.05,5.98,1.36,2.92,5.4,6.16,0.8,1.51,4.89,5.86,0.65,2.25,3.54,,2.06,,6.06,5.76,1.52,4.78,5.2,5.48,2.2,4.37,3.83,6.55,0.07,3.8,6.95,6.84,0.01,3.37,6.26,6.05,,3.95,1.58,3.55,1.45,3.1,5.8,2.85,0.65,0.55,5.7,3.06,0.65,0.49,3.07,3.34,0.44,2.85,3.06,3.73,0.43,1.4,0.97,5.31,1.15,5.2,5.35,7.15,0.61,1.87,3.37,,0.77,2.91,4.12,,2.01,3.43,4.6,5.51,1.86,2.33,,5.4,,
215738079484201,Kalyanpur,21.96055556,79.81166667,,,,,,,,,6.73,6.75,1.36,2.4,7,6.6,1.52,2.3,1.67,3.95,1.5,2.05,2.45,4.67,,1.52,2.35,4.4,1.53,2.6,8.02,,,2.3,3.8,9.05,1.4,2.63,4,5.78,,2.4,3.9,5.42,1.72,6.77,6.6,7.45,1.3,0.3,3.15,3.98,1.1,2.03,3.46,8.2,1.6,3,5.87,7.55,1.25,2.1,3.35,5.3,1.41,3.12,2.27,,,1.25,3.37,5.61,,1.74,5.98,5.98,,2.1,4.5,8.05,1.28,2.2,2.3,4.67,2.42,4.32,3.7,5,2.44,3.03,7.37,,1.95,2.31,3.47,8.45,1.65,1.48,5.96,6.43,4.41,2.9,3.4,5.98,1.53,2.06,2.42,,1.42,1.66,2.17,,2.06,2.52,1.81,3.7,1.12,1.85,1.67,4.45,,
221243079442301,Kaniwara,22.21194444,79.73972222,,,,,,,,,3.69,4.59,1.87,3,4.2,5.55,2.6,3.55,1.43,3.9,1.6,2.95,3.75,10.84,2.21,3.82,3.51,5.05,1.67,2.67,4.86,6.23,0.78,2.73,3.7,8.35,1.48,2.51,7.97,9.63,1.75,4.95,6.9,10.25,2.31,4.9,6.8,9.4,1.4,4.79,5.55,8.65,1.1,4.48,5.87,8.75,3.55,4.97,7.95,6.13,2.37,5.7,8.73,6.5,1.69,3.07,2.55,,1.35,2.65,4.73,4.81,0.99,2.67,3.3,4.78,,2.61,3.42,4.67,1.05,1.68,2.7,4.57,1.05,1.48,12.52,4.17,1.32,2.07,3.09,,1.22,2.53,3.33,5.38,0.9,2.36,3.86,4.65,0.93,3.11,3.45,4.38,0.6,1.88,2.12,,0.29,1.82,2.81,,0.81,2.52,3.23,6.57,1.03,1.15,3.88,2.77,,
220102079503501,Kauria,22.01722222,79.84305556,,,,,,,,,3.23,4.45,0.8,3.36,3.95,5.05,1.3,3.25,2.35,,1.5,2.15,2.95,4.36,,2.63,0.12,4.39,0.72,2.58,4.06,,0.57,3.25,5.05,5.45,0.65,2.65,4.95,4.64,0.55,2.4,4.1,5.18,0.87,3.52,4.6,9.07,0.6,2.2,3.3,3.89,0.45,2.77,3.65,4.85,1.05,3.43,3.4,4.25,1.77,2.65,4.25,5.75,0.65,2.3,2.8,4.55,0.6,2.35,4.29,4.28,0.18,2.12,2.87,4.82,,2.95,3.1,5.1,0.65,3,5.6,5.66,0.85,4.7,3.8,4.76,3.88,3.97,4.8,,3.6,3.42,4.27,6.1,0.61,4.29,3.75,4.75,2.4,6.27,4.95,8.28,0.61,2.37,2.72,,2.37,3.17,3.69,,2.27,2.41,2.75,7.55,2.07,1.9,4.07,4.59,,
223555079472801,Khamaria,22.59861111,79.79111111,,,,,,,,,3.65,5.04,2.25,3.17,5,5.05,2.8,3,2.45,4.33,2.12,3,3.55,4.98,2.65,2.24,3.51,4.77,2.23,3.55,4.71,5.33,2.52,3.35,4.25,,2.45,3.3,3.83,,0.85,2.7,3.7,5.68,0.91,2.45,4.15,6.15,1.05,6.15,3.75,5.05,0.8,3.03,3.69,5.35,0.25,3.59,6.3,5.67,2.5,3.55,5.47,6.15,3.24,4.91,3.79,5.79,1.27,3.07,4.92,6.02,0.99,3.1,4.36,6.07,,3.75,4.25,6.65,0.47,3.1,4.7,5.72,2.05,3.17,4.8,6.98,6.17,5.55,6.58,,1.79,2.41,6.02,6.45,3.08,2.98,6,7.37,3.4,6,5.45,6.85,4.12,4.37,5.17,,2.49,3.17,5.52,,5.2,4.57,5.37,,1.77,4.64,4.82,5.6,,
