station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
234000081324501,Amjhor,23.66666667,81.54583333,,,,,,,,,6.45,7.55,3.15,3.25,6.4,7.53,3,2.94,3.39,5.9,1.26,3.16,4.87,6.56,4.49,3.26,1.56,7.12,3.6,3.37,4.95,7.31,1.2,3.03,4.95,7.35,6.53,4.05,5.85,7.48,5.05,2.15,3.85,7.25,3.2,3.45,5.2,7.5,1.65,1.71,6.2,7.2,2.12,3.65,4.8,7.27,4.85,5.05,5.88,7.45,4.65,5,5.8,7.4,7.2,5.6,,7.5,6.15,5.7,6.3,8.2,3.3,2.35,3.95,6.65,,3.45,4.85,7.15,2.25,2.92,4.19,6.87,4.13,3.34,5.1,7.25,5.4,6.2,6.82,,1.05,2.22,4.05,6.97,5.81,5.97,7.23,7.85,5.97,5.47,5.77,7.7,5.7,2.95,4.3,,,5.55,6.88,,2.93,3.95,4.95,8.2,3.67,3.4,5.02,0,4.49,
231330081312803,Burhar,23.225,81.52444444,,,,,,,,,9.81,11.65,10.6,7.8,9.73,12,11,7.69,7.73,10.14,10.7,9.41,10.47,7.76,11.2,8.31,8.97,11.9,12.1,9.67,10.76,12.65,10.85,7.47,9.2,12.3,13.52,12.66,13,,13.14,10.5,9.2,12.3,12.3,12.2,12.28,13.53,10.93,8.5,11.1,12.8,10.65,8.92,10.38,12.65,13.95,12.4,12.1,13.9,12.65,11.1,11.3,12.8,,,14.5,,,14.5,15,14.5,13.6,13.2,12.7,6.8,,12.4,12.45,12.73,11.73,10.89,11.08,12.3,12.52,12.92,51.3,13.4,13.4,13.2,14.5,,12.6,14.22,12.9,13.25,12.4,12.1,14.5,14.5,12.68,14.5,14.5,11.92,12.6,11.4,12.59,,10.1,11.7,12.59,,12.57,14.5,13.5,12.85,12.43,11.59,,0,10.23,
232927081243401,Gohparu,23.49083333,81.40944444,,,,,,,,,7.71,11.7,3.32,5.9,7.57,12,2.8,5.6,4.12,9.02,5.05,6.47,8.32,10.96,5.79,4.69,7.26,9.74,5.6,6.27,5.83,9.93,2.05,4.92,7.8,9.62,6.21,6.62,8.73,12.11,4.41,5.21,7.51,10.31,5.23,5.83,8.16,11.01,2.73,7.4,8.79,10.41,3.67,6.91,8.41,7.91,3.36,6.49,7.91,10.31,5.91,5.91,8.7,11.95,6.56,7.51,6.81,10.36,6.01,6.31,3.6,7.7,0.8,5.36,7.51,11.31,,5.86,8.31,9.36,1.12,5.19,7.21,8.67,4.96,5.51,7.51,9.16,5.51,,8.41,,1.16,4.29,7.66,10.63,4.36,6.93,8.59,9.24,1.44,7.53,7.98,9.39,1.06,3.41,4.06,,1.16,4.31,6.92,,1.39,6.31,4.81,8.22,1.73,3.19,3.39,4.21,,
234830081231701,Karki,23.80833333,81.38805556,,,,,,,,,7.9,9.6,,7.03,8.1,8.66,7.2,5.72,6.56,,,,,8.63,3.8,5.65,,8.09,6.54,,7.61,8.72,4.44,6.68,7.41,8.3,7.4,7.22,8.03,8.9,6.05,5.7,6.8,8.22,5.6,6.24,7.45,8.52,4.58,6.5,7.05,7.97,4.95,6.8,7.35,8.12,7.85,7.85,8.2,10.05,6.9,6.9,8.1,9.35,7.8,8,7.8,6.6,7.5,8.2,8.49,9.72,5.9,6.4,7.35,8.6,,6.8,7.8,8.8,5.55,7.1,7.7,9.08,7.35,8.25,8.3,9.35,8.4,8.85,9.08,,5.25,6.42,7.75,8.68,7.2,8.07,9.06,9.5,7.54,7.82,8.11,7.99,7.25,7.1,7.77,,5.1,8,8.81,,7.62,8.1,8.6,11.34,6.58,6.91,8.02,9.58,5.42,
235655081273001,Sanousi,23.94861111,81.45833333,,,,,,,,,7,7.5,,7.4,7.3,7.53,5.5,5.5,6.33,,,,,9.88,,5.6,,7.37,6.27,,,7.27,1.52,4.13,6.38,7.2,,,6.51,7.6,,3,4.6,6.9,5.4,,6.32,6.85,1.4,1.2,7.03,7.2,1.86,4.6,5.6,6.77,,10.35,11.07,11.3,9.65,10.6,11.35,10.9,10.8,,,9.7,10,10.66,10.82,11.43,,9.2,10.16,11.8,,8.6,10.98,10.85,8.18,8.79,10.04,10.64,10.22,10.02,5.8,10.85,9.95,10.4,11,,6.82,7.27,10.3,11.45,10.37,10.15,11.08,11.85,8.9,9.75,9.92,11.26,9,3.8,10.32,,3.8,5.7,11,,9.78,6.2,10.7,11.98,8.69,9.73,9.94,12.1,8.92,
231755081213502,Shahdol,23.29861111,81.35972222,,,,,,,,,3.61,4.3,0.8,1.65,3.42,5.8,1.7,2.43,1.8,7.86,7.11,3.16,2.78,7.77,3.86,2.96,3.24,8.05,2.8,4.13,4.85,8.54,0.9,4.06,3,7.7,3.4,3.8,6.9,9.05,3.25,5.1,4.75,4.35,2.93,2.4,4.75,8.47,2.06,4.97,6.63,8.8,0.95,4.9,5.8,5.72,7.9,7.75,7.25,10,5.75,8.1,8.1,11.4,9.1,,3.45,12.95,3.9,4.2,5.3,7.18,1.9,4.05,3.3,13.15,,2.9,4,8.25,1.2,2.2,2.82,7.04,3.96,4.02,4,5.85,4.75,6.32,7.07,,2.25,4.52,5.15,6.82,1.03,3.92,2.95,8.72,3.16,6.62,7.25,11.6,4.1,4.6,4.6,,2.5,5.2,,,,5.8,4.9,7.41,,3.08,4.72,8.42,5.06,
234130081395501,Sidi,23.69166667,81.66527778,,,,,,,,,8.28,9.62,5.97,6.44,8.3,11.85,4,2.88,6.49,10.03,3.02,3.04,7.9,12.22,7.24,6.6,7.71,9.45,6.43,6.12,7.42,9.32,4.09,7.07,7.12,8.69,8.32,6.96,8.26,9.67,6.92,4.97,5.72,7.02,5.52,5.7,7.29,8.32,4.75,4.84,7.57,7.92,4.94,6.22,6.82,8.34,7.22,7.02,7.67,11.62,,,,9.7,8.72,7.32,8.32,9.72,11.12,11.27,9.96,12.12,,6.82,8.57,9.57,,6.32,7.72,6.62,1.37,5.47,6.65,8.66,7.61,7.11,8.72,11.42,10.97,9.92,10.96,,7.72,8.64,8.42,12.14,10.32,9.14,10.71,11.24,10.45,8.94,9.24,12.7,10.32,11.72,12.42,,11.82,12.22,12.72,,12.47,6.72,12.42,12.2,10.04,7.4,9.69,10.32,8.96,
235542081220001,Tihki,23.92833333,81.36666667,,,,,,,,,4.8,7.03,,4.5,5,6.73,3.75,3.6,3.71,,,,,6.76,2.93,2.54,,6.01,2.48,,5.3,6.41,1,3.93,8.13,6.21,4.36,3.62,6.2,7.05,4.8,2.98,4.43,6.23,4.18,2.08,4.98,5.73,2.12,4.1,4.76,5.09,2.04,4.18,3.1,5.98,3.86,5.66,6.16,8.9,4.98,3.7,4.6,6.3,6.28,8.28,,,5.73,4.58,5.58,5.66,0.95,3.83,5.58,7.11,,4.43,2.88,7.43,2.08,3.33,5.2,7.13,6.72,7.23,7.48,7.68,7.08,7.38,8.9,,5.98,6.45,7.53,,2.55,6.5,8.07,8.9,2.52,6.32,6.61,5.65,0.53,1.58,3.89,,3.18,5.98,5.15,,3.3,6.68,5.18,7.17,,2.37,3.94,6.18,3.5,
232117081400001,Bahgarh,23.35472222,81.66666667,,,,,,,,,,6.3,0.45,1.55,5.92,7.13,2.5,1.65,2.77,4.42,2.75,1.75,4.47,8.09,7.23,4.06,4.87,6.98,3.98,3.93,3.73,7.55,0.45,1.48,2.85,6.75,4.01,3.96,5.85,7.98,3.83,3.65,2.5,6.83,4.43,3.02,4.8,7.61,1.55,0.58,5.55,7.23,2.57,3.55,4.75,7.09,4.75,5.25,6.17,8.94,6.6,6.1,6.8,8.94,8.93,6.1,7.03,7.7,,8.3,10.19,8.94,4.9,2.7,4.1,3.03,,2.15,3.2,6.54,6.38,3.47,4.09,7.03,6.13,5.86,5.55,4.52,7.05,8,8.84,,4.33,3.72,5.17,6.49,8.15,3.82,8.17,10.75,9.57,4.17,7.07,9.07,7.35,1.7,7.98,,0.15,1.45,3.19,,2.57,0.35,3.8,7.71,1.07,2.33,1.79,6.35,2.48,
234712081365801,Bansukli,23.78666667,81.61611111,,,,,,,,,,6.65,2.75,4.15,5.4,6.65,,2.87,4.03,5.37,1.63,3.17,4.2,6.2,2.44,3.26,4.32,7.1,1.8,3.7,5.53,,0.35,2.14,4.7,,,,5.55,8.15,4.33,1.3,3.35,7.8,6.33,2.27,7.07,8.15,5.47,4.69,6.24,8.16,0.91,3.85,5.75,8.3,6.97,6.32,6.95,8.7,1.75,3.65,6.1,8.7,7.65,7,7.75,8.6,7.8,6.85,7.23,8.95,,2.65,3.9,7.32,,3.45,5.55,7.77,1.35,1.9,4.78,6.58,4.92,5.32,7.15,8.45,7.45,7.45,9.32,,2.65,3.38,6.9,8.17,7.95,9.32,9.32,9.32,5.21,9.32,9.32,7.32,1.6,5.45,6.73,,5.05,6.25,7.87,,5.43,5.25,6.75,9.07,7.47,5.7,7.09,0,7.71,
