station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
232255076355801,Akodia,23.38194444,76.59944444,,,,,,,,,16.63,19.4,16.66,7.15,12.5,18.05,16.8,10.7,6.3,15,12.7,6.75,13.4,18.2,5.62,3.01,4.51,17.05,4.2,10.61,19.2,,18.87,20.15,,,,,,,0.3,12.97,15.53,20.7,,11.65,,20.7,3.1,4.73,19.2,7.83,0.7,4.5,6.4,7.37,3.4,4.3,4.92,7.7,4.9,5.78,19.2,19.2,2.65,18.36,6.1,,,19.6,7.3,19.2,1.41,1.9,3.8,6.9,,2.04,1.22,16.8,0.32,4.16,2.78,7.12,5.94,1.75,2.82,5.79,0.3,3.17,4.8,,12.45,8,7.44,12.6,2.43,5.27,5.54,7.36,0.77,6.52,6.17,7,0.35,0.4,1.9,,,1.6,2.68,,0.48,,2.15,6.4,0.94,,,5.57,1.42,
231228076442201,Arandia,23.20777778,76.73944444,,,,,,,,,6.97,10.35,0.96,5.67,6.44,12.5,2.25,3.1,2.37,8.4,2.11,2.42,4.9,10.29,2.18,,13.5,,4.82,5.94,10.75,12.2,3.88,7.95,14.85,12.26,,6.2,10.16,,6.86,7.53,8.54,9.1,3.96,5.15,10.1,12.15,5.3,,10.85,,1.62,5.4,12.54,10.5,1.75,5.9,6.8,11.6,7.5,8.1,10.46,12.6,4.8,6.57,4.8,,7,6.31,7.1,12.6,,5.12,7,12.6,,5.79,9.32,,2.26,3.5,5.42,11.54,6.04,8.58,9.14,10.25,2.88,8.15,9.9,,2.65,3.07,10.74,12.48,11.2,10.84,12.24,13.15,1.7,8.73,11.46,15.64,2,4.13,8.2,,1.7,,10.31,,,5.65,9.8,11.4,1.62,10.5,11.81,12.66,5.11,
233858076133001,Choma,23.64944444,76.225,,,,,,,,,8.74,10.2,7.2,7.58,8.2,9.18,8.5,8.26,8.08,9,8.3,8.25,8.4,9.4,7.88,2.94,8.31,8.65,8.75,8.69,8.45,10.5,6.67,10.05,10.42,10.47,10.43,10.58,,,10.84,10.5,10.57,10.75,3.12,8.3,8.91,11.7,10.4,7.6,10.72,11.1,7.62,8.5,10.22,10.36,8.45,8.9,9.46,10.8,10.17,8.96,9.6,11.1,10.6,,11.1,,10.5,11.1,11.1,11.1,8.3,7.52,8.6,9.3,,8.44,8.68,9.78,6.81,8.14,8.72,9.5,8.86,8.6,9.45,9.46,2.05,8.2,9.25,,1.6,8.4,8.66,9.69,9.28,9.05,10.18,10.1,9.59,9.28,10.17,9.8,7.75,7.03,6.87,,7.8,8.08,8.58,,7.5,7.7,8.55,10.3,5.3,7.6,8.13,14.4,7.9,
232003076500001,Kalapipal,23.33416667,76.83333333,,,,,,,,,8.32,10.1,0.7,5.14,8.6,10.7,2.8,4.8,4.6,9.9,2.34,4.48,5.1,9.6,0.4,0.21,8.71,10.48,4.35,8.75,9.65,9.3,1.51,7.5,7.92,9.76,,6.95,8.95,,0.51,5.06,7.52,11.05,0.45,4.7,9.16,11.8,3.3,6.52,8.15,9,0.78,6,8.7,10.44,0.98,7.35,7.65,12.09,2.32,6.1,11.3,12.09,2.45,7.3,5.3,,2,6.94,6.8,8.3,1.9,4.76,8.5,,,5.58,6.99,10.55,0.95,5.55,7.86,9.88,1.46,5.55,7.82,8.75,1.8,5.29,7.9,,0.55,5.65,8.04,9.9,2.04,5.5,7.85,5.13,0.97,7.5,7.63,9.58,0.9,1.86,6.3,,1.05,5.35,7.3,,1.06,3.1,7,10,1.04,2.9,7.63,8.6,2.52,
231905076561501,Nandni,23.31805556,76.9375,,,,,,,,,5.99,9.4,0.06,0.66,5.1,9.5,2.4,0.26,0.38,7.25,0.13,0.64,7.05,9.19,0.45,0.5,4.46,7.98,3.84,2.92,9,11.8,,7.12,7.65,,,5.77,7.95,8.52,0.1,1.3,5.44,8.7,0.15,2.55,8.21,9.15,4.2,,9.2,8.35,0.1,1.4,9.28,8.17,0.7,7.35,8.78,8.4,7.4,8.63,8.5,12.25,3.96,3.09,1.3,,,12.25,,12.25,0.3,8.86,,10.8,,,9.55,11.7,1.29,4.58,8.95,10.55,0.55,8.38,10.68,10.97,0.65,7.2,10.75,,0.3,5.92,11.18,11.4,6.52,6.34,9.9,10.97,0.64,9.55,11.04,11.05,0.85,0.9,4.8,,0.57,4.35,9.4,,0.47,5.8,9.35,11.7,0.61,2.75,8.99,10.69,3.12,
232752076321701,Salsalai,23.46444444,76.53805556,,,,,,,,,10.1,13.1,0.73,4.4,8.1,11.9,2.7,2.2,2.38,10.55,1.53,2.08,8.1,10.93,1.9,2.8,5.85,12,5.57,3.24,12,,0.23,5.22,11.7,,6.18,8.2,11.75,11.76,5.25,5.04,6.67,12.85,0.55,2.95,12.08,12.45,3.2,10.53,12.4,10.5,1.25,5.2,12.6,12.4,0.78,7,,14.6,4.3,7.4,16.2,17.2,3.62,4.3,3.9,,10.6,9.3,,13.6,7.25,5.58,,16.3,,4.65,15.01,11.05,1.56,2.1,13.32,15.84,8.5,6.85,17.2,14.24,1.7,6.2,10.8,,0.4,5.5,12.02,9.9,3.23,9.07,14.22,13.87,0.85,12.62,14.12,13.1,0.45,0.58,3.7,,1.35,7.8,11.4,,0.87,4.1,7,14.12,0.72,1.66,12.22,13.8,2.02,
232516076163501,Shajapur,23.42111111,76.27638889,,,,,,,,,6.14,7.44,2.53,4.21,5.12,6.98,3,4.52,4.1,6.5,3.93,3.38,4.9,5.98,0.95,2.58,7.08,6.5,4.36,5.72,7.25,8.9,2.68,6.05,7.44,11.82,5,6.6,8.43,10.4,7.52,8.57,6.2,8.45,3.22,5.05,6.11,7.65,4.8,5.94,6.25,9.7,1.56,5.1,5.4,6.68,4.53,5.1,5.56,8.7,2.5,,10.3,24.32,7.5,7.05,7,,7.8,7.39,7.5,10.7,4.2,,4.6,7.4,,,8.42,6.85,,4.13,4.48,7.25,3.22,5.28,5.82,9.73,2.65,5.88,5.4,,1.55,4.96,5.58,8.46,9.83,10.47,10.92,13.63,2.84,5.23,5.45,9.73,0.77,1.72,3.72,,1.32,3.4,4.2,,1.1,2.4,4.32,8.8,1.25,3,4.52,6.4,1.72,
232420076423401,Shujalpur,23.40555556,76.70944444,,,,,,,,,4.6,21.5,1.14,3.27,4.33,21.78,1.05,3.4,2.79,9.38,2.38,2.81,4.8,11.21,5.85,1.37,4.1,11.59,3.32,4.98,17.05,27.52,1.57,4.06,5.63,23.54,,4.41,10.65,11.46,2.08,2.65,4.2,19.05,1.15,3.6,5.42,24.6,2.7,4.4,5.41,27.4,1.64,3.8,6.2,18.92,1.9,3.55,4.4,16.85,3.72,4.77,8.77,24.5,2.34,3.06,3.1,6.67,3,5,6.2,25,1.4,3.1,4.7,9.3,,3.07,4.62,15.75,1.7,3.14,4.31,13.58,1.61,3.68,4.62,5.72,1.4,3.64,4.45,,1.35,3.04,4.27,8.6,2.6,4.04,5.54,16.02,1.73,5.17,7,18.18,0.65,1.78,3.88,,1.8,3.95,5.25,,2.06,1.9,4.55,24.5,1.24,2.69,4.35,,7.27,
231837076200001,Tilawad Govind,23.31027778,76.33333333,,,,,,,,,7.14,9,0.7,4.27,6.64,11,1.44,4.5,4,7.6,2.38,3.48,6.83,8.38,2.45,2.56,,,4.07,6.26,7.2,8.1,3.29,5.8,9.25,8.39,3.74,6,,,8.73,9.38,9.83,11.45,3.35,4.35,6.25,11.45,5.5,3.9,11.05,11.05,0.27,5.94,7.5,11.05,2.72,6.05,6.75,11.6,1.9,2.59,11.2,13.6,4.5,5.72,4.5,,,5.46,7.5,10.5,1.68,3.41,8.5,13.6,,3.44,7.71,12.25,1.7,4.75,7.42,12.8,5.7,9.85,9.14,13.32,2.95,7.31,10.4,,2.05,8.22,13.6,8.06,10.68,11.46,10.68,11.05,1.6,9.07,13.6,12.3,0.9,2.3,8,,1.15,7.5,9.3,,1.89,3.7,9.1,12.4,1.7,5,9.02,14.9,3.62,
231928076450301,Jamner(deep),23.32444444,76.75083333,,,,,,,,,,,,,,,,,,,,10.23,3.22,5.61,2.69,1.4,2.74,6.49,3.7,5.02,6.82,8.17,3.55,4.44,5.82,8.26,,3.98,6.07,8.32,4.47,2.44,2.88,6.64,3.8,2.3,5.32,,5.14,6.08,7.42,9.77,1.2,2.22,4.14,6.63,3.47,3.46,4.92,7.97,,,7.27,9.33,,,3.72,,,,7.42,9.42,2.07,2.38,3.52,11.47,,1.57,4.17,8.22,,2.12,4.59,8.42,2.02,3.24,5.24,6.17,0.22,3.17,5.52,,,2.81,4.85,7.82,8.24,8.38,7.55,10.1,0.74,4.66,5.29,,,1.02,1.42,,,,,,,1.12,3.12,8.3,0.26,,2.81,7.76,,
