station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
203230075443001,Ajanta,20.54166667,75.74166667,,,,,,,,,2.95,5.01,2.4,6.1,2.25,3.45,1.82,1.95,1.9,6,0.7,1.7,3.8,4.17,2.3,2.29,2.6,5.65,2.55,3.4,3.95,6.55,3.5,2.5,3.9,8.82,2.36,1.1,3.2,3.82,2.7,3.1,2.1,3.57,,,2.97,6.37,3.67,2.65,4.12,6.87,1.05,,4,4.82,3.67,,4.32,10.73,3.8,3.15,3.87,,2.8,2.92,2.45,7.6,1.38,1.54,3,3.82,1.32,2.82,3,7.34,,3.8,5.56,,1.7,4.68,3.5,4.09,1.5,2.48,4.1,5.2,2.1,2.36,,11,4.5,2.4,2.1,7.22,1.6,2.68,4.22,9.45,1.19,,7.5,10.5,2.1,0.92,2.02,,,,2.55,,1.74,1.45,4.22,3.8,2.23,4.65,2.6,2,,
200100075234001,Chauka,20.01666667,75.39444444,,,,,,,,,13.4,,4.2,2.4,4.8,10.11,4.83,4.6,2.2,5.77,1.1,2.25,3.45,5.3,2,1.7,4.7,5.85,1.8,3,4.8,6.45,4,3,4.6,11.8,1.7,3,4.4,7.8,2.4,2.5,3.7,4.8,,,3.4,8.16,1.8,2,2.73,5.45,1.96,1.93,8.22,5.55,1.8,1.85,3.4,6,2,1.85,4.23,12.9,2.6,2,2,12.05,1.5,1.86,3,10.35,3.6,4.3,4.5,16.07,,,8.42,,2.1,3.07,4.1,12.3,5.4,3.68,4.4,8.8,1,,,6.4,2.9,4.8,3.1,5,5.8,2.5,4,9,2.1,,5.2,6.65,2.8,1.2,3.35,,,,3.3,,2.45,2.3,2,3.6,2.07,2.85,2.9,4.1,,
200815075080001,Hatnur,20.1375,75.13333333,,,,,,,,,6.2,,,6.2,6.1,,5.85,6.3,5.2,6.65,4,4.35,8.25,5.55,5.9,5.66,9.75,7.1,6.7,6.1,5.5,8.4,6.05,5.7,6.65,,5.45,5.6,5.7,,7,6.6,6.4,10.45,,,5.35,13.8,5.5,5.25,5.35,5.8,3.87,3.86,5.05,5,5,4.8,5.55,6.1,5.65,4.55,5.2,6,4.5,4.65,4.09,6.6,3.32,3.95,4.45,4.75,,,4.6,6.4,,6.12,6.3,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,7.7,,
201000075380001,Kaigaon,20.16666667,75.63333333,,,,,,,,,7.5,,7.15,3.1,5,,11.04,3.2,2.7,6.65,2.7,2.15,5.9,5.84,3.1,2.7,5.4,11.4,3.6,4.55,5.85,11.6,,3.4,6.45,7.92,2.52,2.85,4.6,,3,3.6,4.1,10.24,,,7.44,12.94,2.14,25.7,4.64,,2.45,2.77,3.93,,2.59,3.64,6.94,13,4.2,3.1,,,3.2,2.94,1.94,,1.89,2.16,4.7,7.44,2.23,3.14,7.7,,,12.7,11.35,,2.25,2.8,3.64,,,,4.3,13,7.2,3.9,,7.2,3.9,4.7,6,13,4.3,3.75,4.5,,3.5,,10.3,12.99,,2.44,3.44,,,,4.86,,2.84,3.05,3.94,7,2.34,3.75,3.92,6.2,,
201600075080001,Kannad,20.26666667,75.13333333,,,,,,,,,11.37,14.31,16.3,11.6,12.2,,14.43,6.9,4.4,8.54,4.3,3.75,4.9,9.9,4.2,4,5.1,11.4,8.3,5.2,9.3,14.8,10.5,8.8,9.8,15.1,10.46,6.4,7.3,,10.2,7,8.2,14.45,,,9.65,17.65,14.1,9.91,11.63,17.25,8.32,,5,12.75,9.2,7.95,10.9,17.7,17.85,8.6,8.8,16.25,11.5,6.9,5.41,11.1,3.08,3.62,4.95,8.6,3,4.7,5,10.9,,8.5,13.2,,15,5,6.9,10.93,5.97,6.67,6,11.3,9,7,,17.2,12.3,7.6,8.5,18,15.2,9.66,10.1,17.8,15.5,,17.2,17.9,16.4,4.2,6.5,,,,7,,5.6,4.1,5.7,12.1,4.85,5.1,5.28,8.7,,
200730075280001,Patri,20.125,75.46666667,,,,,,,,,6.25,,5.65,4.4,6.35,,5.68,3.8,2.7,7.7,2.6,1.45,2.9,6.64,4.6,2.7,5.01,,2.85,4,10.5,9.8,6,3.75,7.7,,2.25,2.17,5.15,11.3,2.4,4.25,5.4,8.64,,,6.09,8.89,3.49,3,4.39,10.11,2.37,2.65,4.36,8.99,3.54,2.14,4.84,7.2,4.8,2.6,4.05,,4.7,2.44,2.54,7.3,1.61,1.76,3,6.44,6.29,3.84,5,6.86,,5.1,8.15,,3,3.71,5.23,9.77,3.8,4.9,6.7,10,3.9,,,9.7,2.5,3.35,5.2,8.64,6.45,7.8,8.74,9.6,2.54,,8.1,9.9,2.5,1.14,1.74,,,,3.8,,5.34,2.35,2.94,7,1.86,2.65,4.35,6.4,,
195500074450001,Rotegaon,19.91666667,74.75,,,,,,,,,11.7,,10.4,8.3,9.75,11.5,11.43,,9.2,11.33,7.15,7.2,9.2,9.73,8.5,3.72,6.9,11.1,9.6,9.25,10.8,11.6,11.2,9.35,9.95,12.7,11.15,10.5,11.4,,,12.7,12.6,11.79,,,11.79,11.08,11.79,10.7,10.71,11.63,4.9,4.96,7.09,10.65,10.28,9.03,10.23,11.6,11.6,7.5,9.8,11.2,6.5,8.58,8.12,11.6,6.85,6.13,7.1,10.13,10.53,7.43,9.65,12.5,,10.4,11.3,,11.2,10.03,10.9,11.76,11.8,11,10,12.1,11.4,10.2,,13,2.7,7.5,9.3,11.75,11.3,9.09,9.93,11.5,12.33,,12.7,12.43,9.2,4.03,6.63,,,,7.45,,10.23,3.15,6.83,10.43,8.33,4.4,4.68,10.7,,
200800074510001,Tunki,20.13333333,74.85,,,,,,,,,11.2,,,7.2,9.45,8.2,10.9,10.5,10,10.75,8.05,8.5,8.1,9.55,7.7,5.5,6.5,9.9,10.7,10.6,10,10.9,14.7,15,14.4,14.3,13.66,13.2,14.4,14,15,10.88,10.88,10.88,,,10.88,12.85,12.9,12.2,13.49,13.65,7.72,8.96,7.74,14.1,13,8.3,14.5,14.5,14.2,14.05,10.5,14.5,7.9,6.8,10.1,14.5,4.97,3.75,5.2,8.25,6.46,7.4,7.3,13.8,,12.4,15.5,,10.2,5.4,5,14.25,9.6,14,15.3,15.1,14.7,14.5,,15.5,6.6,8,14.9,,9,6.56,7.13,8.5,6.33,,15.75,15.74,12.2,4.9,5.5,,,,7.14,,5.85,2.8,4.1,5.6,6.24,4.6,4.82,6.7,,
200500075090001,Walur Tanda,20.08333333,75.15,,,,,,,,,6.78,8.55,8.05,4.5,5.7,15.09,8.72,8.75,5.5,9,3,4.25,4,5.85,6.9,5.26,6.85,6.2,5.2,5.8,12.1,14.4,12.25,14.2,11.75,14.2,6.77,6,12.1,14.7,8.8,13.3,14.1,14.3,,,13.75,15.75,6.65,7.55,8.75,14.25,3.34,3.58,4.19,6.2,4.8,4.1,6.3,8.8,5.6,3.9,6.2,7.95,2.8,4,4.8,7.5,2.99,5.07,5,6.5,2.9,5,4.7,9.2,,14.4,15.8,14.2,5.7,,4.88,6.85,7.2,15.71,14.6,15.5,14.1,8.6,,15.2,4.5,11.35,13.5,15.6,13.6,15.36,13.3,15.6,12.1,,15.4,12.15,,,,,,,,,3.2,3.45,5.2,7.1,2.75,3.7,3.86,6.1,,
200010075040001,Kinnal,20.00277778,75.06666667,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,6.9,,
