station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
204800079430001,Ajgaon,20.8,79.71666667,,,,,,,,,11.4,14.2,12.81,11.5,16.53,,,13.6,13.2,,,13.35,13.2,13.45,12.35,,13.1,12.52,13.8,,13.5,,12.4,,,11.55,13.72,10.45,13.9,,17.77,14.3,14.6,9.9,,,9.9,9.9,15.2,9.9,13.5,15.37,14.8,14.15,13.9,15,14.85,13.85,14.05,19.25,19.25,14.5,,,15.9,16.1,15.85,15.88,17,4.75,15.55,15.8,17.3,18,,15.6,,15.1,12,18.5,15.5,14.8,13.4,19.1,19.1,,,19.1,19.25,19.25,,19.25,19.25,19.25,,19.2,,19.25,19.25,19,,,,19.25,,,19.24,,,,19.25,,19.25,,19.25,,,,,,,
210930079391501,Bhandara,21.15833333,79.65416667,,,,,,,,,5.4,8.95,4.17,5.3,6.68,8.5,2,6.8,5.45,7.5,1.6,3.3,5.15,7.4,1.6,2.7,5.4,7.35,0.4,5.35,6.6,8.01,1.05,3.93,5.1,7.8,2.05,5.85,7.1,8.75,0.5,4.91,6,8,,,7.65,9.19,1.63,4.26,6.9,9.15,2.75,6.31,8.55,9.58,5,6.65,8,10.13,5.1,7.1,8.05,6,3,4.8,6.6,8.66,1.5,3.3,4.65,8,3.6,5.7,2.1,9.2,,8.1,3.2,7.6,0.2,1.1,1.65,7.5,3.6,4.65,4.8,6.9,2.4,6.7,,10.1,3.8,7.1,8.4,11,7.9,10.8,10.9,12,5.7,,3,12.4,0.4,5.5,4.7,,,4.4,6.7,,3.8,5.1,4.4,1.3,1.4,12.4,7.3,9.45,4.3,
212815079430001,Chicholi,21.47083333,79.71666667,,,,,,,,,4.2,8.2,5.1,2.8,5.15,10.6,3,2,1.65,6.4,1.13,1.5,3.46,6.9,1.15,3.2,5,,0.97,6.15,5.9,10.13,0.45,2.6,5.5,9.6,0.46,2.2,6.7,8.5,1.24,2.75,5.4,8.1,,,10.55,10.55,0.69,2.4,7.9,9.7,0.4,4.13,6.5,9,2.3,3.85,7.1,8.9,2.7,5.45,7.9,11.35,9.6,9.62,5.3,11.28,1.65,3.4,6.3,7.7,1.1,3.1,5.3,11.2,,3.4,2.8,8,0.5,2.3,4.4,5.9,1.65,3.9,4.4,6.08,0.9,2.6,,7.3,1.3,3.7,4.7,8,1.3,4,5.7,8.2,0.9,,6,7.8,0.1,3.5,3.95,,,2,3.6,,0.7,2.5,3.9,2.6,1.3,1.3,3.6,4.65,1,
211700079410002,Dahegaon2,21.28333333,79.68333333,,,,,,,,,3.55,5.2,5.97,5,,5.74,3.8,3.8,3,5.15,0.95,1.9,3.4,5.4,3.8,1.4,3.1,,1.4,3.35,3.9,5.73,4.2,2.69,3.68,5.5,3.73,2.9,4.9,5.5,4.98,2.85,3.75,5.32,,,5.95,6.37,3.97,2.68,3.75,5.75,4.45,4.17,4.7,6.5,3.9,3.4,4.1,6.27,3.65,4.3,5.15,6.05,5.2,4.4,4.95,6.01,4.8,2.15,3.85,5.35,5.05,3.75,4.55,6.45,,3.55,5,6.5,1.75,2.55,3.9,5.85,5.25,4.45,4.55,6.43,3.35,4.3,,7.39,5.3,3.95,4.35,7.3,5.55,6.4,6.31,8.2,4.35,,6.05,7.45,4.6,4,5.3,,,3.25,3.95,,0.9,3.05,3.25,6.65,1.4,2.2,3.55,6.45,5.65,
210600079410001,Daodipar Khapa,21.1,79.68333333,,,,,,,,,3.2,7.1,5.86,2.05,5.97,5.5,0.01,1.4,1.2,5.2,0.58,0.45,3.54,6.5,0.7,1.6,3.3,8.12,1,2.55,,7.73,0.55,2.76,4.2,9.4,0.87,2.1,4.4,,2.67,1.08,2,8.78,,,6.48,11.35,1.01,2.18,2,3.38,0.17,1.28,1.25,3.7,0.25,1.1,1.95,5.48,1.1,4.15,5.98,12.55,1.08,2.4,6.18,12.77,2.9,0.47,2.68,6.33,1.18,2.7,3.48,13.78,,2.08,4,8.1,0.68,1.58,3.73,5.1,0.53,2.03,3.38,6.2,0.68,1.8,,7.1,0.68,1.68,2.6,7.1,1.18,2.6,4.1,7.4,0.68,,4.08,7.18,0.48,2.6,2.05,,,1.98,3.38,,0.2,1.98,2.78,6.3,0.2,2.1,2.63,3.83,1.85,
210800079560001,Ekodi,21.13333333,79.93333333,,,,,,,,,1.5,8.55,0.54,1.6,2.22,5.7,0.5,0.9,0.1,1.8,0.5,0.6,1.15,3.9,0.4,0.6,0.6,3.48,0.3,1.85,1.95,5.51,0.3,0.91,1.4,5,0.13,1.55,2.45,7.76,1.56,0.53,0.8,2.65,,,2.4,6.25,0.14,0.57,0.95,2.3,0.2,0.8,1.35,4.65,0.35,1.25,1.5,4.5,0.4,1.39,2.1,7.3,1.55,1.8,2.6,6.5,0.6,0.3,0.65,1.9,0.8,0.7,1.4,5.2,,1.1,1.3,,0.1,0.8,1,2.25,0.45,1.2,2.05,3.1,,1.2,,10.04,,,0.6,,1.3,2.5,2.5,8.5,0.45,,1.4,4.6,0.1,1.3,8,,,0.6,1.1,,,0.6,,2.5,,0.8,0.4,1.8,1.6,
212300079350001,Jamb,21.38333333,79.58333333,,,,,,,,,2.1,7.8,5.6,2.7,6.87,10.17,5.85,2.65,1.75,5.1,1.83,1.35,2.79,6.1,3.85,1.2,4.2,6.42,2.15,3,5.85,9.31,1.5,4.24,5.73,12.3,3.19,5.1,6.2,11.5,4.58,2.8,3.5,9.35,,,,13.75,3,3.07,,8.95,1.51,3.8,5.6,9.16,1.9,4.15,5.15,8.09,2.45,5.6,6.55,12.9,9.6,5.6,7.05,12.25,6.5,3.15,4.85,8.35,5.75,7.25,6.35,9.65,,3.85,6.8,11.5,0.45,2.75,4.85,7.75,3.25,4.85,6.25,10.29,4.05,4.8,,8.5,4.25,5.95,6.65,13.7,9.85,7,7.6,13,4.45,,6.75,12.65,4.5,4.5,5.35,,,3.65,5.65,,0.35,3.45,4.25,11.95,2.4,0.4,4.3,7.8,3,
211003079340001,Kharbi,21.1675,79.56666667,,,,,,,,,10.2,13.4,13.14,11.9,8.58,9.5,0.5,0.75,0.9,1.7,5.63,0.2,5.58,12,4.1,3.8,6.8,9.05,1.35,4.2,6.54,2.51,5.15,5.25,9.17,13.5,8.37,8.8,5.95,13.14,0.83,7.35,8.4,13.35,,,11.45,12.95,6.47,6.99,8.6,13.42,4.8,6.55,8.3,12.45,4.2,7.25,8.75,11.86,7.2,8.45,10.3,13.3,11.5,9.2,10.5,13.34,9.2,6.4,8.1,12.3,9.1,7.7,8.7,,,6.8,7.6,13.3,1.1,3.6,6.05,9.8,7.4,5.2,7.5,12.2,3.9,5.9,,10.2,2.3,7.6,8.7,12.6,9.9,10,13.9,14,8.4,,11.6,14.14,6.7,7.6,12,,,6.2,7.6,,4.7,5.8,7.3,11.8,0.3,1.8,2.15,7.5,4,
211210079473401,Koka (Kokha),21.20277778,79.79277778,,,,,,,,,7.75,16.75,1.26,4.1,6.77,17.1,2.7,6.3,5.5,13.6,4.56,6,8.2,14,3.5,4,8,13.92,2.7,7.55,9.35,17.23,3.25,6.82,9.2,17.8,2.76,4.45,10.6,14.6,3.12,2.58,4.85,16.08,,,10.23,16.18,2.53,5.52,8.45,12.9,1.6,6.59,9.5,16.38,2.55,7.25,9.3,16.48,3.2,7.9,9.98,,4.68,6.4,10.08,17.18,3.6,5.88,9.28,15.68,4.88,7.3,9.88,,,6.18,8.7,18,0.98,4.98,8.88,15.13,2.08,7.18,10.78,17.98,1.68,2.68,,18,4.55,7,10.4,18,6.2,10.5,14.7,17,4.3,,12.68,18,1.18,14.54,7.6,,,3.88,11.68,,1.2,7.38,9.68,18,1.1,6.2,7.63,,,
204445079530501,Lakhandur,20.74583333,79.88472222,,,,,,,,,2,2,0.92,1.05,1.91,3.7,0.8,1.3,1.45,4.75,0.93,0.75,1.87,1.7,1.1,1,2,2.15,0.9,2.05,2.6,5.03,1.2,1.5,3.27,6.85,0.9,1.4,3,8.1,1.7,1.1,2.35,5.3,,,3.05,6.8,0.67,0.99,3.3,4.71,1.25,2.16,3,5.57,1.05,1.9,3,4.22,1.2,1.6,2.25,5.9,0.85,1.45,3.65,7.35,1.6,0.55,1.05,2.05,0.85,1.45,2.15,3.85,,1.75,2.9,4.7,0.85,1.45,3.35,5.15,1.65,2.3,3.75,7.99,0.45,2.1,,6.1,1,1.15,2.15,5.2,0.75,2.8,3,6.8,1.15,,3.45,6.65,0.65,3,3.35,,,2.45,2.3,,0.5,1.85,,4.35,0.8,2.4,2.65,2.65,1.5,
