station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
190840077091801,Alegaon (Old),19.14444444,77.155,,,,,,,,,5.23,8,0.6,1.6,6.78,7.9,7.3,4.91,4.8,7.44,3.22,3.82,4,4.6,1.6,3.2,3.85,4.68,1.5,3.3,4.3,7,2.3,3.5,4.85,6.38,3.6,4.5,5.85,6.3,2,4.28,5.7,,,,11.46,15.1,1.86,2.72,8.52,10.5,7.05,9,7.16,8.36,6.22,,7.85,12.75,7.1,11.15,9.2,13.41,6.52,8.94,10.59,12.29,1.39,6.13,6.63,7.56,,4.6,6.3,7.1,,,7.2,,2.3,5.6,8.65,8.85,9,6.9,9.2,10.18,8.3,7.1,,13.4,9,3.8,7.8,10.5,2.65,8.3,8.5,11.7,3.3,,10.1,10.7,6.05,5.6,7.3,,,,6.1,,1.5,7.55,5.4,10.15,10.65,6.4,9.2,2.5,,
191600077080001,Babulgaon,19.26666667,77.13333333,,,,,,,,,5.87,6.7,0.7,1.8,4.95,6.6,5.2,3.14,4.9,5.78,0.01,2.72,5.2,3.3,2.15,3.3,4.63,9.13,0.01,,5.2,1.2,0.01,5,2.58,,0.01,4.45,5.2,9.1,0.01,4.86,8.5,11.1,,,6.27,9.5,1.15,,4.6,9.4,2.5,2.81,3.04,8.93,8.9,3.2,1.5,1.75,5.2,2.3,3,,1.75,6.12,6,,,3.5,3.3,,,,4.2,7.8,,,3.5,8,,8.7,4.5,5,7.4,9.2,7.5,8.5,9.1,9.3,,9.2,4.4,4.2,6.9,8,0.01,3.6,7.3,7.6,0.5,,9.1,10,1.8,2.7,6.3,,,,6.2,,1.9,3.15,5.9,7.65,1.3,3.1,7.2,7.5,,
194600076480001,Hatta,19.76666667,76.8,,,,,,,,,7.02,9.5,5.85,3.1,6.78,8.2,7.35,3.58,4.55,7.73,1.52,1.65,3.55,7,2.85,1.9,5.13,7.57,2,5.2,7.2,8,1.1,5.15,4.35,7.28,1.15,2.85,5.4,7.72,,5.84,6.95,8.1,,,8.25,8.1,1.4,2.2,5.12,7.35,1.55,2.45,5.28,7.44,4.83,4.17,7.25,8.1,6.7,5.4,7,,3.55,6.65,8,8.4,0.97,2.5,4.75,,,3.95,7,10.55,,,7.2,12.8,1.25,2.7,6.35,7.9,7.95,5.35,7.7,8.95,5.75,5.15,,13.5,3.7,7.8,5.2,8.3,6.05,4.6,7,11.5,2.6,,7.5,13.5,3.5,2.55,4.5,,,,5.1,,0.8,2.52,7.1,11.35,1.1,6.1,6.24,,,
194000077190001,Kalamnuri,19.66666667,77.31666667,,,,,,,,,5.23,8,0.6,1.6,6.78,7.9,7.3,4.91,4.8,7.44,3.22,3.82,4,4.6,1.6,3.2,3.85,4.68,1.5,3.3,4.3,7,2.3,3.5,4.85,6.38,3.6,4.5,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195600077090001,Kanhergaon,19.93333333,77.15,,,,,,,,,8.05,11.45,1.05,4.08,6.83,12.6,6.61,5.01,6.83,9.1,2.53,3.83,4.48,8.1,3.25,3.2,7.38,12.26,2.85,5.74,10.28,11.3,4.1,3.85,6.83,9.33,2.05,6.05,8.25,11.92,2.4,8.8,11.15,12.55,,,8.69,11.28,,5.4,8.2,9.65,3.2,3.35,8.62,12.12,4,7.72,8.5,10.4,3.4,6.3,8,8.72,4.15,8.5,8.6,9.6,1.45,6.08,8.38,9.32,2.4,6.9,8.6,10.4,,5.8,8.5,8.8,2.05,7.1,9.1,8.7,7.6,7.3,8.5,8.82,5,6.75,,12.5,4,7.7,8.5,9,6.7,7.3,8.8,7.2,2.1,,12.49,12.5,4.5,6.2,8.1,,,,,,,6.4,7.9,9.55,3.9,3.8,7.75,6.4,,
194900076520001,Kolsa,19.81666667,76.86666667,,,,,,,,,6.54,8.5,5.75,3.55,6.61,6.4,7.45,4.32,5.15,8.13,2.25,2.15,3.85,7.4,1.35,4,6.83,8.45,3.8,5.12,7.7,8,2.9,3.6,6.95,7.72,2.25,4.5,7,8.05,6.1,6.5,7.75,9.55,,,8.75,8.1,4.54,3.9,6.8,9.2,3.55,4.56,6.91,8.1,5.55,4.8,7.3,8.1,8.5,7.05,8.85,,7.75,8.52,9,9,2.5,3.85,6.1,,,6.05,8.7,,,5.95,8.8,,2.25,5.25,8.35,8.65,9,7.55,9,7.9,9,7.75,,9,7.6,6.6,8.45,9,5.45,7.8,8.6,9,6.1,,9,9,6.05,4.2,6.95,,,,,,,9,9,5.6,1.5,5.1,,,,
194515077005001,Narsi,19.75416667,77.01388889,,,,,,,,,8.92,,7.8,5.6,7.97,,9.4,8.16,7.95,,4.47,3.03,5.2,,4.98,3.37,5.79,,5.68,7.32,8.4,,5.75,3.83,5.78,,4.75,4.7,6.05,99.99,7.2,6.55,9.71,9.71,,,9.96,9.71,6.35,4.8,7.15,,6.5,,9.2,9.71,9.71,8.58,,9.71,9.71,9.71,9.71,,,8.4,,9.71,2.05,1.76,3.67,,5.4,,9.5,,,8.6,10.2,,3.7,5.5,8,9.7,,10.4,10.5,10.1,,7.2,,10.5,,6.5,8.9,10.5,,10.5,10.49,10.5,,,10.49,10.5,9.3,,7.05,,,,,,1.8,5.2,7.3,6.95,4.6,5.8,9.05,,,
192000076590001,Aral,19.33333333,76.98333333,,,,,,,,,,,6.3,2.8,5.45,,,,4.8,7.36,0.7,1.3,7.2,,1.15,1.4,1.23,6.92,0.2,,6.15,4.4,1.2,0.7,,,0.5,3.75,2.25,99.99,0.55,2.91,4.66,3.7,,,6.51,9.26,2.05,0.71,2.23,9.26,2.15,2.06,2.31,3.09,1.06,1.8,1.8,9.26,1.3,9.26,9.26,,1.76,6.26,,9.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,9.4,,
192600077090001,Chaundi Rly.,19.43333333,77.15,,,,,,,,,,,3.15,3.65,,,9.5,9.6,6.55,7.95,4.29,2,2.6,6.2,3.95,1.7,,6.69,1.2,2.35,4.6,8,5,1.75,3.1,6.7,2.25,2.32,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192621076573001,Barashiv-1 (Jawla bazar),19.43916667,76.95833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,8,7.3,,6.5,7.6,10.4,4,,8.1,8.65,6.3,6,7.2,14,4.8,4.8,13.2,13.9,4.25,8.1,12.7,8.1,,,9.9,10.8,3.55,5.95,5.95,,,,2.4,,1.5,2.2,3.1,8.35,0.8,2.2,7.8,2.1,,
