station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
193600075470001,Ambad,19.6,75.78333333,,,,,,,,,5.75,7.26,10.08,4.25,4.5,6.9,6.51,5.66,8.5,5.62,0.4,0.27,1,2.3,2.1,0.47,1.4,3.3,0.62,1.4,2.4,3.37,2.44,1.37,2.23,5.45,0.9,1.45,2.25,4.6,4.2,4.87,7.35,10.65,,,2.12,5.7,0.95,0.9,1.65,4.52,1.08,1.35,2.7,2.35,2.05,2.6,4.05,6.65,2.25,3.5,2.78,6.45,1.2,1.25,1.95,5.5,0.89,1.4,2,4.55,1.71,1.05,2.5,6.05,,3.22,4.9,8.95,1.5,2.12,2.54,3.3,4,4.37,5.2,10.1,6.2,2.6,,10.1,1.9,1.32,2.2,5.1,2.5,1.76,1.35,4.5,2.25,,4.6,10,5.9,1.5,2.2,,,,1.8,,1.15,0.95,0.95,,1.28,1.65,2.01,3.8,,
194948076250001,Dahipal,19.83,76.41666667,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201200076010001,Jafrabad,20.2,76.01666667,,,,,,,,,11.2,12.57,12.8,10.65,11.9,12.8,13,12.5,10.2,10.47,8.6,6.47,7.7,9,6.85,6.5,8.75,10.9,11.35,11,12.6,13.18,12.82,8.82,10.5,11.25,11.1,9.85,10.4,12.5,10.1,9.76,12.25,12.55,,,12.5,14.45,14.05,10.5,10.6,13.2,10.97,9.8,9.95,11.85,8.4,8.45,9.65,12.5,1.19,9.65,11.05,14.05,12.82,10.85,11.38,12.9,8.67,6.51,7.28,9.82,4.45,6.55,7.95,12.8,,13.1,14.5,15.8,8,6.71,7.85,7.97,6.85,8.35,9.1,10.8,10.4,9.2,,13.4,9.3,7.02,8,10.35,5.6,7.11,8.55,11.95,10.95,,10,15,12,5.05,7.45,,,,5,,5.95,3.05,5.35,9.55,5.16,3.2,6.1,8.5,,
194900075590001,Kalegaon,19.81666667,75.98333333,,,,,,,,,11.05,13.2,11.55,4.3,10.3,12.65,12.25,12,,12.12,3.1,1.58,5.27,13.22,10.6,5.66,9.9,11.3,9.75,6.2,11.6,13.93,7.7,3.82,8.18,12.6,2.8,6.65,10.15,14.1,7.8,10.5,11.95,16.75,,,15.5,16,4.1,2.85,6.6,12.1,2.4,2.29,8.35,12.5,10.8,9,13.15,14.23,12.2,3.58,7.34,15.55,10.5,6.1,10.1,13.7,1.57,2.77,7.65,16.2,,5.2,11.42,,,16.45,17.7,,3.45,2.93,6.46,12.94,9.88,10.2,15.2,18,14.3,11.93,,18,3.3,4.57,7,14.2,9.8,5.36,13.05,15.4,9.4,,15.4,17.05,12.7,2.3,5.5,,,,8.4,,1.7,3.05,5.6,16.2,1.35,2.2,9.2,16.2,,
200300075535601,Longaon,20.05,75.89888889,,,,,,,,,13.05,12.59,12.97,11.7,12.7,13.75,13.45,12.6,11,12.14,7.75,4.24,8.23,11.4,8.3,6.52,10.1,11.3,9.56,9.2,12.1,,11.3,8.04,11.68,13,9.9,9.3,11.36,12.79,8.3,9.9,12.05,11.36,,,12.23,12.8,8.61,8.75,10.16,12.6,6,7.21,10.56,11.96,11.56,10.96,11.19,12.8,12.07,8.1,11.11,14.05,12.11,12.01,12.49,,5.75,6.32,9.2,12.96,10.16,7.79,10.75,14.25,,13.2,14.1,,7.4,7.96,10.41,9.86,11.35,11.42,11.51,13,12,14.01,,14.91,8.2,10.8,9.2,,5.8,11.3,8.56,12.2,7.7,,12.8,13.18,12.9,6.26,7,,,,8.2,,7.9,8.2,7.66,12.36,5.14,4.9,8.21,12,,
193900076230001,Mantha,19.65,76.38333333,,,,,,,,,4.52,8,3.15,3.05,4.2,6.05,4.13,3.9,3.4,,2.1,2.06,3.5,4.7,2.7,2.03,3.75,8.6,2.8,3.6,4.1,8.2,1.8,2.1,3.77,9.6,1.9,3.15,3.65,5.45,2.95,4.11,8.3,12.94,,,5.95,12.94,2.3,3.25,5.7,3.93,0.6,2.93,3.94,12.94,1.45,3.15,4.15,16.9,3.8,5.62,14.78,16.1,2.4,3.05,3.91,14,1.83,3.09,4.05,4.88,1.38,4.1,5.5,14.4,,4.4,11.95,,2.5,12.8,4.78,6.73,2.05,4.2,10,17,5.6,4.11,,17,3.7,4.02,4,5.5,2.3,3.41,4.05,4.5,1.85,,4.5,4.5,2.9,1.75,2.45,,,,3.95,,0.95,1.3,4.1,4.95,1.23,2.65,3.9,3.6,,
195500076022001,Navha,19.91666667,76.03888889,,,,,,,,,11.05,,,6.2,9.6,,10.62,11,10.4,,2.1,3,3.95,8.4,6.85,3.47,6.4,7.6,6.82,4.9,8.2,,7.42,3.5,5.72,9.32,4.2,3.9,6.78,10.53,5.7,7.82,9.33,10.27,,,10.27,10.27,6.2,3.45,6.53,10.27,2.6,3.8,5.6,10.27,9.38,8.78,10.27,10.27,7.33,5.7,7.2,,8.83,7.38,8.96,10.27,2.63,3.27,4.03,9.03,4.33,,,,,,,,4,7.2,7.95,7.37,,10.26,,10.25,6.8,,,10.26,7.26,3.9,,10.26,,4.15,6.73,10,4.36,,8.4,16.74,14.9,3.33,3.83,,,,4.3,,2.9,2.35,3.63,10,2.73,2.85,3.27,12,,
193600076123001,Parthur,19.6,76.20833333,,,,,,,,,9.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,
194525075504001,Samangaon,19.75694444,75.84444444,,,,,,,,,9.68,,12.2,4,5.6,9.1,7.02,4.9,4.3,7.06,2.3,1.99,3.89,7.5,2.8,2.27,4.21,8.7,6.05,4.7,6,,5.13,3.25,5.35,8.15,3.7,4.3,5.5,8.3,4.9,8.8,9.5,8.8,,,6.56,8.08,2.67,5.2,5.9,8.21,2.87,2.87,5.17,8.35,7.1,7.7,6.7,8.4,7.05,6.36,7.37,10.2,5.7,4.8,5.6,9.2,3.02,2.23,10.3,7.88,5.6,3.7,5.7,9.08,,6.05,6.1,8.9,4,11.1,6.1,8.58,8.9,5.3,6.3,9.9,7.3,2.6,,9.2,3.3,7.77,8.5,8.9,7.3,7.23,9.6,8.6,4.1,,9.1,11.5,9.7,4.1,5.1,,,,6.01,,2.35,2.15,4.4,,3.85,2.9,5.2,8.5,,
192200075424001,Shahagad,19.36666667,75.71111111,,,,,,,,,9.75,6.63,7.05,5.6,6.2,7.4,6.65,6,5.4,5.55,4.95,3.29,6,4.54,7.8,2.8,3.76,,0.33,3.5,7.5,8.84,3.2,3.27,5.77,8.06,5.2,6.85,8.2,9.8,8.1,10.4,12.85,12.4,,,11.35,12,8.02,6.3,8.4,9.7,6.47,7.9,8.54,6.8,5.1,6.1,7.5,8.6,4.55,6.52,7.34,13.1,0.45,1.6,5.7,10.6,4.76,4.42,6,6.8,1.92,7.1,5.95,11.3,,6.7,6.25,11.25,7,6.45,6,10.9,5.53,11.3,10.8,15.3,11.3,12.36,,12.8,12.4,9.67,10.3,14.8,4.4,8.36,7.8,,,,,,,,,,,,,,,,,,,,,,,
