station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
190807072531401,A.M.C. Colony,19.13527778,72.88722222,,,,,,,,,5.87,7.02,2.91,5.47,5.4,6.65,3.09,5.55,5.74,4.97,5.8,4.9,4.97,5,4.68,5.05,5.55,4.53,2.63,5.29,5.36,4.97,3.2,5.02,5.32,5.08,2.95,5.19,5.3,5.2,4.15,5.05,4.65,4.05,,,5.95,10.55,5.33,8.32,5.72,7.97,4.12,6.1,5.95,6.42,2.35,7.1,5.55,12.1,5.05,6.7,1.4,5.9,2.3,7.16,6.9,7.7,3.95,10,11.1,11.85,4.1,3.11,12.8,8.9,,5.1,8.3,,3.64,4.18,5.25,8.1,4.34,13.75,12.15,10.35,12.2,1.35,,13.9,5.45,9.45,8.55,8.17,3.8,10.3,10.4,,11.3,,11.4,13.3,2.72,8.37,8.55,,,9.12,11.8,,4.1,4.55,4.75,4.25,4.5,5.7,6.1,11.7,,
190222072553401,Agarwadi,19.03944444,72.92611111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,0.5,3.9,6.24,6.24,2,,4.7,6.24,0.3,2.04,3.03,,,1.95,2.4,,1.2,2.5,3.6,3.86,1.4,3.95,4.2,3.65,,
190757072502101,Amboli_Sarota Pada,19.1325,72.83916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,1,2.95,3,5,4.1,,4.21,4.2,0.01,2.46,2.65,,,3,3.6,,0.9,3.1,3.1,3.38,1.55,3.4,2.5,3.1,,
190318072535001,Chembur_Gaothan,19.055,72.89722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.6,3.1,3.2,3.9,2,,2.5,4.1,1,1.93,2.15,,,2,2.1,,2,1.9,2.1,3.2,2,2.4,2.68,3.1,,
191506072515101,Dahisar-1,19.25166667,72.86416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,3.8,10.45,6,10.72,10.2,,8,5.4,1,3.77,6.71,,,5.85,6.05,,4.9,9.1,7.1,9.85,4.1,9.4,9.8,10.7,,
190947072531701,Film City-Habale Pada,19.16305556,72.88805556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,1.05,1.3,1.9,3.39,0.9,,2.8,2.8,0.01,1.63,1.05,,,1.2,1.31,,1,0.9,1.1,3.2,0.9,1.4,2.3,1.85,,
191434072470701,Gorai Beach,19.24277778,72.78527778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,1.9,2.7,3.6,,2.4,,4.1,5.6,0.81,2.29,3.02,,,2.51,1.1,,2.3,2.7,3.1,3.5,2.05,3.15,4.26,1.55,,
190956072512701,Goregaon,19.16555556,72.8575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,0.3,2.2,2.4,2.33,0.7,,1.7,2.2,0.3,1.19,1.57,,,1,1.4,,0.4,2.1,2.3,3.8,0.5,2.4,2.4,1.9,,
190141072534801,Laxminagar-Mahul,19.02805556,72.89666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,0.01,1.8,1.82,1.8,1.4,,0.9,1.8,0.5,1.07,0.77,,,1.2,1.05,,5.9,0.6,1.3,2.1,0.7,0.56,0.8,0.45,,
190830072472301,Madh,19.14166667,72.78972222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16,0.4,2.8,3.2,5.1,0.5,,1.1,,0.01,1.96,1.23,,,2.35,1,,0.35,0.8,0.7,5.7,0.7,0.7,0.95,1,,
191146072483501,Malwani,19.19611111,72.80972222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38,0.3,7.3,5.3,6.3,3,,5.5,,0.01,2.12,5.7,,,2.47,6.03,,1.2,6.3,4.2,5.5,1.1,,4.38,5.9,,
191251072470601,Manori,19.21416667,72.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.86,0.1,2.5,3.9,6.2,,,1.83,8.1,,,1.1,,,,3.71,,0.5,2.6,,5.6,0.75,2.3,3.47,6.22,,
190949072571501,Mulund_East,19.16361111,72.95416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45,1.75,4.45,4.65,6.62,2.15,,5.7,7.1,1.28,2.91,3.02,,,4.8,5.71,,6.1,4.6,4.1,,2.1,4.9,5.2,3.75,,
