station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
191400077260001,Barad,19.23333333,77.43333333,,,,,,,,,6.93,10.77,3.8,4.1,6.17,10.1,9.95,3.81,5.16,10.53,2.57,3.23,5.3,9.6,3,3.1,5.3,7.38,2.1,4.38,5.37,8,2.4,4.15,5.68,7.83,4.2,5.9,,,2.4,5.51,7.93,9.6,,,10.28,12.3,,4.25,8.46,12.18,4.83,5.63,8.44,12.09,10.66,6.2,8.55,11.69,9.45,6.95,9.65,,10.65,10.42,11.73,13.03,2.83,4,6.63,11.82,6.8,7.93,10.53,12.4,,6.03,8.88,12.2,2.15,4.8,7.25,11.17,12.5,,10.8,12.5,9.95,9.93,,12.8,4.7,3.7,5.05,13,7.8,7.7,3.5,13,2.2,,10.3,12.3,4.65,4.3,5.7,,,,6.1,,3.1,3.8,7.27,12.75,4.25,5.9,7.35,7.82,,
191300077410001,Bhokar,19.21666667,77.68333333,,,,,,,,,4.6,7.7,5.1,3.7,5.2,10,7.3,4.32,,9.95,4.54,4.45,4.65,10.35,4.27,4.85,6.59,12.03,5.2,4.45,6.6,10.57,3,5.4,5.59,9.97,8.4,6.45,8.55,,4.1,4.16,8.25,10.9,,,9.16,12.35,4.15,5.68,7,10.85,3.6,4.77,7.01,11.29,9.6,7.25,10.3,12.7,11.45,8.95,12.05,,8,10.5,10.05,12.78,5.6,4.4,5.95,,9.62,9.9,11.3,13.6,,7.7,10.45,9.65,4.5,5,7.1,9.35,5.1,9.6,9.2,10.6,9,7.55,,13.75,3.4,2.8,4.75,10.65,5.5,5.6,8.65,11.8,,,5.95,9.65,6.9,4.25,4.4,,,,5,,3.4,3.65,5.7,8.95,3.98,3.7,4.45,,,
193200078140001,Chikhli Chota,19.53333333,78.23333333,,,,,,,,,6.2,7.2,5.5,6.8,6.83,8,7.2,6.54,7.15,7.67,1.4,,6.6,7.5,5.87,6,7.08,7.43,,4.4,7.55,8,4.8,6.55,6.87,,4.6,6.6,7.7,,4.7,6.4,8.67,7.5,,,7.66,7.5,6.05,6.1,7.04,7.7,5.85,6.4,2.16,7.5,6.6,6.35,7.55,8,6.8,6.75,7.3,,7.2,,8,8,1.01,6.2,6.97,,4.67,7.15,8,,,8,,,0.2,7,,,,8,8,7.9,8,6.7,,8,3.5,8,6.3,8,,,8,8,,,7.99,8,,,7.99,,,,,,,,,,,,,,,
191720077395001,Dhawari Buzurg,19.28888889,77.66388889,,,,,,,,,4.15,8.28,5,3,5.87,9,,4.16,5.4,8.21,1.71,3.95,4.5,7.8,1.72,1.8,4.82,7.96,1.9,4.65,6.7,8.57,4.2,4,6,8.9,5.1,5.1,6.2,8.53,1.6,2.59,5.1,8.1,,,9.48,8.85,1.1,2.3,5.45,7.55,1.2,2.05,3.74,,,6,8.08,9.83,7.8,5.75,7.2,8.8,9.4,,8.85,8.52,1.22,2.13,3.45,7.2,0.2,4.5,,8.6,,3.5,6.15,7.2,0.7,6.3,5.6,7.3,7.7,6.7,6.4,8.3,8.7,8.5,,8.2,0.6,2.5,5,8.1,7,9.4,7.25,10.3,,,6.4,8.6,7.1,2.8,4.5,,,,6.5,,2.8,1.98,6.7,8.35,2.8,3.8,5.85,6.7,,
192526077380401,Dorli,19.42388889,77.63444444,,,,,,,,,4.05,6.65,1.5,2.5,3.45,4.9,,,4.88,5.44,1.87,3.62,6,5.7,2.6,2.65,4.04,6.26,1.4,3.6,5.25,6,1.4,3.15,4.2,,1.85,4.95,4.4,6,1.6,2.58,3.73,6.02,,,10.24,6.02,2.65,2.9,2.25,6.02,2.35,3.07,3.72,3.83,1.68,3.05,4.6,5.91,2.9,3.7,4.8,,1.98,,5.68,6.02,1.23,2.78,3.88,,1.48,3.53,4.23,6.74,,2.58,4.08,,1.85,3.3,4,3.68,4.6,4.2,3.8,6.1,2.95,3.68,,7,2.4,3.3,3.68,5.7,2.7,4.8,6.45,6.9,2,,4.25,5.4,2.85,3.1,3.38,,,,3.6,,2.6,2.38,3.4,6.42,1.93,4.3,3.7,3.5,,
193500078140001,Gokunda (Kinwat),19.58333333,78.23333333,,,,,,,,,5.6,,3.2,4.1,6.83,9.8,6.12,2.71,5.83,9.1,2.41,5.15,5.95,8.4,2.7,1.15,6.3,10.14,3.15,6.22,7.25,,,5.4,6.66,,3.8,5.9,7.3,9.93,1.25,2.3,6.4,6.2,,,9.59,10.7,10.7,,,10.7,,4.72,10.7,,,,,,,,,,,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,2.7,,2.55,5.9,,
192500078010001,Islapur,19.41666667,78.01666667,,,,,,,,,3.2,,1.75,2.75,1.78,8.1,0.8,3.93,2,3.52,3.5,3.47,3.6,,3.36,3.3,2.72,3.88,0.45,2.67,3.4,4.7,1.4,4.7,2.8,,0.85,,,4.85,1.8,3.85,,4.7,,,3.78,9.8,2.05,2.95,3.26,5.15,3.7,2.46,4.61,,,3.4,4.05,9.8,3.5,4.65,8.6,,2.65,3.7,,9.8,1.1,2.7,5.15,,0.41,4.1,4.35,9.6,,4.05,2.35,4.45,1.65,3,5.15,5.25,2.55,2.05,2.5,5.5,1.65,5.45,,8,3.2,5.8,3.12,9.79,2.3,7.9,3.4,3.78,4,,3.25,1.75,3.4,2.7,2.25,,,,7.7,,0.3,2.22,1.48,,0.7,3.4,,,,
183922077110001,Jamb Buzurg,18.65611111,77.18333333,,,,,,,,,5.83,10.5,4.3,4,6.1,10.8,8.57,7.89,7,11.6,3.58,3.16,4.5,9.7,4.22,3.9,3.29,11.04,2.95,4.9,7.8,11.3,11.1,4,5.75,9.8,4.3,5.7,8.2,11.6,3.35,4.62,7.3,13,,,8.55,12.71,4.6,3.9,5.68,12.7,3.5,3.9,7.62,11.08,12.65,8.79,13.5,14,9.7,7.95,10.45,,11.4,11.6,12.97,13.1,10.27,5.25,6.25,13.98,3.48,4.9,6.7,13.3,,,,12,2.1,4.3,6.45,9.3,10.3,10,13.5,10.8,12.7,12,,13.2,,2.2,5.2,13.9,1.9,0.6,13.5,14,4.6,,12,13.1,4.4,4.4,5.2,,,,4.5,,0.4,2.6,3.3,11.75,0.8,4.9,6.5,6.1,,
190400077140001,Janapuri,19.06666667,77.23333333,,,,,,,,,3.85,,4.25,2.4,4.4,,,,3.55,,1.59,3.25,4.1,5.1,2.4,3.2,3.94,3.37,1,3.25,3.25,,2.5,2.15,3.1,,0.55,4.35,3.2,,1,2.63,4.35,6.9,,,5.72,6.9,1.1,1.73,2.99,5.9,4.6,2.4,2.81,6.9,5.6,4.58,4.35,6.9,5.6,4.55,4.6,,1.65,5.3,6.9,6.9,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85,,,
192030078050001,Jhalakwadi,19.34166667,78.08333333,,,,,,,,,3.73,5,2.75,3.5,3.8,5.6,3.02,2.73,3.3,4.65,2.55,3.04,3.5,4.6,3.19,3.15,3.94,4.72,2.15,3.4,4.28,5.8,2.4,3.5,3.98,3.85,2,3.8,4.5,6.23,0.15,3.3,4.1,5.35,,,5.08,6.5,2.95,3.2,4.3,5.5,3,3.54,4.52,6.06,4.5,3.8,5.1,6.35,2.55,3.95,4.85,,3.4,,6.3,6.3,1.1,3.2,4.2,5.75,2.45,4.25,,5.9,,3.3,4.3,5.6,3.15,3.6,4.6,5.4,6.39,4.2,5,6,3,3.5,,6,3.2,,4.8,6,,4,5.35,6.3,2.8,,6.3,6.8,3.6,4.2,4.25,,,,5,,0.7,3.9,3.9,6.3,1.2,3.9,5.3,3.7,,
