station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
182600075250001,Anala,18.43333333,75.41666667,,,,,,,,,6,,3.1,3,4.02,,5.5,3.98,6.05,,1.95,2.7,3.6,6.5,3.24,3.1,4.05,,2.95,,4.55,,4.6,3.2,6.6,,3.55,3.91,8.01,,8.71,6.41,8.34,8.34,,,5.4,8.34,2.15,2.52,4.64,8.34,2.85,2.85,3.95,8.34,9.15,3.6,4.3,10,7.95,3.51,5.3,,2.2,3.1,3.91,10,1.21,2.9,4.21,,1.95,3.7,4.15,,,,,,7.65,4.2,9.6,9.7,9.36,4,7.35,8.38,10,10,,9.1,5.61,6.45,6.5,10,4.83,3.4,5.9,8.16,3.9,,10,9.99,8.4,4.89,8.6,,,,7,,3,2.91,3.12,9.7,1.8,3.9,5.1,,,
175200076293001,Dalimb,17.86666667,76.49166667,,,,,,,,,9.4,,,4,4.8,,9.97,,,,,2,4,9.49,9.12,6.8,,,6.5,,4.8,,,5.9,8.55,,,,,,11.9,11.9,11.9,11.9,,,11.9,11.9,7.53,2.72,4.23,,,2.7,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,9.4,,
182226076061001,Dhoki,18.37388889,76.10277778,,,,,,,,,9.45,,9.7,2.45,6.4,9.8,10.6,10.77,8.4,10.7,9.45,1.8,4.98,10.25,8.7,2.5,5.95,10.55,4.05,3.9,6.25,10.68,10.3,9.96,11.2,11.9,9.7,7.55,10.2,12.55,10.68,10.6,11.8,11.9,,,11.5,10.9,8.01,3,4.73,10.75,6.1,4.3,5.95,11.05,9,5.3,6.7,11.07,10.15,3.75,6.6,10.45,10.65,4.9,10.3,11.5,3.7,,4.7,,3,4.5,6.2,10.7,,11,11.8,11.4,11.2,6.3,7.5,12,10.55,11.4,11.35,10.7,11.5,11.86,,11.95,10.4,3.7,5.85,12.87,8.1,3.8,6.1,11.05,11,,13.1,13.2,11.6,9.12,9.7,,,,5.23,,1.6,3.6,4.5,11.42,4.2,4.4,7.1,13.8,,
175500076130001,Gandora,17.91666667,76.21666667,,,,,,,,,11,10.2,12.3,6.05,13.2,18.9,18.86,17.72,9.45,17,5.72,4.62,8.38,14.22,7.72,5.1,8.8,17.35,7,6.55,8.5,16.9,17.9,6.53,8.42,15.8,17.3,17.06,16.26,18.78,19.4,19.4,19.4,19.4,,,14,19.4,4.7,6.2,9.35,17.45,7.24,7.3,8.61,19.4,8.35,6.6,8.35,18.35,16.1,6.96,8.3,8.96,,6.66,7.06,17.15,2.06,6.4,7.36,10.85,8.95,6.6,7.76,18.06,,17.2,17.8,15.25,6.6,8.3,8.46,12.1,12.46,8.1,12.15,12.99,12.48,9.62,,17.83,5.81,6,8,18.81,,4.9,8.5,14.34,7.8,,11.2,17.2,7.6,3.89,6.86,,,,8,,3.4,5.46,5.9,14.89,4.7,5.15,7.9,10.7,,
182935075282001,Kukadgaon,18.49305556,75.47222222,,,,,,,,,3.5,8,7.5,0.15,6.58,6.9,6.35,6.85,7.9,6.63,2.78,0.96,5,6.6,7.2,4.8,5.9,,5.98,,5.64,4.9,4.59,4.32,3.7,4.18,3.6,4.1,4.15,11.62,3.5,4,4.1,5.2,,,,9.95,4.56,5.75,6.1,9.1,5.3,5.85,6.85,9.95,6,5,5.7,5.1,2.35,3.1,9.95,4.8,2.9,2.5,3.85,5.4,0.2,2.8,,,4.5,,,4,,3.7,,,6,7.35,7.7,8.9,4,10.6,9.8,4.9,,11,,9.3,10.3,6,9.05,10.21,3.4,2.7,7.1,11,4,,10.75,10.99,4,3.95,4.8,,,,5.02,,1.48,3.6,3.92,9.7,3,3.45,,9.1,,
175930076195001,Lohara Buzurg,17.99166667,76.33055556,,,,,,,,,3.65,10.7,1.2,1.75,3.25,5.4,4,2.2,5.3,6,0.5,1.2,3.12,3.85,2.6,1.41,3.8,6.5,2.35,1.55,3.85,5.45,3.28,2.15,5.5,5.65,4.7,3.15,4.25,6.12,4.35,4.95,5.5,5.1,,,3.98,6.9,0.5,6.15,3.87,3.85,1.55,2.95,4.75,5.8,6.45,2.6,2.9,4.9,2,2.85,4.7,4.95,1.7,1.7,4.45,5.45,0.25,1.75,3.55,5.3,,3,4.25,4.8,,3.85,5.3,5,3.1,3.9,2.95,5,3.15,3.2,5.4,6.55,3.15,4.5,,7.87,2.6,1.75,3.15,6.21,2.22,1,8.35,3.81,1.1,,4.45,6,1,0.97,2.45,,,,3.05,,1.87,1.35,1.82,2.6,2.1,2,1.9,4.4,,
182900075560001,Massa (Khurd),18.48333333,75.93333333,,,,,,,,,6.85,,3.68,2.7,4.28,,6.2,4.83,5.78,,3.19,2,4,,5.87,2.8,4.95,,5.65,3.1,5.7,,,5.72,,,,7.16,,,8.4,6.85,8.1,8.2,,,5.9,8.1,3.95,2.87,4.88,,3.3,2.75,4.95,8.1,6.05,3.2,4.7,8.1,5.95,3.5,5.5,,2.9,2.75,4.45,8.1,1.2,3.25,5,,2.5,3.3,4.05,,,6.5,,,,3.4,4.7,,4.4,5.5,6.6,6.38,6.3,7.72,,5.5,5.4,3,4.4,7.67,2.25,3.1,4.8,7.03,4.9,,9.79,9.99,5.5,,,,,,4.9,,3.5,3.5,4.5,6.5,3.8,3.8,4.3,,,
175830076093501,Mouje Barul,17.975,76.15972222,,,,,,,,,8,,9.18,4.95,6.58,8.7,6.7,6.57,7.65,9.7,2.18,3.1,6.79,8.4,6.85,4.15,6.9,9,5.5,5.25,6.85,9.55,6.6,3.12,5.82,9.4,8.6,6.85,8.17,10.22,9.61,10.24,10.8,9.3,,,7.9,8.8,2.88,5.05,6.35,9.8,6.2,5,6.2,9.15,6.2,4.26,6.6,9.24,8.15,5.12,6.6,8.87,6,4.93,5.72,8.7,0.87,4.7,6.42,9.4,5.55,6.2,7.45,9.97,,8,9.45,10.5,4.6,5.9,6.57,9.2,,9,9.75,10.6,9.23,7.9,,11.1,4.87,3.9,5.9,9.47,4.95,4.7,6.5,9.14,7.3,,10,11.2,8,2.78,6.04,,,,6.33,,3.3,3.65,6.46,8,1.9,4.3,6.4,9.4,,
181300075320001,Pimpalwandi,18.21666667,75.53333333,,,,,,,,,5.28,,3.35,2.4,4.3,,5.95,3.29,6.1,,2,2,3.24,4.2,2.77,1.7,3.8,4.4,2.85,2.75,4.05,5.85,7.8,3.45,4.8,,11.2,7,,,8.3,8.55,10.2,10.1,,,5.7,10.1,7.5,4.35,6.15,5.7,2.8,3.25,4.3,4.85,2.66,2.4,2.9,4.3,,2.3,3.65,5.5,1.8,2.9,2.8,4.5,0.5,1.6,,4.3,0.4,1.4,1.8,7.9,,5.2,7.1,,4.67,5.1,4.1,8.4,3.9,5,5.9,8.09,10,8,,7.9,4.9,6.2,3.9,7.11,1.35,1.2,2.3,5.01,3.5,,10.09,10.09,10.09,3.93,6.92,,,,3.17,,1.3,1.3,2.33,5.2,,1.3,2.5,7.2,,
181200076050001,Sancha,18.2,76.08333333,,,,,,,,,4,,6.1,2.5,3.42,,7.25,7.13,6.15,,3.48,0.85,2.24,6.77,4.95,2.15,4.3,,3.1,,4.1,,,3.35,,,,4.02,15.89,,7.62,7.62,8.2,7.2,,,4.15,7.54,2.82,1.51,3.04,7.54,2.7,2.65,3.95,7.54,2.3,1.85,2.7,7.54,5.3,1.46,5.8,,5.5,2.47,4.87,7.54,0.97,2.1,3.37,7.6,4.9,2.4,8.15,,,,,,3.95,2.2,2.87,,7.4,3,3.36,7.71,8.16,6,,7.5,7.02,2.1,3.6,7.02,2.87,0.9,3.6,6.82,2.1,,5.8,7.99,7.1,5.86,3.34,,,,3.23,,2.2,,,,,,4.4,8.4,,
