station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
191000074130001,Ane,19.16666667,74.21666667,,,,,,,,,9.35,,4.92,4.52,4.67,8.55,8.64,1.4,6.4,9.6,4.85,12.16,4.93,11.5,9.93,4.2,5,4.43,3.07,4.66,5.38,6.13,5.68,3.41,3.8,6.3,5.35,5.5,7.65,11.4,,,7.1,11.32,,,4.9,6.85,2.85,4.68,5.22,6.4,1.35,5.1,5,6.35,4.92,5.1,5.3,6.15,6.35,3.95,4.85,5.97,7.6,,,4.55,5.5,4.35,5.85,,6,5.85,7.9,5.8,,6.9,5.9,11.21,,3.5,4.8,,6.8,9.54,9.7,8.2,12.5,6.2,,7.1,3.17,2.6,3.92,7.13,3.2,4.5,5.2,11.2,6.6,,8.4,9.7,5.1,1.05,1.43,,0.41,0.58,2.4,,1.9,2.1,2.35,,1.25,2.7,4.95,7.76,,
181600074460001,Bhadalwadi,18.26666667,74.76666667,,,,,,,,,3.6,5.5,2.12,0.2,0.01,2.17,0.9,0.35,1.45,5.43,3.27,0.01,0.35,0.56,0.48,0.08,2.4,1.58,0.01,0.45,0.13,6.15,3.2,4.07,2.53,4.02,1.49,1,1.25,6.35,5.3,4.1,7.8,0.45,,,1.1,7.8,0.23,2,0.01,,0.67,3.25,,0.2,1.85,4.75,2.6,2,1.25,0.3,3.3,1.2,1.4,0.8,,7.8,0.6,1.2,2,,1.15,3.1,4.95,,,0.9,,5.81,,1.6,1.5,,2.6,1.93,1.2,2.3,5.9,0.8,,,3.69,1.1,2.7,7.79,1.3,5.9,4.1,4.2,6.9,,1.4,7.7,1.3,0.55,3.76,,2.25,5.45,1.3,,1.1,,,0.8,0.3,0.95,0.57,2.5,,
182947073431201,Bukum,18.49638889,73.72,,,,,,,,,0.52,3.27,0.35,0.93,1.12,3.52,0.24,0.5,0.41,2.9,0.5,0.25,0.6,3.2,0.45,0.4,0.55,0.84,0.34,0.47,0.67,,0.32,0.35,0.46,3.65,0.46,0.55,0.87,,0.4,0.5,0.72,4.1,,,1.3,3,0.3,0.32,0.8,,0.42,2.15,,2.65,1.1,2.4,0.6,2.3,1,0.35,0.6,2.4,0.33,,0.4,2.3,,0.2,2.3,5.2,,1.45,0.98,2.4,,1.38,3.1,3.11,,0.5,0.59,1.33,0.15,0.3,0.46,1.8,0.24,0.3,,11,,0.2,1.1,5.72,0.8,0.3,3.15,8.1,1,,2.2,2.7,1.02,1.02,1.07,,0.01,0.2,1.4,,0.52,0.4,0.9,,1.07,0.4,1.2,6.1,,
180602074285001,Dhumalwadi,18.10055556,74.48055556,,,,,,,,,9.16,13.3,8.89,4.05,4.34,11.03,10.94,6.8,8.2,13.6,2.78,2.61,6.5,9.86,11.25,2.75,5.5,7.95,8.54,12.56,10.8,12.25,8.96,5.26,5.92,13.2,13.61,10,9.6,12.3,12.25,13.7,11.65,12.15,,,4.5,12.8,8.34,6.55,5.07,6.5,11.8,3.5,,12.15,9.85,7.6,5.7,9,10.7,5.05,4,8,6.3,5.3,8,5.4,7.05,6.4,6.52,7.41,4.85,4.85,6.15,6.9,,10.65,7.9,11.57,,,,3.93,,7.84,6,10.4,7.9,6.3,,12.82,8.25,8.33,11.1,13.25,2.65,5.7,4.8,7.1,9,,10.08,14.1,5.9,4.1,5.03,,4.67,,8.85,,,5.5,4.63,10.85,0.9,5.1,4.55,11.48,,
180540074364001,Dorlewadi,18.09444444,74.61111111,,,,,,,,,4.84,,5.8,2.75,4.35,6.31,4.2,3.7,4.25,7.2,,2.71,4.35,6.55,5.8,2.96,4.6,,5.15,4.55,6.33,,7.1,3.72,4.48,7,6.62,3.7,5.55,6.35,6.15,6.1,7.31,6.74,,,2.8,6.95,5.05,2.65,4.15,3.8,1.7,4.25,,4.8,3.25,4.1,4,4.85,5.2,4.25,4.15,5,2.25,2.25,3.5,7.31,3.2,3,5.6,,0.5,0.65,1.15,4.2,,4.33,2.1,7.12,3.85,4.5,4.45,4.85,3.6,3.93,3.85,5,6.4,2.25,,6.92,5.27,4.26,4.76,6.4,0.01,3,3.1,2.7,4.5,,5.6,5.8,3.5,3.41,4.2,,4.04,1.55,5.05,,4.26,3.9,4.95,6.65,1.25,0.15,5.6,6.32,,
181605074101501,Jejuri,18.26805556,74.17083333,,,,,,,,,2.73,5.26,1.36,0.75,0.39,3.85,1.46,3.2,2.76,4.5,2.25,0.32,1.1,4.24,1.47,0.57,1.4,3.2,1.94,5.6,4.95,5.82,6.9,7.17,5.68,7.2,7.11,6.6,7.4,7.15,7.25,7.5,6.9,7.46,,,3.5,5,1.33,0.45,3.78,5.9,0.58,1.3,,3.8,0.9,1.6,5,4.35,6.1,2.1,1.95,,1.4,1.2,0.5,4.25,0.3,0.4,0.4,3.2,0.9,2.15,6.45,6.3,,4.11,5.8,7.41,6.9,4.1,3.43,3.43,2.8,0.73,2.61,6.9,6.5,4.1,,6.7,6,5.8,6.4,6.95,0.01,0.5,1.4,7.6,1.8,,5.55,5.2,3.5,0.01,0.58,,0.9,0.2,0.54,,0.4,1.6,2.8,4,0.2,0.95,2.65,8.48,,
191222073521001,Junnar,19.20611111,73.86944444,,,,,,,,,5.02,5.8,1.5,1.56,3.84,5.45,0.01,2.17,4.07,5.5,3.25,1.61,4.38,5.2,3.2,2.6,4.4,5.38,4.23,4.09,5.16,6,3.41,3.63,5.08,10,1.21,3.4,4.7,5.4,1.35,3.45,4.5,5.1,,,4.7,5.42,0.5,2.05,4.35,6.3,0.5,5.2,,4.9,1.94,8.5,4,4.4,1.25,2.7,4.05,4.75,2.5,2.3,3.45,5.1,2.85,2.35,4.2,3.85,2.75,4.1,4.85,,,4.55,2.4,5.62,2.2,3.2,4.1,,1.2,3.11,4.04,3.75,2.65,2.4,,4.8,0.87,3.7,4.35,4,4.9,4.9,3.89,,7.9,,3.6,8.9,4.7,1,6.92,,11.32,7.5,11.2,,7.2,5.8,3.4,13,,2.7,4.1,4.05,,
180810074151501,Karanje,18.13611111,74.25416667,,,,,,,,,8.7,6.8,7.33,2.8,7.2,7.75,5.13,5.78,4.95,6.32,3.66,2.42,3.02,6.91,4.67,3,6.4,5.22,5.2,8.04,6.93,6.22,6.5,5.5,6.02,8.5,7.73,7.8,7.45,7.95,8,8,7.3,7.47,,,7.4,7.3,6.52,3.55,7.5,6.7,1.57,3.15,,5.65,3.9,3,3.5,5.05,5.5,4.85,4.1,6.2,1.55,3.4,5.1,10.4,3.1,3.1,6.3,9.95,4.3,3.52,3.69,8.4,,5.7,8.4,7.42,5.15,4.3,4.8,3.9,1.5,3.31,3.3,6.1,5.3,3,,6.82,4.38,1.92,3.23,4.7,4.1,2.1,6.34,7.5,5.7,,3.94,5.2,3.6,1,2.23,,2,0.3,3.2,,3.76,3.1,2.6,4.6,0.7,1.8,4.04,4.82,,
183455073315501,Kolwan,18.58194444,73.53194444,,,,,,,,,1.52,2.05,0.9,0.6,1.2,2.32,0.78,1.46,1.53,2.27,1.56,0.98,1.79,1.73,0.96,1.28,1.3,1.64,0.01,0.9,1.23,2.88,0.01,1.76,1.95,2.15,0.94,1.25,1.37,4.6,1.2,1,1.25,3.4,,,1.1,2.1,0.9,1.2,0.95,2.65,0.9,2,,2.05,1.5,2.1,2.35,0.8,0.3,1.05,1.1,2.79,0.72,1.35,1.8,3.2,2.2,2.1,2.2,1.8,0.9,1.35,2.1,1.9,,2.72,1.4,4.18,0.95,1.5,2.41,4.13,0.7,1.13,1.16,3.46,0.8,0.75,,2.68,,1.55,2.2,3.13,0.01,2.7,2.2,6.7,2.7,,2.4,5.9,1.09,1.14,2,,0.01,,2.1,,,1.4,1.6,3.15,4.2,1.6,1.93,2.72,,
185410074051501,Loni (Ambegaon),18.90277778,74.0875,,,,,,,,,4.36,9,2.46,1.78,2.65,4.8,4.74,2.15,2.87,5.3,3.38,2.05,2.65,6.87,5.78,2.82,4,,8.68,3.67,6.36,,8.86,4.85,3.05,7.3,3.27,5.7,7.3,9.38,4,6.25,9.65,9.65,,,3.4,9.65,2.7,2.55,3.45,5.2,1,4.35,,7.8,3.24,4.7,3.95,8,6.9,2.85,5.15,6.85,1.93,2.1,2.5,5.8,4.1,3.2,2.3,5.4,1.65,2.45,2.65,7.1,,5.33,3.9,8.62,,2.45,3.9,8.6,3.7,3.5,4.1,4.87,7.15,2.2,,6.05,1.15,2.6,3.68,7.1,2.15,1.7,2.8,3.15,0.5,,6.07,5,2.6,1.6,1.27,,3,3.05,7.1,,5.5,3.2,3.51,7.4,1.5,3.1,,5.95,,
