station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
181000073110001,Chandore,18.16666667,73.18333333,,,,,,,,,2.8,4.24,0.17,1.36,2.74,4.5,0.14,1.96,2.95,4.8,0.01,1.08,2.7,4.2,0.57,1.2,3,3.5,0.19,2.15,3.16,4.2,0.32,1.78,2.34,4.6,0.11,2.45,3.45,4.7,0.2,2,1.2,4.44,,,2.4,1.3,0.62,2.2,2.65,5.03,0.35,1.62,3.02,4.7,0.01,1.82,3.6,5.84,0.6,3.4,4.2,,1.1,2.7,4,4.6,0.4,2.4,3,5.8,,3.01,4.48,5.7,,2.65,4.3,6,0.84,2.6,4.1,4.8,1.57,3.7,3.9,5.9,1.32,2.2,,8.95,1.44,1.52,3.4,5.47,0.01,1.2,4.42,3.4,0.01,,1.75,8.9,1.27,2.65,4.47,,,2.4,2.33,,0.61,1.6,3.3,6.5,1.05,3.4,4.8,5.76,,
185530073070001,Chinchwad,18.925,73.11666667,,,,,,,,,4.4,8.96,0.16,1.17,3.75,8.45,0.23,2.04,3.76,5.38,0.01,0.74,3.3,7.7,0.44,0.85,4.25,5.95,0.15,0.91,3.88,8.2,0.45,1.25,3.95,8.5,0.08,2.9,5,9.28,0.2,1.9,2.5,8.2,,,5.5,9.55,0.95,2.72,5.08,8.2,1.12,2.3,4.3,8.6,0.01,0.62,4.5,7.11,0.3,2.4,6.3,,,4.3,3.92,8.55,0.3,1.2,3,7.7,0.8,2.51,6,9.61,,0.8,5.36,5.9,1.88,2.16,0.9,8,0.74,4.7,5,0.2,0.2,0.9,,6,0.2,0.5,4.2,7.82,6.5,1.1,4.91,7.3,0.01,,2.93,8.2,0.01,0.3,1.38,,,0.55,4.01,,0.01,0.1,3.07,,0.84,1.3,3.5,6.46,,
182840073003001,Dapoli,18.47777778,73.00833333,,,,,,,,,0.9,2.06,0.7,0.78,0.73,2.3,0.73,0.67,0.67,1.5,0.5,0.7,0.59,0.9,0.56,0.85,1.1,0.65,0.35,0.99,0.79,1.03,0.82,0.75,0.8,1.1,0.72,1,1.05,,0.5,1,0.7,1.73,,,1.2,,0.6,0.9,0.9,4.3,0.72,0.9,2.75,5.25,0.2,0.85,1.1,3.12,0.45,1.4,2.05,,,0.9,,2.6,0.5,0.85,1,1.15,,1.75,2,1.32,,0.74,0.7,2,0.21,0.36,3.35,5.1,1.74,3.4,2.7,2.05,1.53,0.95,,1.3,0.05,1.82,2.7,1.02,1.2,1.5,4.12,3.4,0.4,,1.3,1.6,0.59,0.9,1,,,0.69,0.98,,1.61,0.85,2.1,,2.59,2.1,2.1,3.15,,
185445073191001,Hudhre Budruk (Karjat,18.9125,73.31944444,,,,,,,,,3.2,,0.11,0.6,2.2,6,0.01,1.6,1.85,4.75,0.01,0.56,2.05,5.1,0.39,0.9,2.4,1.46,0.05,1.05,2.24,,0.3,1.2,2.53,6.5,0.1,1.7,2.45,,0.1,1.5,2.77,5.55,,,3.25,2.8,0.88,1.74,2.67,6.1,0.37,2,2.55,6.7,0.01,1.38,1.7,2.1,0.15,1.4,2.2,3.35,,1.9,1,3.3,,0.45,0.8,3.95,,1.1,1.84,2.78,,0.2,0.3,5.03,0.23,0.61,2.95,3,0.72,1.3,1.2,2.05,0.1,0.7,,2.05,0.04,0.3,1.35,2.45,0.01,0.01,1.8,3.7,0.01,,1.16,2,0.01,0.05,1.13,,,0.15,0.8,,0.01,0.01,0.15,0.85,0.7,0.35,0.9,1.75,,
184850073051501,Jite,18.81388889,73.0875,,,,,,,,,1.5,4.82,0.94,1.35,1.4,3.4,0.72,1.46,1.3,5.6,0.9,0.75,1.85,1.8,0.9,1.05,2,1.14,0.55,1.96,1.96,3.29,1.11,1.9,2.1,2.75,1.11,2,1.3,1.46,1.05,1.35,0.9,0.8,,,1.9,1.2,0.78,0.72,0.72,0.77,0.78,0.95,0.87,0.8,,0.92,0.75,7.8,0.6,1.7,2.3,,0.82,1.9,0.7,0.8,0.3,0.8,0.8,0.95,,1.93,1.6,1.5,,0.5,0.65,1.77,0.22,0.38,0.75,0.9,0.64,1.7,0.8,1.5,0.4,,,0.51,0.1,0.8,0.01,,2.2,0.01,0.95,6.5,0.6,,0.76,3.2,0.65,0.7,0.62,,,0.7,0.95,,0.78,0.61,0.5,0.35,1.22,0.4,0.6,0.55,,
184335073175501,Kargaon,18.72638889,73.29861111,,,,,,,,,1.65,2.9,1.68,1.25,1.66,3.55,0.9,0.97,1.56,5,0.75,0.62,0.92,2.2,0.67,1.3,1.05,0.95,0.41,0.86,0.7,2.72,1.3,0.97,1,4.92,0.51,1,1.2,6.01,0.7,1.1,0.9,99.99,,,1.1,,0.01,1.27,0.92,4.5,0.87,0.8,2.75,4.2,,0.3,1.1,6.54,0.4,2.2,2.55,6.45,,1.3,0.56,2.9,0.3,0.6,0.7,1.9,,1.55,,3.8,,,,,,,0.95,5.3,1.34,,1.6,3.8,0.3,0.05,,5.12,0.42,1.31,2.07,6.03,0.01,0.8,2.05,3.5,0.01,,1.45,5.1,0.75,0.52,1.55,,,0.4,1.21,,1,0.5,1.9,6.3,1.16,0.8,0.85,7.87,,
180520073062001,Kelte,18.08888889,73.10555556,,,,,,,,,1.7,2.47,1.07,1.37,1.65,3.55,1.1,1.46,1.84,2.6,1.4,1.17,1.88,1.6,1.14,1.4,1.65,1.6,0.87,1.51,1.6,2.18,1.2,0.65,1.67,3,1.05,1.7,2,3.32,1.1,1.6,1.48,2.76,,,2.9,1.8,0.65,1.7,2.45,3.42,1,1.28,2.62,3.05,0.9,2.05,2,3.1,1.1,2.6,1.75,4.25,1.3,1.2,1.84,2.7,0.4,1.7,1.6,2.55,,2.4,2.73,3.64,,1.26,2.83,3.08,0.64,1.26,1.7,2.6,1.9,2.5,1.9,2.1,1.08,0.6,,2.16,1.07,1.21,2.2,2.15,0.01,1.7,2.25,3.3,0.01,,1.7,1.2,1.12,1.42,1.81,,,1.33,1.54,,0.91,1.2,1.45,1.9,1.1,1.3,1.5,1.76,,
184940073170301,Khalapur,18.82777778,73.28416667,,,,,,,,,2.9,3.43,1.19,2.08,2.52,2.68,1.71,2.13,2.36,5.63,1.6,2.02,2.7,2.6,1.99,2.45,2.7,2.45,1.12,2.46,3.16,3.3,1.87,2.5,2.75,3,0.81,2.45,3.2,2.66,0.65,2.3,2.7,3.43,,,3.2,3.1,,2.15,3.05,2.78,1.52,2.72,2.48,3.1,0.6,3.28,2.2,3.45,0.9,2.9,3,4.1,1.85,1.8,2.56,2.9,0.2,2.4,2.7,3.05,,2.8,2.95,3.62,,1.94,1.21,3.24,0.71,1.66,1.4,2.5,2.89,3.75,3,3.8,2.55,2.6,,3.93,3,2.77,3.15,4.02,2.2,3.3,4.12,2.65,1.8,,3.7,3.4,3.15,2.95,3.52,,,3.5,2.85,,1.62,2.35,3.6,4.2,2.95,3.65,3.7,3.87,,
182700073060001,Kharapati,18.45,73.1,,,,,,,,,1.88,3.15,0.36,0.01,2.33,3.53,0.35,1.84,2.75,3.8,0.01,0.39,1.8,1.8,0.45,0.87,2.7,1.9,0.39,1.09,1.76,2.97,0.16,1.03,2.05,2.8,0.42,1.5,2.6,1.6,0.8,0.9,0.6,1.9,,,1.3,0.65,0.72,1.1,1.7,2.17,0.55,1.02,1.3,2.6,0.01,0.62,2.2,2.95,0.05,2.3,2.4,3.65,,1.4,1.25,2.55,0.7,0.8,1.8,3.2,1,1.31,2.54,3.7,,,1.63,3.22,0.31,1.63,2.2,,0.7,1.9,2.5,2.6,0.3,0.6,,2.7,3.74,0.3,2.2,3.1,0.01,1,2.1,2.7,0.5,,1.53,3.2,0.93,0.8,2.43,,,0.36,2.54,,6.2,1,2.1,2.3,0.92,2,2.4,1.94,,
182130073015001,Khutal,18.35833333,73.03055556,,,,,,,,,3.06,3.4,1.18,1.31,2.78,0.25,0.98,2.42,2.96,6.7,1.15,1.34,2.78,4.7,1.05,1.8,4.9,3.6,0.83,2.22,2.75,3.49,0.97,1.92,2.78,4.2,0.97,2.3,2.95,3.98,0.4,1.95,0.65,5.1,,,,,0.32,2.7,3.4,6.25,0.86,2.6,3.05,4.4,0.9,1.12,3.2,3.97,1,1.2,1.6,,,0.9,,,0.65,1.3,2.1,3.2,,,,,,1.45,1.46,4.16,0.6,1.96,3.1,4.4,,2.4,3.2,4.5,2.1,1.55,,4.6,0.64,0.6,2.2,5.05,0.01,,3.32,3.15,1.2,,2.5,4.9,0.74,0.78,2.11,,,0.85,2.21,,0.63,,1.1,3.8,0.8,1.95,2.5,3.55,,
