station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
192800073060001,Ambadi,19.46666667,73.1,,,,,,,,,3.55,6.28,1,1.54,3.33,5.75,0.85,2.4,3.5,6.42,0.84,1.55,3.5,5.45,0.63,1.74,3.21,5.15,0.91,1.94,3.63,6.83,1.45,2.18,3.93,6.27,0.9,7.91,4.15,7.6,0.97,2.37,3.59,6.8,,,4.15,7.2,1.15,2.45,4.05,6.8,1.05,2.16,3.85,7.1,0.9,2.35,4.38,3.37,1.41,3.5,4.47,4.95,0.95,1.98,3.15,7.3,1.2,2.15,,,,2.32,4.78,,,,4.2,0.43,0.95,0.95,4.85,,0.65,3.5,5.1,7.28,0.9,1.65,,7.29,0.15,1.55,3.7,7.29,1,2.4,3.6,7,1.8,,,7.29,,,2.75,,,,,,,,,,1.05,,,,,
192200073050001,Angaon,19.36666667,73.08333333,,,,,,,,,1.8,4.96,0.67,0.81,1.7,4.62,0.46,1,1.48,4.73,0.62,0.6,1.56,4.59,0.39,0.89,1.63,2.58,0.57,1.04,1.91,4.9,1.3,1.02,1.67,,0.65,1.7,3,,0.37,1.1,1.06,4.55,,,2.65,4.55,0.78,2.05,2.75,4.55,0.53,1.21,2.5,4.55,0.7,1,4.55,1.67,0.7,2.4,3.05,,0.01,0.16,2.08,4.55,0.7,1.25,,5.45,1.5,2.61,4.12,,,1.1,2.63,1.12,0.5,1.48,1.83,,0.55,3.2,3.6,5.48,0.6,1.65,,5.49,0.42,1.25,2.65,5.5,1.3,2.35,3.4,5.5,1.1,,3.9,5.7,0.91,1.35,2.52,,,1.73,2.62,,1,1.15,1.6,5.4,0.7,,2.4,,,
195300073100001,Balkhapara,19.88333333,73.16666667,,,,,,,,,0.98,,0.18,0.23,1.25,4.66,0.7,0.5,1.3,4.3,0.18,0.5,2.23,2.75,0.49,0.5,1.24,2.24,0.45,0.82,1.48,2.6,0.3,0.68,1.64,2.68,0.45,0.75,2,5,0.35,0.41,1.25,3.65,,,1.49,4.3,0.25,1.45,1.65,3.33,0.53,0.43,1.45,3.65,0.55,0.5,1.78,1.61,0.75,2.85,1.73,,0.95,0.55,1.31,4.7,,0.25,2.1,,2,2.07,2.7,,,0.55,1.63,,,0.25,3.2,4.75,0.38,1.7,1.4,2.9,0.5,0.6,,5.04,0.38,0.6,1.41,5.04,0.7,1.6,2.3,4.16,0.8,,2,5.04,0.01,0.7,1.55,,,2.89,1.71,,0.8,0.45,1.05,3.7,,1.9,3,,,
191700072570001,Bhaindarpada,19.28333333,72.95,,,,,,,,,0.82,1.57,0.51,0.67,0.73,0.98,0.55,0.62,0.47,1.91,,0.6,0.76,1.2,0.76,0.77,0.72,2.12,0.48,0.65,1.06,6.42,0.01,3.81,1.06,2.38,0.2,2.92,2.8,2.7,0.01,2.39,2.35,2.8,,,2.04,3.28,0.01,1.95,5.4,3.42,0.12,3.42,5.45,3.35,0.65,4.5,5.42,0.01,2.41,4.7,5.1,4.95,0.01,3.1,3.51,4.6,2.1,2.2,3.8,4.4,,3.19,3.38,4.73,,2.52,2.94,0.03,0.43,2.15,3.1,4.51,0.36,3.4,3.6,3.1,,0.8,,6.4,0.5,0.75,4.4,5.3,0.05,1.1,4.8,5.1,1.4,,3.65,4.7,0.01,1.61,5.5,,,4.2,4.53,,1.45,5.1,5.7,5.22,1.05,1.98,2.45,1.75,,
192800073200001,Cherfully,19.46666667,73.33333333,,,,,,,,,0.95,1.6,0.57,1.35,1.15,1.13,0.35,2,1.38,1.75,0.41,1.3,1.37,1.71,0.9,1.35,1.26,1.25,0.49,1.51,1.38,1.54,0.8,1.58,1.81,,0.95,2.92,1.6,1.7,0.47,2.12,1.4,1.65,,,1.22,2.28,0.7,1.95,1.8,2.45,0.51,1.82,1.85,2.2,0.55,1.92,1.77,0.97,0.79,2.8,2.6,2.8,0.01,0.89,3.2,3.35,0.6,1.75,2,2.95,1.5,2.25,3.2,5.08,,,3.51,,1.24,,3.25,4.76,1.85,2.5,0.9,3.9,1.9,1.05,,3.05,1.75,2.6,3.5,5.8,1.55,3.05,3.28,6.52,2,,2.5,6.6,1.5,2.2,3.57,,,3.21,4.08,,1.8,3.65,3.2,5.15,1.6,4.75,4.5,4.7,,
190640073035001,Dahisar,19.11111111,73.06388889,,,,,,,,,2.52,6.2,1.23,1.59,2.4,7.08,1.4,2.1,1.67,6.03,1.3,1.8,1.75,4.5,1.61,,2.1,1.85,1.32,1.62,2.58,5.19,1.5,1.91,2.35,5.65,1.44,1.6,3.3,7.3,1.27,1.57,2.5,6.5,,,2.58,6.5,,1.15,2.65,6.85,1.4,1.54,3.8,3.21,0.9,1.43,2.92,1.27,0.27,,1.95,,2,1.55,1.57,5.1,0.3,,2,,,2.02,,3.61,,1.46,1.45,0.66,0.85,0.86,1.55,3.16,0.25,,2.4,2.1,,1,,5.25,2.63,2.58,3.6,4.3,3.25,4.2,4.6,,3.9,,6.2,6.49,1,4.78,6,,,4.6,4.05,,1.1,4.75,3.8,,,2.85,3.1,3.5,,
194000073050001,Gothanpada,19.66666667,73.08333333,,,,,,,,,3.34,5.01,0.01,0.74,2.8,5.12,0.32,1.5,3.01,5.01,0.22,0.8,3.08,5.6,0.48,1.13,3.12,3.87,0.31,1.81,3.34,4.53,0.45,1.11,2.74,,0.3,2.2,,6.6,0.4,2.63,2.9,5.25,,,3.7,5.85,0.48,1.9,3.85,6.35,0.44,1.5,3,6.35,0.75,1.6,3.6,2.87,0.75,2.9,3.97,6.15,0.01,1.45,2.95,4.15,0.6,1,2.4,4.25,1.5,2.35,4.55,5.97,,1.96,3.84,0.6,0.86,1.67,2.86,5.05,0.74,3,1.4,4.8,0.8,1.45,,7.2,0.77,1.66,3.5,4.92,0.55,2.4,3.9,4.42,0.9,,4.1,6.5,0.7,1.05,3.2,,,2.1,3.63,,0.8,2.05,2.9,5.27,0.5,3.05,3,4.1,,
193430073105501,Jogamargepada,19.575,73.18194444,,,,,,,,,4.18,6.25,0.27,2.56,4.38,6.14,0.43,3.35,4.05,5.96,0.21,1.8,3.95,6.02,1.26,2.35,4,5.94,0.41,2.9,4.28,6.4,0.45,2.97,4.67,,0.43,3.8,5,6.9,0.32,3.06,4.5,6.7,,,3.94,6.8,0.14,2.55,,6,1.17,2.73,4.5,6,0.5,2.67,4.83,5.95,1.24,4,4.72,,0.01,2.62,4.03,6,0.8,3.2,4.1,6.7,1.3,2.01,2.22,,,2.19,4.16,3.1,0.34,2.11,4.52,,0.86,3.1,4.8,6.69,0.4,2.5,,7,0.43,2.35,4.38,7,0.4,3,3.48,7,1.1,,,6.99,0.28,2.43,4.57,,,2.8,4.21,,1.4,2.4,3.62,6.2,0.5,,4.1,,,
195440073070001,Karahe,19.91111111,73.11666667,,,,,,,,,2.52,5.15,0.53,2.09,2.42,4.35,0.4,2.3,2.54,3.36,0.64,1.2,2.03,3.62,1.65,2.24,2.54,2.67,0.63,2.54,2.63,4.51,0.6,2.47,2.47,2.95,1.32,2.48,2.9,,1.05,2.25,2.78,4.35,,,2.91,5.3,1.28,2.2,2.9,5.3,1.44,2.28,2.8,4.1,0.85,2.35,2.85,2.92,1.51,3.2,2.04,,1.05,2.35,2.44,4.1,1.05,1.3,3.1,,1.7,3.26,3.65,,,2.35,2.93,0.7,0.74,1.56,2.64,4,0.71,1.9,2.9,5.25,1.15,2.4,,5.29,0.76,2.15,2.65,5.29,0.9,2.7,3.4,4.72,0.5,,2.9,5.29,0.8,2.11,2.72,,,2.23,3,,0.7,2.5,2.7,4.2,0.7,,2.8,,,
190950073181001,Katolwadi (Mulgaon),19.16388889,73.30277778,,,,,,,,,1.26,,0.1,0.15,1.28,3.34,0.1,0.82,1.08,4.1,0.01,0.2,0.76,3.4,0.08,0.12,1.19,1.3,0.04,0.59,,5.28,0.01,0.27,1.56,,0.01,0.9,2,6.8,0.34,1.06,2,5.1,,,1.92,5.1,0.22,0.35,2.1,5.1,0.83,0.67,2.2,5.35,0.7,1,2.85,0.8,0.45,1.7,2.9,6.25,0.01,1.15,2.16,5.55,0.3,0.2,0.9,2.55,1,2.02,2.21,6.52,,1.34,3.36,0.95,0.3,0.3,2.1,4.5,0.5,2.2,1.8,2.9,,0.25,,3.5,0.48,1.1,2.47,5.3,1.3,1.1,1.17,3.52,0.6,,3.2,4.8,0.01,0.92,2.05,,,1.3,2.55,,0.3,1.1,1.5,2.9,0.55,1.3,2.5,0,,
