station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
211232086234001,Agarpara,21.20888889,86.39444444,,,,,4.81,5.62,4.01,3.72,4.37,5.56,5.05,4.95,5.43,6.03,4.58,4.45,4.83,5.42,5.25,4.34,4.97,5.71,4.53,,4.39,5.21,4.33,4.26,4.74,5.8,3.65,4.08,5.62,6.11,5.52,4.87,5.32,5.95,4.57,4.73,6.48,5.55,3.83,3.89,4.84,5.75,4.94,4.02,4.74,6.12,4.1,4.01,4.93,5.88,4.02,4.23,7.8,5.48,4,4.23,3.84,4.96,3.4,3.4,4.54,4.74,1.1,3.62,4.02,5.16,3.85,4.26,6.34,6.6,,5.29,4.2,7.4,5.08,2.14,3.05,,2.4,2.51,3.59,2.58,2.58,2.67,,6.17,,4.3,,6.2,6.23,4.95,,4.25,0.13,,3.58,6.33,2.58,0.83,3.13,,,1.43,3.63,,3.13,3.23,3.63,4.73,2.63,1.53,3.63,4.53,3.18,
204432086462501,Chandbali,20.74222222,86.77361111,,,,,2.62,3.81,3.04,2.62,2.76,3.68,1.81,3.4,3.25,4.05,3.47,3.86,4.09,3.87,1.59,0.81,4.27,4.77,4.27,,,4.22,,,,,0.52,,,,3.34,,,,,,,,0.92,,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,1.12,
205508086265201,Dhamnagar,20.91888889,86.44777778,,,,,3.54,4.53,2.83,2.69,2.79,5.27,2.04,1.03,3.29,3.34,2.64,2.79,3.48,4.39,2.69,2.2,3.85,5.04,2.74,,3.63,,2.84,,,4.14,2.61,2.97,3.14,6.19,2.45,2.64,,4.19,2.01,1.62,3.64,,,,4.02,5,2.79,,,6.13,2.04,2.57,4.12,5.09,0.95,4.84,,4.96,,,3.45,4.91,1.63,2.84,4.95,5.31,2.53,4.92,5.17,4.45,4.45,4.69,,5.85,,5.47,6.29,7.13,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,,,,,,,,,1.84,3.54,1.61,
205112086460201,Motto,20.85333333,86.76722222,,,,,2.06,2.65,,0.68,1.7,2.91,2.38,2.57,2.75,3.45,1.9,1.67,2.22,2.67,3.48,2.65,2.47,3.9,1.95,,1.9,2.67,2.3,2.1,2.53,3.33,1.1,1.36,1.39,4.38,2.31,,1.95,2.6,1.44,1.15,1.8,2.56,2.1,2.63,2.03,2.78,1.66,3.62,2.53,4.68,1.96,1.8,2.23,3,2.33,4.53,2.06,2.63,0.52,1.33,1.91,2.59,1.69,3.11,4.6,2.47,0.44,0.48,2.41,4.88,4.43,4.5,,4.78,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
210218086340501,Tihidi,21.03833333,86.56805556,,,,,1.22,1.01,0.27,0.37,0.8,0.83,0.22,0.69,0.98,2.06,0.25,0.9,1.76,0.53,,0.46,1.9,,0.45,,0.99,0.75,0.4,0.65,1.15,1.54,0.1,0.92,0.95,1.15,0.07,,0.81,1.28,0.26,0.39,0.75,1.15,0.33,0.73,1.04,0.74,,1.19,1.15,1.92,0.61,,1.93,2.85,2.51,,1.05,,,,0.51,,0.17,0.6,3.7,,,,,0.51,0.32,0.85,,3.99,,3.87,4.38,7.81,4.51,,3.7,,2.51,2.7,3.73,4.71,2.63,2.87,,2.7,0.6,,,2.3,1.45,0.94,1.59,1.3,0.44,,1.55,2.85,0.3,0.6,1.4,,1.4,0.8,1.5,,0.6,0.8,1.2,1.9,0.4,2.3,1.4,1.1,1.32,
210327086384501,Basudevpur-I,21.0575,86.64583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,5.48,,,,,2.6,3.3,2.62,,,,4.71,5.38,1.51,,,,,,,,0.89,3.22,3.77,5.62,,,3.29,6.89,4.21,3.18,3.39,6.21,,,,,,,,6.48,,,,,5.65,4.1,4.4,5.94,3.84,,3.64,,,,,,,,7.7,,,,,,,,,,,
210715086442001,Bagdavinayakpur,21.12083333,86.73888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58,,,,4.51,,,3.23,6.39,1.91,,3.5,2.49,,,,2.97,,,5.2,,,,5.15,,,,2.7,4.31,,1.48,2.79,4.2,0.51,0.48,1.68,4.13,,0.71,,5.5,0.9,,,5,2.17,1.22,3.14,3.17,0.84,,2.39,4.79,0.49,0.59,1.39,,0.79,,1.59,,1.59,1.59,1.79,3.29,1.39,0.89,1.69,,,
210806086310401,Ada Sasan,21.135,86.51777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.18,5.41,2.7,1.31,2.51,4.91,0.34,0.28,2.63,5.13,,0.41,3.37,4.53,0.38,1.35,,4.25,0.96,0.7,2.5,2.83,0.05,,,3.9,0.1,0.8,1.3,,0.6,,1.7,,0.6,0.8,1.8,3.6,0.5,0.9,1.9,0,0.32,
210135086324001,Bentola,21.02638889,86.54444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21,6.21,2.4,1.31,3.21,5.68,1.04,1.14,3.38,5.21,1.38,1.27,2.5,3.35,0.8,1.88,,3.2,1.81,1.55,2.44,2.66,0.7,,2.4,3.2,0.5,0.7,,,,0.8,1.9,,1.7,1.9,2,,1.4,0.9,1.9,0,,
210147086312101,Durgapur,21.02972222,86.5225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72,5.67,3.31,2.3,2.72,4.48,1.62,1.72,2.91,3.88,1.75,2.05,1.86,2.25,0.7,1.28,,2.95,1.23,1,1.9,1.75,0.25,,1.74,1.9,0.2,1.1,1.7,,,1.3,2,,1.7,1.7,2.1,3.3,1.6,1.4,2.2,0,0.92,
