station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
192922084105601,Adaba,19.48944444,84.18222222,,,,,4.3,6.36,1.51,1.63,3.11,5.65,4.24,3.2,4.87,6.75,2.83,2.78,3.8,3.82,2.36,2.61,3.85,6.2,4.03,,3.93,5.38,4.35,5.21,7.04,,1.64,3.26,4.66,7.98,7.09,6.08,6.88,7.89,5.66,1.96,3.66,4.33,2.87,3.09,5.03,6.56,2.29,,7.04,5.78,1.77,2.51,3.91,5.11,1.72,,2.81,,,2.56,,,,,,6.46,3,0.87,3.52,4.51,1.74,3.82,4.76,6.22,,2.49,4.01,5.95,2.3,2.6,3.55,5.37,2.65,2.45,3.78,5.65,3.87,3.4,,6.8,3.92,3.5,4.7,6.35,1.35,2.32,4.46,5.86,2.96,,3.86,,1.46,2.46,3.53,,,2.36,3.04,,3.66,2.56,3.16,4.36,1.91,2.81,3.97,5.46,3.86,
193322084093601,Damadua,19.55611111,84.16,,,,,3.26,4.81,2.05,1.17,3.62,4.47,3.56,3.59,4.55,4.78,1.96,3.25,4,4.3,2.53,2.65,1.18,4.94,1.42,,3.81,3.98,0.53,2.27,3.31,4.82,1.47,1.89,4.1,5.69,1.23,5.22,4.91,6.52,2.63,1.95,3.96,4.16,2.72,2.87,4.11,,,,3.31,4.5,2.82,2.88,3.98,,0.32,,,,,0.62,,,,,,,,,,,,,,,,,,,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,1,2.14,,1.28,1.1,1.8,4.4,0.35,1.73,2.05,3.72,1.6,
185122083524801,Kasinagar,18.85611111,83.88,,,,,4.11,6.4,1.53,1.32,3.41,5.53,3.87,3.63,4.62,3.61,1.78,2.53,2.28,,1.8,1.34,2.7,4.2,1.41,,3.11,4.51,0.74,1.96,3.21,4.52,2.59,1.77,3.55,4.97,3.74,3.24,3.69,6.06,2.58,0.97,7.83,5.27,1.56,2.58,4.71,,,,3.21,,,1.71,,6.34,,,2.06,,,,,3.89,1.91,2.22,,6.82,1.26,1.38,2.76,,0.68,,3.69,4.16,,0.6,3.5,2.1,,2.46,4.55,5.83,2.06,1.5,2.66,6.28,5.77,3.78,,3.2,5.81,3.04,4.73,3.88,,1.2,5.15,4.95,1.7,,,,1.85,2.4,2.97,,,1.75,3.04,,5.15,0.57,2.55,5.7,1.63,2.47,3.35,5.6,4.05,
184838084083401,Kattalakanita,18.81055556,84.14277778,,,,,4.95,7.21,3.09,2.07,4.36,7.97,4.96,3.86,5.91,7.81,3.01,4.13,6.53,8.13,2.98,2.89,4.64,,3.25,,4.56,8.03,1.88,2.79,3.19,6.29,2.28,2.65,4.33,6.07,0.81,3.95,4.74,7.85,2.45,2.08,4.2,6.16,2.68,3.25,4.7,6.13,2.01,,3.19,,1.71,,,6.34,2.54,3.95,4.04,,1.91,3,5.6,6.83,3.03,3.41,4.89,6.83,2.5,1.92,3.02,6.81,1.8,3.82,5.25,6.42,,1.31,4.73,6.35,2.55,2.75,3.9,6.05,1.83,2.45,4.01,6.11,2.72,3.58,,5.33,2.63,3.67,4.75,5.04,2,2.14,4.18,4.28,2.03,,4.73,,3.03,1.83,2.54,,,1.83,2.83,,1.43,0.78,2.08,4.73,1.08,1.93,1.94,4.39,2.81,
190355084053401,Khajuripara,19.06527778,84.09277778,,,,,3.28,4.54,1.22,1,3.43,4.6,2.07,3.19,3.94,4.68,1.11,2.76,3.94,4.54,1.82,2.69,3.43,4.48,1.75,,2.67,4.24,1.62,2.96,3.9,4.41,2.33,2.35,4.04,4.54,1.3,3.32,3.95,5.79,1.18,1.57,3.87,4.55,2.04,2.85,3.97,4.54,1.91,,3.9,,,,,,1.39,2.04,2.19,6.04,,1.84,,5.6,3.57,3.98,3.67,,,,,,,,,,,,,,,2.97,,,,,,2.03,2.03,2.56,,,,2.97,3.44,,,,,,2.04,,,,1.29,2.04,2.94,,,2.49,2.93,,2.55,2.34,2.99,3.54,1.64,2.64,3.54,6.79,4.63,
192734084214501,Luhaguda,19.45944444,84.3625,,,,,3.9,6.6,0.88,0.6,3.08,6.82,1.08,2.13,4.2,5.42,1.35,2.7,3.45,3.3,1.61,1.4,3.05,6.85,2.54,,4.34,6.28,1.08,3.13,4.26,6.25,1.29,2.05,3.3,6.91,1.29,3.01,5.8,7.06,1.01,1.08,3.44,3.26,1.32,2.48,5.02,6.9,0.8,,4.26,6.6,1.47,2.21,4,6.43,1.32,1.7,1.96,5.01,0.95,,2.45,3.81,1.06,1.44,3.16,7.88,1.03,0.84,2.37,7,0.77,2.62,3.28,8.58,,5.01,3.55,8.91,1.6,2.12,4.16,6.44,1.18,1.86,4.1,7.23,1.45,2.11,,7.93,3.94,2.83,5.53,8.65,0.85,1.51,7.4,8.1,,,4.8,,1.05,2.8,3.25,,,2.15,4.8,,1.7,0.8,2.57,7.1,1.5,2.95,3.5,4.41,3.48,
192618084160601,Mohana,19.43833333,84.26833333,,,,,4.2,,0.94,0.53,2.23,5.73,1.48,2.14,2.94,2.63,2.02,2.58,6.88,6.51,5.33,1.41,2.11,7.56,8.92,,7.33,,4.1,5.38,3.59,,1.24,2.06,5.38,4.59,2.13,2.49,4.88,7.09,6.89,0.75,5.06,4.8,8.57,7,6.96,,1.68,,3.59,4.88,0.92,1.3,,,1.06,1.3,1.83,4.99,2.66,0.68,2.36,5,2.4,3.05,6.02,7.21,1.49,0.91,2.67,7.77,0.81,4.16,7.33,11.04,,1.7,5.33,9.03,1.47,1.9,4.4,8.11,4.5,1.57,5.4,9.8,7.87,3.31,,9.87,6.82,4.27,7.37,11.25,2.1,1.41,7.78,11.28,6.38,,6.63,,2.38,1.78,5.63,,,2.08,5.68,,5.58,1.48,2.26,8.78,1.13,1.73,7.43,9.27,6.06,
185225084113101,Narayanpur,18.87361111,84.19194444,,,,,4.63,6.17,2.31,2.01,3.72,5.63,4.64,3.27,4.79,5.94,2.67,3.43,5.85,6.07,3.44,3.33,4.18,5.85,3.71,,4.64,6.23,2.8,3.29,4.55,6.08,2.13,3.3,,6.3,0.91,5.05,5.66,6.21,4.13,1.19,4.42,5.63,3.61,3.66,4.67,6.06,4.47,,4.55,,1.84,,,5.8,2.34,2.73,2.89,,2.11,1.92,3.52,5.86,2.06,2.69,4.46,5.4,2,1.87,3.14,4.75,1.3,3.14,4.58,,,1.71,3.68,5.65,,1.72,2.88,4.55,0.2,1.47,3,4.65,2.31,2.21,,4.93,2.25,2.62,3.86,5.69,0.1,2.78,4.88,4.88,2.48,,4.93,,2.08,2.13,3.8,,,2.63,4.03,,4.13,2.81,3.78,5.83,2.4,3.21,4.78,6.78,4.93,
184615084061501,Parlakhemundi,18.77083333,84.10416667,,,,,3.5,4.45,1.8,0.61,2.31,4.14,3.27,3.03,3.93,3.82,,2.65,3.59,3.93,2.7,2.62,3.35,4.49,2.43,,,4.41,0.78,1.62,2.8,4.17,1.87,2.22,3.65,4.22,3.19,2.02,4.23,4.48,2.78,1.18,3.26,3.75,2.3,2.21,3.27,3.3,1.4,1.15,2.8,,0.56,,,4.63,2.56,4.16,3.67,8.91,1.23,4.1,3.54,4.14,2.36,3.4,3.8,5.41,1.42,1.07,2.12,3.24,0.63,2.41,3.28,3.58,,0.92,3.12,3.65,1.66,1.19,2.45,3.61,0.85,0.95,2.5,3.64,2.71,3.07,,3.9,2.31,2.85,3.35,4.16,0.52,1.93,3.4,3.3,1.8,,3.6,,1.85,1.6,2.58,,,2.15,3.06,,2.03,2.33,2.65,3,1.78,2.25,3.25,5.29,1.95,
185315084094001,Raygarh,18.8875,84.16111111,,,,,3.27,3.29,1.69,1.64,2.09,3.07,1.9,2.2,1.13,2.4,1.51,2.16,2.31,3.45,1.91,2.1,2.07,4.03,2.19,,2.46,3.61,2.07,3.16,4.25,4.35,1.9,1.93,2.51,,1.46,,5.21,,1.56,1.62,2.04,2.21,1.9,1.93,2.32,3.47,1.63,,4.25,,1.56,,,4.79,1.52,1.78,2.31,8.29,7.98,1.79,2.79,4.6,1.58,1.67,2.47,8.79,1.52,1.6,1.94,2.11,1.42,1.94,2.33,,,1.22,2.16,5.65,1.6,1.65,2.35,2.38,2.1,2.24,2.47,3.04,2.36,3.01,,3.35,1.2,2.35,2.6,3.49,1.9,1.54,2.01,2.56,0.91,,2.36,,1.86,3.01,0.71,,,1.73,1.91,,1.66,1.36,1.71,2.43,1.51,1.71,1.99,4.12,3.76,
