station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
201157083543001,Baliguda,20.19916667,83.90833333,,,,,7.01,9.49,5.2,5.3,7.2,10,6.98,7.5,9.94,11.18,1.75,6.53,7.61,9.95,7.6,6.56,7.99,10.9,6.07,,,10.41,4.42,8.22,8.3,10.8,4.11,6.5,8.1,10.3,7.69,7.1,9.5,10.85,1.11,5.16,7.5,10.05,3.91,5.83,7.72,10.1,2.52,3.9,8.1,10.2,1.67,4.1,8.3,10.35,1.83,3.45,8.7,10.9,3.6,2.8,8.3,11.9,,4.3,8.2,11.6,5.8,,,,,,,,,6.5,,,,,,,,,,,,,,,3.5,6.7,8.75,,6.78,5.45,6.55,8.93,6.7,,7,8.2,5.4,6.28,6.93,,,,6.4,,6,6.5,8.05,10.4,1.3,5.81,6.98,9.75,2.1,
194239083400201,Bandapipali,19.71083333,83.66722222,,,,,4.35,7.24,2,2.39,4.64,7.42,1.88,5.18,6.73,8.01,2.2,4.87,5.81,7.55,5.54,3.57,5.38,7.67,1.71,,6.46,8.27,1.72,10.26,4.82,6,1.77,3.04,4.74,6.04,3.47,4.56,6.54,6.98,1.6,2.26,3.43,5.64,2.88,2.79,4.48,5.89,1.21,1.27,1.24,5.52,,1.97,0.88,5.62,2.49,2.59,4.34,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.39,,,,
195435084072001,Daringbadi,19.90972222,84.12222222,,,,,9.97,11.59,9.47,5.63,9.11,11.82,12.48,10.21,11.69,13.58,7.53,8.35,8.52,10.63,10.41,8.48,8.94,11.91,12.29,,10.58,,9.43,9.09,9.09,12.44,6.88,8.31,9.76,11.41,11.4,9,10.51,11.93,10.19,6.54,9.65,11.11,8.53,7.99,9.65,11.19,10.7,7.81,7.92,10.72,3.28,7.41,7.95,11.11,7.59,7.51,10.01,11.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45,,,6.17,,,,,,,,,8.41,,,,,8.11,,8.91,8.71,9.96,10.11,6.21,7.34,9.26,8.96,11.2,
203030084090601,Dubagarh,20.50833333,84.15166667,,,,,3.2,3.85,1.24,2.54,3.2,5.14,2.72,3.53,5.01,,1.2,2.92,3.05,11.05,7.04,1.87,3.47,5.58,2.38,,3.57,5.18,2.18,6.92,7.01,,2.28,3.25,3.85,5.5,1.86,7.93,4.72,,,2.62,3.72,5.66,2.47,2.89,3.6,5.28,1.58,2.8,3.41,4.22,0.03,2.69,3.27,4.9,2.25,3.4,4.6,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,3.65,3.85,,3.28,3.1,4.55,6.4,3.5,,,6.2,4.2,3.22,4.15,,3.25,2.4,4.4,,6.4,6.35,3.55,5.35,2.3,3.08,3.5,6.4,2.1,
200537084085501,Gunjibadi,20.09361111,84.14861111,,,,,8.65,9.15,4.31,,8.37,9.38,5.25,8.76,9.48,9.35,5.51,8.25,8.69,10.02,10.05,8.69,10.03,10.15,8.31,,9.21,9.83,7.22,8.31,10.27,,5.89,8.35,8.85,9.5,5.72,9.15,9.9,10.08,3.47,7.62,9.15,9.35,7.86,8.22,8.66,9.4,4.29,8.1,8.45,9.56,3.24,8.13,8.52,3.94,6.98,7.95,8.35,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9.85,9.5,,8.35,8.95,9.85,10.35,5.45,,8.75,9.7,5.35,8.43,9.17,,4.85,6.85,9.35,,9.05,10.15,9.85,6.95,3.25,4.64,,10.77,3.2,
200927084251501,Kalinga,20.1575,84.42083333,,,,,10.05,11.52,8.73,4.11,9.81,11.59,9.54,8.37,10.06,12.18,5.33,9.01,9.2,11.43,10.53,8.45,9.61,11.08,10.79,,10.25,11.11,9.13,6.99,9.64,11.77,8.46,8.51,10.21,11.31,4.14,7.33,9.39,11.85,9.48,7.14,9.08,11.61,9.49,8.69,9.4,11.26,4.41,8.61,8.82,10.39,3.02,6.22,8.78,8.57,2.89,5.61,9.21,10.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10.5,7.9,,,10.21,11.26,9.61,5.16,,6.01,9.51,5.76,,,,,,,,,,,,,,8.31,,,
202845084052201,Katringia,20.47916667,84.08944444,,,,,9.82,11.11,3.24,6.63,8.63,12.34,8.35,10.65,11.46,12.68,2.2,9.09,0.95,12.17,3.59,7.26,8.98,11.4,7,,9.19,12.77,4.5,10.65,9.09,9.63,3.2,8.43,9.23,12.13,3.79,8.81,10.63,12.33,,6.85,10.25,12.43,6.71,8.08,10.54,12.33,2.59,7.6,7.73,10.6,3.85,8.49,5.51,12.43,6.99,7.68,10.93,12.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,9.5,9.5,,4.19,9.43,10.33,10.43,5.58,,,9.03,5.48,9.48,9.98,,4.53,8.48,10.23,,8.28,8.06,7.83,8.73,3.48,7.41,8.08,11.85,1.7,
202626084242301,Khajuripada,20.44055556,84.40638889,,,,,7.27,8.9,4.64,4.98,6.96,10.03,6.08,6.7,7.86,8.5,3.34,6.28,7.22,8.38,7.48,6.53,7.46,9.38,6.51,,7.24,8.97,6.9,9.26,8.15,9.78,4.03,6.08,7.58,9.68,3.89,3.42,7.68,8.85,5.08,4.67,12.71,9.65,6.18,6.87,8.45,10.11,3.82,6.71,6.96,10.02,3.13,6.22,5.86,6.87,5.85,6.65,7.85,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.6,3.2,,5.43,3.15,7.8,8.85,2.95,,8.9,6.05,3.25,4.85,5.55,,2.65,3.65,5.15,,8.65,4.13,4.9,6.35,2.15,6.85,5.25,8.2,2.6,
200335083452501,Kurtamgarh,20.05972222,83.75694444,,,,,6.47,6.25,3.7,5.44,6.36,7.9,3.56,6.19,7.2,8.24,1.32,6.05,6.83,8.12,6.9,6.34,6.95,8.65,4.96,,6.85,8,3.72,5.38,6.9,7.66,2.73,6.3,,8.5,6.03,6.74,7.9,9.18,0.63,5.07,6.94,8.53,3.37,5.57,6.83,8.42,0.94,5.61,6.21,8.57,1,4.51,6.33,3.14,3.02,5.75,7.4,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,8.1,4,,7,7.6,4.6,6.34,7.1,,4,5.9,6.75,,6.5,6.92,7,7.95,1.55,7.06,6.9,6.82,,
200808084002001,Nuagaon2,20.13555556,84.00555556,,,,,7.84,8.92,4.56,6.6,8.6,10.06,5.85,9.26,8.2,9.12,3.31,8.4,8.48,9.42,8.76,8.7,8.88,10.6,6.18,,8.66,10,3.98,4.42,9.87,10.2,4.32,7.6,,,4.11,7.78,9.4,7.8,1.27,,,,4.54,8.6,9.17,9.77,2.58,7.61,8.28,9.7,3.18,3.35,8.21,9.94,4.4,10.53,10.53,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8.86,9.4,,5.75,8.2,9.35,10.3,5.65,,8.4,10.05,6.05,8.12,8.55,,5.1,6.7,9,,6.9,,8.6,9.15,4.05,6.85,8.25,11.32,,
