station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
181158081472001,Badili,18.19944444,81.78888889,,,,,2.86,6.33,1.64,2.05,3.8,6.55,0.76,2.4,4.12,6.9,0.49,2.01,3.38,4.18,1.67,1.74,3.57,2.36,1.18,,3.4,2.8,2.12,2.12,3.55,3.68,,1.95,,5.22,0.92,2.21,3.97,6.11,0.72,1.68,3,3.5,0.1,,,6.22,1.02,,3.55,,,2.68,4.82,3.85,0.35,,2.7,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,0.54,
181508082061501,Balimela,18.25222222,82.10416667,,,,,1.93,2.94,1.9,1.35,2.14,3.01,0.48,1.57,2.37,5.73,0.7,1.19,1.85,2.73,0.95,0.92,1.76,,1.22,,2.2,1.56,0.9,1.3,1.38,1.69,1.74,1.29,1.2,1.7,0.77,1.25,1.43,2.41,0.73,1.08,1.3,2.5,0.8,1.25,1.65,2.5,1.1,1.09,1.38,2.37,0.65,3.7,2.48,2.55,0.75,1.25,1.95,1.95,,2.35,1.85,3.05,0.95,1.75,2.15,3.05,1.25,1.15,1.55,2.95,1.15,2.05,2.05,4.25,,1.05,1.8,2.7,1.02,3.9,3.65,2.6,0.9,1.9,1.6,2,0.4,1.3,,3.5,0.4,1.8,2.7,1.9,1,0.45,0.85,4.85,0.8,,3.55,,0.75,1.54,3.01,,,1.15,1.7,,,1.23,1.07,2.13,0.27,0.4,,1.94,0.71,
182809082030901,Bejaguda,18.46916667,82.0525,,,,,3.81,6.83,1.65,3.15,5.28,9.56,1.21,3.4,5.42,6.85,1.11,4.41,5.76,7.5,1.82,1.97,4.8,8.27,5.27,,,8.55,5.77,5.51,6.97,9.28,1.23,5.78,7.59,7,,5.31,7.59,9.69,,2.9,6,7.9,1.3,3.79,5.97,7.12,1.41,3.56,6.97,,0.85,4.64,6.72,7.7,,3.55,4.6,4.6,,3.6,4.9,8.8,2.8,3.45,5.1,9.3,1.3,3.1,5.3,7.8,1.25,4.6,6.3,8.6,,3.95,6.05,7.9,1.05,3.9,6.15,7.15,0.5,3.9,6.2,8.25,0.65,4.2,,7.2,0.7,4.1,6.25,7.25,0.85,0.4,1.3,8.5,0.7,,6,,1.8,5.75,,,,5.71,6.5,,4.92,0.52,0.35,3.26,0.5,0.32,,1.44,0.88,
180603081535501,Bhejangawara,18.10083333,81.89861111,,,,,3.41,5.26,2.16,1.78,3.87,5.92,0.72,1.6,3.77,5.11,0.69,2.18,3.4,4.85,0.64,0.73,2.72,4.73,3.11,,3.6,3.82,3.06,2.24,3.96,,,,,,,,,,,,,,,,,,,,3.96,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180630082065501,Chitrakonda,18.10833333,82.11527778,,,,,7.67,8.42,8.36,7.58,7.68,8.11,7.3,7.65,7.55,10.29,7.64,7.7,8.33,8.4,7.62,1.07,8.89,8.43,3.42,,8.35,8.17,,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180428081450802,Kalimela1,18.07444444,81.75222222,,,,,1.63,3.72,3.16,2.07,3.02,5.02,0.97,1.95,2.68,3.3,0.99,0.92,1.73,1,1.01,1.09,2.56,2,0.94,,4.82,1.9,2.44,1.59,2.04,2.59,,,,,,,,,,,1.42,2.92,0.92,,,,1.34,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174950081235501,Motu,17.83055556,81.39861111,,,,,6.76,8.06,6.17,4.85,6.39,,5.96,5.7,7.1,8.7,9.24,7.74,8.35,10.4,9.06,7.72,10.14,9.82,5.85,,6.8,8.67,5.02,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180830081363601,M.v.58,18.14166667,81.61,,,,,1.96,5.45,1.53,1.02,2.26,7.53,0.66,1.23,2.64,6.63,0.57,1.34,3.2,7.16,0.82,0.91,2.32,7.48,4.45,,4.29,8.19,4.15,2.08,4.91,8.16,,,,,,,,,,,,5.04,2.79,,,,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.32,,
180925081480001,M.v.64,18.15694444,81.8,,,,,4.46,7.07,2.12,2.63,4.26,7.24,0.96,2.98,4.57,5.38,0.54,2.72,3.64,4.9,1.48,3.73,3.61,7.21,5.21,,4.71,8.02,4.6,3.81,5.65,8.03,,,7.01,,0.91,3.27,5.06,25.11,0.73,2.67,,2.81,0.71,,,8.43,1.36,,5.65,,0.71,,,1.26,0.86,,4.46,,,,,2.71,,1.36,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175906081354201,M.v.79,17.985,81.595,,,,,2.94,4.48,2.18,2.75,3.37,5.28,1.18,2.55,3.77,4.67,2.02,3.55,4.47,6.35,2.05,2.7,6.47,5.15,2.54,,3.65,4.63,3.01,2.8,3.78,4.72,,,,,,,,,,,,,,,,,,2.95,,,,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
