station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
214730087075201,Amarda village,21.79166667,87.13111111,,,,,4.57,7.08,1.55,2.32,3.17,11.36,1.29,3.46,5.1,8.15,0.85,2.27,4.26,4.33,3.73,2.22,3.9,3.91,1.2,,3.87,7,2.35,4.39,5.1,6.25,1.32,1.78,3.95,9.95,1.36,3.08,4.75,11.1,1.78,1.45,3.13,10.97,1.18,1.84,3.97,4.85,1.21,2.11,5.1,5.31,0.94,2.05,3.9,8.6,1.46,4.44,4,8.76,2.55,,,4.08,0.52,1.21,5.06,4.45,1.46,3.44,4.28,6.68,4.22,4.35,5.85,6.54,,3.84,4.5,6.16,2,2.12,2.92,4.38,1.8,2.61,3,4.88,1.99,2.33,,4.95,2.61,2.68,3.2,5.02,2.07,1.95,3.85,4.41,1.3,,,3.65,0.85,1.65,1.85,,1.45,1.65,2.45,,2.85,1.85,2.65,5.65,1.25,1.65,3.65,,0.78,
220450086140801,Badampahad-1,22.08055556,86.23555556,,,,,10.07,12.6,2.38,5.56,8.6,12.43,2.33,8.56,10.45,,2.14,5.66,8.01,8.41,7.01,5.08,8.41,12.18,1.98,,7.54,10.39,6.23,7.18,9.66,10.97,2.13,6.62,9.17,11.22,7.54,6.18,9.5,12.07,2.93,3.62,8.59,11.72,1.82,6.12,8.2,11.07,,5.74,,,,,,,,,,,1.67,,,,,6.57,,,,4.44,,,,3.79,7.54,,,,,10.52,,5.11,5.69,,3.8,5.18,5.92,9.88,5.11,5.9,,9.9,5.38,5.98,6.25,9.95,0.32,5.23,7.72,,,,8.02,5.52,2.45,6.72,,,5.47,6.02,7.97,,6.07,5.47,5.92,7.27,5.53,5.64,7.52,8.85,4.55,
214335086443001,Badasahi,21.72638889,86.74166667,,,,,5.42,8.07,0.94,2.1,3.59,8.67,1.07,3.87,5.36,4.52,1.44,3.19,4.45,4.64,2.19,2.29,3.86,4.22,1.3,,3.62,4.41,1.34,3.8,4.47,4.82,0.87,2.32,4.07,4.08,0.49,3.15,4.04,3.07,1.31,1.44,3.26,4.22,1.09,1.64,3.88,8.19,5.88,3.02,4.47,7.72,5.61,6.22,7.85,7.85,1.22,4.31,3.7,7.82,1.38,6.49,6.83,7.85,5.73,1.85,4.95,7.75,2.45,5.19,7.42,6.95,3.58,4.8,6.83,7.5,,5.48,3.12,2.9,1.4,1.94,2.44,4.64,1.26,2.36,3.01,4.6,1.66,2.66,,4.98,1.82,2.55,3.15,5.52,,2.15,2.8,1.55,0.77,,2.82,3.32,0.62,1.22,2.02,,0.92,2.12,2.82,,1.12,1.52,3.02,3.52,0.82,,,,,
215850087011001,Bagra,21.98055556,87.01944444,,,,,3.75,4.93,2.4,1.95,2.8,4.43,0.82,2.9,4.06,4.72,1.09,3.11,4.02,2.98,2.32,2.3,3.95,3.85,1.77,,4.97,4.75,2.2,2.48,4.3,5,0.8,2.19,,,6.19,,,,,,2.62,4.55,1.05,2.52,3.14,4.3,0.61,1.2,4.3,4.9,0.6,0.4,3.9,4.58,0.55,0.45,1.6,4.71,0.1,0.7,,3.7,0.14,1.4,4.59,4,0.59,1.27,3.59,2.71,3.01,4.1,5.3,5.59,,3.65,4.68,5.8,1.6,2.08,3.18,,1.06,2.86,3.27,7.32,1.08,3.09,,7.35,1.74,3.18,3.22,7.4,,2,3.56,2.78,1.88,,3.47,2.45,0.4,2.5,3.3,,2,2.6,3.9,,,,,,,,9.1,,,
222318086053201,Bahalda,22.38833333,86.09222222,,,,,1.64,8.33,1.04,1,2.03,6.82,0.98,1.66,5.51,7.9,1.26,1.39,1.43,1.97,0.92,1.1,1.55,6.25,0.86,,1.69,2.2,1,1.75,4.78,4.81,0.85,1.6,4.55,7.3,1.05,1.04,2.9,7.73,3.4,1.9,2.58,6.9,0.87,1.65,2.75,6.77,1.4,1.43,1.98,5.72,1.03,1.46,2.1,6.4,0.9,1.22,2.7,6.52,0.95,1.61,2.8,7.03,1.03,3,3.26,7.56,8.07,8.18,,10.8,2.22,2.92,4.34,6.78,,3.12,4.55,7.6,1,2.05,3.9,6.21,0.95,2.98,4.06,6.13,0.98,3.29,,6.42,,3.22,4.06,6.67,0.5,1.2,1.83,6.1,0.53,,2.1,3.8,,,,,,,,,,,,,,,5.25,7.8,2.64,
222630086100001,Bahalda Road(kona),22.44166667,86.16666667,,,,,2.3,4.27,4.71,0.98,1.93,4.32,4.54,2.21,4.8,5.03,2.81,1.91,2.34,7.4,3.25,5.01,5.3,,3.01,,5.07,9.11,3.08,2.41,3.71,9.19,0.78,2.17,6.46,5.21,1.36,2.79,8.02,8.36,1.2,1.65,3.07,4.91,1.32,2.71,4.17,5.21,1.84,2.28,3.51,4.91,0.83,2.21,4.32,5.11,1.01,2.16,4.17,5.29,1.16,,,6.27,2.53,3.16,4.27,6.34,7.52,7.63,7.88,7.91,3.19,2.89,4.16,6.05,,3.95,4.75,6.91,1.7,2.36,4.13,5.98,1.19,2.71,4.25,1.32,1.32,3.08,,6.13,1.39,3.15,4.26,6.79,0.16,1.36,2.83,5.01,0.25,,3.61,1.61,,,2.11,,2.42,2.49,2.39,,2.26,2.08,2.39,3.51,2.42,2.31,3.26,4.7,0.11,
214613086415201,Baidipur,21.77027778,86.69777778,,,,,13.4,15.95,1.2,2.14,3.55,14.59,1.07,5.45,11.53,7.4,1.17,3.55,6.17,7.3,0.78,2.73,4.98,6.1,1.4,,4.7,12.52,1.7,3.32,7.73,4.48,0.84,2.44,5.58,,0.37,3.55,9.78,12.3,1.01,1.67,4.25,13.6,1.05,2.65,10.75,,,3.12,7.73,7.71,0.54,,,9.95,4.32,5.9,4.93,9.79,2.43,3.6,,2.51,0.48,2.39,5.55,7.17,1.7,5.99,6.91,6.23,5.03,5.4,6.71,8.03,,5.25,6.45,5.18,1.42,1.84,2.99,,1.4,2.13,3.16,1.75,1.75,2.25,,5.12,1.96,2.65,3.11,5.11,2.3,2.15,5.44,3.48,1.17,,4.7,3.5,,2,4,,1.35,3.1,5,,1.7,3,4.7,9.2,1.3,3,4,,2.45,
220925086315001,Bangriposi,22.15694444,86.53055556,,,,,5.43,11.65,3.48,2.78,4.9,5.71,3.82,4.88,5.48,6.45,3.69,4.84,5.42,6.2,3.89,4.49,5.76,6.23,4.56,,4.76,9.43,1.43,5.1,5.98,6.09,3.11,5.03,4.59,6.23,2.81,3.87,4.63,7.43,3.81,4.55,6,7.66,3.54,4.93,6.46,7.28,3.33,5.2,5.98,7.85,2.21,4.93,6.38,6.71,3.62,5.15,6.83,9.38,4.33,5.63,,10.05,3.71,4.03,5.74,7.46,4.03,4.64,7.03,6.73,5.54,5.82,7.94,9.92,,5.38,10.4,11.62,4,5.74,6.02,8.56,3.22,5.56,6.09,8.89,3.88,5.87,,,4.01,5.17,6.1,6.9,3.9,5.03,10.11,6.04,4.03,,8.18,7.93,3.28,5.83,8.83,,3.13,8.33,10.83,,5.33,6.83,10.53,10.93,3.83,8.83,4.93,,4.63,
215615086434501,Baripada,21.9375,86.72916667,,,,,11.36,11.82,9.83,9.21,9.91,11.91,7.75,10.38,11.08,11.98,4.91,9.6,10.19,11.26,10.61,9.44,10.65,11.88,7.78,,6.84,7.3,7.48,9.3,11.43,12.18,8.61,9.36,10.76,11.97,13.59,10.05,11.71,12.05,8.91,8.5,10.38,12.43,7.15,,,12.37,9.78,,11.43,12.41,6.29,10.41,11.63,,7.05,5.27,11.41,12.47,9.66,10.76,10.88,12.66,5.69,5.08,3.82,12.15,7.09,9.05,9.26,11.29,3.65,3.77,5.69,9.71,,3.93,12.8,15,9.1,9.01,9.26,14.02,7.25,9.19,13.22,14.5,6.18,9.88,,15.77,6.02,9.18,12.91,15.05,2.83,9.98,12.48,13.81,11.11,,12.23,13.48,9.83,6.28,7.28,,,,,,,,,,,,10.28,,4.38,
215000086423001,Belam,21.83333333,86.70833333,,,,,3.22,4.15,1.18,1.61,2.25,4.26,1.46,2.4,3.14,2.18,1.42,2.04,4.22,3.01,1.19,2.56,2.77,4.41,1.46,,2.96,4.3,0.69,1.84,2.94,2.44,1.06,1.62,2.69,5.3,0.56,1.74,3.18,3.6,1.25,1.46,2.24,4.52,1.16,1.46,2.8,3.15,1,1.53,2.94,3.56,1.25,1.69,3.27,4.02,0.96,4.03,4.98,3.73,1.26,2.05,2.95,2.74,0.81,0.91,5.57,3.63,0.81,1.64,3.24,2.61,4.93,4.57,6.24,6.41,,4.78,5.13,4.3,2.4,3.35,4.05,6.65,2.08,3.85,4.21,6.13,2.22,3.74,,7.19,2.36,3.55,4.02,7.38,,2.09,3.62,4.35,1.79,,3.34,4.14,1.84,2.34,2.84,,2.54,2.64,3.84,,2.34,2.54,3.64,5.54,1.74,2.94,4.14,,1.8,
