station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
191925082404202,Anchalguma1,19.32361111,82.67833333,,,,,3.76,6.48,1.32,2.03,3.44,6.79,1.23,2.83,4.35,7.42,1,2.49,3.62,6.57,1.61,1.9,3.33,6.89,2.65,,4.13,6.66,0.98,2.89,4.35,7.86,0.36,2.53,4.03,7.28,0.89,3.71,5.63,7.74,0.83,1.58,3.13,5.83,0.98,2.07,3.4,5.45,0.97,2.03,4.35,6.16,0.58,1.94,3.19,5.83,0.78,1.93,3.53,5.63,4.33,2.53,3.83,7.23,0.93,2.48,4.13,7.03,0.78,1.68,2.63,5.23,3.03,2.63,4.13,7.13,,2.35,3.55,6.05,1.35,1.45,2.85,5.25,1.15,1.95,3.35,4.25,1.25,2.55,,6.05,,2.15,3.55,5.85,1.5,0.63,0.83,7.43,0.65,,4.43,5.53,0.03,1.85,3.02,,,1.87,3.33,,0.92,2.23,2.74,5.36,1.18,2.53,,6.84,1.92,
194158082074701,Bhaskel-dam sit,19.69944444,82.12972222,,,,,4.62,6.84,1.17,3.35,5.01,8.45,1.2,2.86,4.43,7.67,1.9,3.27,4.3,7.33,5.06,2.27,4.43,8.4,0.65,,4.85,7.65,0.89,3.47,5.18,7.44,0.28,2.41,3.38,,1.48,3.97,6.43,7.41,2.31,3.58,,7.93,1.48,4.05,6.51,6.3,3.11,,5.18,5.53,0.53,2.15,2.63,7.29,0.49,2.1,7.2,8.3,2,1.45,3.43,7.63,0.31,1.22,2.82,7.95,2.15,2.14,3.92,5.38,2.22,2.28,2.65,,,,,,,,,,,,,,,,,,2,2.4,3.8,,2.4,2.15,2.6,7.2,2.6,,5.7,5.7,1.2,5.12,5.89,,,5.18,5.55,,4.78,5.7,5.2,8.76,2.07,4.19,,9.34,2.45,
192710082243001,Debugaon,19.45277778,82.40833333,,,,,2.52,3.69,1.18,2.1,2.69,5.09,1.27,3,2.86,4.52,1.07,1.94,2.45,,,2.17,2.69,,0.6,,2.85,4.16,1.49,2.62,3.06,5.5,0.93,2.16,2.7,,1.22,2.71,3.53,5.91,2.05,2.08,,3.54,1.2,1.2,3.69,,3.31,1.61,3.06,9.1,2.43,1.73,,3.91,0.38,1.96,3.08,3.56,1.61,1.82,2.35,5.16,1.32,1.58,2.6,4.95,1.8,2.64,2.41,2.81,1.48,2.72,3.4,4.9,,2,2.5,3.1,1.4,1.92,2.1,3.8,1.05,2.2,2.4,0.52,0.52,1.75,,5.5,1.3,1.3,3.5,3.9,1.2,0.6,1.5,2.5,0.8,,3,4,1,2.51,3.12,,,4.01,2.45,,2.23,,,4.19,2.91,4.41,,,,
191905082255701,Dengaguda,19.31805556,82.4325,,,,,5.76,7.07,2.15,4.73,5.78,,1.73,4.43,5.63,6.5,2.17,4.53,4.18,6.66,4.91,5,4.84,7.33,3.27,,5.03,6.45,1.68,4.54,5.5,7.03,0.2,4.19,5.43,8.13,2.9,5.31,6.53,,,2.2,5.03,6.63,0.83,3.73,5.03,,,,,,,,,,0.3,1.85,4.1,5.7,5.21,2.8,4.1,6,0.1,3.2,4.75,6,0.3,0.55,1,5.2,0.2,0.5,4.3,5.6,,3.6,5.2,7.1,1.8,2.4,5.2,6.5,1.3,4.1,5.3,5.4,1.3,3.95,,6,1.7,3.3,5.55,6.05,1.5,,5.47,5.2,1.3,,3.9,,1.2,2.65,3.9,,,1.84,3.6,,0.37,2.8,3.8,,0.5,3.32,,0,0.72,
193935082041001,Dondasora,19.65972222,82.06944444,,,,,2.27,3.22,0.85,1.67,2.52,3.83,0.17,1.28,2.77,3.59,0.32,1.6,1.95,3.86,0.36,1.29,2.92,4.42,0.17,,3.12,3.78,0.29,1.86,2.92,4.22,0.51,1.32,2.76,,2.43,4.41,3.86,7.61,2.73,4.3,,7.53,,4.41,2.61,7.32,3.57,,2.92,3.52,0.59,0.57,2.71,3.45,1.14,1.41,2.77,3.14,0.27,1.22,2.8,3.67,0.34,1.37,3.25,4.07,,,,1.24,,,3.32,,,,4,,0.4,0.8,1.8,,0.35,0.62,2.1,0.24,0.24,0.95,,,1.2,1.3,,6.7,0.7,0.22,1.72,0.72,0.52,,1.57,4.72,0.02,0.92,2.32,,,1.11,2.42,,0.98,2.79,3.29,4.86,,1.62,,4.63,,
194242082220601,Jharigan,19.71166667,82.36833333,,,,,3.33,5.3,0.95,2.14,3.36,5.97,0.99,2.41,4.03,5.94,0.79,1.9,2.48,5.19,1.22,1.71,3.18,5.39,0.49,,3.52,6.3,1.01,3.77,4.28,5.92,0.21,2.64,3.55,,4.01,3.58,5.11,6.6,2.08,3.46,,,0.71,,,,,,4.28,6.21,1.16,2.06,2.54,6.26,1.2,1.25,2.79,5.41,,1.17,2.87,7.84,0.4,0.81,3.18,7.99,,,2.26,5.48,,,2.31,5.69,,2.3,3.6,5.9,1.1,1.45,2.1,8.5,0.65,1.9,2.85,4.4,0.95,2.35,,6.5,,2,3.85,7,1.8,1.29,1.69,7.69,0.59,,3.79,6.99,0.29,1.95,2.93,,,,,,,,,,,,,7.71,4.33,
191812082204501,Kodinga,19.30333333,82.34583333,,,,,5.11,11.27,1.79,3.59,5.37,11.22,0.62,3.2,4.84,8.24,0.84,3.14,4.44,6.42,0.87,0.89,4.51,8.32,5.16,,5.24,10.73,,3.7,5.89,10.96,0.5,2.96,5.46,,0.59,3.33,6.24,10.72,,1.52,4.14,9.74,0.69,2.4,4.54,9.97,0.99,3.58,5.89,8.55,0.54,2.32,4.36,6.84,0.64,2.39,4.44,7.64,5.03,3.34,4.94,8.94,0.74,3.04,4.84,9.34,0.74,1.49,3.64,5.04,0.34,2.94,4.74,9.04,,2.6,4.45,6.65,0.82,0.95,3.85,5.65,0.75,2.55,5.4,5.45,1.05,2.95,,7.75,0.55,2.55,4.45,8.45,1.3,0.84,1.14,8.54,2.04,,4.14,4.54,0.89,2.5,4.12,,,1.78,3.74,,0.54,2.21,3.69,5.61,0.76,3.65,,6.24,1.02,
191635082143401,Kosagumunda,19.27638889,82.24277778,,,,,4.8,4.18,2.5,4.85,5.78,7.28,1.39,4.5,5.4,7.36,1.97,,5.57,7.33,2.1,1.7,5.54,9.41,6.31,,5.5,7.4,,5.07,6.72,7.38,1.3,4.92,7.2,,1.9,5.01,7.17,,,,5.7,,1.55,4.13,,5.41,1.19,2.97,6.72,6.59,1.85,3.37,5.03,6.8,0.6,2.5,4.2,4.5,5.29,3.3,4.4,7.69,1.01,3.8,5.3,7.05,0.6,2.45,4.2,3.9,0.2,4,5,8.2,,3.7,4.5,4.8,2.23,4.5,4.5,5.4,1.2,3.7,4.6,4.2,1.05,3.7,,,1,3.65,4.6,5,1.25,1.2,2.2,2.2,1.5,,5.35,6.5,0.8,,5.41,,,,,,,,,,,,,4.9,1.58,
192802082343201,Maidalpur1,19.46722222,82.57555556,,,,,4.58,7.19,1.2,1.94,4.78,6.84,0.49,1.81,4.81,6.4,0.79,2.04,2.85,4.22,1.06,0.91,2.73,6.09,0.59,,4.36,6.11,0.5,3.11,5.38,6.53,,2.1,4.47,,1.34,4.3,6.58,7.54,0.72,2.06,,6.02,0.46,2.85,6.66,6.17,0.97,3,5.38,6.84,1.41,1.32,4.21,6.46,1.16,0.76,4.32,6.16,0.57,0.74,3.76,3.26,0.71,0.39,4.11,3.36,0.59,,3.92,1.46,0.59,1.59,1.15,6.54,,1.5,4.1,6.9,0.8,0.9,4.25,6.3,0.8,1.55,3.62,6.55,,1.55,,7.7,1.5,1.8,3.9,7.1,1.4,0.64,0.94,7.14,0.44,,3.54,3.94,0.24,1.1,3.52,,,0.91,2.84,,0.52,,,,,,,7.06,0.57,
195315082043001,Raigarh,19.8875,82.075,,,,,6.73,8.82,3.72,5.73,7.97,11.08,4.03,6.86,9.14,10.58,5.5,5.72,5.6,9.21,6.93,7.27,9.27,8.73,3.98,,8.82,13.9,6.23,7.67,9.23,,0.5,,,,,8.57,10.8,,4.13,4.81,,,3.52,3.52,10.92,,3.7,,9.23,8.9,1.03,5.1,2.89,9.22,3.82,5.02,9,8.85,2.9,3.4,3.32,9.22,1.62,4.25,4.36,9.15,2.85,4.3,3.55,6.57,2.72,4.52,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.91,0.76,
