station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
205116083492201,Arjunpur,20.85444444,83.82277778,,,,,5.35,7.02,1.41,4.28,5.25,7.39,7.22,6.95,7.56,7.55,0.38,4.16,5.16,6.66,6.55,5.1,5.91,7.8,5.25,,5.4,7.15,4.2,5,6.2,7.4,0.94,4.76,4.28,7.4,4.13,5.16,6.7,7.5,3.7,2.22,5.07,6.86,2.23,4.32,7,6.88,1.68,,3.83,,0.35,3.9,5.5,8.23,2.33,4.18,5.57,8.01,,3.88,5.41,7.3,0.78,4.35,5.4,7.15,4.68,5.07,5.58,6.78,5.14,,,8.64,,3.2,4.85,6.57,1.7,2.85,4.86,6.25,1.32,4.11,5.28,6.89,1.95,4.75,,7.49,3.23,5.19,5.97,7.67,2.69,4.61,5.76,7.41,1.4,,4.7,6.9,1,3.25,3.6,,,2.7,4.3,,3.75,2.65,3.6,5.24,1.08,4.05,,6.08,0.75,
210655083440301,Bagdiha,21.11527778,83.73416667,,,,,1.96,2.5,0.56,1.63,2.15,3.48,0.22,1.52,,2.87,0.43,1.7,2.49,3.22,1.03,1.41,3.71,,0.55,,3.06,3.45,1.95,2.7,3.4,3.9,1.03,2.26,2.57,,1.27,1.19,2.4,4.05,0.65,1.85,2.63,,0.7,,1.55,3.07,0.59,,3.4,,,,,4.03,1.02,1.57,3.11,4.31,0.11,1.42,1.46,3.49,0.02,1.32,1.25,2.6,2.48,1.6,2.15,2.5,2.15,1.74,3.4,4.51,,1.51,2.2,2.72,0.85,1.05,2.55,3.02,,1.75,2.81,2.72,0.95,1.96,,3.6,1.45,2.2,3.12,4.1,0.65,1.65,3.31,3.41,,,2.6,2.6,1.1,1.95,2.8,,,1.7,3,,1.65,1.5,2.8,2.7,0.12,0.98,,2.81,0.32,
204900083454801,Bagduli,20.81666667,83.76333333,,,,,4.2,6.02,0.72,2.46,2.79,5.39,0.25,3.75,4.64,5.48,0.56,2.91,3.84,5.18,3.08,2.63,4.11,5.33,1.83,,,4.68,1.83,2.83,3.83,4.93,0.77,2.69,2.7,5.18,1.56,2.75,4.01,4.83,1.03,1.58,2.41,4.35,1.21,2.4,1.88,4.49,1.03,2.19,3.35,6.63,0.07,2.43,3.68,6.04,1.36,2.55,2.96,5.81,1.3,2.4,3.6,5.27,0.58,3.09,3,4.19,2.81,2.73,3.16,4.57,3.5,3.56,3.61,4.73,,2.82,2.93,4.55,2.03,2.39,3.62,4.87,1.05,2.83,3.83,5.08,0.58,2.98,,5.39,0.95,2.42,4.27,5.96,3,1.93,2.63,2.58,2.78,,1.93,4.84,0.16,2.48,2.74,,,2.38,3.65,,3.13,2.43,3.03,5.63,1.33,2.73,5.5,0,2.2,
210146083484501,Binika,21.02944444,83.8125,,,,,3.84,5.33,1.06,1.25,4.14,6.2,0.33,1.96,3.3,5.38,0.4,1.75,3.06,2.86,1.68,1.73,4.16,5.33,1.28,,4.03,4.23,0.98,2.03,4.43,5.53,0.91,3.51,3.81,5.11,1.29,2.52,3.2,3.73,0.53,1.73,3.71,3.99,0.9,1.81,3.13,2.61,0.98,1.83,4.43,3.93,0.35,1.38,3.03,3.16,1.76,2.05,2.9,3.61,0.57,2.26,3.86,3.74,0.57,1.85,3.28,4.43,1.68,3.11,4.54,3.57,1.4,2.04,4.03,4.52,,2.48,3.58,2.45,1.62,1.53,3.6,3.97,1.32,1.9,3.2,2.42,1.11,1.92,,2.97,1.59,2.64,2.83,2.87,1.15,1.81,3.05,3.12,,,1.55,4.03,1.03,2.6,3.13,,,,,,1.28,1.91,2.98,2.53,0.25,2.38,,4.01,0.58,
210448083334001,Chandajhuri,21.08,83.56111111,,,,,4.3,4.95,0.52,3.55,4.65,6.29,,,5.5,5.77,1.62,,,2.02,0.93,3.65,,1.23,2.43,,4.62,5.5,2.8,2.7,5.55,,0.82,4.05,1,7.09,3.04,4.4,5.4,,2.58,2.42,4.14,,1.44,3.68,5.12,5.63,,1.72,4.01,3.1,,2.9,3,,0.2,0.7,3.02,3.1,,3.05,3.09,3.1,0.8,3.1,3.1,3.1,2.9,2.9,3.1,3.1,3.1,3.1,3.1,,,3.52,3.87,,1.98,2.98,,,2.07,4.02,,3.32,3.32,4.1,,,,,,4.2,2.78,3,,3.1,1.1,,3,,1.3,3.8,,,,3.4,5.25,,2.22,2.85,4,,0.8,3.42,,0,0.85,
210248083480001,Danipali,21.04666667,83.8,,,,,2.29,2.26,1.46,1.04,4.13,3.3,0.75,1.74,2.61,1.77,0.34,1.43,2.42,2.08,1.21,1.37,3.28,1.4,0.95,,3.09,3.2,0.7,1.15,3,4.4,0.57,1.75,2.88,1.88,0.78,0.96,2.13,1.05,0.4,0.9,1.34,1.77,0.92,1.65,1.54,2.37,0.6,1.7,3,4.75,0.4,1.23,1.85,1.43,0.74,1.32,2.22,,0.15,,2.46,2.72,0.39,1.13,2.32,2.87,1.2,1.65,2.43,1.64,0.65,2.31,2.69,1.45,,1.57,1.59,1.25,1.14,1.42,2.71,1.84,0.9,1.47,2.42,2.37,0.8,2.44,,2.48,1.12,1.67,1.77,1.35,0.86,1.31,1.84,2.1,0.12,,0.97,3.3,0.5,3.42,3.1,,,1.34,2.46,,0.9,1.95,1.94,3.9,0.65,1.62,,1.82,0.91,
210055083393201,Gajabandhu,21.01527778,83.65888889,,,,,0.75,1.94,0.58,0.78,1.88,4.37,0.93,0.99,2.65,1.32,0.54,,,,0.42,0.87,0.69,1.77,0.93,,0.76,0.82,0.59,0.17,1.02,0.87,,,0.84,,0.59,0.63,,1.37,0.37,0.32,0.7,3.73,,,,,,,1.02,3.49,,,,1.14,0.45,0.9,0.85,1.14,0.02,0.5,0.93,1.27,0.36,,0.78,,,,,,,2.22,,4.49,,1.68,0.8,1.02,0.94,1.03,1.17,1.01,0.74,1.16,1.21,1.11,0.86,0.89,,1.17,1.03,1.48,,1.22,0.58,0.58,,0.82,,,0.25,0.77,0.27,1.88,0.72,,,0.67,0.72,,0.57,0.67,1.07,0.82,0.69,1.02,,1.28,0.52,
205538083474201,Mahadevpali,20.92722222,83.795,,,,,2.49,5.1,0.77,1.22,2.76,6.01,0.97,1.54,2.19,5.65,0.61,1.38,2.88,5.8,0.99,1.64,3.67,7.44,1.09,,3.39,6.34,1.29,1.34,3.74,6.39,1.05,2.1,4.25,7.51,1.17,1.25,,6.39,0.94,1.04,4,7.04,1.22,1.11,3.56,6.58,1,2.04,3.74,5.74,0.74,1.09,3.29,6.52,0.96,2.38,3.11,6.41,0.67,1.17,3.31,6.69,0.88,1.08,3.05,6.51,0.74,1.66,2.81,5.32,1.18,3.17,3.72,5.99,,1.64,1.39,4.62,0.87,1.02,3.11,5.26,0.76,1.06,2.89,5.76,,1.1,,6.55,1.63,2.19,4.3,6.97,1.06,1.3,4.16,6.52,0.27,,2.92,7.04,0.74,2.13,2.74,,,1.46,3.72,,1.44,1.54,3.44,6.5,0.76,1.72,,7,0.89,
203908083390301,Palsapadar,20.65222222,83.65083333,,,,,2.42,3.1,0.05,2.14,2.61,4.58,7.64,3.35,3.87,,0.16,1.35,2.04,3.7,2.74,1.84,2.95,3.64,4.79,,2.26,3.79,2.04,2.14,2.74,3.64,0.99,1.98,3.12,,3.7,4.6,3.66,3.04,0.89,0.36,2.07,,1.83,1.24,2.51,6.17,,,2.74,,0.69,1.74,2.89,5.41,2.92,1.68,4.02,5.64,0.6,1.95,2.25,4.64,0.34,1.33,2.33,4.19,1.49,0.99,1.64,3.6,2.9,1.56,3.14,,,1.92,1.8,4.12,0.6,1.35,2.25,3.85,0.52,1.65,2.33,4.01,1.5,1.92,,4.86,1.2,2.11,2.81,4.62,1,1.15,2.19,3.02,0.14,,1.69,3.53,0.12,1.44,1.62,,,1.34,2.15,,0.34,1.34,1.64,3.44,2.24,2.54,3,3.94,1,
205942083473201,Phulmuthi,20.995,83.79222222,,,,,3.46,5.59,1.84,2,3.39,6.24,2.96,3,3.36,4.36,0.77,2.53,3.34,5.58,3.11,2.26,3.97,1.56,1.71,,3.81,5.42,3.96,3.16,3.71,5.36,0.53,3.02,4.36,5.56,1.94,2.61,4.14,4.61,1.21,2.18,3.77,4.59,1.34,2.49,2.08,4.24,1.44,2.36,3.71,4.66,0.56,,3.86,4.64,1.63,1.78,3.07,4.47,0.97,2.64,2.87,3.5,0.97,2.42,3.46,4.16,1.98,2.88,3.48,4.31,1.71,3.04,3.86,3.96,,,3.42,3.49,1.81,2.04,3.85,4.05,1.73,2.8,3.95,3.98,2.1,2.8,,4.43,1.75,3.08,3.93,4.36,1.52,2.17,3.59,4.03,0.48,,2.78,4.46,1.26,3.13,3.66,,,2.36,4.06,,1.99,2.41,3.16,3.71,0.42,2.57,,3.72,1.31,
